model_id,evaluation_scope,l2,positive_weight,selection_policy,threshold,feature_set,interaction_set,fold_index,train_start,train_end,predict_date,term,coefficient
logistic_v004a_weighted,walk_forward,0.3,1.5,training,,"rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3","inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low",34,2026-05-07,2026-06-25,2026-06-26,intercept,-0.5295129192067463
logistic_v004a_weighted,walk_forward,0.3,1.5,training,,"rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3","inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low",34,2026-05-07,2026-06-25,2026-06-26,rank_d1_close_ma10_pct,0.05527447763925156
logistic_v004a_weighted,walk_forward,0.3,1.5,training,,"rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3","inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low",34,2026-05-07,2026-06-25,2026-06-26,rank_d1_low_ma10_pct,0.05039018310334194
logistic_v004a_weighted,walk_forward,0.3,1.5,training,,"rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3","inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low",34,2026-05-07,2026-06-25,2026-06-26,rank_trend_hold_score,0.04707095199795463
logistic_v004a_weighted,walk_forward,0.3,1.5,training,,"rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3","inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low",34,2026-05-07,2026-06-25,2026-06-26,rank_total_score,0.05433039662093448
logistic_v004a_weighted,walk_forward,0.3,1.5,training,,"rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3","inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low",34,2026-05-07,2026-06-25,2026-06-26,rank_theme_score,0.023738564300485928
logistic_v004a_weighted,walk_forward,0.3,1.5,training,,"rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3","inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low",34,2026-05-07,2026-06-25,2026-06-26,rank_days_since_d0,-0.0004246553566637342
logistic_v004a_weighted,walk_forward,0.3,1.5,training,,"rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3","inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low",34,2026-05-07,2026-06-25,2026-06-26,rank_log_candidate_base_price,0.07118166241721306
logistic_v004a_weighted,walk_forward,0.3,1.5,training,,"rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3","inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low",34,2026-05-07,2026-06-25,2026-06-26,rank_active_money_score,0.0017414280370476375
logistic_v004a_weighted,walk_forward,0.3,1.5,training,,"rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_total_score,rank_theme_score,rank_days_since_d0,rank_log_candidate_base_price,rank_active_money_score,rank_d1_close_vwap_pct,inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low,days_since_d0_le1,days_since_d0_eq2,days_since_d0_ge3","inter_close_low,inter_close_trend,inter_total_trend,inter_total_active,inter_low_active,spread_close_low",34,2026-05-07,2026-06-25,2026-06-26,rank_d1_close_vwap_pct,0.007998019701371848
