trade_date,code,name,market,latest_price,pct_chg,amount,turnover_rate,float_market_cap,total_market_cap,industry,limit_up_time,final_limit_up_time,open_board_count,seal_amount,consecutive_limit_up_count,source
2026-06-29,000017,深中华A,SZ,5.56,10.099010467529297,115464741,4.879360198974609,2450970047.56,3831868199.68,饰品,104909,111542,8,22844372,1,akshare_zt_pool_em
2026-06-29,000021,深科技,SZ,58.86,9.99813175201416,13770298112,15.223341941833496,92653826248.8,92667405015.36,消费电子,093633,135215,1,326842222,1,akshare_zt_pool_em
2026-06-29,000521,长虹美菱,SZ,5.49,10.020039558410645,203350136,4.239660263061523,4805011711.8,5654281178.88,白色家电,092500,101915,7,26910333,1,akshare_zt_pool_em
2026-06-29,000551,创元科技,SZ,20.08,10.027397155761719,1203043648,12.88561725616455,9729707816.16,9733439443.199999,环保设备,132348,132827,1,76448013,1,akshare_zt_pool_em
2026-06-29,000566,海南海药,SZ,4.54,9.927360534667969,421921120,7.583960056304932,5887179773.82,5890037644.8,化学制药,101106,101106,0,39927297,1,akshare_zt_pool_em
2026-06-29,000751,锌业股份,SZ,6.22,10.088496208190918,951159232,10.920242309570312,8769383805.38,10049222282.24,工业金属,093227,101627,6,63810227,1,akshare_zt_pool_em
2026-06-29,000756,新华制药,SZ,13.59,10.040485382080078,276615824,4.251113414764404,6780041636.49,9467927949.6,化学制药,100803,100957,1,30617060,1,akshare_zt_pool_em
2026-06-29,000759,中百集团,SZ,6.31,9.930313110351562,514485360,13.038130760192871,4137505017.7499995,4180145215.04,一般零售,101936,101936,0,55726134,1,akshare_zt_pool_em
2026-06-29,000777,中核科技,SZ,18.48,10.0,238677862,3.409223794937134,7085432082.96,7085557248.0,通用设备,093221,093221,0,176479250,1,akshare_zt_pool_em
2026-06-29,000920,沃顿科技,SZ,15.7,10.021023750305176,302802816,4.204169273376465,7419798302.599999,7420151584.0,塑料,094442,094442,0,109878867,1,akshare_zt_pool_em
2026-06-29,000959,首钢股份,SZ,3.44,9.904153823852539,252461454,1.0294547080993652,25633529469.76,26677087498.239998,普钢,130209,130209,0,25059712,1,akshare_zt_pool_em
2026-06-29,000988,华工科技,SZ,177.03,9.997514724731445,19961381376,11.3571138381958,177912610858.71,178004143689.12,自动化设,093430,143539,1,385504422,1,akshare_zt_pool_em
2026-06-29,001229,魅视科技,SZ,33.02,9.993337631225586,293371968,12.718976020812988,2435264789.1000004,4736127942.0,计算机设,134106,140433,5,51889609,1,akshare_zt_pool_em
2026-06-29,001237,惠康科技,SZ,65.2,10.005061149597168,406823968,17.922922134399414,2272613025.6,9672513236.0,通用设备,093000,102418,5,36041451,1,akshare_zt_pool_em
2026-06-29,001301,尚太科技,SZ,94.24,10.003501892089844,624147152,3.7497732639312744,17515243878.239998,24573659576.0,电池,142030,142030,0,57851580,1,akshare_zt_pool_em
2026-06-29,002038,双鹭药业,SZ,5.58,10.059171676635742,189225772,4.187904357910156,4753665143.28,5732613000.0,化学制药,101057,101057,0,67776688,1,akshare_zt_pool_em
2026-06-29,002180,奔图科技,SZ,16.01,10.034364700317383,1149070704,5.447042942047119,21778202842.980003,22764281637.280003,计算机设,132530,132757,1,42519358,2,akshare_zt_pool_em
2026-06-29,002208,合肥城建,SZ,18.38,9.99401569366455,2092085936,14.480229377746582,14760468267.46,14764504901.439999,房地产开,093615,133227,2,79954102,1,akshare_zt_pool_em
2026-06-29,002237,恒邦股份,SZ,14.51,10.00758171081543,524560816,3.089735269546509,17301085676.079998,20748870736.16,贵金属,095457,095745,2,40127172,1,akshare_zt_pool_em
2026-06-29,002255,海陆重工,SZ,9.7,9.977324485778809,403352880,6.555909633636475,6188330757.099999,8059546243.2,其他电源,093139,100330,4,45588535,1,akshare_zt_pool_em
