date,code,market,open,high,low,close,volume,amount,pct_chg,change,amplitude,turnover_rate,source,prev_close,ma5,amount_ma5,ma10,amount_ma10,ma20,amount_ma20,ma30,amount_ma30,close_position,amplitude_calc,amount_ratio,ma5_distance,ma10_distance,ma20_distance,vwap_daily
2026-04-28,000034,SZ,37.59,39.02,37.32,37.99,479067.0,1827881737.5491,3.093622795115334,1.1400000000000006,4.613297150610591,,tencent_daily,36.85,37.3,,36.808,,35.317,,35.291666666666664,,0.39411764705882385,4.613297150610591,,0.018498659517426352,0.03211258422082164,0.07568593028852955,38.15503337840219
2026-04-29,000034,SZ,37.0,37.87,36.5,37.44,264464.0,988847651.9223,-1.4477494077388897,-0.5500000000000043,3.6062121610950184,,tencent_daily,37.99,37.3,,37.062,,35.5205,,35.342333333333336,,0.6861313868613135,3.6062121610950184,,0.0037533512064342744,0.010199125789218,0.0540392167903041,37.39063358046086
2026-04-30,000034,SZ,37.3,38.23,36.89,37.67,234137.0,879580819.0824,0.61431623931625,0.23000000000000398,3.579059829059819,,tencent_daily,37.44,37.496,969848186.93142,37.236000000000004,,35.698499999999996,,35.338,,0.5820895522388084,3.579059829059819,,0.004640494986131838,0.011655387259641214,0.05522641007325246,37.566929578938826
2026-05-06,000034,SZ,38.12,40.28,38.12,39.43,454157.0,1780571052.4447,4.672152906822399,1.759999999999998,5.734005840191143,,tencent_daily,37.67,37.876,1317291858.15602,37.510000000000005,,36.057,,35.40533333333333,,0.6064814814814815,5.734005840191143,,0.041028619706410474,0.051186350306584805,0.09354632942285823,39.20606866006029
2026-05-07,000034,SZ,39.83,42.3,39.48,41.4,625901.0,2546500621.4093,4.996195790007605,1.9699999999999989,7.151914785696172,,tencent_daily,39.43,38.785999999999994,1604676376.48156,37.897,,36.524,,35.598333333333336,,0.6808510638297878,7.151914785696172,,0.06739545196720487,0.09243475736865725,0.1335012594458438,40.68535793055611
2026-05-08,000034,SZ,41.0,41.05,39.94,40.02,375636.0,1509654329.5215,-3.3333333333333224,-1.3799999999999955,2.681159420289854,,tencent_daily,41.4,39.192,1541030894.87604,38.246,,36.924,,35.83166666666667,,0.07207207207207697,2.681159420289854,,0.021126760563380254,0.04638393557496201,0.08384790380240514,40.18928775520717
2026-05-11,000034,SZ,40.55,43.75,39.94,42.62,784621.0,3302442904.5594,6.49675162418789,2.5999999999999943,9.520239880059975,,tencent_daily,40.02,40.228,2003749945.40346,38.763999999999996,,37.351,,36.13133333333334,,0.7034120734908131,9.520239880059975,,0.059461071890225536,0.09947373852027663,0.14106717356965004,42.08965735762107
2026-05-12,000034,SZ,42.2,42.69,41.05,41.79,388420.0,1621379248.2841,-1.9474425152510517,-0.8299999999999983,3.847958704833413,,tencent_daily,42.62,41.052,2152109631.2438,39.274,1560978909.08761,37.702999999999996,,36.342333333333336,,0.451219512195123,3.847958704833413,1.0386938855130297,0.017977199649225284,0.06406273870754187,0.10839986207994068,41.742939299832656
2026-05-13,000034,SZ,41.1,43.19,40.16,42.84,399130.0,1685906855.1636,2.5125628140703617,1.0500000000000043,7.250538406317304,,tencent_daily,41.79,41.733999999999995,2133176791.78758,39.80499999999999,1725234324.9718003,38.079499999999996,,36.63933333333333,,0.8844884488448864,7.250538406317304,0.9772045633228151,0.026501174102650404,0.07624670267554357,0.12501477172757025,42.23954238377471
2026-05-14,000034,SZ,43.1,43.12,40.4,40.9,432002.0,1780637853.555,-4.528478057889833,-1.9400000000000048,6.349206349206346,,tencent_daily,42.84,41.634,1980004238.21672,40.21,1792340307.3491402,38.3755,,36.842,,0.18382352941176477,6.349206349206346,0.9934708527470166,-0.017629821780275723,0.01715991047003218,0.06578415916404978,41.218278006930525
