trade_date,code,name,market,latest_price,pct_chg,amount,turnover_rate,float_market_cap,total_market_cap,industry,limit_up_time,final_limit_up_time,open_board_count,seal_amount,consecutive_limit_up_count,source
2026-06-25,002674,兴业科技,SZ,26.21,9.987410545349121,75940854,0.9903485774993896,7668093318.92,7746390242.240001,纺织制造,092500,092500,0,444306678,5,akshare_zt_pool_em
2026-06-25,600667,太极实业,SH,25.31,9.995654106140137,386080816,0.7293222546577454,52936932525.18,52936932474.56,工程咨询,092500,092500,0,898529702,2,akshare_zt_pool_em
2026-06-25,605366,宏柏新材,SH,13.07,10.016834259033203,195459707,1.9350801706314087,10100858039.0,10100857986.72,化学制品,092503,092503,0,137211003,3,akshare_zt_pool_em
2026-06-25,600228,返利科技,SH,9.81,9.977578163146973,22951476,0.5623536109924316,4081324706.3700004,4087556557.92,数字媒体,092504,092504,0,197886339,2,akshare_zt_pool_em
2026-06-25,603929,亚翔集成,SH,255.07,10.000862121582031,679715808,1.2531828880310059,54421735200.0,54421735200.0,专业工程,092504,093234,1,137028450,2,akshare_zt_pool_em
2026-06-25,600888,新疆众和,SH,16.12,10.034130096435547,1089569360,4.365848064422607,25035745497.88,25035745546.24,工业金属,093026,094005,3,97785403,1,akshare_zt_pool_em
2026-06-25,603989,艾华集团,SH,53.75,10.008187294006348,529684880,2.4905874729156494,21434417475.0,21434417260.0,元件,093134,093313,2,87213191,2,akshare_zt_pool_em
2026-06-25,002990,盛视科技,SZ,72.6,10.0,622030960,6.276633262634277,10020147673.8,19010465218.8,计算机设,093136,100336,3,78072660,2,akshare_zt_pool_em
2026-06-25,603678,火炬电子,SH,75.13,10.0,1108926608,3.129621982574463,35729320987.03,35729320461.119995,军工电子,093137,093234,1,212820450,2,akshare_zt_pool_em
2026-06-25,002068,黑猫股份,SZ,14.83,10.014836311340332,1147605280,10.625679016113281,10899743330.43,10905169316.0,橡胶,093145,104600,3,25093650,1,akshare_zt_pool_em
2026-06-25,000818,航锦科技,SZ,14.81,10.029717445373535,298524160,3.125211000442505,9748111411.59,9774600473.92,化学原料,093203,093203,0,146041247,2,akshare_zt_pool_em
2026-06-25,000823,超声电子,SZ,25.87,9.991497039794922,1265114736,8.323812484741211,15390895160.29,15391483573.44,元件,093215,093215,0,155335587,2,akshare_zt_pool_em
2026-06-25,000034,神州数码,SZ,27.94,10.0,1189681392,5.061618804931641,23725190705.48,28407706212.16,IT服务Ⅱ,093324,104815,3,93850152,1,akshare_zt_pool_em
2026-06-25,002387,维信诺,SZ,8.97,10.061349868774414,366235472,2.9559810161590576,12512825671.710001,12529260550.560001,光学光电,093324,093324,0,89596279,1,akshare_zt_pool_em
2026-06-25,605300,佳禾食品,SH,9.43,10.035005569458008,42436217,1.0013340711593628,4284978769.71,4284978722.56,饮料乳品,093344,093344,0,31171364,1,akshare_zt_pool_em
2026-06-25,603313,梦百合,SH,5.59,10.039369583129883,76949297,2.4569225311279297,3189580687.15,3189580659.2,家居用品,093415,093503,1,45796689,1,akshare_zt_pool_em
2026-06-25,603956,威派格,SH,5.3,9.95850658416748,115159837,3.8533647060394287,3020503315.7999997,3020503326.4,专用设备,093450,093659,2,50670491,1,akshare_zt_pool_em
2026-06-25,603661,恒林股份,SH,37.3,9.997051239013672,160878719,3.1423983573913574,5187200256.299999,5187200256.299999,家居用品,093606,093606,0,129225104,1,akshare_zt_pool_em
2026-06-25,002787,华源控股,SZ,30.34,10.007251739501953,699396816,9.39490795135498,7526845440.92,10084977164.8,包装印刷,093645,102530,10,18673663,1,akshare_zt_pool_em
2026-06-25,000811,冰轮环境,SZ,53.52,10.01027774810791,3358103584,6.485470771789551,52363736847.12,53117421703.68,通用设备,093706,144215,9,21364381,1,akshare_zt_pool_em
2026-06-25,600579,中化装备,SH,7.89,10.041841506958008,140321210,3.6581385135650635,3894509988.5099998,3894509933.2799997,专用设备,093826,094202,1,37085367,1,akshare_zt_pool_em
2026-06-25,002025,航天电器,SZ,73.27,9.998498916625977,3933225632,11.964653968811035,33255150077.73,33266028987.519997,军工电子,093830,144312,14,6425779,2,akshare_zt_pool_em
2026-06-25,600584,长电科技,SH,104.17,10.0,12320787968,6.690622329711914,186403315756.9,186403316381.92,半导体,093848,104536,3,877160776,2,akshare_zt_pool_em
2026-06-25,603115,海星股份,SH,131.33,10.000837326049805,636946448,2.0590317249298096,31767466232.000004,31767466232.000004,元件,093855,094243,1,90486370,1,akshare_zt_pool_em
2026-06-25,002484,江海股份,SZ,111.02,9.997027397155762,2322514208,2.6005067825317383,91088830860.3,94425167374.72,元件,093900,093900,0,368314178,1,akshare_zt_pool_em
2026-06-25,600857,宁波中百,SH,17.36,10.012674331665039,201937210,5.2857584953308105,3894193793.8399997,3894193793.8399997,一般零售,094011,141935,1,3975283,1,akshare_zt_pool_em
2026-06-25,603800,洪田股份,SH,84.95,9.996115684509277,648441616,3.7328379154205322,17669600000.0,17669600000.0,专用设备,094100,094421,2,98975245,1,akshare_zt_pool_em
2026-06-25,600186,莲花控股,SH,15.6,10.014103889465332,2438069840,8.85927963256836,27910557339.6,27967128384.0,调味发酵,094117,094417,2,59583030,1,akshare_zt_pool_em
2026-06-25,603459,红板科技,SH,94.96,9.996524810791016,1113381600,15.045341491699219,7506764435.679999,71576440336.64,元件,094117,094311,2,85410442,1,akshare_zt_pool_em
2026-06-25,603335,迪生力,SH,9.1,10.036275863647461,923232752,24.173574447631836,3896115860.0,3896115932.7999997,汽车零部,094135,145250,2,11217824,1,akshare_zt_pool_em
2026-06-25,002254,泰和新材,SZ,20.17,9.978190422058105,2220438880,13.204188346862793,17157531998.36,17286843401.280003,化学纤维,094215,134827,11,24019404,2,akshare_zt_pool_em
2026-06-25,603500,祥和实业,SH,12.96,10.016977310180664,158808529,3.796745538711548,4310613534.240001,4312870894.08,轨交设备,094410,094410,0,62184931,1,akshare_zt_pool_em
2026-06-25,600184,光电股份,SH,29.17,9.99245834350586,1496527920,9.037444114685059,16998160241.560001,16998160358.240002,地面兵装,094509,105118,4,52275790,1,akshare_zt_pool_em
2026-06-25,600330,天通股份,SH,35.6,10.012360572814941,5756125440,13.286391258239746,43910265209.6,43910265209.6,电子化学,094630,104636,8,215519587,1,akshare_zt_pool_em
2026-06-25,000100,TCL科技,SZ,5.34,10.103093147277832,11902149632,11.804706573486328,102165063172.68,111076605557.76,光学光电,094718,131518,1,250758710,1,akshare_zt_pool_em
2026-06-25,000962,东方钽业,SZ,84.02,10.002617835998535,3156119312,7.631918907165527,42276993714.799995,44317202643.2,小金属,094803,130021,3,172383665,1,akshare_zt_pool_em
2026-06-25,600962,国投中鲁,SH,26.36,10.016695022583008,295243568,4.348470687866211,6911855600.0,6911855600.0,农产品加,094820,100644,2,54028510,1,akshare_zt_pool_em
2026-06-25,603267,鸿远电子,SH,83.6,10.0,1161192736,6.159909248352051,19318362571.199997,19318362571.199997,军工电子,094900,102457,3,83492406,1,akshare_zt_pool_em
2026-06-25,600458,时代新材,SH,16.92,10.0130033493042,1368552400,9.46164608001709,14695496382.600002,15748349558.400002,轨交设备,095011,142559,5,19371708,1,akshare_zt_pool_em
2026-06-25,605376,XD博迁新,SH,246.84,10.0,1830191104,2.917785167694092,64573344000.0,64573344000.0,金属新材,095043,095225,2,97476128,1,akshare_zt_pool_em
2026-06-25,002080,中材科技,SZ,92.93,10.00236701965332,3405597696,2.255688428878784,155948024661.12003,155948024661.12003,玻璃玻纤,095215,095436,2,159030923,2,akshare_zt_pool_em
2026-06-25,002558,巨人网络,SZ,27.73,9.996033668518066,2495790624,4.837348937988281,52702583455.83,52702583372.64,游戏Ⅱ,095518,133406,4,105968170,1,akshare_zt_pool_em
2026-06-25,002980,华盛昌,SZ,123.83,10.002665519714355,877330064,7.170492649078369,12542374658.52,23453545642.8,电网设备,095627,095627,0,132163759,1,akshare_zt_pool_em
2026-06-25,002965,祥鑫科技,SZ,47.16,10.006998062133789,1227737744,14.132403373718262,8980004883.599998,12515337730.439999,汽车零部,095830,095830,0,108129862,1,akshare_zt_pool_em
