code,name,date,tencent_current_close,tencent_raw_close,tencent_qfq_close,sina_daily_close,sina_5m_last_close,sina_5m_last_timestamp,sina_5m_bar_count,eastmoney_raw_close,tencent_current_vs_sina_5m_abs_diff,tencent_current_vs_sina_5m_rel_diff,tencent_raw_vs_sina_5m_abs_diff,tencent_raw_vs_sina_5m_rel_diff,tencent_qfq_vs_sina_5m_abs_diff,tencent_qfq_vs_sina_5m_rel_diff,eastmoney_raw_vs_sina_5m_abs_diff,eastmoney_raw_vs_sina_5m_rel_diff,sina_daily_vs_sina_5m_abs_diff,sina_daily_vs_sina_5m_rel_diff,failure_cache_daily_close,failure_cache_daily_volume,failure_cache_daily_mtime,failure_cache_daily_vs_sina_5m_abs_diff,failure_cache_daily_vs_sina_5m_rel_diff,sina_5m_total_volume_lots,sina_5m_volume_through_daily_cache_mtime_lots,failure_cache_daily_volume_fraction_of_full_minute,failure_cache_daily_volume_vs_intraday_cumulative_rel_diff,failure_cache_created_before_market_close,tencent_qfq_to_raw_close_ratio,sina_qfq_factor_asof,sina_qfq_factor_event_date,qfq_factor_changed_on_date,factor_changed_between_2026_06_26_and_2026_06_29,nearby_ex_dividend_dates,nearby_record_dates,nearby_distribution_descriptions,diagnostic_category,diagnostic_subtype,source_errors_json,tencent_current_adjust,failure_cache_minute_last_close,failure_cache_minute_last_timestamp,failure_cache_minute_bar_count,failure_cache_minute_mtime,corporate_action_evidence_json,tencent_current_source,tencent_raw_source,tencent_qfq_source,sina_daily_source,sina_5m_source,eastmoney_raw_source,qfq_factor_source,corporate_action_source,diagnostic_generated_at
000034,神州数码,2026-06-26,26.62,26.62,26.62,26.62,26.62,2026-06-26 15:00:00,48,26.62,0,0,0,0,0,0,0,0,0,0,26.62,853952,2026-06-29 14:12:40,0,0,850184.59,,,,False,1,1,2026-05-19,False,False,,,,,,{},none,26.62,2026-06-26 15:00:00,48,2026-07-13 22:18:23,,Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
000034,神州数码,2026-06-29,25.81,25.81,25.81,25.81,25.81,2026-06-29 15:00:00,48,25.81,0,0,0,0,0,0,0,0,0,0,25.71,350298,2026-06-29 14:12:40,0.1,0.00387446726075,403099.72,348900.58,0.8690107748028205,0.004005209736252039,True,1,1,2026-05-19,False,False,,,,PROVIDER_DATA_CONFLICT,stale_intraday_tencent_daily_cache,{},none,25.81,2026-06-29 15:00:00,48,2026-07-13 22:18:23,,Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
000034,神州数码,2026-06-30,27.75,27.75,27.75,27.75,27.75,2026-06-30 15:00:00,48,27.75,0,0,0,0,0,0,0,0,0,0,,,2026-06-29 14:12:40,,,548871.94,,,,False,1,1,2026-05-19,False,False,,,,,,{},none,27.75,2026-06-30 15:00:00,48,2026-07-13 22:18:23,,Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
000636,风华高科,2026-06-26,78.5,78.5,78.401,78.5,78.5,2026-06-26 15:00:00,48,78.5,0,0,0,0,0.099,0.00126114649682,0,0,0,0,78.5,1419857,2026-06-29 13:39:41,0,0,1412701.36,,,,False,0.998738853503,1.00153880114,2025-07-11,False,False,2026-07-10,2026-07-09,"10派1.00元(含税,扣税后0.90元)",,,{},none,78.5,2026-06-26 15:00:00,48,2026-07-13 22:18:34,"[{""ASSIGN_PROGRESS"":""实施分配"",""BASIC_EPS"":0.25,""BD10_CLOSE_ADJCHRATE"":-18.92740517,""BONUS_IT_RATIO"":null,""BONUS_RATIO"":null,""BVPS"":10.813162826773,""D10_CLOSE_ADJCHRATE"":16.58404687,""D30_CLOSE_ADJCHRATE"":null,""DIVIDENT_RATIO"":0.001549186677,""EQUITY_RECORD_DATE"":""2026-07-09 00:00:00"",""EX_DIVIDEND_DATE"":""2026-07-10 00:00:00"",""EX_DIVIDEND_DAYS"":4,""IMPL_PLAN_PROFILE"":""10派1.00元(含税,扣税后0.90元)"",""IS_KCB"":null,""IT_RATIO"":null,""MARKET_TYPE"":""069001002001"",""NOTICE_DATE"":""2026-07-03 00:00:00"",""ORG_CODE"":""10005573"",""PER_CAPITAL_RESERVE"":6.178407882363,""PER_UNASSIGN_PROFIT"":2.833444290611,""PLAN_NOTICE_DATE"":""2026-04-21 00:00:00"",""PNP_YOY_RATIO"":-16.021657533946,""PRETAX_BONUS_RMB"":1,""PUBLISH_DATE"":""2026-04-21 00:00:00"",""REPORT_DATE"":""2025-12-31 00:00:00"",""SECUCODE"":""000636.SZ"",""SECURITY_CODE"":""000636"",""SECURITY_INNER_CODE"":""1000004192"",""SECURITY_NAME_ABBR"":""风华高科"",""TOTAL_SHARES"":1157013211}]",Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
000636,风华高科,2026-06-29,80.27,80.27,80.171,80.27,80.27,2026-06-29 15:00:00,48,80.27,0,0,0,0,0.099,0.00123333748598,0,0,0,0,79.5,1143804,2026-06-29 13:39:41,0.77,0.00959262489099,1465205.35,1130801.45,0.7806441602195896,0.011498526111723723,True,0.998766662514,1.00153880114,2025-07-11,False,False,2026-07-10,2026-07-09,"10派1.00元(含税,扣税后0.90元)",PROVIDER_DATA_CONFLICT,stale_intraday_tencent_daily_cache,{},none,80.27,2026-06-29 15:00:00,48,2026-07-13 22:18:34,"[{""ASSIGN_PROGRESS"":""实施分配"",""BASIC_EPS"":0.25,""BD10_CLOSE_ADJCHRATE"":-18.92740517,""BONUS_IT_RATIO"":null,""BONUS_RATIO"":null,""BVPS"":10.813162826773,""D10_CLOSE_ADJCHRATE"":16.58404687,""D30_CLOSE_ADJCHRATE"":null,""DIVIDENT_RATIO"":0.001549186677,""EQUITY_RECORD_DATE"":""2026-07-09 00:00:00"",""EX_DIVIDEND_DATE"":""2026-07-10 00:00:00"",""EX_DIVIDEND_DAYS"":4,""IMPL_PLAN_PROFILE"":""10派1.00元(含税,扣税后0.90元)"",""IS_KCB"":null,""IT_RATIO"":null,""MARKET_TYPE"":""069001002001"",""NOTICE_DATE"":""2026-07-03 00:00:00"",""ORG_CODE"":""10005573"",""PER_CAPITAL_RESERVE"":6.178407882363,""PER_UNASSIGN_PROFIT"":2.833444290611,""PLAN_NOTICE_DATE"":""2026-04-21 00:00:00"",""PNP_YOY_RATIO"":-16.021657533946,""PRETAX_BONUS_RMB"":1,""PUBLISH_DATE"":""2026-04-21 00:00:00"",""REPORT_DATE"":""2025-12-31 00:00:00"",""SECUCODE"":""000636.SZ"",""SECURITY_CODE"":""000636"",""SECURITY_INNER_CODE"":""1000004192"",""SECURITY_NAME_ABBR"":""风华高科"",""TOTAL_SHARES"":1157013211}]",Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
000636,风华高科,2026-06-30,72.24,72.24,72.141,72.24,72.24,2026-06-30 15:00:00,48,72.24,0,0,0,0,0.099,0.00137043189369,0,0,0,0,,,2026-06-29 13:39:41,,,447111.0,,,,False,0.998629568106,1.00153880114,2025-07-11,False,False,2026-07-10,2026-07-09,"10派1.00元(含税,扣税后0.90元)",,,{},none,72.24,2026-06-30 15:00:00,48,2026-07-13 22:18:34,"[{""ASSIGN_PROGRESS"":""实施分配"",""BASIC_EPS"":0.25,""BD10_CLOSE_ADJCHRATE"":-18.92740517,""BONUS_IT_RATIO"":null,""BONUS_RATIO"":null,""BVPS"":10.813162826773,""D10_CLOSE_ADJCHRATE"":16.58404687,""D30_CLOSE_ADJCHRATE"":null,""DIVIDENT_RATIO"":0.001549186677,""EQUITY_RECORD_DATE"":""2026-07-09 00:00:00"",""EX_DIVIDEND_DATE"":""2026-07-10 00:00:00"",""EX_DIVIDEND_DAYS"":4,""IMPL_PLAN_PROFILE"":""10派1.00元(含税,扣税后0.90元)"",""IS_KCB"":null,""IT_RATIO"":null,""MARKET_TYPE"":""069001002001"",""NOTICE_DATE"":""2026-07-03 00:00:00"",""ORG_CODE"":""10005573"",""PER_CAPITAL_RESERVE"":6.178407882363,""PER_UNASSIGN_PROFIT"":2.833444290611,""PLAN_NOTICE_DATE"":""2026-04-21 00:00:00"",""PNP_YOY_RATIO"":-16.021657533946,""PRETAX_BONUS_RMB"":1,""PUBLISH_DATE"":""2026-04-21 00:00:00"",""REPORT_DATE"":""2025-12-31 00:00:00"",""SECUCODE"":""000636.SZ"",""SECURITY_CODE"":""000636"",""SECURITY_INNER_CODE"":""1000004192"",""SECURITY_NAME_ABBR"":""风华高科"",""TOTAL_SHARES"":1157013211}]",Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
000783,长江证券,2026-06-26,9.76,9.76,9.76,9.76,9.76,2026-06-26 15:00:00,48,9.76,0,0,0,0,0,0,0,0,0,0,9.76,4306799,2026-06-29 14:31:05,0,0,4276761.64,,,,False,1,1,2026-06-15,False,False,2026-06-15,2026-06-12,"10派3.00元(含税,扣税后2.70元)",,,{},none,9.76,2026-06-26 15:00:00,48,2026-07-13 22:18:40,"[{""ASSIGN_PROGRESS"":""实施分配"",""BASIC_EPS"":0.63,""BD10_CLOSE_ADJCHRATE"":-5.28905289,""BONUS_IT_RATIO"":null,""BONUS_RATIO"":null,""BVPS"":6.494432568548,""D10_CLOSE_ADJCHRATE"":16.04938272,""D30_CLOSE_ADJCHRATE"":null,""DIVIDENT_RATIO"":0.038961038961,""EQUITY_RECORD_DATE"":""2026-06-12 00:00:00"",""EX_DIVIDEND_DATE"":""2026-06-15 00:00:00"",""EX_DIVIDEND_DAYS"":29,""IMPL_PLAN_PROFILE"":""10派3.00元(含税,扣税后2.70元)"",""IS_KCB"":null,""IT_RATIO"":null,""MARKET_TYPE"":""069001002001"",""NOTICE_DATE"":""2026-06-06 00:00:00"",""ORG_CODE"":""10005685"",""PER_CAPITAL_RESERVE"":2.041267407643,""PER_UNASSIGN_PROFIT"":1.566688145946,""PLAN_NOTICE_DATE"":""2026-04-28 00:00:00"",""PNP_YOY_RATIO"":101.44434141927,""PRETAX_BONUS_RMB"":3,""PUBLISH_DATE"":""2026-04-28 00:00:00"",""REPORT_DATE"":""2025-12-31 00:00:00"",""SECUCODE"":""000783.SZ"",""SECURITY_CODE"":""000783"",""SECURITY_INNER_CODE"":""1000000416"",""SECURITY_NAME_ABBR"":""长江证券"",""TOTAL_SHARES"":5530072948}]",Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
000783,长江证券,2026-06-29,9.45,9.45,9.45,9.45,9.45,2026-06-29 15:00:00,48,9.45,0,0,0,0,0,0,0,0,0,0,9.42,3033191,2026-06-29 14:31:05,0.03,0.0031746031746,3383295.17,3026141.17,0.8965197677387398,0.0023296434647165107,True,1,1,2026-06-15,False,False,2026-06-15,2026-06-12,"10派3.00元(含税,扣税后2.70元)",PROVIDER_DATA_CONFLICT,stale_intraday_tencent_daily_cache,{},none,9.45,2026-06-29 15:00:00,48,2026-07-13 22:18:40,"[{""ASSIGN_PROGRESS"":""实施分配"",""BASIC_EPS"":0.63,""BD10_CLOSE_ADJCHRATE"":-5.28905289,""BONUS_IT_RATIO"":null,""BONUS_RATIO"":null,""BVPS"":6.494432568548,""D10_CLOSE_ADJCHRATE"":16.04938272,""D30_CLOSE_ADJCHRATE"":null,""DIVIDENT_RATIO"":0.038961038961,""EQUITY_RECORD_DATE"":""2026-06-12 00:00:00"",""EX_DIVIDEND_DATE"":""2026-06-15 00:00:00"",""EX_DIVIDEND_DAYS"":29,""IMPL_PLAN_PROFILE"":""10派3.00元(含税,扣税后2.70元)"",""IS_KCB"":null,""IT_RATIO"":null,""MARKET_TYPE"":""069001002001"",""NOTICE_DATE"":""2026-06-06 00:00:00"",""ORG_CODE"":""10005685"",""PER_CAPITAL_RESERVE"":2.041267407643,""PER_UNASSIGN_PROFIT"":1.566688145946,""PLAN_NOTICE_DATE"":""2026-04-28 00:00:00"",""PNP_YOY_RATIO"":101.44434141927,""PRETAX_BONUS_RMB"":3,""PUBLISH_DATE"":""2026-04-28 00:00:00"",""REPORT_DATE"":""2025-12-31 00:00:00"",""SECUCODE"":""000783.SZ"",""SECURITY_CODE"":""000783"",""SECURITY_INNER_CODE"":""1000000416"",""SECURITY_NAME_ABBR"":""长江证券"",""TOTAL_SHARES"":5530072948}]",Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
000783,长江证券,2026-06-30,9.75,9.75,9.75,9.75,9.75,2026-06-30 15:00:00,48,9.75,0,0,0,0,0,0,0,0,0,0,,,2026-06-29 14:31:05,,,2829723.58,,,,False,1,1,2026-06-15,False,False,2026-06-15,2026-06-12,"10派3.00元(含税,扣税后2.70元)",,,{},none,9.75,2026-06-30 15:00:00,48,2026-07-13 22:18:40,"[{""ASSIGN_PROGRESS"":""实施分配"",""BASIC_EPS"":0.63,""BD10_CLOSE_ADJCHRATE"":-5.28905289,""BONUS_IT_RATIO"":null,""BONUS_RATIO"":null,""BVPS"":6.494432568548,""D10_CLOSE_ADJCHRATE"":16.04938272,""D30_CLOSE_ADJCHRATE"":null,""DIVIDENT_RATIO"":0.038961038961,""EQUITY_RECORD_DATE"":""2026-06-12 00:00:00"",""EX_DIVIDEND_DATE"":""2026-06-15 00:00:00"",""EX_DIVIDEND_DAYS"":29,""IMPL_PLAN_PROFILE"":""10派3.00元(含税,扣税后2.70元)"",""IS_KCB"":null,""IT_RATIO"":null,""MARKET_TYPE"":""069001002001"",""NOTICE_DATE"":""2026-06-06 00:00:00"",""ORG_CODE"":""10005685"",""PER_CAPITAL_RESERVE"":2.041267407643,""PER_UNASSIGN_PROFIT"":1.566688145946,""PLAN_NOTICE_DATE"":""2026-04-28 00:00:00"",""PNP_YOY_RATIO"":101.44434141927,""PRETAX_BONUS_RMB"":3,""PUBLISH_DATE"":""2026-04-28 00:00:00"",""REPORT_DATE"":""2025-12-31 00:00:00"",""SECUCODE"":""000783.SZ"",""SECURITY_CODE"":""000783"",""SECURITY_INNER_CODE"":""1000000416"",""SECURITY_NAME_ABBR"":""长江证券"",""TOTAL_SHARES"":5530072948}]",Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
000962,东方钽业,2026-06-26,87.03,87.03,87.03,87.03,87.03,2026-06-26 15:00:00,48,87.03,0,0,0,0,0,0,0,0,0,0,87.03,428307,2026-06-29 14:31:09,0,0,426533.74,,,,False,1,1,2026-06-23,False,False,2026-06-23,2026-06-22,"10派1.11元(含税,扣税后0.999元)",,,{},none,87.03,2026-06-26 15:00:00,48,2026-07-13 22:18:48,"[{""ASSIGN_PROGRESS"":""实施分配"",""BASIC_EPS"":0.5145,""BD10_CLOSE_ADJCHRATE"":24.10026858,""BONUS_IT_RATIO"":null,""BONUS_RATIO"":null,""BVPS"":5.485205152308,""D10_CLOSE_ADJCHRATE"":0.15762216,""D30_CLOSE_ADJCHRATE"":null,""DIVIDENT_RATIO"":0.001601500505,""EQUITY_RECORD_DATE"":""2026-06-22 00:00:00"",""EX_DIVIDEND_DATE"":""2026-06-23 00:00:00"",""EX_DIVIDEND_DAYS"":21,""IMPL_PLAN_PROFILE"":""10派1.11元(含税,扣税后0.999元)"",""IS_KCB"":null,""IT_RATIO"":null,""MARKET_TYPE"":""069001002001"",""NOTICE_DATE"":""2026-06-15 00:00:00"",""ORG_CODE"":""10005818"",""PER_CAPITAL_RESERVE"":3.74192842988,""PER_UNASSIGN_PROFIT"":0.456127167887,""PLAN_NOTICE_DATE"":""2026-03-31 00:00:00"",""PNP_YOY_RATIO"":21.119939054356,""PRETAX_BONUS_RMB"":1.11,""PUBLISH_DATE"":""2026-03-31 00:00:00"",""REPORT_DATE"":""2025-12-31 00:00:00"",""SECUCODE"":""000962.SZ"",""SECURITY_CODE"":""000962"",""SECURITY_INNER_CODE"":""1000001455"",""SECURITY_NAME_ABBR"":""东方钽业"",""TOTAL_SHARES"":527460166}]",Tencent fqkline day; project adjust=none,Tencent fqkline day adjust=none,Tencent fqkline qfqday adjust=qfq,Sina CN_MarketDataService scale=240,Sina CN_MarketDataService scale=5 adjust=none,Eastmoney push2his klt=101 fqt=0,Sina qfq.js event factor,Eastmoney RPT_SHAREBONUS_DET,2026-07-14T20:03:22.138665+08:00
