code,name,primary_cause,secondary_cause,confidence,changed_model_fields,old_eligible,current_eligible,old_model_domain,current_model_domain,participates_v004a_v002_percentiles,in_any_top15,in_v005_candidate_pool,in_final_top3,old_daily_source,old_minute_source,old_from_cache,old_daily_end,old_minute_end,old_daily_minute_close_max_abs_diff,current_daily_source,current_minute_source,current_from_cache,current_daily_end,current_minute_end,current_daily_minute_close_max_abs_diff,current_daily_cache_path,current_daily_cache_sha256,current_daily_cache_mtime,current_daily_payload_source,current_minute_cache_path,current_minute_cache_sha256,current_minute_cache_mtime,current_minute_payload_source,current_d0_date,current_d0_open,current_d0_high,current_d0_low,current_d0_close,current_d0_volume,current_true_d1_date,current_true_d1_open,current_true_d1_high,current_true_d1_low,current_true_d1_close,current_true_d1_volume,current_true_d1_ma10,current_true_d1_vwap_daily,current_true_d1_minute_vwap,current_true_d1_minute_bars,sample_feature_bar_date,current_signal_bar_open,current_signal_bar_high,current_signal_bar_low,current_signal_bar_close,current_signal_bar_volume,current_signal_bar_ma5,current_signal_bar_ma10,current_signal_bar_vwap_daily,current_signal_minute_vwap,current_signal_minute_first_low,current_signal_minute_last_close,current_signal_minute_last_timestamp,current_signal_minute_bars,candidate_base_price_source,candidate_base_raw_d1_close,current_zone_support_candidates_json,current_low_absorb_min,current_low_absorb_max,current_invalid_price,old_sample_d1_close,current_sample_d1_close,old_sample_d1_low,current_sample_d1_low,old_sample_d1_vwap,current_sample_d1_vwap,old_sample_d1_intraday_vwap,current_sample_d1_intraday_vwap,old_sample_d1_first_5m_low,current_sample_d1_first_5m_low,old_sample_ma10,current_sample_ma10,old_sample_low_absorb_min,current_sample_low_absorb_min,old_sample_low_absorb_max,current_sample_low_absorb_max,old_sample_invalid_price,current_sample_invalid_price,quarantine_present,old_cache_path,old_cache_sha256,old_cache_fetched_at_or_mtime,old_cache_source,old_cache_invalidation_reason,old_reconstructed_signal_open,old_reconstructed_signal_high,old_reconstructed_signal_low,old_reconstructed_signal_close,old_reconstructed_signal_volume,old_reconstructed_signal_ma10,old_reconstructed_signal_vwap,reconstructed_key_zones_match_old,reconstructed_support_score_match_old,reconstructed_entry_width_score_match_old,direct_evidence,inferred_evidence,missing_evidence
000766,通化金马,STALE_OR_PARTIAL_DAY_CACHE,RAW_DAILY_INPUT_CHANGED,HIGH,low_absorb_width_pct|invalid_distance_pct,False,False,False,False,False,False,False,False,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,F:\fenqixuangu\data\cache\daily\000766_daily.pkl,c45a8e3635ef86a8c96ca4b1b3ba4e95acff90107c6045bfe24269f219f7535e,2026-07-14T21:19:38.605329514+08:00,tencent_daily,F:\fenqixuangu\data\cache\minute_5m\000766_5min.pkl,79cdf818b959b2824e3c67335554c0e75c442567af52cad76e19425ac0019da6,2026-07-14T21:38:22.095158577+08:00,sina_5m,2026-06-25,24.25,26.61,23.48,26.61,597935.0,2026-06-26,27.18,27.73,23.95,23.95,518554.0,24.663,24.599682693351127,25.00023539513656,48,2026-06-29,21.56,22.1,21.56,21.56,347161.0,24.104,24.29,21.602669264096484,21.602671130896425,21.56,21.56,2026-06-29 15:00:00,48,key_zones.d1_close,21.56,"{""d1_first_5m_low"":21.56,""d1_intraday_vwap"":21.602671130896425,""d1_low"":21.56,""d1_open"":21.56,""d1_vwap"":21.602669264096484,""ma5"":24.104000000000003,""prev_close"":23.95}",21.56,21.602671130896425,21.56,21.56,21.56,21.56,21.56,21.789710252434038,21.602669264096484,21.602671130896425,21.602671130896425,21.56,21.56,24.29,24.29,21.56,21.56,21.789710252434038,21.602671130896425,21.56,21.56,True,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\000766_daily.pkl,1020ba7636c6005cf00de39efa3325528efc5afdb3f368142912e94331e4f599,2026-06-29T14:44:01.395593+08:00,tencent_daily,stale_intraday_daily_cache,21.56,22.1,21.56,21.56,344181.0,24.29,21.789710252434038,True,True,True,隔离 manifest 证明该 Tencent 6/29 日线缓存形成于15:10前；隔离日线+当前完整48根分钟线按生产公式精确复现旧 key_zones、support_score 和 entry_width_score。,旧样本生成于收盘后但数据质量记录为 cache/cache，说明运行复用了早先形成的盘中日线缓存。,未保留旧运行时刻的完整分钟原始快照；分钟侧仅能由旧/新 key_zones 摘要一致和精确复算间接约束。
002303,美盈森,STALE_OR_PARTIAL_DAY_CACHE,RAW_DAILY_INPUT_CHANGED,HIGH,support_score|d1_low_ma10_pct|d1_close_ma10_pct|d1_close_vwap_pct|candidate_base_price,False,False,False,False,False,False,False,False,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.019999999999999574,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,F:\fenqixuangu\data\cache\daily\002303_daily.pkl,0b3e33eba3f5175605798488e9f2f13b2bc37f2f5e4d5f0037184eb7c0142e3a,2026-07-14T21:19:47.504126549+08:00,tencent_daily,F:\fenqixuangu\data\cache\minute_5m\002303_5min.pkl,71f4ea2fdf086c46a8196f723a9e020a9a429f633a8b5b891660cab984db8144,2026-07-14T21:38:58.940333128+08:00,sina_5m,2026-06-25,3.99,4.25,3.91,4.25,1505168.0,2026-06-26,4.2,4.56,4.03,4.13,1789318.0,3.71,4.150591440895917,4.218409309168455,48,2026-06-29,4.06,4.33,3.99,4.26,1074840.0,4.018,3.8199999999999994,4.176112529883517,4.176114122871116,3.99,4.26,2026-06-29 15:00:00,48,key_zones.d1_close,4.26,"{""d1_first_5m_low"":3.99,""d1_intraday_vwap"":4.176114122871116,""d1_low"":3.99,""d1_open"":4.06,""d1_vwap"":4.176112529883517,""ma5"":4.018,""prev_close"":4.13}",3.99,4.176114122871116,3.99,4.24,4.26,3.99,3.99,5.193318614460271,4.176112529883517,4.176114122871116,4.176114122871116,3.99,3.99,3.818,3.8199999999999994,3.99,3.99,4.176114122871116,4.176114122871116,3.99,3.99,True,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002303_daily.pkl,e18a3f49c46b3f4c1aa8c2e8d3e7b9c30ddd086ce1222dc493707d551043b614,2026-06-29T14:13:01.920830+08:00,tencent_daily,stale_intraday_daily_cache,4.06,4.33,3.99,4.24,864313.0,3.818,5.193318614460271,True,True,True,隔离 manifest 证明该 Tencent 6/29 日线缓存形成于15:10前；隔离日线+当前完整48根分钟线按生产公式精确复现旧 key_zones、support_score 和 entry_width_score。,旧样本生成于收盘后但数据质量记录为 cache/cache，说明运行复用了早先形成的盘中日线缓存。,未保留旧运行时刻的完整分钟原始快照；分钟侧仅能由旧/新 key_zones 摘要一致和精确复算间接约束。
002387,维信诺,STALE_OR_PARTIAL_DAY_CACHE,RAW_DAILY_INPUT_CHANGED,HIGH,support_score|d1_low_ma10_pct|d1_close_ma10_pct|d1_close_vwap_pct|candidate_base_price,False,False,False,False,False,False,False,False,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.009999999999999787,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,F:\fenqixuangu\data\cache\daily\002387_daily.pkl,f48e127ab03d641e106ea9660253454a4e04027d73ed977d30af7772825bc0fa,2026-07-14T21:19:48.389717340+08:00,tencent_daily,F:\fenqixuangu\data\cache\minute_5m\002387_5min.pkl,678eb91b5b1b7e9c2687cc67b209e2049def2891964b14279c943bd81ee3f6f8,2026-07-14T21:39:04.256295681+08:00,sina_5m,2026-06-25,8.36,8.97,8.24,8.97,412349.0,2026-06-26,8.78,9.19,8.66,8.84,850967.0,8.449000000000002,8.874146529132153,8.954769094416415,48,2026-06-29,8.78,9.15,8.53,8.66,473858.0,8.58,8.524000000000001,8.76175213914084,8.761746776972078,8.72,8.66,2026-06-29 15:00:00,48,key_zones.d1_close,8.66,"{""d1_first_5m_low"":8.72,""d1_intraday_vwap"":8.761746776972078,""d1_low"":8.53,""d1_open"":8.78,""d1_vwap"":8.76175213914084,""ma5"":8.58,""prev_close"":8.84}",8.53,8.84,8.53,8.67,8.66,8.53,8.53,10.901159071548413,8.76175213914084,8.761746776972078,8.761746776972078,8.72,8.72,8.525,8.524,8.53,8.53,8.84,8.84,8.53,8.53,True,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002387_daily.pkl,827cf59ba9623bde7be0eecde67874d639e1b6adacbf9ff6c50fa11b4ebc0443,2026-06-29T13:32:24.839686+08:00,tencent_daily,stale_intraday_daily_cache,8.78,9.15,8.53,8.67,380861.0,8.525,10.901159071548413,True,True,True,隔离 manifest 证明该 Tencent 6/29 日线缓存形成于15:10前；隔离日线+当前完整48根分钟线按生产公式精确复现旧 key_zones、support_score 和 entry_width_score。,旧样本生成于收盘后但数据质量记录为 cache/cache，说明运行复用了早先形成的盘中日线缓存。,未保留旧运行时刻的完整分钟原始快照；分钟侧仅能由旧/新 key_zones 摘要一致和精确复算间接约束。
002928,华夏航空,STALE_OR_PARTIAL_DAY_CACHE,RAW_DAILY_INPUT_CHANGED,HIGH,d1_low_ma10_pct|d1_close_ma10_pct|d1_close_vwap_pct|candidate_base_price,False,False,False,False,False,False,False,False,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.010000000000000675,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,F:\fenqixuangu\data\cache\daily\002928_daily.pkl,6d4cfc5d78764a823d39ce6a3cbd78454bd22de0f40ff1d527e0ddfb59999f8a,2026-07-14T21:19:52.764403343+08:00,tencent_daily,F:\fenqixuangu\data\cache\minute_5m\002928_5min.pkl,63724abf6877b639d1819b3f7a9af63489f8eaada10e4f9c97243dcf99fe3dde,2026-07-14T21:39:40.270283222+08:00,sina_5m,2026-06-25,7.31,7.9,7.3,7.9,687427.0,2026-06-26,7.77,7.96,7.64,7.64,570286.0,7.278999999999999,7.709226945653584,7.7627554736814925,48,2026-06-29,7.64,7.7,7.3,7.44,429797.0,7.422,7.322999999999999,7.457238569492109,7.4572411720839735,7.42,7.44,2026-06-29 15:00:00,48,key_zones.d1_close,7.44,"{""d1_first_5m_low"":7.42,""d1_intraday_vwap"":7.4572411720839735,""d1_low"":7.3,""d1_open"":7.64,""d1_vwap"":7.457238569492109,""ma5"":7.422,""prev_close"":7.64}",7.3,7.64,7.3,7.43,7.44,7.3,7.3,8.14618136437852,7.457238569492109,7.4572411720839735,7.4572411720839735,7.42,7.42,7.322,7.323,7.3,7.3,7.64,7.64,7.3,7.3,True,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\002928_daily.pkl,3d852b38a1db10538a08e2c750fa29368e018e7a9f0a44ebc292b62a4111a17a,2026-06-29T14:44:09.945068+08:00,tencent_daily,stale_intraday_daily_cache,7.64,7.7,7.3,7.43,393448.0,7.322,8.14618136437852,True,True,True,隔离 manifest 证明该 Tencent 6/29 日线缓存形成于15:10前；隔离日线+当前完整48根分钟线按生产公式精确复现旧 key_zones、support_score 和 entry_width_score。,旧样本生成于收盘后但数据质量记录为 cache/cache，说明运行复用了早先形成的盘中日线缓存。,未保留旧运行时刻的完整分钟原始快照；分钟侧仅能由旧/新 key_zones 摘要一致和精确复算间接约束。
600152,维科技术,STALE_OR_PARTIAL_DAY_CACHE,RAW_DAILY_INPUT_CHANGED,HIGH,total_score|support_score|entry_width_score|d1_low_ma10_pct|d1_close_ma10_pct|d1_close_vwap_pct|low_absorb_width_pct|invalid_distance_pct|candidate_base_price,False,False,False,False,False,False,False,False,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.019999999999999574,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,F:\fenqixuangu\data\cache\daily\600152_daily.pkl,2f5fbeac923d55148f2d67977fb227fa7a9839b7174b6dc601d89ba252277cfc,2026-07-14T21:19:57.621380806+08:00,tencent_daily,F:\fenqixuangu\data\cache\minute_5m\600152_5min.pkl,dcae64904d569088825470f5a00265dd26ea3a9c1042b2f82a554522fbef8226,2026-07-14T21:39:55.482470989+08:00,sina_5m,2026-06-25,10.74,11.81,10.47,11.81,438980.0,2026-06-26,11.81,11.82,10.63,10.63,570898.0,10.964,10.918617416105855,10.95294000989371,48,2026-06-29,10.39,10.4,9.6,9.69,630562.0,10.741999999999999,10.883000000000001,9.491260048293428,9.79815774369689,9.99,9.69,2026-06-29 15:00:00,48,key_zones.d1_close,9.69,"{""d1_first_5m_low"":9.99,""d1_intraday_vwap"":9.79815774369689,""d1_low"":9.6,""d1_open"":10.39,""d1_vwap"":9.491260048293428,""ma5"":10.741999999999999,""prev_close"":10.63}",9.491260048293428,9.99,9.491260048293428,9.67,9.69,9.6,9.6,10.106945737688086,9.491260048293428,9.79815774369689,9.79815774369689,9.99,9.99,10.881,10.883000000000001,9.6,9.491260048293428,9.99,9.99,9.6,9.491260048293428,True,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600152_daily.pkl,d0673dd61cedb6997bf51217b29edcdfa1dda2d7149e674d65a0015cbf965428,2026-06-29T14:44:12.511787+08:00,tencent_daily,stale_intraday_daily_cache,10.39,10.4,9.6,9.67,592150.0,10.881,10.106945737688086,True,True,True,隔离 manifest 证明该 Tencent 6/29 日线缓存形成于15:10前；隔离日线+当前完整48根分钟线按生产公式精确复现旧 key_zones、support_score 和 entry_width_score。,旧样本生成于收盘后但数据质量记录为 cache/cache，说明运行复用了早先形成的盘中日线缓存。,未保留旧运行时刻的完整分钟原始快照；分钟侧仅能由旧/新 key_zones 摘要一致和精确复算间接约束。
600500,中化国际,STALE_OR_PARTIAL_DAY_CACHE,RAW_DAILY_INPUT_CHANGED,HIGH,support_score,False,False,False,False,False,False,False,False,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,F:\fenqixuangu\data\cache\daily\600500_daily.pkl,1feb762c751708ae23b80cbd700580a474965826b0e55596882981ef0746ad5b,2026-07-14T21:20:03.543848276+08:00,tencent_daily,F:\fenqixuangu\data\cache\minute_5m\600500_5min.pkl,95d133b3a5e4fa2523f88f49ce0d5beb68a0213c5d27aa0406985f4321843f95,2026-07-14T21:40:26.521199942+08:00,sina_5m,2026-06-25,7.81,8.64,7.7,8.64,2744230.0,2026-06-26,8.72,9.5,8.65,8.92,4025320.0,8.547,9.022612463878648,9.031101697679608,48,2026-06-29,8.82,8.99,8.03,8.03,2253227.0,8.296,8.556999999999999,7.744982417300165,8.293174286377491,8.43,8.03,2026-06-29 15:00:00,48,key_zones.d1_close,8.03,"{""d1_first_5m_low"":8.43,""d1_intraday_vwap"":8.293174286377491,""d1_low"":8.03,""d1_open"":8.82,""d1_vwap"":7.744982417300165,""ma5"":8.296,""prev_close"":8.92}",8.03,8.43,8.03,8.03,8.03,8.03,8.03,9.40509138595402,7.744982417300165,8.293174286377491,8.293174286377491,8.43,8.43,8.556999999999999,8.556999999999999,8.03,8.03,8.43,8.43,8.03,8.03,True,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600500_daily.pkl,61fe992790d9b08d75e97f9d2ec0577f27a31e93a1a2e9a41b8e5c5faba09099,2026-06-29T13:40:49.254181+08:00,tencent_daily,stale_intraday_daily_cache,8.82,8.99,8.03,8.03,1855506.0,8.556999999999999,9.40509138595402,True,True,True,隔离 manifest 证明该 Tencent 6/29 日线缓存形成于15:10前；隔离日线+当前完整48根分钟线按生产公式精确复现旧 key_zones、support_score 和 entry_width_score。,旧样本生成于收盘后但数据质量记录为 cache/cache，说明运行复用了早先形成的盘中日线缓存。,未保留旧运行时刻的完整分钟原始快照；分钟侧仅能由旧/新 key_zones 摘要一致和精确复算间接约束。
600668,尖峰集团,STALE_OR_PARTIAL_DAY_CACHE,RAW_DAILY_INPUT_CHANGED,HIGH,d1_low_ma10_pct|d1_close_ma10_pct|d1_close_vwap_pct|candidate_base_price,False,False,False,False,False,False,False,False,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.009999999999999787,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,F:\fenqixuangu\data\cache\daily\600668_daily.pkl,54bb801b6a95ac93ad957eda2b14e7ad4aea9295b3823d5f456a269de7770e1d,2026-07-14T21:20:07.108375549+08:00,tencent_daily,F:\fenqixuangu\data\cache\minute_5m\600668_5min.pkl,64759172ecef9ae4fa5d3fd7427bea34fee9efd929218989b34798967e3ae2ba,2026-07-14T21:40:35.415938854+08:00,sina_5m,2026-06-25,7.0,7.68,6.83,7.68,221232.0,2026-06-26,7.72,7.97,7.26,7.35,221607.0,7.32,7.558696784835317,7.561863385719742,48,2026-06-29,7.32,7.71,6.99,7.65,164068.0,7.362,7.335000000000001,7.134784836567765,7.333893050703477,7.02,7.65,2026-06-29 15:00:00,48,key_zones.d1_close,7.65,"{""d1_first_5m_low"":7.02,""d1_intraday_vwap"":7.333893050703477,""d1_low"":6.99,""d1_open"":7.32,""d1_vwap"":7.134784836567765,""ma5"":7.362,""prev_close"":7.35}",6.99,7.333893050703477,6.99,7.66,7.65,6.99,6.99,7.56747418054523,7.134784836567765,7.333893050703477,7.333893050703477,7.02,7.02,7.336,7.334999999999999,6.99,6.99,7.333893050703477,7.333893050703477,6.99,6.99,True,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\600668_daily.pkl,d13ecc6a7196cc77130d418422a88630e0248f5be7073a8cf151f20c8be4577d,2026-06-29T14:44:15.126687+08:00,tencent_daily,stale_intraday_daily_cache,7.32,7.71,6.99,7.66,154687.0,7.336,7.56747418054523,True,True,True,隔离 manifest 证明该 Tencent 6/29 日线缓存形成于15:10前；隔离日线+当前完整48根分钟线按生产公式精确复现旧 key_zones、support_score 和 entry_width_score。,旧样本生成于收盘后但数据质量记录为 cache/cache，说明运行复用了早先形成的盘中日线缓存。,未保留旧运行时刻的完整分钟原始快照；分钟侧仅能由旧/新 key_zones 摘要一致和精确复算间接约束。
601798,蓝科高新,STALE_OR_PARTIAL_DAY_CACHE,RAW_DAILY_INPUT_CHANGED,HIGH,support_score|d1_low_ma10_pct|d1_close_ma10_pct|d1_close_vwap_pct|low_absorb_width_pct|invalid_distance_pct|candidate_base_price,False,False,False,False,False,False,False,False,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.019999999999999574,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,F:\fenqixuangu\data\cache\daily\601798_daily.pkl,1ace8359fc1a9d92fca4bccdd9212c49cdd2d3ae8e77effaff6d75a20cfb97bc,2026-07-14T21:20:10.482058048+08:00,tencent_daily,F:\fenqixuangu\data\cache\minute_5m\601798_5min.pkl,46c3005a10a7163aad745936d0f1c4e7249ff63bc278e9158a5f111f7af2c276,2026-07-14T21:40:46.159065485+08:00,sina_5m,2026-06-25,7.12,7.83,7.1,7.83,227150.0,2026-06-26,7.9,8.1,7.61,7.61,257859.0,7.340999999999999,7.818491065880966,7.842464111174523,48,2026-06-29,7.69,7.81,7.2,7.38,156922.0,7.453999999999999,7.3469999999999995,7.206648463007099,7.405468506191514,7.61,7.38,2026-06-29 15:00:00,48,key_zones.d1_close,7.38,"{""d1_first_5m_low"":7.61,""d1_intraday_vwap"":7.405468506191514,""d1_low"":7.2,""d1_open"":7.69,""d1_vwap"":7.206648463007099,""ma5"":7.453999999999999,""prev_close"":7.61}",7.2,7.453999999999999,7.2,7.36,7.38,7.2,7.2,7.806236600735837,7.206648463007099,7.405468506191514,7.405468506191514,7.61,7.61,7.345000000000001,7.3469999999999995,7.2,7.2,7.45,7.453999999999999,7.2,7.2,True,F:\fenqixuangu\reports\diagnostics\cache_quarantine_2026-06-29\601798_daily.pkl,a9d194af58e03cc009a683810084444a172b72cbfef0b50648d7336597b45262,2026-06-29T14:44:16.510230+08:00,tencent_daily,stale_intraday_daily_cache,7.69,7.81,7.2,7.36,144869.0,7.344999999999999,7.806236600735837,True,True,True,隔离 manifest 证明该 Tencent 6/29 日线缓存形成于15:10前；隔离日线+当前完整48根分钟线按生产公式精确复现旧 key_zones、support_score 和 entry_width_score。,旧样本生成于收盘后但数据质量记录为 cache/cache，说明运行复用了早先形成的盘中日线缓存。,未保留旧运行时刻的完整分钟原始快照；分钟侧仅能由旧/新 key_zones 摘要一致和精确复算间接约束。
603065,宿迁联盛,UNRESOLVED_NO_OLD_RAW_EVIDENCE,RAW_DAILY_SIDE_CHANGE_INFERRED,LOW,support_score,False,False,False,False,False,False,False,False,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,F:\fenqixuangu\data\cache\daily\603065_daily.pkl,8d16ce84fb1bd48937ee70bd8def0eea666ef6c8c2121473f9aba98c436b63d2,2026-07-13T13:17:22.711570024+08:00,tencent_daily,F:\fenqixuangu\data\cache\minute_5m\603065_5min.pkl,286c41d1f980e96baf757e897ebd2ff103a34185fd97e3c0c333f3e6bdca5bfe,2026-07-14T21:40:52.595743656+08:00,sina_5m,2026-06-25,18.5,20.13,18.5,20.13,368631.0,2026-06-26,20.61,22.11,19.98,21.85,615780.0,16.724,21.379585155079738,21.39942179146414,48,2026-06-29,20.81,21.66,19.67,19.67,416466.0,19.57,17.331,19.130839626560153,20.381270240116137,20.06,19.67,2026-06-29 15:00:00,48,key_zones.d1_close,19.67,"{""d1_first_5m_low"":20.06,""d1_intraday_vwap"":20.381270240116137,""d1_low"":19.67,""d1_open"":20.81,""d1_vwap"":19.130839626560153,""ma5"":19.57,""prev_close"":21.85}",19.57,20.381270240116137,19.57,19.67,19.67,19.67,19.67,19.688400126312175,19.130839626560153,20.381270240116137,20.381270240116137,20.06,20.06,17.331,17.331,19.57,19.57,20.381270240116137,20.381270240116137,19.57,19.57,False,,,,,,,,,,,,,False,False,False,旧/新样本均记录完整 key_zones；分钟VWAP与首5分钟低点一致，而日VWAP发生变化。,相关公式 Git blob 未变，差异方向与日线或日线-分钟成交额合并输入刷新一致。,旧日线和旧分钟 raw/cache 快照均未保留，且不在6/29隔离 manifest 中；无法直接证明具体缓存形成时点或单一底层字段。
603313,梦百合,UNRESOLVED_NO_OLD_RAW_EVIDENCE,RAW_DAILY_SIDE_CHANGE_INFERRED,MEDIUM,support_score|d1_low_ma10_pct|d1_close_ma10_pct|d1_close_vwap_pct|candidate_base_price,False,False,False,False,False,False,False,False,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.019999999999999574,cache,cache,True,2026-06-29 00:00:00,2026-06-29 15:00:00,0.0,F:\fenqixuangu\data\cache\daily\603313_daily.pkl,173c58bd6e31b10a979a444f7e1313a2ce01b93413437a3377aba1882a25a66b,2026-07-13T13:17:41.950872898+08:00,tencent_daily,F:\fenqixuangu\data\cache\minute_5m\603313_5min.pkl,e5aebb5ace238afc9c76cb49bb8c5de5a283d0e604778beb5e47b275a3c74a41,2026-07-14T21:41:03.631611347+08:00,sina_5m,2026-06-25,5.12,5.59,5.12,5.59,140189.0,2026-06-26,5.67,6.08,5.64,5.86,511426.0,5.356999999999999,5.86401911700813,5.868198360708922,48,2026-06-29,5.8,6.32,5.71,6.22,452109.0,5.62,5.448,5.832753342090071,6.042442920612907,5.73,6.22,2026-06-29 15:00:00,48,key_zones.d1_close,6.22,"{""d1_first_5m_low"":5.73,""d1_intraday_vwap"":6.042442920612907,""d1_low"":5.71,""d1_open"":5.8,""d1_vwap"":5.832753342090071,""ma5"":5.62,""prev_close"":5.86}",5.71,5.86,5.71,6.2,6.22,5.71,5.71,6.51293127008617,5.832753342090071,6.042442920612907,6.042442920612907,5.73,5.73,5.446,5.4479999999999995,5.71,5.71,5.86,5.86,5.71,5.71,False,,,,,,,,,,,,,False,False,False,旧/新样本均记录完整 key_zones；分钟VWAP与首5分钟低点一致，而日VWAP发生变化，且收盘/MA10也变化。,相关公式 Git blob 未变，差异方向与日线或日线-分钟成交额合并输入刷新一致。,旧日线和旧分钟 raw/cache 快照均未保留，且不在6/29隔离 manifest 中；无法直接证明具体缓存形成时点或单一底层字段。
