scope,signal_date,feature,group_a_count,group_b_count,group_a_mean,group_b_mean,mean_difference_a_minus_b,group_a_median,group_b_median,median_difference_a_minus_b,group_a_q25,group_b_q25,q25_difference_a_minus_b,group_a_q75,group_b_q75,q75_difference_a_minus_b,daily_comparable_dates,daily_nonzero_direction_dates,daily_a_greater_than_b_rate,daily_direction_consistency_rate,persistent_extreme_signal_bool
daily,2026-06-26,total_score,4,3,61.5,60.333333333333336,1.1666666666666643,62.0,61.75,0.25,60.25,59.375,0.875,63.25,62.0,1.25,,,,,
daily,2026-06-29,total_score,5,2,57.7,51.0,6.700000000000003,60.25,51.0,9.25,52.75,48.375,4.375,60.75,53.625,7.125,,,,,
daily,2026-06-30,total_score,3,1,53.916666666666664,48.25,5.666666666666664,54.25,48.25,6.0,52.5,48.25,4.25,55.5,48.25,7.25,,,,,
daily,2026-07-01,total_score,3,5,62.583333333333336,60.25,2.3333333333333357,60.75,62.25,-1.5,60.75,59.75,1.0,63.5,66.25,-2.75,,,,,
daily,2026-07-02,total_score,5,2,60.55,59.5,1.0499999999999972,60.75,59.5,1.25,58.75,56.875,1.875,62.25,62.125,0.125,,,,,
daily,2026-07-03,total_score,4,2,57.875,53.75,4.125,56.25,53.75,2.5,55.625,53.0,2.625,58.5,54.5,4.0,,,,,
daily,2026-07-06,total_score,6,0,58.208333333333336,,,58.5,,,56.0,,,60.25,,,,,,,
daily,2026-07-07,total_score,5,0,60.0,,,59.75,,,57.5,,,62.25,,,,,,,
daily,2026-07-08,total_score,4,3,53.875,51.75,2.125,54.0,52.75,1.25,53.125,49.25,3.875,54.75,54.75,0.0,,,,,
overall,ALL,total_score,39,18,58.53846153846154,56.34722222222222,2.1912393162393187,58.75,56.5,2.25,55.75,52.375,3.375,61.25,62.125,-0.875,7.0,7.0,1.0,1.0,False
daily,2026-06-26,trend_hold_score,4,3,95.0,93.33333333333333,1.6666666666666714,95.0,95.0,0.0,95.0,92.5,2.5,95.0,95.0,0.0,,,,,
daily,2026-06-29,trend_hold_score,5,2,94.0,75.0,19.0,95.0,75.0,20.0,95.0,75.0,20.0,95.0,75.0,20.0,,,,,
daily,2026-06-30,trend_hold_score,3,1,88.33333333333333,75.0,13.333333333333329,95.0,75.0,20.0,85.0,75.0,10.0,95.0,75.0,20.0,,,,,
daily,2026-07-01,trend_hold_score,3,5,95.0,91.0,4.0,95.0,95.0,0.0,95.0,95.0,0.0,95.0,95.0,0.0,,,,,
daily,2026-07-02,trend_hold_score,5,2,95.0,95.0,0.0,95.0,95.0,0.0,95.0,95.0,0.0,95.0,95.0,0.0,,,,,
daily,2026-07-03,trend_hold_score,4,2,87.5,85.0,2.5,95.0,85.0,10.0,87.5,80.0,7.5,95.0,90.0,5.0,,,,,
daily,2026-07-06,trend_hold_score,6,0,87.5,,,92.5,,,78.75,,,95.0,,,,,,,
daily,2026-07-07,trend_hold_score,5,0,90.0,,,95.0,,,90.0,,,95.0,,,,,,,
daily,2026-07-08,trend_hold_score,4,3,80.0,75.0,5.0,75.0,75.0,0.0,75.0,75.0,0.0,80.0,75.0,5.0,,,,,
overall,ALL,trend_hold_score,39,18,90.25641025641026,85.83333333333333,4.423076923076934,95.0,92.5,2.5,90.0,75.0,15.0,95.0,95.0,0.0,7.0,6.0,0.8571428571428571,1.0,False
daily,2026-06-26,active_money_score,4,3,79.5,76.66666666666667,2.8333333333333286,79.0,78.0,1.0,76.0,75.0,1.0,82.5,79.0,3.5,,,,,
daily,2026-06-29,active_money_score,5,2,88.8,87.0,1.7999999999999972,84.0,87.0,-3.0,84.0,80.5,3.5,92.0,93.5,-1.5,,,,,
daily,2026-06-30,active_money_score,3,1,84.66666666666667,92.0,-7.333333333333329,92.0,92.0,0.0,81.0,92.0,-11.0,92.0,92.0,0.0,,,,,
daily,2026-07-01,active_money_score,3,5,79.33333333333333,70.4,8.933333333333323,78.0,66.0,12.0,77.0,62.0,15.0,81.0,70.0,11.0,,,,,
daily,2026-07-02,active_money_score,5,2,70.8,71.0,-0.20000000000000284,82.0,71.0,11.0,60.0,60.5,-0.5,84.0,81.5,2.5,,,,,
daily,2026-07-03,active_money_score,4,2,83.5,82.0,1.5,81.0,82.0,-1.0,73.5,76.0,-2.5,91.0,88.0,3.0,,,,,
daily,2026-07-06,active_money_score,6,0,76.66666666666667,,,76.0,,,70.5,,,80.0,,,,,,,
daily,2026-07-07,active_money_score,5,0,74.4,,,78.0,,,76.0,,,80.0,,,,,,,
daily,2026-07-08,active_money_score,4,3,83.0,84.66666666666667,-1.6666666666666714,80.0,84.0,-4.0,78.0,77.0,1.0,85.0,92.0,-7.0,,,,,
overall,ALL,active_money_score,39,18,79.64102564102564,78.22222222222223,1.4188034188034067,80.0,76.0,4.0,76.0,70.0,6.0,84.0,92.0,-8.0,7.0,7.0,0.5714285714285714,0.5714285714285714,False
daily,2026-06-26,d1_low_ma10_pct,4,3,15.996075,17.386166666666664,-1.390091666666665,16.3415,16.1074,0.23410000000000153,15.013650000000002,14.965049999999998,0.04860000000000397,17.323925,19.1679,-1.8439750000000004,,,,,
daily,2026-06-29,d1_low_ma10_pct,5,2,15.923079999999999,8.865,7.058079999999999,14.7216,8.865,5.8566,11.4425,8.3003,3.1422000000000008,17.8541,9.4297,8.424399999999999,,,,,
daily,2026-06-30,d1_low_ma10_pct,3,1,14.520833333333334,8.872,5.648833333333334,14.3884,8.872,5.516400000000001,11.92195,8.872,3.049950000000001,17.0535,8.872,8.1815,,,,,
daily,2026-07-01,d1_low_ma10_pct,3,5,15.115,12.8893,2.2257,14.2227,13.9754,0.2472999999999992,13.152249999999999,12.5521,0.6001499999999993,16.6316,15.2933,1.3382999999999985,,,,,
