signal_date,code,cohort,selection_rank,selection_score,name,d2_trade_date,d3_trade_date,d2_open,d2_high,d2_low,d2_close,d3_open,d3_high,d3_low,d3_close,d2_price_source,d3_price_source,d2_minute_source,d3_minute_source,d2_adjust,d3_adjust,d2_bar_count,d3_bar_count,d2_first_bar_time,d2_last_bar_time,d3_first_bar_time,d3_last_bar_time,d2_high_time,d2_low_time,d3_high_time,d3_low_time,d2_open_to_high_pct,d2_open_to_low_pct,d2_open_to_close_pct,d2_close_to_d3_open_pct,d2_open_to_d3_open_pct,d3_open_to_high_pct,d3_open_to_low_pct,d3_open_to_close_pct,d2_open_to_d3_high_pct,d2_open_to_d3_close_pct,mfe_pct,mae_pct,mfe_time,mae_time,mfe_trade_date,mae_trade_date,d2_high_to_close_drawdown_pct,d2_high_to_close_giveback_pct,d3_high_to_close_drawdown_pct,d3_high_to_close_giveback_pct,d3_high_to_close_return_giveback_pp,mfe_to_d3_close_giveback_pp,d3_hold_increment_vs_d2_close_pp,d2_intraday_log_return_pct,second_overnight_log_return_pct,d3_intraday_log_return_pct,d2_close_profitable,d2_close_weak_or_nonpositive,d3_hold_improved_close,frozen_target7_d2open_d3high,frozen_d2_open_price,frozen_d3_high_price,frozen_d3_close_price,frozen_d2open_d3high_return_pct,frozen_d2open_d3close_return_pct,d3_high_profit_giveback_rate_pct,mfe_profit_giveback_rate_pct,cache_vs_frozen_d2_open_abs_diff,cache_vs_frozen_d3_high_abs_diff,cache_vs_frozen_d3_close_abs_diff,cache_matches_frozen_prices,recomputed_target7_d2open_d3high,target7_reconciles,first_touch_plus_3_time,first_touch_minus_3_time,first_trigger_3_order,d2_reached_plus_3,d2_reached_minus_3,horizon_reached_plus_3,horizon_reached_minus_3,first_touch_plus_5_time,first_touch_minus_5_time,first_trigger_5_order,d2_reached_plus_5,d2_reached_minus_5,horizon_reached_plus_5,horizon_reached_minus_5,first_touch_plus_7_time,first_touch_minus_7_time,first_trigger_7_order,d2_reached_plus_7,d2_reached_minus_7,horizon_reached_plus_7,horizon_reached_minus_7,largest_negative_leg,also_in_v004a_top3,also_in_v002_top3,target7_failed,target7_failed_but_d2_plus_3,target7_failed_but_d2_plus_5,target7_failed_but_d2_plus_7
2026-06-26,600888,final_top3,1,0.5047154471544715,新疆众和,2026-06-29,2026-06-30,16.23,16.76,14.69,14.96,15.35,16.31,15.01,15.89,minute_5m,minute_5m,sina_5m,sina_5m,none,none,48,48,2026-06-29 09:35:00,2026-06-29 15:00:00,2026-06-30 09:35:00,2026-06-30 15:00:00,2026-06-29 09:50:00,2026-06-29 13:15:00,2026-06-30 10:50:00,2026-06-30 09:35:00,3.265557609365377,-9.488601355514481,-7.825015403573621,2.6069518716577367,-5.422057917436851,6.25407166123777,-2.2149837133550454,3.517915309446251,0.49291435613061374,-2.0948860135551417,3.265557609365377,-9.488601355514481,2026-06-29 09:50:00,2026-06-29 13:15:00,2026-06-29,2026-06-29,-10.739856801909308,10.739856801909308,-2.5751072961373245,2.5751072961373245,2.5878003696857554,5.360443622920519,5.7301293900184795,-8.148140898016857,2.5735501486874806,3.457450651541842,False,True,True,False,16.23,16.31,15.89,0.49291435613061374,-2.0948860135551417,525.0000000000067,164.15094339622624,0.0,0.0,0.0,True,False,True,2026-06-29 09:50:00,2026-06-29 10:10:00,PROFIT_FIRST,True,True,True,True,,2026-06-29 10:25:00,LOSS_FIRST,False,True,False,True,,2026-06-29 10:35:00,LOSS_FIRST,False,True,False,True,D2_INTRADAY,False,False,True,True,False,False
2026-06-26,603067,final_top3,2,0.5047154471544715,振华股份,2026-06-29,2026-06-30,42.31,44.58,41.27,42.08,41.32,46.29,41.27,46.29,minute_5m,minute_5m,sina_5m,sina_5m,none,none,48,48,2026-06-29 09:35:00,2026-06-29 15:00:00,2026-06-30 09:35:00,2026-06-30 15:00:00,2026-06-29 09:50:00,2026-06-29 10:15:00,2026-06-30 11:20:00,2026-06-30 09:35:00,5.365161900259974,-2.458047742850389,-0.5436067123611554,-1.8060836501901045,-2.339872370597973,12.028073572120036,-0.1210067763794731,12.028073572120036,9.406759631292827,9.406759631292827,9.406759631292827,-2.458047742850389,2026-06-30 11:20:00,2026-06-29 10:15:00,2026-06-30,2026-06-29,-5.607895917451778,5.607895917451778,0.0,-0.0,0.0,0.0,9.950366343653982,-0.5450896302521803,-1.8225924178016526,11.357931079174133,False,True,True,True,42.31,46.29,46.29,9.406759631292827,9.406759631292827,0.0,0.0,0.0,0.0,0.0,True,True,True,2026-06-29 09:40:00,,PROFIT_FIRST,True,False,True,False,2026-06-29 09:50:00,,PROFIT_FIRST,True,False,True,False,2026-06-30 10:20:00,,PROFIT_FIRST,False,False,True,False,,False,False,False,False,False,False
2026-06-26,002654,final_top3,3,0.5047154471544715,万润科技,2026-06-29,2026-06-30,20.93,21.27,19.38,20.24,19.71,22.26,19.4,22.26,minute_5m,minute_5m,sina_5m,sina_5m,none,none,48,48,2026-06-29 09:35:00,2026-06-29 15:00:00,2026-06-30 09:35:00,2026-06-30 15:00:00,2026-06-29 09:40:00,2026-06-29 10:40:00,2026-06-30 14:55:00,2026-06-30 09:35:00,1.6244624940277008,-7.405637840420454,-3.296703296703307,-2.6185770750988047,-5.828953655040603,12.937595129375957,-1.57280568239474,12.937595129375957,6.354515050167242,6.354515050167242,6.354515050167242,-7.405637840420454,2026-06-30 14:55:00,2026-06-29 10:40:00,2026-06-30,2026-06-29,-4.842501175364367,4.842501175364367,0.0,-0.0,0.0,0.0,9.65121834687055,-3.3522692038643678,-2.653472325463586,12.166522468276998,False,True,True,False,20.93,22.26,22.26,6.354515050167242,6.354515050167242,0.0,0.0,0.0,0.0,0.0,True,False,True,2026-06-30 14:00:00,2026-06-29 10:05:00,LOSS_FIRST,False,True,True,True,2026-06-30 14:55:00,2026-06-29 10:15:00,LOSS_FIRST,False,True,True,True,,2026-06-29 10:40:00,LOSS_FIRST,False,True,False,True,,False,False,True,False,False,False
2026-06-29,603698,final_top3,1,0.48455284552845534,航天工程,2026-06-30,2026-07-01,39.87,40.84,37.5,38.56,38.6,41.1,38.6,39.5,minute_5m,minute_5m,sina_5m,sina_5m,none,none,48,48,2026-06-30 09:35:00,2026-06-30 15:00:00,2026-07-01 09:35:00,2026-07-01 15:00:00,2026-06-30 10:00:00,2026-06-30 09:35:00,2026-07-01 10:05:00,2026-07-01 09:35:00,2.4329069475796494,-5.944319036869816,-3.285678454978669,0.10373443983402453,-3.1853523952846685,6.476683937823835,0.0,2.3316062176165664,3.0850263355906904,-0.9280160521695446,3.0850263355906904,-5.944319036869816,2026-07-01 10:05:00,2026-06-30 09:35:00,2026-07-01,2026-06-30,-5.582761998041141,5.582761998041141,-3.8929440389294467,3.8929440389294467,4.013042387760235,4.013042387760235,2.357662402809124,-3.3408691650918665,0.10368067284403085,2.304839543629087,False,True,True,False,39.87,41.1,39.5,3.0850263355906904,-0.9280160521695446,130.08130081300772,130.08130081300772,0.0,0.0,0.0,True,False,True,2026-07-01 10:05:00,2026-06-30 09:35:00,LOSS_FIRST,False,True,True,True,,2026-06-30 09:35:00,LOSS_FIRST,False,True,False,True,,,NEITHER,False,False,False,False,D2_INTRADAY,False,False,True,False,False,False
2026-06-29,002965,final_top3,2,0.48455284552845534,祥鑫科技,2026-06-30,2026-07-01,49.52,52.18,47.95,50.95,53.5,54.51,50.66,50.92,minute_5m,minute_5m,sina_5m,sina_5m,none,none,48,48,2026-06-30 09:35:00,2026-06-30 15:00:00,2026-07-01 09:35:00,2026-07-01 15:00:00,2026-06-30 11:30:00,2026-06-30 09:40:00,2026-07-01 09:35:00,2026-07-01 14:45:00,5.371567043618741,-3.1704361873990283,2.887722132471726,5.004906771344442,8.03715670436187,1.88785046728972,-5.30841121495328,-4.822429906542059,10.07673667205169,2.8271405492730217,10.07673667205169,-3.1704361873990283,2026-07-01 09:35:00,2026-06-30 09:40:00,2026-07-01,2026-06-30,-2.3572249904177833,2.3572249904177833,-6.58594753256283,6.58594753256283,7.249596122778668,7.249596122778668,-0.060581583198704436,2.8468131292393135,4.883689423322692,-4.942588021275512,True,False,False,True,49.52,54.51,50.92,10.07673667205169,2.8271405492730217,71.94388777555108,71.94388777555108,0.0,0.0,0.0,True,True,True,2026-06-30 10:40:00,2026-06-30 09:40:00,LOSS_FIRST,True,True,True,True,2026-06-30 10:55:00,,PROFIT_FIRST,True,False,True,False,2026-07-01 09:35:00,,PROFIT_FIRST,False,False,True,False,,False,False,False,False,False,False
2026-06-29,002141,final_top3,3,0.48455284552845534,贤丰控股,2026-06-30,2026-07-01,5.1,5.53,5.02,5.26,5.17,5.2,4.83,4.87,minute_5m,minute_5m,sina_5m,sina_5m,none,none,48,48,2026-06-30 09:35:00,2026-06-30 15:00:00,2026-07-01 09:35:00,2026-07-01 15:00:00,2026-06-30 10:00:00,2026-06-30 09:35:00,2026-07-01 09:50:00,2026-07-01 10:45:00,8.431372549019622,-1.5686274509803977,3.1372549019607954,-1.7110266159695797,1.3725490196078383,0.5802707930367523,-6.576402321083174,-5.802707930367501,1.9607843137255054,-4.509803921568622,8.431372549019622,-5.294117647058815,2026-06-30 10:00:00,2026-07-01 10:45:00,2026-06-30,2026-07-01,-4.882459312839071,4.882459312839071,-6.346153846153846,6.346153846153846,6.4705882352941275,12.941176470588244,-7.6470588235294175,3.089048701933851,-1.725833822928071,-5.97787514258393,True,False,False,False,5.1,5.2,4.87,1.9607843137255054,-4.509803921568622,329.99999999999795,153.48837209302312,0.0,0.0,0.0,True,False,True,2026-06-30 09:35:00,2026-07-01 10:25:00,PROFIT_FIRST,True,False,True,True,2026-06-30 09:40:00,2026-07-01 10:45:00,PROFIT_FIRST,True,False,True,True,2026-06-30 09:40:00,,PROFIT_FIRST,True,False,True,False,D3_INTRADAY,False,False,True,True,True,True
2026-06-30,002653,final_top3,1,0.5383333333333333,海思科,2026-07-01,2026-07-02,64.16,72.97,61.01,72.96,71.24,80.0,69.0,78.8,minute_5m,minute_5m,sina_5m,sina_5m,none,none,48,48,2026-07-01 09:35:00,2026-07-01 15:00:00,2026-07-02 09:35:00,2026-07-02 15:00:00,2026-07-01 13:05:00,2026-07-01 10:05:00,2026-07-02 14:05:00,2026-07-02 10:25:00,13.731296758104738,-4.909600997506236,13.715710723192021,-2.3574561403508776,11.034912718204492,12.296462661426165,-3.1443009545199296,10.612015721504786,24.68827930174564,22.817955112219444,24.68827930174564,-4.909600997506236,2026-07-02 14:05:00,2026-07-01 10:05:00,2026-07-02,2026-07-01,-0.013704262025493463,0.013704262025493463,-1.5000000000000013,1.5000000000000013,1.8703241895261975,1.8703241895261975,9.102244389027422,12.853138220781691,-2.385688734461505,10.085853844237267,True,False,True,True,64.16,80.0,78.8,24.68827930174564,22.817955112219444,7.575757575757626,7.575757575757626,0.0,0.0,0.0,True,True,True,2026-07-01 11:10:00,2026-07-01 09:40:00,LOSS_FIRST,True,True,True,True,2026-07-01 11:25:00,,PROFIT_FIRST,True,False,True,False,2026-07-01 11:30:00,,PROFIT_FIRST,True,False,True,False,,True,False,False,False,False,False
2026-06-30,600857,final_top3,2,0.5383333333333333,宁波中百,2026-07-01,2026-07-02,19.75,21.91,19.7,21.91,21.78,23.23,21.01,22.63,minute_5m,minute_5m,sina_5m,sina_5m,none,none,48,48,2026-07-01 09:35:00,2026-07-01 15:00:00,2026-07-02 09:35:00,2026-07-02 15:00:00,2026-07-01 10:25:00,2026-07-01 09:35:00,2026-07-02 09:35:00,2026-07-02 09:40:00,10.936708860759502,-0.25316455696202667,10.936708860759502,-0.5933363760839749,10.278481012658226,6.657483930211194,-3.535353535353536,3.9026629935720702,17.620253164556953,14.582278481012656,17.620253164556953,-0.25316455696202667,2026-07-02 09:35:00,2026-07-01 09:35:00,2026-07-02,2026-07-01,0.0,-0.0,-2.582866982350418,2.582866982350418,3.037974683544297,3.037974683544297,3.645569620253154,10.378966226024437,-0.5951036102560692,3.8284342140631455,True,False,True,True,19.75,23.23,22.63,17.620253164556953,14.582278481012656,17.241379310344797,17.241379310344797,0.0,0.0,0.0,True,True,True,2026-07-01 09:40:00,,PROFIT_FIRST,True,False,True,False,2026-07-01 09:40:00,,PROFIT_FIRST,True,False,True,False,2026-07-01 09:50:00,,PROFIT_FIRST,True,False,True,False,,False,False,False,False,False,False
2026-06-30,002180,final_top3,3,0.5383333333333333,奔图科技,2026-07-01,2026-07-02,16.45,16.82,16.12,16.25,16.05,16.77,15.71,16.36,minute_5m,minute_5m,sina_5m,sina_5m,none,none,48,48,2026-07-01 09:35:00,2026-07-01 15:00:00,2026-07-02 09:35:00,2026-07-02 15:00:00,2026-07-01 10:15:00,2026-07-01 13:55:00,2026-07-02 13:15:00,2026-07-02 09:35:00,2.2492401215805424,-2.0060790273556117,-1.2158054711246202,-1.2307692307692242,-2.4316109422492294,4.485981308411202,-2.1183800623052917,1.9314641744548222,1.9452887537994012,-0.547112462006083,2.2492401215805424,-4.498480243161085,2026-07-01 10:15:00,2026-07-02 09:35:00,2026-07-01,2026-07-02,-3.388822829964333,3.388822829964333,-2.444841979725698,2.444841979725698,2.4924012158054842,2.7963525835866254,0.6686930091185372,-1.2232568435634408,-1.2384059199721555,1.9130481598576061,False,True,True,False,16.45,16.77,16.36,1.9452887537994012,-0.547112462006083,128.12500000000006,124.32432432432454,0.0,0.0,0.0,True,False,True,,2026-07-02 09:35:00,LOSS_FIRST,False,False,False,True,,,NEITHER,False,False,False,False,,,NEITHER,False,False,False,False,SECOND_OVERNIGHT,False,False,True,False,False,False
2026-07-01,000021,final_top3,1,0.5334782608695652,深科技,2026-07-02,2026-07-03,56.65,58.0,56.03,56.03,53.0,57.69,51.09,55.91,minute_5m,minute_5m,sina_5m,sina_5m,none,none,48,48,2026-07-02 09:35:00,2026-07-02 15:00:00,2026-07-03 09:35:00,2026-07-03 15:00:00,2026-07-02 09:35:00,2026-07-02 09:35:00,2026-07-03 14:10:00,2026-07-03 09:55:00,2.383053839364524,-1.094439541041481,-1.094439541041481,-5.40781724076388,-6.443071491615182,8.849056603773576,-3.6037735849056562,5.490566037735833,1.835834068843778,-1.3062665489850023,2.383053839364524,-9.814651368049422,2026-07-02 09:35:00,2026-07-03 09:55:00,2026-07-02,2026-07-03,-3.3965517241379306,3.3965517241379306,-3.0854567516033993,3.0854567516033993,3.1421006178287803,3.6893203883495262,-0.21182700794352138,-1.1004725896822145,-5.559534802507135,5.345134148643195,False,True,False,False,56.65,57.69,55.91,1.835834068843778,-1.3062665489850023,171.1538461538465,154.81481481481498,0.0,0.0,0.0,True,False,True,,2026-07-03 09:35:00,LOSS_FIRST,False,False,False,True,,2026-07-03 09:35:00,LOSS_FIRST,False,False,False,True,,2026-07-03 09:35:00,LOSS_FIRST,False,False,False,True,SECOND_OVERNIGHT,True,False,True,False,False,False
