signal_date,code,name,d2open_d3high_return_pct,target7_d2open_d3high,in_v004a_topk,v004a_rank,v004a_score,in_v004a_top3,in_v002_topk,v002_rank,v002_score,in_v002_top3,in_v005_candidate_pool,v005_pool_order,v005_sort_field_name,in_final_top3,final_rank,selection_outcome_class,selection_path_classes,selected_hit,selected_false_positive,missed_hit_in_candidate_pool,missed_hit_outside_candidate_pool,v005_rescued_from_v004a,v005_rescued_from_v002,v005_dropped_v004a_hit,v005_dropped_v002_hit,group_a_false_positive,group_a_source,group_b_missed_pool_hit,total_score,trend_hold_score,active_money_score,d1_low_ma10_pct,d1_close_ma10_pct,d1_close_vwap_pct,candidate_base_price,low_absorb_width_pct,invalid_distance_pct,days_since_d0
2026-06-26,000021,深科技,15.625,True,False,25,0.4775895268112366,False,False,28,48.265895,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool,False,False,False,True,False,False,False,False,False,,False,60.25,95.0,84.0,15.1133,17.957,-2.4158,53.51,4.182710335851447,4.182710335851447,2.0
2026-06-26,000032,深桑达Ａ,2.001601281024823,False,False,95,0.4268826217808578,False,False,99,33.36899499999999,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,54.25,65.0,58.0,3.5961,3.8104,-2.5364,24.22,2.8147087400961945,2.8147087400961945,2.0
2026-06-26,000034,神州数码,5.632745024408559,False,False,87,0.4340918698725607,False,False,112,31.269105,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,48.25,55.0,78.0,2.5671,3.3827,-1.8364,26.62,4.483861144945167,4.483861144945167,1.0
2026-06-26,000042,中洲控股,1.3157894736842257,False,False,189,0.3779162978686894,False,False,194,19.884315,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,44.0,40.0,76.0,-11.2903,-9.1107,-1.3957,8.34,3.907282059819428,3.907282059819428,3.0
2026-06-26,000048,京基智农,2.6593305823017,False,False,47,0.4597884844826076,False,False,45,43.11291,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,56.75,75.0,56.0,6.0218,9.1357,-0.1149,21.73,3.055431244993434,3.055431244993434,1.0
2026-06-26,000070,特发信息,-4.294198264047511,False,False,134,0.4043552587701075,False,False,128,27.779175,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,45.25,55.0,46.0,2.6905,2.6905,-2.09,22.29,4.979811574697179,4.979811574697179,3.0
2026-06-26,000100,TCL科技,7.182320441988965,True,False,50,0.4580911244575504,False,False,55,41.570655,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool,False,False,False,True,False,False,False,False,False,,False,56.75,75.0,70.0,7.1501,9.3782,-1.0679,5.4,3.181309530049692,3.181309530049692,1.0
2026-06-26,000551,创元科技,13.706666666666667,True,False,93,0.4286150942614936,False,False,59,40.95208,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool,False,False,False,True,False,False,False,False,False,,False,52.25,65.0,76.0,3.6408,13.1923,-0.0317,18.25,2.8126870137642035,2.8126870137642035,3.0
2026-06-26,000566,海南海药,24.129353233830876,True,False,123,0.4078556689128439,False,False,116,29.590005,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool,False,False,False,True,False,False,False,False,False,,False,50.25,55.0,66.0,2.8643,2.8643,-2.7319,4.13,4.1162227602905554,4.1162227602905554,2.0
2026-06-26,000571,新大洲A,4.88958990536279,False,False,111,0.418118917402031,False,False,84,35.459630000000004,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,53.25,65.0,58.0,5.2994,7.5361,-1.2181,6.25,3.383481205237282,3.383481205237282,3.0
