left_feature,right_feature,pair_rule,count,target7_count,target7_rate,target7_rate_lift_vs_base,feature_corr
total_score,d1_close_ma10_pct,both_top_30pct,332,148,0.4457831325301205,0.10728184054045636,0.7669094045745334
total_score,theme_score,both_top_30pct,344,152,0.4418604651162791,0.10335917312661497,0.17255398663467006
total_score,trend_hold_score,both_top_30pct,374,164,0.4385026737967914,0.10000138180712731,0.8480667406571543
total_score,consecutive_boards,both_top_30pct,468,205,0.43803418803418803,0.09953289604452392,0.21265938440100415
theme_score,d1_low_ma10_pct,both_top_30pct,327,143,0.43730886850152906,0.09880757651186495,0.10910565390924407
total_score,active_money_score,both_top_30pct,190,83,0.4368421052631579,0.09834081327349381,0.13167015552923794
theme_score,trend_hold_score,both_top_30pct,359,156,0.43454038997214484,0.09603909798248073,0.10775572142434006
total_score,graph_quality_score,both_top_30pct,435,189,0.43448275862068964,0.09598146663102552,0.8306684270672656
total_score,d1_low_ma10_pct,both_top_30pct,348,151,0.4339080459770115,0.09540675398734738,0.795311984603982
total_score,active_cooling_score,both_top_30pct,188,81,0.4308510638297872,0.09234977184012311,0.1615257111167053
total_score,entry_width_score,both_top_30pct,217,93,0.42857142857142855,0.09007013658176444,0.14741052126152962
total_score,low_absorb_width_pct,both_top_30pct,119,51,0.42857142857142855,0.09007013658176444,-0.16354932501854239
total_score,invalid_distance_pct,both_top_30pct,119,51,0.42857142857142855,0.09007013658176444,-0.16354932501854239
active_cooling_score,d1_close_vwap_pct,both_top_30pct,124,53,0.4274193548387097,0.08891806284904558,-0.2846644377347768
graph_quality_score,trend_hold_score,both_top_30pct,397,166,0.4181360201511335,0.07963472816146938,0.6314419791100455
total_score,d1_close_vwap_pct,both_top_30pct,199,83,0.41708542713567837,0.07858413514601426,0.1969727987189144
graph_quality_score,d1_low_ma10_pct,both_top_30pct,365,152,0.41643835616438357,0.07793706417471946,0.6382920707982345
active_cooling_score,theme_score,both_top_30pct,380,158,0.41578947368421054,0.07728818169454643,-0.0023505829116972016
active_cooling_score,d1_low_ma10_pct,both_top_30pct,118,49,0.4152542372881356,0.07675294529847149,-0.19479347541837352
trend_hold_score,d1_close_ma10_pct,both_top_30pct,388,161,0.41494845360824745,0.07644716161858334,0.8601727859495774
entry_width_score,d1_low_ma10_pct,both_top_30pct,211,87,0.41232227488151657,0.07382098289185246,0.051465981178987
trend_hold_score,entry_width_score,both_top_30pct,239,98,0.4100418410041841,0.07154054901452,0.05320725476639112
d1_low_ma10_pct,d1_close_ma10_pct,both_top_30pct,371,152,0.40970350404312667,0.07120221205346255,0.9353170843034664
active_cooling_score,trend_hold_score,both_top_30pct,137,56,0.40875912408759124,0.07025783209792713,-0.17098859641181458
entry_width_score,d1_close_ma10_pct,both_top_30pct,196,80,0.40816326530612246,0.06966197331645835,0.04613379079058924
trend_hold_score,d1_low_ma10_pct,both_top_30pct,465,188,0.4043010752688172,0.06579978327915309,0.9139697216415649
d1_low_ma10_pct,consecutive_boards,both_top_30pct,465,188,0.4043010752688172,0.06579978327915309,0.3388302050560312
