left_feature,right_feature,pair_rule,count,target7_count,target7_rate,target7_rate_lift_vs_base,feature_corr
total_score,d1_close_ma10_pct,both_top_30pct,654,368,0.5626911314984709,0.17737313420483086,0.7540900323759581
entry_width_score,d1_close_ma10_pct,both_top_30pct,482,269,0.558091286307054,0.17277328901341388,0.10061752792016908
total_score,support_score,both_top_30pct,466,260,0.5579399141630901,0.17262191686945,0.20161695809250157
support_score,d1_low_ma10_pct,both_top_30pct,385,213,0.5532467532467532,0.16792875595311313,0.022485362979171912
support_score,d1_close_ma10_pct,both_top_30pct,537,293,0.5456238361266295,0.16030583883298938,0.39904374809873405
total_score,d1_close_vwap_pct,both_top_30pct,257,139,0.5408560311284046,0.15553803383476456,0.04208787462182224
active_cooling_score,d1_close_ma10_pct,both_top_30pct,213,114,0.5352112676056338,0.14989327031199368,-0.26380988213776163
total_score,entry_width_score,both_top_30pct,506,269,0.5316205533596838,0.14630255606604375,0.16994073946430543
total_score,d1_low_ma10_pct,both_top_30pct,681,361,0.5301027900146843,0.14478479272104422,0.7644071908893892
graph_quality_score,d1_low_ma10_pct,both_top_30pct,497,263,0.5291750503018109,0.1438570530081708,0.5272965119155896
graph_quality_score,support_score,both_top_30pct,599,316,0.5275459098497496,0.1422279125561095,0.4583877978147761
entry_width_score,d1_low_ma10_pct,both_top_30pct,457,241,0.5273522975929978,0.14203430029935776,0.05022734791720735
d1_close_ma10_pct,d1_close_vwap_pct,both_top_30pct,364,191,0.5247252747252747,0.13940727743163467,0.29548536224413047
graph_quality_score,d1_close_ma10_pct,both_top_30pct,629,330,0.5246422893481717,0.13932429205453162,0.7091074697913478
total_score,theme_score,both_top_30pct,635,333,0.5244094488188976,0.13909145152525754,0.20119700731027332
total_score,trend_hold_score,both_top_30pct,838,439,0.5238663484486874,0.13854835115504732,0.8220473541297432
d1_low_ma10_pct,d1_close_ma10_pct,both_top_30pct,672,350,0.5208333333333334,0.1355153360396933,0.8694414136113796
theme_score,d1_close_ma10_pct,both_top_30pct,610,317,0.519672131147541,0.13435413385390088,0.120676187285017
total_score,graph_quality_score,both_top_30pct,648,336,0.5185185185185185,0.1332005212248784,0.7753025354325669
d1_close_ma10_pct,consecutive_boards,both_top_30pct,887,458,0.5163472378804961,0.131029240586856,0.4061366592623953
total_score,consecutive_boards,both_top_30pct,920,473,0.5141304347826087,0.1288124374889686,0.2797392731549335
d1_low_ma10_pct,d1_close_vwap_pct,both_top_30pct,192,98,0.5104166666666666,0.12509866937302655,-0.1437333995370184
graph_quality_score,entry_width_score,both_top_30pct,492,251,0.5101626016260162,0.12484460433237615,0.030354475602567408
trend_hold_score,d1_close_ma10_pct,both_top_30pct,809,412,0.5092707045735476,0.12395270727990754,0.7900374404505868
total_score,active_money_score,both_top_30pct,228,116,0.5087719298245614,0.12345393253092135,-0.06313133875441966
theme_score,d1_low_ma10_pct,both_top_30pct,599,300,0.5008347245409015,0.11551672724726142,0.14527259633100217
