feature,feature_type,bucket,count,target7_count,target7_rate,target7_rate_lift_vs_base,avg_candidate_d3_max_return_pct
active_cooling_score,numeric,"(85.0, 90.0]",575,213,0.37043478260869567,0.03257948545107292,6.222322765889343
active_cooling_score,numeric,"(70.0, 85.0]",334,119,0.3562874251497006,0.01843212799207783,5.921264048999569
active_cooling_score,numeric,"(65.0, 70.0]",146,49,0.3356164383561644,-0.0022388588014583544,5.234028514796922
active_cooling_score,numeric,"(29.999, 65.0]",493,142,0.2880324543610548,-0.04982284279656796,4.90024027913028
active_money_score,numeric,"(60.0, 72.0]",315,118,0.3746031746031746,0.03674787744555186,5.857786016270617
active_money_score,numeric,"(72.0, 84.0]",318,112,0.3522012578616352,0.01434596070401245,5.779959853169018
active_money_score,numeric,"(31.999, 50.0]",395,138,0.3493670886075949,0.011511791449972164,5.960629931610987
active_money_score,numeric,"(50.0, 60.0]",228,76,0.3333333333333333,-0.004521963824289432,5.932521627793473
active_money_score,numeric,"(84.0, 100.0]",292,79,0.2705479452054795,-0.06730735195214327,4.606954866327264
consecutive_boards,numeric,"(0.999, 3.0]",1548,523,0.33785529715762275,0.0,5.643103619847419
d1_close_ma10_pct,numeric,"(13.323, 39.123]",310,132,0.4258064516129032,0.08795115445528046,6.633240586901696
d1_close_ma10_pct,numeric,"(8.574, 13.323]",309,101,0.3268608414239482,-0.010994455733674524,5.389704668985974
d1_close_ma10_pct,numeric,"(5.073, 8.574]",310,101,0.3258064516129032,-0.012048845544719522,5.452362519151445
d1_close_ma10_pct,numeric,"(0.743, 5.073]",309,98,0.31715210355987056,-0.02070319359775219,5.334568987830254
d1_close_ma10_pct,numeric,"(-18.911, 0.743]",310,91,0.29354838709677417,-0.04430691006084858,5.403828647390702
d1_close_vwap_pct,numeric,"(-6.261, -1.662]",310,122,0.3935483870967742,0.05569308993915145,6.6883046499686305
d1_close_vwap_pct,numeric,"(1.189, 7.52]",310,109,0.35161290322580646,0.013757606068183714,5.459416685067767
d1_close_vwap_pct,numeric,"(-1.662, -0.672]",309,105,0.33980582524271846,0.0019505280850957152,5.48854545474261
d1_close_vwap_pct,numeric,"(-0.672, 0.176]",310,97,0.31290322580645163,-0.024952071351171112,5.639764108222146
d1_close_vwap_pct,numeric,"(0.176, 1.189]",309,90,0.2912621359223301,-0.04659316123529267,4.936709937210974
d1_low_ma10_pct,numeric,"(8.589, 33.548]",310,138,0.44516129032258067,0.10730599316495792,6.819734264598702
d1_low_ma10_pct,numeric,"(4.887, 8.589]",309,106,0.343042071197411,0.005186774039788233,5.730384193047018
d1_low_ma10_pct,numeric,"(-21.871000000000002, -1.35]",310,101,0.3258064516129032,-0.012048845544719522,5.610872331246073
d1_low_ma10_pct,numeric,"(2.206, 4.887]",310,97,0.31290322580645163,-0.024952071351171112,5.380646092515902
d1_low_ma10_pct,numeric,"(-1.35, 2.206]",309,81,0.2621359223300971,-0.07571937482752567,4.671027037153617
days_since_d0,numeric,"(0.999, 2.0]",1158,398,0.3436960276338515,0.005840730476228739,5.637419332986955
days_since_d0,numeric,"(2.0, 3.0]",390,125,0.32051282051282054,-0.017342476644802207,5.659981579294646
entry_width_score,numeric,"(65.0, 90.0]",139,59,0.4244604316546763,0.08660513449705354,6.518370362330214
entry_width_score,numeric,"(24.999, 60.0]",872,296,0.3394495412844037,0.0015942441267809415,5.641529928028847
entry_width_score,numeric,"(60.0, 65.0]",537,168,0.3128491620111732,-0.02500613514644956,5.419100234485571
graph_quality_score,numeric,"(70.0, 82.0]",247,104,0.42105263157894735,0.0831973344213246,6.597325278220121
graph_quality_score,numeric,"(82.0, 90.0]",165,61,0.3696969696969697,0.031841672539346944,5.644525781071764
graph_quality_score,numeric,"(50.0, 70.0]",499,172,0.34468937875751504,0.006834081599892294,5.873835077563478
graph_quality_score,numeric,"(-0.001, 32.0]",359,110,0.3064066852367688,-0.031448611920853964,5.39164898745512
graph_quality_score,numeric,"(32.0, 50.0]",278,76,0.2733812949640288,-0.06447400219359395,4.705009409086441
invalid_distance_pct,numeric,"(4.123, 4.628]",309,117,0.3786407766990291,0.04078547954140638,6.2722833078401345
invalid_distance_pct,numeric,"(-0.001, 2.782]",310,108,0.34838709677419355,0.010531799616570803,5.809284357283419
invalid_distance_pct,numeric,"(3.489, 4.123]",310,107,0.34516129032258064,0.007305993164957891,5.709287061612286
invalid_distance_pct,numeric,"(2.782, 3.489]",309,98,0.31715210355987056,-0.02070319359775219,5.480517534458945
invalid_distance_pct,numeric,"(4.628, 6.374]",310,93,0.3,-0.03785529715762276,4.945650978695877
low_absorb_width_pct,numeric,"(4.123, 4.628]",309,117,0.3786407766990291,0.04078547954140638,6.2722833078401345
low_absorb_width_pct,numeric,"(-0.001, 2.782]",310,108,0.34838709677419355,0.010531799616570803,5.809284357283419
low_absorb_width_pct,numeric,"(3.489, 4.123]",310,107,0.34516129032258064,0.007305993164957891,5.709287061612286
low_absorb_width_pct,numeric,"(2.782, 3.489]",309,98,0.31715210355987056,-0.02070319359775219,5.480517534458945
low_absorb_width_pct,numeric,"(4.628, 6.374]",310,93,0.3,-0.03785529715762276,4.945650978695877
signal_type,categorical,D2_LOW_ABSORB,1548,523,0.33785529715762275,0.0,5.643103619847419
support_score,numeric,"(39.0, 67.0]",278,102,0.3669064748201439,0.029051177662521133,6.168697636863593
support_score,numeric,"(-0.001, 21.0]",487,171,0.351129363449692,0.013274066292069231,5.859892409404977
support_score,numeric,"(67.0, 89.0]",324,106,0.3271604938271605,-0.010694803330462244,5.581290056514856
support_score,numeric,"(89.0, 91.0]",291,92,0.3161512027491409,-0.021704094408481867,4.91193694897677
support_score,numeric,"(21.0, 39.0]",168,52,0.30952380952380953,-0.028331487633813213,5.5306382537645815
support_type,categorical,B,228,87,0.3815789473684211,0.043723650210798326,6.358159069289089
support_type,categorical,C,687,231,0.33624454148471616,-0.001610755672906583,5.731825056409307
support_type,categorical,A,633,205,0.32385466034755134,-0.01400063681007141,5.289258012595103
theme_score,numeric,"(60.0, 70.0]",994,369,0.37122736418511065,0.033372067027487906,6.02926116003396
theme_score,numeric,"(44.999, 60.0]",554,154,0.2779783393501805,-0.05987695780744223,4.9502505603791525
total_score,numeric,"(74.25, 88.75]",293,136,0.4641638225255973,0.12630852536797454,7.194843472255355
total_score,numeric,"(66.75, 74.25]",316,115,0.3639240506329114,0.026068753475288642,5.99731874464832
total_score,numeric,"(60.0, 66.75]",316,102,0.3227848101265823,-0.01507048703104047,5.362889311151552
total_score,numeric,"(52.0, 60.0]",312,93,0.2980769230769231,-0.039778374080699674,5.036599453727902
total_score,numeric,"(33.499, 52.0]",311,77,0.24758842443729903,-0.09026687272032372,4.714438877675632
trend_hold_score,numeric,"(75.0, 95.0]",250,117,0.468,0.13014470284237728,7.017594472170999
trend_hold_score,numeric,"(55.0, 65.0]",325,112,0.3446153846153846,0.006760087457761854,5.788355475024952
trend_hold_score,numeric,"(65.0, 75.0]",266,90,0.3383458646616541,0.0004905675040313695,5.7376692078885405
trend_hold_score,numeric,"(39.999, 55.0]",707,204,0.28854314002828857,-0.04931215712933418,5.054724535784435
