code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_target_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
000012,ok,cache,sina_5m,False,40,180,180,1826,39,40,20,2026-04-24 00:00:00,2026-06-24 00:00:00,2026-04-27 14:55:00,2026-06-24 15:00:00,True,,1,0,0,0,0,39,0.0,True,,,南  玻Ａ,2026-06-24,2026-06-22
000048,ok,cache,sina_5m,False,40,180,180,1826,39,40,20,2026-04-24 00:00:00,2026-06-24 00:00:00,2026-04-27 14:55:00,2026-06-24 15:00:00,True,,1,0,0,0,0,39,0.0,True,,,京基智农,2026-06-24,2026-06-22
000060,ok,cache,sina_5m,False,40,180,180,1826,39,40,20,2026-04-24 00:00:00,2026-06-24 00:00:00,2026-04-27 14:55:00,2026-06-24 15:00:00,True,,1,0,0,0,0,39,0.0,True,,,中金岭南,2026-06-24,2026-06-22
000070,ok,cache,sina_5m,False,40,180,180,1826,39,40,20,2026-04-24 00:00:00,2026-06-24 00:00:00,2026-04-27 14:55:00,2026-06-24 15:00:00,True,,1,0,0,0,0,39,0.0,True,,,特发信息,2026-06-24,2026-06-23
000510,ok,cache,sina_5m,False,40,180,180,1826,39,40,20,2026-04-24 00:00:00,2026-06-24 00:00:00,2026-04-27 14:55:00,2026-06-24 15:00:00,True,,1,0,0,0,0,39,0.0,True,,,新金路,2026-06-24,2026-06-22
000519,ok,cache,sina_5m,False,40,180,180,1826,39,40,20,2026-04-24 00:00:00,2026-06-24 00:00:00,2026-04-27 14:55:00,2026-06-24 15:00:00,True,,1,0,0,0,0,39,0.0,True,,,中兵红箭,2026-06-24,2026-06-22
000545,ok,cache,sina_5m,False,40,180,180,1826,39,40,20,2026-04-24 00:00:00,2026-06-24 00:00:00,2026-04-27 14:55:00,2026-06-24 15:00:00,True,,1,0,0,0,0,39,0.0,True,,,金浦钛业,2026-06-24,2026-06-22
000571,ok,cache,sina_5m,False,40,180,180,1826,39,40,20,2026-04-24 00:00:00,2026-06-24 00:00:00,2026-04-27 14:55:00,2026-06-24 15:00:00,True,,1,0,0,0,0,39,0.0,True,,,新大洲A,2026-06-24,2026-06-23
000612,ok,cache,sina_5m,False,40,180,180,1826,39,40,20,2026-04-24 00:00:00,2026-06-24 00:00:00,2026-04-27 14:55:00,2026-06-24 15:00:00,True,,1,0,0,0,0,39,0.0,True,,,焦作万方,2026-06-24,2026-06-22
000657,ok,cache,sina_5m,False,40,180,180,1826,39,40,20,2026-04-24 00:00:00,2026-06-24 00:00:00,2026-04-27 14:55:00,2026-06-24 15:00:00,True,,1,0,0,0,0,39,0.0,True,,,中钨高新,2026-06-24,2026-06-22
