signal_date,code,future_fetch_end_date,eval_days,status,error
2026-06-05,000517,2026-06-29,40,failed,"000517 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000018"
2026-06-05,000520,2026-06-29,40,ok,
2026-06-05,000608,2026-06-29,40,failed,"000608 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.0600000000000005"
2026-06-05,000668,2026-06-29,40,failed,"000668 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.4499999999999993"
2026-06-05,000759,2026-06-29,40,ok,
2026-06-05,001256,2026-06-29,40,failed,"001256 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.8699999999999974"
2026-06-05,001400,2026-06-29,40,failed,"001400 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.5999999999999943"
2026-06-05,002138,2026-06-29,40,failed,"002138 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.060000000000002274"
2026-06-05,002183,2026-06-29,40,failed,"002183 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000462"
2026-06-05,002194,2026-06-29,40,failed,"002194 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.07000000000000028"
2026-06-05,002251,2026-06-29,40,ok,
2026-06-05,002254,2026-06-29,40,failed,"002254 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.25"
2026-06-05,002354,2026-06-29,40,failed,"002354 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
2026-06-05,002361,2026-06-29,40,failed,"002361 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.27999999999999936"
2026-06-05,002387,2026-06-29,40,ok,
2026-06-05,002421,2026-06-29,40,failed,"002421 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000018"
2026-06-05,002471,2026-06-29,40,ok,
2026-06-05,002613,2026-06-29,40,ok,
2026-06-05,002631,2026-06-29,40,failed,"002631 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.1899999999999995"
2026-06-05,002708,2026-06-29,40,failed,"002708 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.07000000000000028"
2026-06-05,002786,2026-06-29,40,failed,"002786 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.0699999999999994"
2026-06-05,002877,2026-06-29,40,ok,
2026-06-05,002892,2026-06-29,40,failed,"002892 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
2026-06-05,002896,2026-06-29,40,failed,"002896 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=2.6500000000000057"
2026-06-05,002903,2026-06-29,40,failed,"002903 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.9100000000000037"
2026-06-05,002960,2026-06-29,40,ok,
2026-06-05,002983,2026-06-29,40,failed,"002983 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.14999999999999858"
2026-06-05,003009,2026-06-29,40,failed,"003009 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.4099999999999966"
2026-06-05,003036,2026-06-29,40,failed,"003036 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.6800000000000068"
2026-06-05,600063,2026-06-29,40,failed,"600063 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05999999999999961"
2026-06-05,600207,2026-06-29,40,ok,
2026-06-05,600293,2026-06-29,40,ok,
2026-06-05,600303,2026-06-29,40,ok,
2026-06-05,600382,2026-06-29,40,failed,"600382 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000462"
2026-06-05,600403,2026-06-29,40,failed,"600403 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.07000000000000028"
2026-06-05,600516,2026-06-29,40,ok,
2026-06-05,600552,2026-06-29,40,failed,"600552 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=1.1900000000000013"
2026-06-05,600714,2026-06-29,40,failed,"600714 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.129999999999999"
2026-06-05,600776,2026-06-29,40,failed,"600776 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
2026-06-05,600819,2026-06-29,40,failed,"600819 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.04999999999999982"
2026-06-05,600881,2026-06-29,40,failed,"600881 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000018"
2026-06-05,600973,2026-06-29,40,failed,"600973 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.04999999999999982"
2026-06-05,600996,2026-06-29,40,ok,
2026-06-05,603020,2026-06-29,40,failed,"603020 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.08999999999999986"
2026-06-05,603048,2026-06-29,40,failed,"603048 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.25"
2026-06-05,603070,2026-06-29,40,failed,"603070 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05000000000000071"
2026-06-05,603078,2026-06-29,40,failed,"603078 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=1.759999999999998"
2026-06-05,603124,2026-06-29,40,failed,"603124 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=2.6500000000000057"
