requested_signal_date,actual_signal_date,status,limitup_rows,signal_rows,candidate_rows,quality_rows,quality_ok,quality_failed,future_fetch_end_date,future_fetch_attempted,future_fetch_ok,future_fetch_failed,signals_csv,signals_markdown,quality_csv,quality_markdown,error
2026-05-01,,failed,0,0,0,0,0,0,,0,0,0,,,,,"no limit-up data collected: 2026-05-01: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-04-30: all limit-up sources failed: akshare_zt_pool_em: HTTPSConnectionPool(host='push2ex.eastmoney.com', port=443): Max retries exceeded with url: /getTopicZTPool?ut=7eea3edcaed734bea9cbfc24409ed989&dpt=wz.ztzt&Pageindex=0&pagesize=10000&sort=fbt%3Aasc&date=20260430 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)'))) | 2026-04-29: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-04-28: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-04-27: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty"
2026-05-04,,failed,0,0,0,0,0,0,,0,0,0,,,,,no limit-up data collected: 2026-05-04: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-01: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-04-30: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty
2026-05-05,,failed,0,0,0,0,0,0,,0,0,0,,,,,no limit-up data collected: 2026-05-05: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-04: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-01: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty
2026-05-06,,failed,0,0,0,0,0,0,,0,0,0,,,,,"no limit-up data collected: 2026-05-06: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-05: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-04: all limit-up sources failed: akshare_zt_pool_em: HTTPSConnectionPool(host='push2ex.eastmoney.com', port=443): Max retries exceeded with url: /getTopicZTPool?ut=7eea3edcaed734bea9cbfc24409ed989&dpt=wz.ztzt&Pageindex=0&pagesize=10000&sort=fbt%3Aasc&date=20260504 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))"
2026-05-07,,failed,0,0,0,0,0,0,,0,0,0,,,,,no limit-up data collected: 2026-05-07: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-06: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-05: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-04: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty
2026-05-08,,failed,0,0,0,0,0,0,,0,0,0,,,,,"no limit-up data collected: 2026-05-08: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-07: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-06: all limit-up sources failed: akshare_zt_pool_em: HTTPSConnectionPool(host='push2ex.eastmoney.com', port=443): Max retries exceeded with url: /getTopicZTPool?ut=7eea3edcaed734bea9cbfc24409ed989&dpt=wz.ztzt&Pageindex=0&pagesize=10000&sort=fbt%3Aasc&date=20260506 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)'))) | 2026-05-05: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-04: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty"
2026-05-11,,failed,0,0,0,0,0,0,,0,0,0,,,,,"no limit-up data collected: 2026-05-11: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-08: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-07: all limit-up sources failed: akshare_zt_pool_em: HTTPSConnectionPool(host='push2ex.eastmoney.com', port=443): Max retries exceeded with url: /getTopicZTPool?ut=7eea3edcaed734bea9cbfc24409ed989&dpt=wz.ztzt&Pageindex=0&pagesize=10000&sort=fbt%3Aasc&date=20260507 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))"
2026-05-12,,failed,0,0,0,0,0,0,,0,0,0,,,,,no limit-up data collected: 2026-05-12: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-11: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-08: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty
2026-05-13,,failed,0,0,0,0,0,0,,0,0,0,,,,,no limit-up data collected: 2026-05-13: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-12: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-11: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty
2026-05-14,,failed,0,0,0,0,0,0,,0,0,0,,,,,no limit-up data collected: 2026-05-14: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-13: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-12: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty | 2026-05-11: all limit-up sources failed: akshare_zt_pool_em: AkShare limit-up pool is empty
