trade_date,code,name,d0_date,days_since_d0,consecutive_boards,signal_type,allowed,position_level,total_score,graph_quality_score,active_money_score,active_cooling_score,support_score,theme_score,trend_hold_score,entry_width_score,low_absorb_width_pct,invalid_distance_pct,d1_low_ma10_pct,d1_close_ma10_pct,d1_close_vwap_pct,support_type,low_absorb_min,low_absorb_max,invalid_price,key_zones_json,reasons
2026-06-23,000012,南  玻Ａ,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,69.25,70.0,62.0,90.0,29.0,45.0,65.0,65.0,3.3827,2.1413,5.7935,6.9384,-1.1985,C,4.57,4.73,4.57,"{""d1_low"": 4.62, ""d1_open"": 4.69, ""d1_close"": 4.67, ""d1_vwap"": 4.725588352772701, ""prev_close"": 4.73, ""ma5"": 4.57, ""ma10"": 4.367, ""d1_intraday_vwap"": 4.7266485231409, ""d1_first_5m_low"": 4.62, ""low_absorb_min"": 4.57, ""low_absorb_max"": 4.73, ""invalid_price"": 4.57}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active_raw: D1 成交额温和放大; active_raw: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; theme: 涨停池中同题材联动偏弱; factor: active_cooling_score=90.00; factor: trend_hold_score=65.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=3.38; factor: invalid_distance_pct=2.14; factor: d1_low_ma10_pct=5.79; factor: d1_close_ma10_pct=6.94; factor: d1_close_vwap_pct=-1.20
2026-06-23,000048,京基智农,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,72.25,70.0,50.0,90.0,29.0,45.0,75.0,60.0,3.9641,1.5973,7.8858,9.637,-2.3286,C,20.33,21.152560974357066,20.33,"{""d1_low"": 20.33, ""d1_open"": 21.12, ""d1_close"": 20.66, ""d1_vwap"": 21.134942040260686, ""prev_close"": 20.75, ""ma5"": 19.702, ""ma10"": 18.844, ""d1_intraday_vwap"": 21.152560974357066, ""d1_first_5m_low"": 20.81, ""low_absorb_min"": 20.33, ""low_absorb_max"": 21.152560974357066, ""invalid_price"": 20.33}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active_raw: D1 成交额放大不足; active_raw: D1 有一定振幅; active_raw: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; theme: 涨停池中同题材联动偏弱; factor: active_cooling_score=90.00; factor: trend_hold_score=75.00; factor: entry_width_score=60.00; factor: low_absorb_width_pct=3.96; factor: invalid_distance_pct=1.60; factor: d1_low_ma10_pct=7.89; factor: d1_close_ma10_pct=9.64; factor: d1_close_vwap_pct=-2.33
2026-06-23,000060,中金岭南,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,66.75,70.0,74.0,85.0,0.0,70.0,55.0,60.0,4.3912,0.0,2.3226,2.3226,-4.7951,C,7.93,8.31686361311771,7.93,"{""d1_low"": 7.93, ""d1_open"": 8.87, ""d1_close"": 7.93, ""d1_vwap"": 8.31686361311771, ""prev_close"": 8.81, ""ma5"": 8.148, ""ma10"": 7.75, ""d1_intraday_vwap"": 8.329404934762916, ""d1_first_5m_low"": 8.63, ""low_absorb_min"": 7.93, ""low_absorb_max"": 8.31686361311771, ""invalid_price"": 7.93}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active_raw: D1 成交额温和放大; active_raw: D1 振幅明显放大; active_raw: 分时有急拉急杀波动; support: D1 跌破前低且未收回; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 工业金属 8 家; factor: active_cooling_score=85.00; factor: trend_hold_score=55.00; factor: entry_width_score=60.00; factor: low_absorb_width_pct=4.39; factor: invalid_distance_pct=0.00; factor: d1_low_ma10_pct=2.32; factor: d1_close_ma10_pct=2.32; factor: d1_close_vwap_pct=-4.80
2026-06-23,000070,特发信息,2026-06-23,0,2,WATCH_ONLY,False,zero,88.75,90.0,78.0,85.0,91.0,70.0,95.0,90.0,0.0,6.26,17.503,25.3499,0.7099,A,23.51,23.51,23.51,"{""d1_low"": 23.51, ""d1_open"": 24.75, ""d1_close"": 25.08, ""d1_vwap"": 24.89864537878335, ""prev_close"": 22.8, ""ma5"": 21.752000000000002, ""ma10"": 20.008000000000003, ""d1_intraday_vwap"": 24.903219042082533, ""d1_first_5m_low"": 23.51, ""low_absorb_min"": 23.51, ""low_absorb_max"": 23.51, ""invalid_price"": 23.51}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额温和放大; active_raw: D1 有一定振幅; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 通信设备 7 家; factor: active_cooling_score=85.00; factor: trend_hold_score=95.00; factor: entry_width_score=90.00; factor: low_absorb_width_pct=0.00; factor: invalid_distance_pct=6.26; factor: d1_low_ma10_pct=17.50; factor: d1_close_ma10_pct=25.35; factor: d1_close_vwap_pct=0.71; hard_filter: 今日仍涨停，等待首次分歧日
2026-06-23,000510,新金路,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,80.75,70.0,76.0,85.0,29.0,70.0,95.0,60.0,4.276,1.8672,14.4835,16.6618,-2.3877,C,23.65,24.68950327585663,23.65,"{""d1_low"": 23.65, ""d1_open"": 24.89, ""d1_close"": 24.1, ""d1_vwap"": 24.636010637162368, ""prev_close"": 24.31, ""ma5"": 23.095999999999997, ""ma10"": 20.657999999999998, ""d1_intraday_vwap"": 24.68950327585663, ""d1_first_5m_low"": 23.89, ""low_absorb_min"": 23.65, ""low_absorb_max"": 24.68950327585663, ""invalid_price"": 23.65}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active_raw: D1 成交额温和放大; active_raw: D1 振幅明显放大; active_raw: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; theme: 所属行业/题材涨停家数较多: 化学原料 13 家; factor: active_cooling_score=85.00; factor: trend_hold_score=95.00; factor: entry_width_score=60.00; factor: low_absorb_width_pct=4.28; factor: invalid_distance_pct=1.87; factor: d1_low_ma10_pct=14.48; factor: d1_close_ma10_pct=16.66; factor: d1_close_vwap_pct=-2.39
2026-06-23,000519,中兵红箭,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,72.25,70.0,68.0,90.0,39.0,45.0,75.0,60.0,4.4703,1.4149,7.9245,9.4734,-1.1012,C,21.6,22.6,21.6,"{""d1_low"": 21.6, ""d1_open"": 22.6, ""d1_close"": 21.91, ""d1_vwap"": 22.13943433051357, ""prev_close"": 22.37, ""ma5"": 21.004, ""ma10"": 20.014000000000003, ""d1_intraday_vwap"": 22.15396879913014, ""d1_first_5m_low"": 21.88, ""low_absorb_min"": 21.6, ""low_absorb_max"": 22.6, ""invalid_price"": 21.6}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active_raw: D1 成交额温和放大; active_raw: D1 有一定振幅; active_raw: 分时有急拉急杀波动; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 多数时间压在 VWAP 下方; theme: 涨停池中同题材联动偏弱; factor: active_cooling_score=90.00; factor: trend_hold_score=75.00; factor: entry_width_score=60.00; factor: low_absorb_width_pct=4.47; factor: invalid_distance_pct=1.41; factor: d1_low_ma10_pct=7.92; factor: d1_close_ma10_pct=9.47; factor: d1_close_vwap_pct=-1.10
2026-06-23,000545,金浦钛业,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,62.25,82.0,100.0,30.0,91.0,70.0,75.0,25.0,5.1664,6.3604,6.2725,13.0643,1.5461,A,2.65,2.7869109077985166,2.65,"{""d1_low"": 2.66, ""d1_open"": 2.71, ""d1_close"": 2.83, ""d1_vwap"": 2.784448334041143, ""prev_close"": 2.65, ""ma5"": 2.6, ""ma10"": 2.503, ""d1_intraday_vwap"": 2.7869109077985166, ""d1_first_5m_low"": 2.66, ""low_absorb_min"": 2.65, ""low_absorb_max"": 2.7869109077985166, ""invalid_price"": 2.65}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; active_raw: D1 成交额显著放大; active_raw: D1 振幅明显放大; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; active_raw: 分时有急拉急杀波动; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 化学原料 13 家; factor: active_cooling_score=30.00; factor: trend_hold_score=75.00; factor: entry_width_score=25.00; factor: low_absorb_width_pct=5.17; factor: invalid_distance_pct=6.36; factor: d1_low_ma10_pct=6.27; factor: d1_close_ma10_pct=13.06; factor: d1_close_vwap_pct=1.55
2026-06-23,000571,新大洲A,2026-06-23,0,2,WATCH_ONLY,False,zero,68.25,58.0,78.0,85.0,91.0,60.0,75.0,45.0,4.9028,5.9282,8.7662,15.6205,1.491,A,6.03,6.315832917904282,6.03,"{""d1_low"": 6.03, ""d1_open"": 6.03, ""d1_close"": 6.41, ""d1_vwap"": 6.30665763933426, ""prev_close"": 5.83, ""ma5"": 5.6739999999999995, ""ma10"": 5.5440000000000005, ""d1_intraday_vwap"": 6.315832917904282, ""d1_first_5m_low"": 6.03, ""low_absorb_min"": 6.03, ""low_absorb_max"": 6.315832917904282, ""invalid_price"": 6.03}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点下移; graph: D1 收盘位置强; active_raw: D1 成交额显著放大; active_raw: D1 有一定振幅; active_raw: 尾盘站在日内 VWAP 上方; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材有联动: 煤炭开采 2 家; factor: active_cooling_score=85.00; factor: trend_hold_score=75.00; factor: entry_width_score=45.00; factor: low_absorb_width_pct=4.90; factor: invalid_distance_pct=5.93; factor: d1_low_ma10_pct=8.77; factor: d1_close_ma10_pct=15.62; factor: d1_close_vwap_pct=1.49; hard_filter: 今日仍涨停，等待首次分歧日
2026-06-23,000612,焦作万方,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,64.75,58.0,66.0,90.0,21.0,70.0,65.0,25.0,5.4256,1.7331,3.2565,3.5256,-3.8183,C,11.34,11.998119358740395,11.34,"{""d1_low"": 11.51, ""d1_open"": 12.47, ""d1_close"": 11.54, ""d1_vwap"": 11.98638388979518, ""prev_close"": 12.13, ""ma5"": 11.34, ""ma10"": 11.147, ""d1_intraday_vwap"": 11.998119358740395, ""d1_first_5m_low"": 12.23, ""low_absorb_min"": 11.34, ""low_absorb_max"": 11.998119358740395, ""invalid_price"": 11.34}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: D1 收盘接近低位; active_raw: D1 成交额温和放大; active_raw: D1 振幅明显放大; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 工业金属 8 家; factor: active_cooling_score=90.00; factor: trend_hold_score=65.00; factor: entry_width_score=25.00; factor: low_absorb_width_pct=5.43; factor: invalid_distance_pct=1.73; factor: d1_low_ma10_pct=3.26; factor: d1_close_ma10_pct=3.53; factor: d1_close_vwap_pct=-3.82
2026-06-23,000657,中钨高新,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,80.75,70.0,84.0,70.0,19.0,70.0,95.0,90.0,0.0,1.3854,15.0087,16.6244,-3.5482,C,101.08,101.08,101.08,"{""d1_low"": 101.08, ""d1_open"": 113.99, ""d1_close"": 102.5, ""d1_vwap"": 106.2276016258171, ""prev_close"": 108.33, ""ma5"": 98.268, ""ma10"": 87.88900000000001, ""d1_intraday_vwap"": 106.27071300963865, ""d1_first_5m_low"": 107.9, ""low_absorb_min"": 101.08, ""low_absorb_max"": 101.08, ""invalid_price"": 101.08}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active_raw: D1 成交额温和放大; active_raw: D1 振幅明显放大; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 分时有急拉急杀波动; support: D1 跌破前低后收回; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 小金属 9 家; factor: active_cooling_score=70.00; factor: trend_hold_score=95.00; factor: entry_width_score=90.00; factor: low_absorb_width_pct=0.00; factor: invalid_distance_pct=1.39; factor: d1_low_ma10_pct=15.01; factor: d1_close_ma10_pct=16.62; factor: d1_close_vwap_pct=-3.55
2026-06-23,000682,东方电子,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,66.75,40.0,72.0,85.0,21.0,70.0,75.0,65.0,2.5046,0.7117,9.7561,10.5429,-1.7785,C,13.95,14.304400362277203,13.95,"{""d1_low"": 13.95, ""d1_open"": 14.29, ""d1_close"": 14.05, ""d1_vwap"": 14.298529408643176, ""prev_close"": 14.15, ""ma5"": 13.276, ""ma10"": 12.709999999999999, ""d1_intraday_vwap"": 14.304400362277203, ""d1_first_5m_low"": 14.15, ""low_absorb_min"": 13.95, ""low_absorb_max"": 14.304400362277203, ""invalid_price"": 13.95}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: D1 收盘接近低位; graph: D1 有高位巨量失败风险; active_raw: D1 成交额显著放大; active_raw: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 电网设备 6 家; factor: active_cooling_score=85.00; factor: trend_hold_score=75.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=2.50; factor: invalid_distance_pct=0.71; factor: d1_low_ma10_pct=9.76; factor: d1_close_ma10_pct=10.54; factor: d1_close_vwap_pct=-1.78
2026-06-23,000751,锌业股份,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,79.25,70.0,70.0,85.0,47.0,70.0,95.0,45.0,4.7216,2.3217,14.3023,17.0192,-2.074,B,5.89,6.1577130875439385,5.89,"{""d1_low"": 5.89, ""d1_open"": 6.24, ""d1_close"": 6.03, ""d1_vwap"": 6.152221461503083, ""prev_close"": 5.67, ""ma5"": 5.444, ""ma10"": 5.1530000000000005, ""d1_intraday_vwap"": 6.1577130875439385, ""d1_first_5m_low"": 6.05, ""low_absorb_min"": 5.89, ""low_absorb_max"": 6.1577130875439385, ""invalid_price"": 5.89}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; active_raw: D1 成交额显著放大; active_raw: D1 有一定振幅; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; theme: 所属行业/题材涨停家数较多: 工业金属 8 家; factor: active_cooling_score=85.00; factor: trend_hold_score=95.00; factor: entry_width_score=45.00; factor: low_absorb_width_pct=4.72; factor: invalid_distance_pct=2.32; factor: d1_low_ma10_pct=14.30; factor: d1_close_ma10_pct=17.02; factor: d1_close_vwap_pct=-2.07
2026-06-23,000776,广发证券,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,76.75,52.0,72.0,85.0,21.0,70.0,95.0,65.0,2.1355,0.729,11.6362,12.456,-1.3318,C,23.15,23.63476964290165,23.15,"{""d1_low"": 23.15, ""d1_open"": 23.5, ""d1_close"": 23.32, ""d1_vwap"": 23.622568257979754, ""prev_close"": 22.7, ""ma5"": 21.916, ""ma10"": 20.737, ""d1_intraday_vwap"": 23.63476964290165, ""d1_first_5m_low"": 23.15, ""low_absorb_min"": 23.15, ""low_absorb_max"": 23.63476964290165, ""invalid_price"": 23.15}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; graph: D1 有高位巨量失败风险; active_raw: D1 成交额显著放大; active_raw: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 证券Ⅱ 5 家; factor: active_cooling_score=85.00; factor: trend_hold_score=95.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=2.14; factor: invalid_distance_pct=0.73; factor: d1_low_ma10_pct=11.64; factor: d1_close_ma10_pct=12.46; factor: d1_close_vwap_pct=-1.33
2026-06-23,000783,长江证券,2026-06-23,0,2,WATCH_ONLY,False,zero,88.75,90.0,78.0,85.0,91.0,70.0,95.0,90.0,0.0,5.814,11.7381,18.6356,0.5752,A,8.91,8.91,8.91,"{""d1_low"": 8.91, ""d1_open"": 8.91, ""d1_close"": 9.46, ""d1_vwap"": 9.404656856710774, ""prev_close"": 8.6, ""ma5"": 8.379999999999999, ""ma10"": 7.973999999999999, ""d1_intraday_vwap"": 9.405900818309105, ""d1_first_5m_low"": 8.91, ""low_absorb_min"": 8.91, ""low_absorb_max"": 8.91, ""invalid_price"": 8.91}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额显著放大; active_raw: D1 有一定振幅; active_raw: 尾盘站在日内 VWAP 上方; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 证券Ⅱ 5 家; factor: active_cooling_score=85.00; factor: trend_hold_score=95.00; factor: entry_width_score=90.00; factor: low_absorb_width_pct=0.00; factor: invalid_distance_pct=5.81; factor: d1_low_ma10_pct=11.74; factor: d1_close_ma10_pct=18.64; factor: d1_close_vwap_pct=0.58; hard_filter: 今日仍涨停，等待首次分歧日
2026-06-23,000811,冰轮环境,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,77.75,90.0,100.0,30.0,89.0,70.0,95.0,90.0,0.4526,11.4743,11.5603,25.3904,3.3822,A,39.809999999999995,40.01,39.809999999999995,"{""d1_low"": 40.01, ""d1_open"": 45.13, ""d1_close"": 44.97, ""d1_vwap"": 43.45973882408327, ""prev_close"": 44.19, ""ma5"": 39.809999999999995, ""ma10"": 35.864, ""d1_intraday_vwap"": 43.49879579545411, ""d1_first_5m_low"": 42.55, ""low_absorb_min"": 39.809999999999995, ""low_absorb_max"": 40.01, ""invalid_price"": 39.809999999999995}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额显著放大; active_raw: D1 振幅明显放大; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; active_raw: 分时有急拉急杀波动; support: D1 跌破前低后收回; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 通用设备 5 家; factor: active_cooling_score=30.00; factor: trend_hold_score=95.00; factor: entry_width_score=90.00; factor: low_absorb_width_pct=0.45; factor: invalid_distance_pct=11.47; factor: d1_low_ma10_pct=11.56; factor: d1_close_ma10_pct=25.39; factor: d1_close_vwap_pct=3.38
