signal_date,top_n,eligible_count,topn_count,topn_target7_count,daily_hit,top1_code,top1_score,top1_candidate_d3_max_return_pct,best_topn_candidate_d3_max_return_pct,avg_topn_candidate_d3_max_return_pct,topn_codes,topn_scores,topn_candidate_d3_max_return_pct
2026-06-08,3,48,3,2,True,000608,67.71066499999999,20.96219931271477,20.96219931271477,9.842986450021014,"000608,000520,603078","67.7107,60.4410,60.3750","20.9622,-0.4202,8.9869"
2026-06-09,3,35,3,2,True,603135,71.08329499999999,-4.0506329113924044,9.704641350210965,5.0637692592725365,"603135,002931,603859","71.0833,66.4309,64.2241","-4.0506,9.7046,9.5373"
2026-06-10,3,118,3,1,True,603186,72.34105500000001,14.756306637276516,14.756306637276516,5.796408412705063,"603186,000608,600487","72.3411,70.9432,67.1145","14.7563,1.5850,1.0479"
2026-06-11,3,171,3,3,True,002636,72.384375,15.566037735849058,15.566037735849058,11.759560792586436,"002636,603186,603823","72.3844,71.8648,71.1927","15.5660,10.0012,9.7115"
2026-06-12,3,174,3,3,True,002636,71.42151999999999,14.485981308411231,14.485981308411231,12.492606345858846,"002636,603823,600500","71.4215,69.7272,68.5469","14.4860,8.7422,14.2497"
2026-06-15,3,66,3,1,True,001696,69.91958,6.652078774617065,11.623811201127165,6.643260891471017,"001696,002971,002203","69.9196,68.6613,67.0905","6.6521,11.6238,1.6539"
2026-06-16,3,96,3,3,True,002913,70.929645,7.402340781273731,11.542857142857144,9.907598878282682,"002913,600176,600226","70.9296,70.9271,70.8378","7.4023,10.7776,11.5429"
2026-06-17,3,169,3,2,True,002436,72.35296,15.062761506276168,15.062761506276168,8.739846287590003,"002436,003036,001359","72.3530,72.3256,72.0306","15.0628,-1.4410,12.5978"
2026-06-18,3,210,3,3,True,603186,73.244145,8.353282096510007,10.522151898734156,9.508557489670686,"603186,002824,603986","73.2441,72.9124,72.6616","8.3533,10.5222,9.6502"
2026-06-23,3,91,3,2,True,600353,70.85665,10.000000000000009,19.012675116744514,10.373839551386494,"600353,002805,000811","70.8567,69.2225,69.1446","10.0000,2.1088,19.0127"
2026-06-24,3,155,3,0,False,600353,72.633155,-1.7958412098298626,2.4425287356321768,0.5976708475533443,"600353,603663,603823","72.6332,71.8815,71.8406","-1.7958,1.1463,2.4425"
2026-06-25,3,215,3,3,True,600206,73.19354000000001,18.037749287749307,18.037749287749307,12.927028802069714,"600206,603986,600397","73.1935,73.1147,73.1134","18.0377,9.2169,11.5265"
