feature,signal_date,board2_rows,board3_rows,board2_mean_feature,board3_mean_feature,feature_gap,board2_mean_contribution,board3_mean_contribution,contribution_gap,board2_target7_rate,board3_target7_rate,board2_loss_rate,board3_loss_rate
days_since_d0_eq2,2026-06-03,6,1,0,0,0,0,0,0,0.166666666667,0,0.166666666667,1
days_since_d0_eq2,2026-06-04,5,1,0,0,0,0,0,0,0,0,0.4,1
days_since_d0_eq2,2026-06-05,5,1,0,0,0,0,0,0,0.2,1,0.4,0
days_since_d0_eq2,2026-06-08,3,0,0,,,0,,,0,,0.666666666667,
days_since_d0_eq2,2026-06-09,8,1,0,0,0,0,0,0,0,1,0.5,0
days_since_d0_eq2,2026-06-10,6,1,0,0,0,0,0,0,0.5,1,0.166666666667,0
days_since_d0_eq2,2026-06-11,9,1,0,0,0,0,0,0,0.111111111111,1,0.222222222222,0
days_since_d0_eq2,2026-06-12,7,1,0,0,0,0,0,0,0.571428571429,0,0.142857142857,1
days_since_d0_eq2,2026-06-15,3,0,0,,,0,,,0.333333333333,,0,
days_since_d0_eq2,2026-06-16,5,2,0,0,0,0,0,0,0.6,0,0.4,0.5
days_since_d0_eq2,2026-06-17,16,1,0.125,0,-0.125,0,0,0,0.75,0,0,1
days_since_d0_eq2,2026-06-18,7,8,0.142857142857,0,-0.142857142857,0,0,0,0.142857142857,0.125,0.285714285714,0.25
days_since_d0_eq2,2026-06-22,5,2,0,0,0,0,0,0,0.6,0.5,0.2,0
days_since_d0_eq2,2026-06-23,13,1,0,0,0,0,0,0,0.461538461538,1,0,0
days_since_d0_eq2,2026-06-24,13,2,0,0,0,0,0,0,0.230769230769,0,0.384615384615,0.5
days_since_d0_eq2,2026-06-25,7,2,0,0,0,0,0,0,0.285714285714,1,0.428571428571,0
days_since_d0_eq2,2026-06-26,12,0,0.0833333333333,,,0.00025759755319,,,0.25,,0.416666666667,
days_since_d0_ge3,2026-06-03,6,1,0,0,0,0,0,0,0.166666666667,0,0.166666666667,1
days_since_d0_ge3,2026-06-04,5,1,0,0,0,0,0,0,0,0,0.4,1
days_since_d0_ge3,2026-06-05,5,1,0,0,0,0,0,0,0.2,1,0.4,0
days_since_d0_ge3,2026-06-08,3,0,1,,,-0.119017763301,,,0,,0.666666666667,
