feature,board_group,endpoint,informative_dates,informative_pairs,concordant,discordant,ties,pair_concordance,pair_support_weak
rank_d1_close_ma10_pct,BOARD2,NONLOSS,14,167,83,84,0,0.497005988024,False
rank_d1_close_ma10_pct,BOARD2,TARGET7,14,215,106,109,0,0.493023255814,False
rank_d1_close_ma10_pct,BOARD3,NONLOSS,3,14,2,12,0,0.142857142857,True
rank_d1_close_ma10_pct,BOARD3,TARGET7,2,8,4,4,0,0.5,True
rank_d1_low_ma10_pct,BOARD2,NONLOSS,14,167,86,81,0,0.51497005988,False
rank_d1_low_ma10_pct,BOARD2,TARGET7,14,215,112,103,0,0.520930232558,False
rank_d1_low_ma10_pct,BOARD3,NONLOSS,3,14,2,12,0,0.142857142857,True
rank_d1_low_ma10_pct,BOARD3,TARGET7,2,8,5,3,0,0.625,True
rank_trend_hold_score,BOARD2,NONLOSS,14,167,52,66,49,0.458083832335,False
rank_trend_hold_score,BOARD2,TARGET7,14,215,77,82,56,0.488372093023,False
rank_trend_hold_score,BOARD3,NONLOSS,3,14,8,3,3,0.678571428571,True
rank_trend_hold_score,BOARD3,TARGET7,2,8,4,0,4,0.75,True
rank_total_score,BOARD2,NONLOSS,14,167,82,80,5,0.505988023952,False
rank_total_score,BOARD2,TARGET7,14,215,107,102,6,0.511627906977,False
rank_total_score,BOARD3,NONLOSS,3,14,3,11,0,0.214285714286,True
rank_total_score,BOARD3,TARGET7,2,8,3,4,1,0.4375,True
rank_theme_score,BOARD2,NONLOSS,14,167,51,20,96,0.592814371257,False
rank_theme_score,BOARD2,TARGET7,14,215,55,37,123,0.541860465116,False
rank_theme_score,BOARD3,NONLOSS,3,14,0,1,13,0.464285714286,True
rank_theme_score,BOARD3,TARGET7,2,8,1,0,7,0.5625,True
rank_days_since_d0,BOARD2,NONLOSS,14,167,0,14,153,0.458083832335,False
rank_days_since_d0,BOARD2,TARGET7,14,215,9,4,202,0.511627906977,False
rank_days_since_d0,BOARD3,NONLOSS,3,14,0,0,14,0.5,True
rank_days_since_d0,BOARD3,TARGET7,2,8,0,0,8,0.5,True
