feature,section,metric,estimate,p2.5,p50,p97.5,direction_probability,p_value,q_value,valid_resamples
rank_d1_close_ma10_pct,BOOTSTRAP,DELTA_NONLOSS_AUC,-0.323449014095,-0.514256325745,-0.325093403325,-0.0623090376722,0.98875,,,19994
rank_d1_close_ma10_pct,BOOTSTRAP,CONTRIBUTION_GAP,0.0138992675344,0.00647420766559,0.01410453409,0.0199553318742,0.99945,,,19994
rank_d1_low_ma10_pct,BOOTSTRAP,DELTA_NONLOSS_AUC,-0.42324319606,-0.588371622617,-0.420458466654,-0.198225824421,0.9983,,,19994
rank_d1_low_ma10_pct,BOOTSTRAP,CONTRIBUTION_GAP,0.0118337436226,0.00472482625241,0.0120059433092,0.0179141898997,0.9991,,,19994
rank_trend_hold_score,BOOTSTRAP,DELTA_NONLOSS_AUC,-0.165036891045,-0.45710092288,-0.168741675785,0.127306931545,0.87395,,,19994
rank_trend_hold_score,BOOTSTRAP,CONTRIBUTION_GAP,0.00305798345227,0.00178187302343,0.00303538063292,0.00442859246837,1,,,19994
rank_total_score,BOOTSTRAP,DELTA_NONLOSS_AUC,0.145306154327,-0.173731248061,0.130521625286,0.419244152264,0.19805,,,19994
rank_total_score,BOOTSTRAP,CONTRIBUTION_GAP,0.000364293746409,-0.00202153102116,0.00027476100871,0.00316145960165,0.58565,,,19994
rank_theme_score,BOOTSTRAP,DELTA_NONLOSS_AUC,-0.0678062462098,-0.331118415973,-0.0560810604448,0.273176262693,0.63955,,,19994
rank_theme_score,BOOTSTRAP,CONTRIBUTION_GAP,-0.00247108833287,-0.00861118042746,-0.00242614402756,0.00329970503423,0.2116,,,19994
rank_days_since_d0,BOOTSTRAP,DELTA_NONLOSS_AUC,-0.0271950860944,-0.336604392603,-0.0309194132198,0.284100728888,0.57415,,,19994
rank_days_since_d0,BOOTSTRAP,CONTRIBUTION_GAP,-0.000111601725192,-0.000412006472668,-0.000104260721885,0.000151925516312,0.18625,,,19994
rank_log_candidate_base_price,BOOTSTRAP,DELTA_NONLOSS_AUC,0.183210210045,-0.103759811617,0.187410793686,0.432445818071,0.0937,,,19994
rank_log_candidate_base_price,BOOTSTRAP,CONTRIBUTION_GAP,0.00225633499251,-0.00316172004208,0.00229267830657,0.00749414290066,0.7972,,,19994
rank_active_money_score,BOOTSTRAP,DELTA_NONLOSS_AUC,-0.218435874819,-0.467589171725,-0.219385760871,0.132225630357,0.8984,,,19994
rank_active_money_score,BOOTSTRAP,CONTRIBUTION_GAP,0.0150687896486,0.00410862397032,0.0152461617508,0.0249317965254,0.9954,,,19994
rank_d1_close_vwap_pct,BOOTSTRAP,DELTA_NONLOSS_AUC,-0.134314644321,-0.43517054176,-0.129256418962,0.22552136451,0.7864,,,19994
rank_d1_close_vwap_pct,BOOTSTRAP,CONTRIBUTION_GAP,0.0063191620026,0.00103415109682,0.00635625205476,0.0113001579478,0.9897,,,19994
inter_close_low,BOOTSTRAP,DELTA_NONLOSS_AUC,-0.354746678428,-0.527325215042,-0.351390337785,-0.114044851742,0.9955,,,19994
inter_close_low,BOOTSTRAP,CONTRIBUTION_GAP,0.0189475681628,0.00857777506986,0.0191793320221,0.0280443470028,0.9996,,,19994
inter_close_trend,BOOTSTRAP,DELTA_NONLOSS_AUC,-0.251070437547,-0.459715477086,-0.251152551898,-0.0226910553527,0.9838,,,19994
inter_close_trend,BOOTSTRAP,CONTRIBUTION_GAP,0.0100857942874,0.00534630717311,0.0101296281675,0.0144588469485,0.99975,,,19994
inter_total_trend,BOOTSTRAP,DELTA_NONLOSS_AUC,0.0353749747322,-0.304028239778,0.0376984084378,0.291700899329,0.40385,,,19994
inter_total_trend,BOOTSTRAP,CONTRIBUTION_GAP,0.000563782740625,-0.000655584314708,0.000543944936716,0.00190479314517,0.80675,,,19994
inter_total_active,BOOTSTRAP,DELTA_NONLOSS_AUC,-0.114853814065,-0.359021389055,-0.114778730702,0.0888745175486,0.86165,,,19994
inter_total_active,BOOTSTRAP,CONTRIBUTION_GAP,0.00399799232661,0.000618323261744,0.0040426336252,0.0070757203937,0.98805,,,19994
inter_low_active,BOOTSTRAP,DELTA_NONLOSS_AUC,-0.369810904681,-0.578194701366,-0.375631673431,-0.0552223799042,0.9869,,,19994
