feature,coefficient_mean,coefficient_median,coefficient_min,coefficient_max,coefficient_positive_fold_pct,coefficient_negative_fold_pct,coefficient_zero_fold_pct,coefficient_sign_stable,board2_feature_mean,board2_feature_median,board3_feature_mean,board3_feature_median,raw_feature_cliff_board3_vs_board2,same_date_feature_gap_positive_pct,mean_daily_contribution_gap,median_daily_contribution_gap,contribution_gap_positive_date_pct,board2_target7_auc,board2_nonloss_auc,board2_target7_cliff,board2_nonloss_cliff,board2_nonloss_pair_count,board2_nonloss_pair_concordance,board2_target7_pair_count,board2_target7_pair_concordance,board3_target7_auc,board3_nonloss_auc,board3_target7_cliff,board3_nonloss_cliff,board3_nonloss_pair_count,board3_nonloss_pair_concordance,board3_target7_pair_count,board3_target7_pair_concordance,delta_target7_auc,delta_nonloss_auc,response_category,overpromotion_relevant,mechanism_candidate,winner_safety_status,contribution_rank_spearman,bootstrap_delta_nonloss_p2.5,bootstrap_delta_nonloss_p50,bootstrap_delta_nonloss_p97.5,bootstrap_P_delta_nonloss_lt0,bootstrap_delta_target7_p2.5,bootstrap_delta_target7_p50,bootstrap_delta_target7_p97.5,bootstrap_P_delta_target7_lt0,bootstrap_contribution_gap_p2.5,bootstrap_contribution_gap_p50,bootstrap_contribution_gap_p97.5,bootstrap_P_gap_gt0,bootstrap_valid_resamples,lodo_delta_nonloss_negative_pct,lodo_board3_auc_below_half_pct,lodo_contribution_gap_positive_pct,lodo_delta_nonloss_min,lodo_delta_nonloss_median,lodo_delta_nonloss_max,interaction_p,target7_interaction_p,permutation_valid_resamples,target7_permutation_valid_resamples,interaction_q,response_inversion_pass
rank_d1_close_ma10_pct,0.0442467774051,0.0461057971864,0.030255527752,0.0586450138618,1,0,0,True,0.514429181929,0.5,0.764968253968,0.866666666667,0.498153846154,0.705882352941,0.0138992675344,0.0153787298101,0.705882352941,0.522463002114,0.551390190565,0.0449260042283,0.102780381131,167,0.497005988024,215,0.493023255814,0.402777777778,0.227941176471,-0.194444444444,-0.544117647059,14,0.142857142857,8,0.5,-0.119685224336,-0.323449014095,BOARD3_INVERTED,True,True,WINNER_HARMFUL,-0.815142201741,-0.514256325745,-0.325093403325,-0.0623090376722,0.98875,-0.467171870692,-0.131523118519,0.241057151855,0.75965,0.00647420766559,0.01410453409,0.0199553318742,0.99945,19994,1,1,1,-0.38533266129,-0.323683915771,-0.272604664762,0.0229,0.224177582242,9999,10000,0.08244,True
rank_d1_low_ma10_pct,0.0505684496384,0.0548034640039,0.0354959463544,0.0616523792778,1,0,0,True,0.522658730159,0.514705882353,0.722174603175,0.833333333333,0.4,0.705882352941,0.0118337436226,0.0149823157694,0.705882352941,0.53488372093,0.562949078413,0.0697674418605,0.125898156826,167,0.51497005988,215,0.520930232558,0.416666666667,0.139705882353,-0.166666666667,-0.720588235294,14,0.142857142857,8,0.625,-0.118217054264,-0.42324319606,BOARD3_INVERTED,True,True,WINNER_HARMFUL,-0.805883513564,-0.588371622617,-0.420458466654,-0.198225824421,0.9983,-0.440182385597,-0.129624692737,0.156769032133,0.8048,0.00472482625241,0.0120059433092,0.0179141898997,0.9991,19994,1,1,1,-0.45986509094,-0.419744318182,-0.383575667741,0.0009,0.160783921608,9999,10000,0.0162,True
rank_trend_hold_score,0.0180024510769,0.0172401027391,0.00658664456815,0.0261078255469,1,0,0,True,0.533866444014,0.583333333333,0.66389449113,0.714285714286,0.251692307692,0.705882352941,0.00305798345227,0.00241511783136,0.705882352941,0.546511627907,0.558419243986,0.093023255814,0.116838487973,167,0.458083832335,215,0.488372093023,0.576388888889,0.393382352941,0.152777777778,-0.213235294118,14,0.678571428571,8,0.75,0.0298772609819,-0.165036891045,BOARD3_INVERTED,True,True,WINNER_ALIGNED,-0.518827758334,-0.45710092288,-0.168741675785,0.127306931545,0.87395,-0.385842954436,0.029207929104,0.328834798089,0.44165,0.00178187302343,0.00303538063292,0.00442859246837,1,19994,1,1,1,-0.285264992137,-0.164752567694,-0.100042420814,0.1119,0.563243675632,9999,10000,0.2238,False
rank_total_score,-0.0120812616969,-0.0151902769689,-0.0318862588894,0.00994406484781,0.294117647059,0.705882352941,0,False,0.555405444229,0.552777777778,0.551891690009,0.533333333333,-0.0110769230769,0.411764705882,0.000364293746409,-5.50084188482e-05,0.411764705882,0.526955602537,0.479693845673,0.053911205074,-0.0406123086535,167,0.505988023952,215,0.511627906977,0.586805555556,0.625,0.173611111111,0.25,14,0.214285714286,8,0.4375,0.0598499530186,0.145306154327,OTHER,True,False,WINNER_ALIGNED,0.0236033001469,-0.173731248061,0.130521625286,0.419244152264,0.19805,-0.284437026635,0.044612880829,0.389375080802,0.40435,-0.00202153102116,0.00027476100871,0.00316145960165,0.58565,19994,0,0,0.941176470588,0.085394265233,0.15574048913,0.223442347741,0.8385,0.620837916208,9999,10000,0.887823529412,False
rank_theme_score,0.0453011224433,0.0450993848277,0.0376076000127,0.0538744734626,1,0,0,True,0.557101379013,0.625,0.543072829132,0.6,-0.108923076923,0.470588235294,-0.00247108833287,0.00127456291303,0.411764705882,0.586812896406,0.60824742268,0.173625792812,0.216494845361,167,0.592814371257,215,0.541860465116,0.572916666667,0.540441176471,0.145833333333,0.0808823529412,14,0.464285714286,8,0.5625,-0.0138962297393,-0.0678062462098,BOARD3_DEGRADED,False,False,WINNER_ALIGNED,-0.0463495335363,-0.331118415973,-0.0560810604448,0.273176262693,0.63955,-0.348559284614,0.0176620218422,0.374207726871,0.4644,-0.00861118042746,-0.00242614402756,0.00329970503423,0.2116,19994,0.882352941176,0.176470588235,0,-0.136473820297,-0.062395702962,0.00787520064205,0.5736,0.400259974003,9999,10000,0.737485714286,False
rank_days_since_d0,0.0178929172486,0.0183498870518,0.014236823492,0.0202899491283,1,0,0,True,0.55771250808,0.555555555556,0.539894957983,0.555555555556,-0.0932307692308,0.235294117647,-0.000111601725192,0,0.117647058824,0.436046511628,0.416900968447,-0.127906976744,-0.166198063105,167,0.458083832335,215,0.511627906977,0.423611111111,0.389705882353,-0.152777777778,-0.220588235294,14,0.5,8,0.5,-0.0124354005168,-0.0271950860944,SHARED_BAD,False,False,WINNER_HARMFUL,0.0783087824491,-0.336604392603,-0.0309194132198,0.284100728888,0.57415,-0.352590143569,-0.0235382337197,0.346567052739,0.5503,-0.000412006472668,-0.000104260721885,0.000151925516312,0.18625,19994,0.705882352941,1,0,-0.110914623987,-0.0360047043011,0.0486559139785,0.3997,0.353664633537,9999,10000,0.566446153846,False
rank_log_candidate_base_price,0.0403672327132,0.0377280952471,0.00119997061217,0.0666233892488,1,0,0,True,0.549941822883,0.542483660131,0.580302521008,0.571428571429,0.0636923076923,0.470588235294,0.00225633499251,0.00223156837691,0.470588235294,0.582188160677,0.507966260544,0.164376321353,0.0159325210872,167,0.461077844311,215,0.488372093023,0.4375,0.691176470588,-0.125,0.382352941176,14,0.714285714286,8,0.375,-0.144688160677,0.183210210045,OTHER,True,False,WINNER_HARMFUL,-0.310957649986,-0.103759811617,0.187410793686,0.432445818071,0.0937,-0.42281006673,-0.143553327764,0.211529264864,0.7931,-0.00316172004208,0.00229267830657,0.00749414290066,0.7972,19994,0,0,1,0.114065008026,0.189902196294,0.228286600836,0.9212,0.178382161784,9999,10000,0.9212,False
rank_active_money_score,0.0704062125921,0.0786795404173,0.0415515581144,0.091405021632,1,0,0,True,0.527823924442,0.516666666667,0.695315592904,0.666666666667,0.342461538462,0.705882352941,0.0150687896486,0.0147253547583,0.705882352941,0.460623678647,0.475788815995,-0.0787526427061,-0.04842236801,167,0.473053892216,215,0.460465116279,0.375,0.257352941176,-0.25,-0.485294117647,14,0.0714285714286,8,0.375,-0.0856236786469,-0.218435874819,OTHER,True,False,WINNER_HARMFUL,-0.571799290268,-0.467589171725,-0.219385760871,0.132225630357,0.8984,-0.387929081984,-0.0963209083451,0.218588677689,0.72265,0.00410862397032,0.0152461617508,0.0249317965254,0.9954,19994,1,1,1,-0.311488871458,-0.211498060763,-0.103829317013,0.0473,0.357664233577,9999,10000,0.121628571429,False
rank_d1_close_vwap_pct,0.0289245668511,0.0276531731837,0.0102706630542,0.0489665956723,1,0,0,True,0.530519643755,0.514705882353,0.681297852474,0.777777777778,0.302461538462,0.588235294118,0.0063191620026,0.00839979917314,0.647058823529,0.504756871036,0.546079350203,0.00951374207188,0.0921587004061,167,0.502994011976,215,0.409302325581,0.395833333333,0.411764705882,-0.208333333333,-0.176470588235,14,0.357142857143,8,0.625,-0.108923537703,-0.134314644321,OTHER,True,False,WINNER_HARMFUL,-0.306383983907,-0.43517054176,-0.129256418962,0.22552136451,0.7864,-0.383279115674,-0.0955975867125,0.204817276111,0.7403,0.00103415109682,0.00635625205476,0.0113001579478,0.9897,19994,1,1,1,-0.225421348315,-0.123696287025,-0.0337140467859,0.4091,0.346665333467,9999,10000,0.566446153846,False
inter_close_low,0.0585507743369,0.0644588184867,0.0386129066121,0.0746441289349,1,0,0,True,0.336555673342,0.263888888889,0.588988517259,0.694444444444,0.452923076923,0.647058823529,0.0189475681628,0.0234664001785,0.647058823529,0.513213530655,0.545923149016,0.0264270613108,0.0918462980319,167,0.505988023952,215,0.520930232558,0.402777777778,0.191176470588,-0.194444444444,-0.617647058824,14,0.214285714286,8,0.5,-0.110435752878,-0.354746678428,OTHER,True,False,WINNER_HARMFUL,-0.878755058774,-0.527325215042,-0.351390337785,-0.114044851742,0.9955,-0.450124438552,-0.133103603542,0.174479133565,0.79235,0.00857777506986,0.0191793320221,0.0280443470028,0.9996,19994,1,1,1,-0.400772270115,-0.351528679654,-0.31980298913,0.0082,0.187181281872,9999,10000,0.0492,False
inter_close_trend,0.038226594311,0.0444974672267,0.0165030561364,0.0520813224657,1,0,0,True,0.321483514786,0.285714285714,0.505501753664,0.551020408163,0.440923076923,0.764705882353,0.0100857942874,0.00967072975782,0.764705882353,0.479783298097,0.5157763199,-0.0404334038055,0.0315526398001,167,0.455089820359,215,0.453488372093,0.479166666667,0.264705882353,-0.0416666666667,-0.470588235294,14,0.428571428571,8,0.875,-0.000616631430585,-0.251070437547,OTHER,True,False,WINNER_NEUTRAL,-0.77518197139,-0.459715477086,-0.251152551898,-0.0226910553527,0.9838,-0.374644278948,-0.00893125206068,0.342387776496,0.51735,0.00534630717311,0.0101296281675,0.0144588469485,0.99975,19994,1,1,1,-0.29727145225,-0.248779121864,-0.204508726568,0.0391,0.50404959504,9999,10000,0.1173,False
inter_total_trend,0.00900918161594,0.0116993273681,-0.00620956543429,0.0164833289184,0.764705882353,0.235294117647,0,False,0.331579451351,0.232743055556,0.397603433617,0.4375,0.162461538462,0.529411764706,0.000563782740625,0.000588950008471,0.470588235294,0.629492600423,0.611683848797,0.258985200846,0.223367697595,167,0.544910179641,215,0.548837209302,0.697916666667,0.647058823529,0.395833333333,0.294117647059,14,0.714285714286,8,0.6875,0.0684240662438,0.0353749747322,HEALTHY_SHARED,True,False,WINNER_ALIGNED,-0.226617397858,-0.304028239778,0.0376984084378,0.291700899329,0.40385,-0.309992942243,0.0859468189923,0.395190583892,0.3298,-0.000655584314708,0.000543944936716,0.00190479314517,0.80675,19994,0.176470588235,0,1,-0.0240143369176,0.0363905342508,0.115109324444,0.6797,0.706429357064,9999,10000,0.81564,False
inter_total_active,0.0433803950024,0.0434693480121,0.0356544374097,0.0488075492173,1,0,0,True,0.256379858502,0.232743055556,0.325115964033,0.337777777778,0.285538461538,0.647058823529,0.00399799232661,0.00477156068155,0.647058823529,0.531712473573,0.58544204936,0.0634249471459,0.170884098719,167,0.574850299401,215,0.511627906977,0.614583333333,0.470588235294,0.229166666667,-0.0588235294118,14,0.642857142857,8,0.9375,0.0828708597604,-0.114853814065,BOARD3_DEGRADED,True,True,WINNER_ALIGNED,-0.614439406818,-0.359021389055,-0.114778730702,0.0888745175486,0.86165,-0.252980660369,0.0930746148448,0.401447782239,0.28615,0.000618323261744,0.0040426336252,0.0070757203937,0.98805,19994,1,0.764705882353,1,-0.151143270007,-0.127919911012,-0.0577449923003,0.0749,0.670632936706,9999,10000,0.168525,False
inter_low_active,0.0730487033122,0.0769004292088,0.0454037312355,0.0964209990014,1,0,0,True,0.300203046983,0.239636479592,0.51920933818,0.506666666667,0.447384615385,0.705882352941,0.0206059767888,0.0209146201615,0.705882352941,0.481236786469,0.51686972821,-0.0375264270613,0.0337394564199,167,0.511976047904,215,0.483720930233,0.378472222222,0.147058823529,-0.243055555556,-0.705882352941,14,0.0714285714286,8,0.5625,-0.102764564247,-0.369810904681,OTHER,True,False,WINNER_HARMFUL,-0.856655742928,-0.578194701366,-0.375631673431,-0.0552223799042,0.9869,-0.404003926843,-0.114871328359,0.157111543936,0.78575,0.00926638666124,0.0207250339848,0.0311670231248,0.99955,19994,1,1,1,-0.444878174331,-0.36773989899,-0.287002210039,0.0032,0.216278372163,9999,10000,0.0288,False
spread_close_low,-0.00632167223329,-0.0064333534188,-0.0122112640184,0.000632899189384,0.0588235294118,0.941176470588,0,True,-0.00822954822955,0,0.0427936507937,0,0.147384615385,0.352941176471,-0.000581663773523,8.47032947254e-22,0.411764705882,0.483483086681,0.494376757263,-0.0330338266385,-0.0112464854733,167,0.467065868263,215,0.520930232558,0.520833333333,0.367647058824,0.0416666666667,-0.264705882353,14,0.428571428571,8,0.5625,0.0373502466526,-0.12672969844,OTHER,False,False,WINNER_NEUTRAL,0.0672705837675,-0.319299368711,-0.12775467372,0.0405184184251,0.93155,-0.316017340767,0.0378947803647,0.362854350934,0.41015,-0.00161140976893,-0.000549197753093,0.00030938896562,0.1139,19994,1,1,0,-0.171670910212,-0.128000910229,-0.0774210851122,0.1423,0.563243675632,9999,10000,0.25614,False
days_since_d0_le1,0.112026412844,0.112647119017,0.0816597961912,0.134866881998,1,0,0,True,0.884615384615,1,0.92,1,0.0353846153846,0.117647058824,0.00210021278201,0,0.176470588235,0.471855179704,0.571852546079,-0.056289640592,0.143705092159,167,0.535928143713,215,0.490697674419,0.319444444444,0.235294117647,-0.361111111111,-0.529411764706,14,0.5,8,0.5,-0.15241073526,-0.336558428432,BOARD3_INVERTED,True,True,WINNER_HARMFUL,-0.0529132239338,-0.53457126005,-0.320588656136,-0.0878459097078,0.99415,-0.43305928065,-0.130800387506,0.186581040739,0.79095,-5.94762334621e-18,0.00201155569674,0.0052062034124,0.8947,19994,1,1,1,-0.386957361016,-0.328464673913,-0.290860215054,0.0177,0.205879412059,9999,10000,0.07965,True
days_since_d0_eq2,0.000955904174396,0,0,0.00626709453659,0.235294117647,0,0.764705882353,False,0.0307692307692,0,0,0,-0.0307692307692,0,0,0,0,0.494186046512,0.484848484848,-0.0116279069767,-0.030303030303,167,0.479041916168,215,0.493023255814,0.5,0.5,0,0,14,0.5,8,0.5,0.00581395348837,0.0151515151515,SHARED_WEAK,False,False,WINNER_NEUTRAL,0.0775651137004,0,0.0142857142857,0.0416666666667,0,0,0.00561797752809,0.0172413793103,0,0,0,0,0,19994,0,0,0,0,0.0161290322581,0.0178571428571,0.7895,0.278772122788,9999,10000,0.887823529412,False
days_since_d0_ge3,-0.112982317019,-0.112647119017,-0.134866881998,-0.0847675908007,0,1,0,True,0.0846153846154,0,0.08,0,-0.00461538461538,0,0,0,0,0.49656448203,0.503905029678,-0.0068710359408,0.00781005935645,167,0.5,215,0.5,0.475694444444,0.441176470588,-0.0486111111111,-0.117647058824,14,0.5,8,0.5,-0.0208700375852,-0.06272855909,OTHER,False,False,WINNER_NEUTRAL,0,-0.224165824057,-0.0551801801802,0.0322580645161,0.829,-0.103730182475,-0.0148514851485,0.0820892300102,0.68335,0,0,0,0,19994,1,0.941176470588,0,-0.0954672956777,-0.0660842293907,-0.00873655913978,0.2302,0.798520147985,9999,10000,0.376690909091,False
