event_id,signal_date,code,board_streak_before_break,board_group,d2_date,d3_date,label_available_date,target7,loss,severe_loss_5,raw_repair_return,capped_return_7
000980_2026-05-06,2026-05-06,000980,2,BOARD2,2026-05-07,2026-05-08,2026-05-08,0,0,0,0.0666666666667,0.0666666666667
002192_2026-05-06,2026-05-06,002192,2,BOARD2,2026-05-07,2026-05-08,2026-05-08,0,1,0,-0.0226659471128,-0.0226659471128
002645_2026-05-06,2026-05-06,002645,2,BOARD2,2026-05-07,2026-05-08,2026-05-08,0,0,0,0.051467784979,0.051467784979
002842_2026-05-06,2026-05-06,002842,2,BOARD2,2026-05-07,2026-05-08,2026-05-08,0,1,0,-0.0149367088608,-0.0149367088608
600714_2026-05-06,2026-05-06,600714,2,BOARD2,2026-05-07,2026-05-08,2026-05-08,1,0,0,0.0974813432836,0.07
605099_2026-05-06,2026-05-06,605099,2,BOARD2,2026-05-07,2026-05-08,2026-05-08,0,0,0,0.065124771759,0.065124771759
000402_2026-05-07,2026-05-07,000402,3,BOARD3,2026-05-08,2026-05-11,2026-05-11,0,0,0,0.018018018018,0.018018018018
000553_2026-05-07,2026-05-07,000553,2,BOARD2,2026-05-08,2026-05-11,2026-05-11,0,0,0,0,0
000783_2026-05-07,2026-05-07,000783,2,BOARD2,2026-05-08,2026-05-11,2026-05-11,1,0,0,0.0852340936375,0.07
001316_2026-05-07,2026-05-07,001316,2,BOARD2,2026-05-08,2026-05-11,2026-05-11,1,0,0,0.0725493504302,0.07
002149_2026-05-07,2026-05-07,002149,2,BOARD2,2026-05-08,2026-05-11,2026-05-11,0,0,0,0.0508381423468,0.0508381423468
002158_2026-05-07,2026-05-07,002158,2,BOARD2,2026-05-08,2026-05-11,2026-05-11,1,0,0,0.0802274162982,0.07
002181_2026-05-07,2026-05-07,002181,2,BOARD2,2026-05-08,2026-05-11,2026-05-11,0,0,0,0.0322580645161,0.0322580645161
002453_2026-05-07,2026-05-07,002453,2,BOARD2,2026-05-08,2026-05-11,2026-05-11,1,0,0,0.0826446280992,0.07
002640_2026-05-07,2026-05-07,002640,2,BOARD2,2026-05-08,2026-05-11,2026-05-11,1,0,0,0.123762376238,0.07
002805_2026-05-07,2026-05-07,002805,3,BOARD3,2026-05-08,2026-05-11,2026-05-11,0,0,0,0.0415657788539,0.0415657788539
002989_2026-05-07,2026-05-07,002989,2,BOARD2,2026-05-08,2026-05-11,2026-05-11,0,0,0,0.0650887573964,0.0650887573964
603937_2026-05-07,2026-05-07,603937,3,BOARD3,2026-05-08,2026-05-11,2026-05-11,1,0,0,0.102715466352,0.07
000066_2026-05-08,2026-05-08,000066,3,BOARD3,2026-05-11,2026-05-12,2026-05-12,0,0,0,0.0497553017945,0.0497553017945
000818_2026-05-08,2026-05-08,000818,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,0,1,0,-0.0189291508924,-0.0189291508924
000889_2026-05-08,2026-05-08,000889,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,0,1,0,-0.0018315018315,-0.0018315018315
000967_2026-05-08,2026-05-08,000967,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,0,1,0,-0.0251572327044,-0.0251572327044
002217_2026-05-08,2026-05-08,002217,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,0,0,0,0.0224719101124,0.0224719101124
002903_2026-05-08,2026-05-08,002903,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,1,0,0,0.097699890471,0.07
003041_2026-05-08,2026-05-08,003041,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,1,0,0,0.105230386052,0.07
600396_2026-05-08,2026-05-08,600396,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,1,0,0,0.187845303867,0.07
600673_2026-05-08,2026-05-08,600673,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,0,1,0,-0.0276394422311,-0.0276394422311
600719_2026-05-08,2026-05-08,600719,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,1,0,0,0.172185430464,0.07
603158_2026-05-08,2026-05-08,603158,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,0,1,0,-0.00126502213789,-0.00126502213789
603256_2026-05-08,2026-05-08,603256,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,0,0,0,0.0207530588792,0.0207530588792
603316_2026-05-08,2026-05-08,603316,2,BOARD2,2026-05-11,2026-05-12,2026-05-12,0,1,0,-0.0342396777442,-0.0342396777442
000720_2026-05-11,2026-05-11,000720,2,BOARD2,2026-05-12,2026-05-13,2026-05-13,1,0,0,0.115864527629,0.07
002031_2026-05-11,2026-05-11,002031,2,BOARD2,2026-05-12,2026-05-13,2026-05-13,0,0,0,0.0444444444444,0.0444444444444
002317_2026-05-11,2026-05-11,002317,2,BOARD2,2026-05-12,2026-05-13,2026-05-13,0,1,0,-0.00583482944345,-0.00583482944345
002655_2026-05-11,2026-05-11,002655,2,BOARD2,2026-05-12,2026-05-13,2026-05-13,0,0,0,0.00264200792602,0.00264200792602
002929_2026-05-11,2026-05-11,002929,2,BOARD2,2026-05-12,2026-05-13,2026-05-13,1,0,0,0.134108527132,0.07
002930_2026-05-11,2026-05-11,002930,2,BOARD2,2026-05-12,2026-05-13,2026-05-13,0,0,0,0.0387692307692,0.0387692307692
600130_2026-05-11,2026-05-11,600130,3,BOARD3,2026-05-12,2026-05-13,2026-05-13,0,0,0,0.0622009569378,0.0622009569378
600936_2026-05-11,2026-05-11,600936,2,BOARD2,2026-05-12,2026-05-13,2026-05-13,1,0,0,0.078431372549,0.07
603278_2026-05-11,2026-05-11,603278,3,BOARD3,2026-05-12,2026-05-13,2026-05-13,1,0,0,0.0812080536913,0.07
603618_2026-05-11,2026-05-11,603618,3,BOARD3,2026-05-12,2026-05-13,2026-05-13,1,0,0,0.0997333333333,0.07
603636_2026-05-11,2026-05-11,603636,2,BOARD2,2026-05-12,2026-05-13,2026-05-13,1,0,0,0.0736363636364,0.07
002030_2026-05-12,2026-05-12,002030,2,BOARD2,2026-05-13,2026-05-14,2026-05-14,0,0,0,0.00294985250737,0.00294985250737
002281_2026-05-12,2026-05-12,002281,2,BOARD2,2026-05-13,2026-05-14,2026-05-14,1,0,0,0.0856588949543,0.07
002865_2026-05-12,2026-05-12,002865,2,BOARD2,2026-05-13,2026-05-14,2026-05-14,1,0,0,0.0740776699029,0.07
600078_2026-05-12,2026-05-12,600078,2,BOARD2,2026-05-13,2026-05-14,2026-05-14,0,0,0,0.018954248366,0.018954248366
600234_2026-05-12,2026-05-12,600234,2,BOARD2,2026-05-13,2026-05-14,2026-05-14,0,0,0,0.00400935516204,0.00400935516204
600545_2026-05-12,2026-05-12,600545,2,BOARD2,2026-05-13,2026-05-14,2026-05-14,1,0,0,0.104575163399,0.07
600748_2026-05-12,2026-05-12,600748,2,BOARD2,2026-05-13,2026-05-14,2026-05-14,0,0,0,0.00683760683761,0.00683760683761
603459_2026-05-12,2026-05-12,603459,3,BOARD3,2026-05-13,2026-05-14,2026-05-14,0,0,0,0.0457010069713,0.0457010069713
603738_2026-05-12,2026-05-12,603738,3,BOARD3,2026-05-13,2026-05-14,2026-05-14,1,0,0,0.0746436609152,0.07
605006_2026-05-12,2026-05-12,605006,3,BOARD3,2026-05-13,2026-05-14,2026-05-14,0,0,0,0.00727713765919,0.00727713765919
605189_2026-05-12,2026-05-12,605189,2,BOARD2,2026-05-13,2026-05-14,2026-05-14,0,0,0,0.0310526315789,0.0310526315789
000029_2026-05-13,2026-05-13,000029,2,BOARD2,2026-05-14,2026-05-15,2026-05-15,1,0,0,0.126739375705,0.07
000672_2026-05-13,2026-05-13,000672,2,BOARD2,2026-05-14,2026-05-15,2026-05-15,0,0,0,0.0344626168224,0.0344626168224
001211_2026-05-13,2026-05-13,001211,2,BOARD2,2026-05-14,2026-05-15,2026-05-15,1,0,0,0.143516737207,0.07
600076_2026-05-13,2026-05-13,600076,3,BOARD3,2026-05-14,2026-05-15,2026-05-15,0,0,0,0.0564705882353,0.0564705882353
600488_2026-05-13,2026-05-13,600488,2,BOARD2,2026-05-14,2026-05-15,2026-05-15,0,0,0,0.0198300283286,0.0198300283286
600683_2026-05-13,2026-05-13,600683,3,BOARD3,2026-05-14,2026-05-15,2026-05-15,0,1,0,-0.047619047619,-0.047619047619
600869_2026-05-13,2026-05-13,600869,2,BOARD2,2026-05-14,2026-05-15,2026-05-15,0,1,0,-0.00606060606061,-0.00606060606061
603061_2026-05-13,2026-05-13,603061,2,BOARD2,2026-05-14,2026-05-15,2026-05-15,0,1,0,-0.0068588808541,-0.0068588808541
603269_2026-05-13,2026-05-13,603269,2,BOARD2,2026-05-14,2026-05-15,2026-05-15,0,0,0,0.0516252390057,0.0516252390057
000601_2026-05-14,2026-05-14,000601,2,BOARD2,2026-05-15,2026-05-18,2026-05-18,0,1,0,-0.0171358629131,-0.0171358629131
000767_2026-05-14,2026-05-14,000767,2,BOARD2,2026-05-15,2026-05-18,2026-05-18,1,0,0,0.0957446808511,0.07
000925_2026-05-14,2026-05-14,000925,2,BOARD2,2026-05-15,2026-05-18,2026-05-18,0,1,0,-0.0422680412371,-0.0422680412371
002498_2026-05-14,2026-05-14,002498,2,BOARD2,2026-05-15,2026-05-18,2026-05-18,0,1,0,-0.0415057915058,-0.0415057915058
600172_2026-05-14,2026-05-14,600172,3,BOARD3,2026-05-15,2026-05-18,2026-05-18,0,0,0,0.0336496980155,0.0336496980155
600396_2026-05-14,2026-05-14,600396,3,BOARD3,2026-05-15,2026-05-18,2026-05-18,1,0,0,0.0854430379747,0.07
603070_2026-05-14,2026-05-14,603070,2,BOARD2,2026-05-15,2026-05-18,2026-05-18,0,0,0,0.0683229813665,0.0683229813665
603203_2026-05-14,2026-05-14,603203,2,BOARD2,2026-05-15,2026-05-18,2026-05-18,0,1,0,-0.00526071483831,-0.00526071483831
001210_2026-05-15,2026-05-15,001210,2,BOARD2,2026-05-18,2026-05-19,2026-05-19,0,0,0,0.0627177700348,0.0627177700348
001223_2026-05-15,2026-05-15,001223,2,BOARD2,2026-05-18,2026-05-19,2026-05-19,0,1,0,-0.0146305779078,-0.0146305779078
002208_2026-05-15,2026-05-15,002208,3,BOARD3,2026-05-18,2026-05-19,2026-05-19,1,0,0,0.0998248686515,0.07
002782_2026-05-15,2026-05-15,002782,2,BOARD2,2026-05-18,2026-05-19,2026-05-19,1,0,0,0.0849390483681,0.07
002940_2026-05-15,2026-05-15,002940,2,BOARD2,2026-05-18,2026-05-19,2026-05-19,0,0,0,0.0470054879504,0.0470054879504
600156_2026-05-15,2026-05-15,600156,2,BOARD2,2026-05-18,2026-05-19,2026-05-19,1,0,0,0.0793650793651,0.07
600857_2026-05-15,2026-05-15,600857,2,BOARD2,2026-05-18,2026-05-19,2026-05-19,1,0,0,0.125475285171,0.07
600903_2026-05-15,2026-05-15,600903,2,BOARD2,2026-05-18,2026-05-19,2026-05-19,1,0,0,0.271653543307,0.07
603007_2026-05-15,2026-05-15,603007,3,BOARD3,2026-05-18,2026-05-19,2026-05-19,0,0,0,0.0202140309156,0.0202140309156
603052_2026-05-15,2026-05-15,603052,3,BOARD3,2026-05-18,2026-05-19,2026-05-19,0,1,0,-0.0315454545455,-0.0315454545455
603093_2026-05-15,2026-05-15,603093,2,BOARD2,2026-05-18,2026-05-19,2026-05-19,1,0,0,0.0962138084633,0.07
002971_2026-05-18,2026-05-18,002971,2,BOARD2,2026-05-19,2026-05-20,2026-05-20,0,0,0,0.046664909043,0.046664909043
002374_2026-05-19,2026-05-19,002374,2,BOARD2,2026-05-20,2026-05-21,2026-05-21,0,0,0,0.0236842105263,0.0236842105263
003018_2026-05-19,2026-05-19,003018,3,BOARD3,2026-05-20,2026-05-21,2026-05-21,1,0,0,0.0713531452708,0.07
601133_2026-05-19,2026-05-19,601133,2,BOARD2,2026-05-20,2026-05-21,2026-05-21,1,0,0,0.190651085142,0.07
601678_2026-05-19,2026-05-19,601678,2,BOARD2,2026-05-20,2026-05-21,2026-05-21,0,0,0,0.0402576489533,0.0402576489533
002208_2026-05-20,2026-05-20,002208,2,BOARD2,2026-05-21,2026-05-22,2026-05-22,0,1,1,-0.0725490196078,-0.0725490196078
002552_2026-05-20,2026-05-20,002552,2,BOARD2,2026-05-21,2026-05-22,2026-05-22,1,0,0,0.0844226579521,0.07
600758_2026-05-20,2026-05-20,600758,2,BOARD2,2026-05-21,2026-05-22,2026-05-22,0,0,0,0.0168067226891,0.0168067226891
600850_2026-05-20,2026-05-20,600850,2,BOARD2,2026-05-21,2026-05-22,2026-05-22,0,0,0,0.038338658147,0.038338658147
600903_2026-05-20,2026-05-20,600903,2,BOARD2,2026-05-21,2026-05-22,2026-05-22,1,0,0,0.145317545748,0.07
603115_2026-05-20,2026-05-20,603115,2,BOARD2,2026-05-21,2026-05-22,2026-05-22,1,0,0,0.205409887035,0.07
603206_2026-05-20,2026-05-20,603206,2,BOARD2,2026-05-21,2026-05-22,2026-05-22,0,1,0,-0.00410888546482,-0.00410888546482
603311_2026-05-20,2026-05-20,603311,3,BOARD3,2026-05-21,2026-05-22,2026-05-22,1,0,0,0.172352523099,0.07
603989_2026-05-20,2026-05-20,603989,2,BOARD2,2026-05-21,2026-05-22,2026-05-22,1,0,0,0.11015625,0.07
605218_2026-05-20,2026-05-20,605218,2,BOARD2,2026-05-21,2026-05-22,2026-05-22,0,1,0,-0.0201499531396,-0.0201499531396
000417_2026-05-21,2026-05-21,000417,3,BOARD3,2026-05-22,2026-05-25,2026-05-25,1,0,0,0.101020408163,0.07
002272_2026-05-21,2026-05-21,002272,3,BOARD3,2026-05-22,2026-05-25,2026-05-25,1,0,0,0.0904325032765,0.07
002782_2026-05-21,2026-05-21,002782,2,BOARD2,2026-05-22,2026-05-25,2026-05-25,0,0,0,0.039652173913,0.039652173913
600563_2026-05-21,2026-05-21,600563,2,BOARD2,2026-05-22,2026-05-25,2026-05-25,1,0,0,0.103625,0.07
603938_2026-05-21,2026-05-21,603938,3,BOARD3,2026-05-22,2026-05-25,2026-05-25,0,1,0,-0.0416666666667,-0.0416666666667
605288_2026-05-21,2026-05-21,605288,2,BOARD2,2026-05-22,2026-05-25,2026-05-25,0,0,0,0.0422794117647,0.0422794117647
003004_2026-05-22,2026-05-22,003004,2,BOARD2,2026-05-25,2026-05-26,2026-05-26,1,0,0,0.126801152738,0.07
000012_2026-05-25,2026-05-25,000012,2,BOARD2,2026-05-26,2026-05-27,2026-05-27,0,0,0,0.0617848970252,0.0617848970252
000725_2026-05-25,2026-05-25,000725,2,BOARD2,2026-05-26,2026-05-27,2026-05-27,1,0,0,0.166666666667,0.07
001225_2026-05-25,2026-05-25,001225,2,BOARD2,2026-05-26,2026-05-27,2026-05-27,0,0,0,0.0492430833478,0.0492430833478
002036_2026-05-25,2026-05-25,002036,2,BOARD2,2026-05-26,2026-05-27,2026-05-27,0,0,0,0.0373563218391,0.0373563218391
002442_2026-05-25,2026-05-25,002442,3,BOARD3,2026-05-26,2026-05-27,2026-05-27,0,0,0,0.00251256281407,0.00251256281407
002931_2026-05-25,2026-05-25,002931,2,BOARD2,2026-05-26,2026-05-27,2026-05-27,0,0,0,0.0478995504573,0.0478995504573
600303_2026-05-25,2026-05-25,600303,2,BOARD2,2026-05-26,2026-05-27,2026-05-27,0,0,0,0.00546448087432,0.00546448087432
600611_2026-05-25,2026-05-25,600611,3,BOARD3,2026-05-26,2026-05-27,2026-05-27,0,1,1,-0.0594227504244,-0.0594227504244
000636_2026-05-26,2026-05-26,000636,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,1,0,0,0.158095238095,0.07
002421_2026-05-26,2026-05-26,002421,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,0,0,0.0553191489362,0.0553191489362
002432_2026-05-26,2026-05-26,002432,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,1,1,-0.0606593406593,-0.0606593406593
002741_2026-05-26,2026-05-26,002741,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,1,0,0,0.120460266091,0.07
002897_2026-05-26,2026-05-26,002897,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,0,0,0.0274577102231,0.0274577102231
002938_2026-05-26,2026-05-26,002938,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,1,0,-0.0224137931034,-0.0224137931034
002975_2026-05-26,2026-05-26,002975,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,0,0,0.0652070442646,0.0652070442646
002980_2026-05-26,2026-05-26,002980,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,0,0,0.0574722997928,0.0574722997928
600186_2026-05-26,2026-05-26,600186,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,1,1,-0.12433661865,-0.12433661865
600234_2026-05-26,2026-05-26,600234,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,1,1,-0.0880968392737,-0.0880968392737
600503_2026-05-26,2026-05-26,600503,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,0,0,0.0321428571429,0.0321428571429
600539_2026-05-26,2026-05-26,600539,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,0,0,0.0260869565217,0.0260869565217
603001_2026-05-26,2026-05-26,603001,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,0,0,0.000943396226415,0.000943396226415
603256_2026-05-26,2026-05-26,603256,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,1,0,0,0.0785286103542,0.07
603661_2026-05-26,2026-05-26,603661,3,BOARD3,2026-05-27,2026-05-28,2026-05-28,0,1,0,-0.00778097982709,-0.00778097982709
603663_2026-05-26,2026-05-26,603663,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,1,0,0,0.123469387755,0.07
603936_2026-05-26,2026-05-26,603936,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,0,0,0,0.00308641975309,0.00308641975309
605580_2026-05-26,2026-05-26,605580,2,BOARD2,2026-05-27,2026-05-28,2026-05-28,1,0,0,0.1272,0.07
000510_2026-05-27,2026-05-27,000510,3,BOARD3,2026-05-28,2026-05-29,2026-05-29,0,0,0,0.00334821428571,0.00334821428571
