event_id,signal_date,code,board_group,candidate_count,stage1_score,stage1_rank,stage1_rank_percentile,stage1_top10,stage1_top5,stage1_top3,target7,loss,severe_loss_5,raw_repair_return,capped_return_7,opportunity_bucket
600280_2026-06-03,2026-06-03,600280,BOARD3,7,0.661570074138,1,0,True,True,True,0,1,0,-0.0125313283208,-0.0125313283208,LOW
002579_2026-06-03,2026-06-03,002579,BOARD2,7,0.648088228314,2,0.166666666667,True,True,True,0,0,0,0.0540254237288,0.0540254237288,LOW
001210_2026-06-03,2026-06-03,001210,BOARD2,7,0.640125977555,3,0.333333333333,True,True,True,0,1,1,-0.244557534634,-0.244557534634,LOW
002404_2026-06-03,2026-06-03,002404,BOARD2,7,0.632443506963,4,0.5,True,True,False,0,0,0,0.0299319727891,0.0299319727891,LOW
000055_2026-06-03,2026-06-03,000055,BOARD2,7,0.600695323283,5,0.666666666667,True,True,False,0,0,0,0,0,LOW
002421_2026-06-03,2026-06-03,002421,BOARD2,7,0.592765147736,6,0.833333333333,True,False,False,0,0,0,0.0698151950719,0.0698151950719,LOW
603045_2026-06-03,2026-06-03,603045,BOARD2,7,0.588764385877,7,1,True,False,False,1,0,0,0.154815115807,0.07,LOW
600121_2026-06-04,2026-06-04,600121,BOARD3,6,0.65292892361,1,0,True,True,True,0,1,0,-0.00709219858156,-0.00709219858156,LOW
600487_2026-06-04,2026-06-04,600487,BOARD2,6,0.640526468833,2,0.2,True,True,True,0,0,0,0.0659375,0.0659375,LOW
002137_2026-06-04,2026-06-04,002137,BOARD2,6,0.621397884231,3,0.4,True,True,True,0,0,0,0.0068359375,0.0068359375,LOW
000700_2026-06-04,2026-06-04,000700,BOARD2,6,0.612046066852,4,0.6,True,True,False,0,1,1,-0.0651340996169,-0.0651340996169,LOW
603311_2026-06-04,2026-06-04,603311,BOARD2,6,0.608505916141,5,0.8,True,True,False,0,0,0,0.0277923439958,0.0277923439958,LOW
600936_2026-06-04,2026-06-04,600936,BOARD2,6,0.582327156051,6,1,True,False,False,0,1,0,-0.0455284552846,-0.0455284552846,LOW
600688_2026-06-05,2026-06-05,600688,BOARD2,6,0.659782465301,1,0,True,True,True,0,0,0,0.00302114803625,0.00302114803625,MID
600255_2026-06-05,2026-06-05,600255,BOARD3,6,0.643192287344,2,0.2,True,True,True,1,0,0,0.0896551724138,0.07,MID
605162_2026-06-05,2026-06-05,605162,BOARD2,6,0.626879956026,3,0.4,True,True,True,0,1,0,-0.0449915110357,-0.0449915110357,MID
001896_2026-06-05,2026-06-05,001896,BOARD2,6,0.612742396022,4,0.6,True,True,False,1,0,0,0.0850528434826,0.07,MID
002787_2026-06-05,2026-06-05,002787,BOARD2,6,0.584055502965,5,0.8,True,True,False,0,0,0,0.0670498084291,0.0670498084291,MID
600439_2026-06-05,2026-06-05,600439,BOARD2,6,0.579469160203,6,1,True,False,False,0,1,0,-0.0113636363636,-0.0113636363636,MID
000520_2026-06-08,2026-06-08,000520,BOARD2,3,0.591371261451,1,0,True,True,True,0,1,0,-0.0109409190372,-0.0109409190372,LOW
600293_2026-06-08,2026-06-08,600293,BOARD2,3,0.566017213282,2,0.5,True,True,True,0,1,0,-0.0172839506173,-0.0172839506173,LOW
003036_2026-06-08,2026-06-08,003036,BOARD2,3,0.523107889091,3,1,True,True,True,0,0,0,0.0681933842239,0.0681933842239,LOW
603859_2026-06-09,2026-06-09,603859,BOARD2,9,0.626528279519,1,0,True,True,True,0,0,0,0.0640412922959,0.0640412922959,LOW
603500_2026-06-09,2026-06-09,603500,BOARD3,9,0.611437680055,2,0.125,True,True,True,1,0,0,0.0936270653029,0.07,LOW
002421_2026-06-09,2026-06-09,002421,BOARD2,9,0.592821129716,3,0.25,True,True,True,0,1,1,-0.142105263158,-0.142105263158,LOW
003009_2026-06-09,2026-06-09,003009,BOARD2,9,0.591826599503,4,0.375,True,True,False,0,1,0,-0.0131004366812,-0.0131004366812,LOW
