signal_date,demoted_code,demoted_board,demoted_original_rank,demoted_ablated_rank,demoted_target7,demoted_loss,demoted_raw,demoted_capped,promoted_code,promoted_board,promoted_original_rank,promoted_ablated_rank,promoted_target7,promoted_loss,promoted_raw,promoted_capped,pair_delta,slot_contribution,overall_mean_contribution,attribution_category
2026-06-03,600280,BOARD3,1,4,0,1,-0.0125313283208,-0.0125313283208,002404,BOARD2,4,3,0,0,0.0299319727891,0.0299319727891,0.0424633011099,0.0141544337033,0.000832613747253,DEMOTED_BOARD3_LOSS
2026-06-04,600121,BOARD3,1,5,0,1,-0.00709219858156,-0.00709219858156,000700,BOARD2,4,3,0,1,-0.0651340996169,-0.0651340996169,-0.0580419010353,-0.0193473003451,-0.00113807649089,DEMOTED_BOARD3_LOSS
2026-06-05,600255,BOARD3,2,4,1,0,0.0896551724138,0.07,001896,BOARD2,4,3,1,0,0.0850528434826,0.07,0,0,0,DEMOTED_BOARD3_TARGET7
2026-06-09,603500,BOARD3,2,6,1,0,0.0936270653029,0.07,003009,BOARD2,4,3,0,1,-0.0131004366812,-0.0131004366812,-0.0831004366812,-0.0277001455604,-0.00162942032708,DEMOTED_BOARD3_TARGET7
2026-06-11,002636,BOARD3,1,7,1,0,0.0890098899878,0.07,605006,BOARD2,4,3,0,0,0.012037037037,0.012037037037,-0.057962962963,-0.0193209876543,-0.00113652868555,DEMOTED_BOARD3_TARGET7
2026-06-12,000048,BOARD3,2,8,0,1,-0.0215053763441,-0.0215053763441,600378,BOARD2,4,3,1,0,0.0784588441331,0.07,0.0915053763441,0.0305017921147,0.00179422306557,DEMOTED_BOARD3_LOSS
2026-06-16,601958,BOARD3,1,4,0,0,0.0439285714286,0.0439285714286,601696,BOARD2,4,2,0,1,-0.0187265917603,-0.0187265917603,-0.0626551631889,-0.0208850543963,-0.00122853261155,DEMOTED_BOARD3_POSITIVE_NON_TARGET
2026-06-16,000510,BOARD3,3,6,0,1,-0.0145310435931,-0.0145310435931,603738,BOARD2,5,3,1,0,0.129815592478,0.07,0.0845310435931,0.028177014531,0.001657471443,DEMOTED_BOARD3_LOSS
2026-06-17,605198,BOARD3,1,10,0,1,-0.0212765957447,-0.0212765957447,002824,BOARD2,4,3,1,0,0.144943820225,0.07,0.0912765957447,0.0304255319149,0.00178973717146,DEMOTED_BOARD3_LOSS
2026-06-18,603186,BOARD3,1,4,0,0,0.0454831800428,0.0454831800428,600186,BOARD2,7,1,0,0,0.0350515463918,0.0350515463918,-0.010431633651,-0.003477211217,-0.000204541836294,DEMOTED_BOARD3_POSITIVE_NON_TARGET
2026-06-18,600110,BOARD3,3,6,0,1,-0.0444572748268,-0.0444572748268,000679,BOARD2,8,2,0,0,0.0197889182058,0.0197889182058,0.0642461930326,0.0214153976775,0.00125972927515,DEMOTED_BOARD3_LOSS
2026-06-22,002989,BOARD3,2,4,0,0,0.0214190093708,0.0214190093708,002579,BOARD2,5,3,0,1,-0.0383309073265,-0.0383309073265,-0.0597499166973,-0.0199166388991,-0.00117156699406,DEMOTED_BOARD3_POSITIVE_NON_TARGET
2026-06-24,600851,BOARD3,2,11,0,1,-0.036815920398,-0.036815920398,600172,BOARD2,4,3,0,0,0.0564468211527,0.0564468211527,0.0932627415507,0.0310875805169,0.00182868120688,DEMOTED_BOARD3_LOSS
2026-06-25,605069,BOARD3,2,7,1,0,0.108333333333,0.07,002580,BOARD2,4,3,0,1,-0.12269446672,-0.12269446672,-0.19269446672,-0.0642314889067,-0.00377832287686,DEMOTED_BOARD3_TARGET7
