signal_date,candidate_count,board2_candidates,board3_candidates,opportunity_bucket,original_board3_top10,ablated_board3_top10,original_board3_top5,ablated_board3_top5,original_board3_top3,ablated_board3_top3,original_top3_return,ablated_top3_return,delta,original_top3_target7,ablated_top3_target7,original_top3_loss,ablated_top3_loss,original_board3_top3_target7,original_board3_top3_loss,ablated_board3_top3_target7,ablated_board3_top3_loss
2026-06-03,7,6,1,LOW,1,1,1,1,1,0,-0.0676878130753,-0.053533379372,0.0141544337033,0,0,2,1,0,1,0,0
2026-06-04,6,5,1,LOW,1,1,1,1,1,0,0.0218937463061,0.00254644596103,-0.0193473003451,0,0,1,1,0,1,0,0
2026-06-05,6,5,1,MID,1,1,1,1,1,0,0.00934321233352,0.00934321233352,0,1,1,1,1,1,0,0,0
2026-06-08,3,3,0,LOW,0,0,0,0,0,0,0.0133228381898,0.0133228381898,0,0,0,2,2,0,0,0,0
2026-06-09,9,8,1,LOW,1,1,1,0,1,0,-0.00268799028737,-0.0303881358478,-0.0277001455604,1,0,1,2,1,0,0,0
2026-06-10,7,6,1,HIGH,1,1,0,0,0,0,0.0520194647202,0.0520194647202,0,2,2,0,0,0,0,0,0
2026-06-11,10,9,1,MID,1,1,1,0,1,0,0.0618915801615,0.0425705925071,-0.0193209876543,2,1,0,0,1,0,0,0
2026-06-12,8,7,1,HIGH,1,1,1,0,1,0,0.0342842122589,0.0647860043736,0.0305017921147,1,2,1,0,0,1,0,0
2026-06-15,3,3,0,HIGH,0,0,0,0,0,0,0.0449404761905,0.0449404761905,0,1,1,0,0,0,0,0,0
2026-06-16,7,5,2,MID,2,2,2,1,2,0,0.0331325092785,0.0404244694132,0.00729196013473,1,2,1,1,0,1,0,0
2026-06-17,17,16,1,HIGH,1,1,1,0,1,0,0.0395744680851,0.07,0.0304255319149,2,3,1,0,0,1,0,0
2026-06-18,15,7,8,LOW,7,4,5,2,3,1,-0.00646240583523,0.0114757806253,0.0179381864605,0,0,2,1,0,2,0,1
2026-06-22,7,5,2,HIGH,2,2,2,1,1,0,0.0513726177223,0.0314559788232,-0.0199166388991,1,1,0,1,0,0,0,0
2026-06-23,14,13,1,HIGH,1,0,1,0,0,0,0.0357224130528,0.0357224130528,0,1,1,0,0,0,0,0,0
2026-06-24,15,13,2,MID,2,0,1,0,1,0,-0.0025402733304,0.0285473071865,0.0310875805169,0,0,2,1,0,1,0,0
2026-06-25,9,7,2,MID,2,2,1,0,1,0,0.0428939192188,-0.0213375696878,-0.0642314889067,2,1,1,2,1,0,0,0
2026-06-26,12,12,0,LOW,0,0,0,0,0,0,0.0316153530378,0.0316153530378,0,1,1,1,1,0,0,0,0
