signal_date,change_type,event_id,code,board_group,original_rank,ablated_rank,original_score,ablated_score,ablation_removed_contribution,target7,loss,raw_repair_return,capped_return_7
2026-06-03,DEMOTED,600280_2026-06-03,600280,BOARD3,1,4,0.661570074138,0.610665595602,0.220187976006,0,1,-0.0125313283208,-0.0125313283208
2026-06-03,PROMOTED,002404_2026-06-03,002404,BOARD2,4,3,0.632443506963,0.632443506963,0.186866633166,0,0,0.0299319727891,0.0299319727891
2026-06-04,DEMOTED,600121_2026-06-04,600121,BOARD3,1,5,0.65292892361,0.600188686348,0.225687324278,0,1,-0.00709219858156,-0.00709219858156
2026-06-04,PROMOTED,000700_2026-06-04,000700,BOARD2,4,3,0.612046066852,0.612046066852,0.175455307531,0,1,-0.0651340996169,-0.0651340996169
2026-06-05,DEMOTED,600255_2026-06-05,600255,BOARD3,2,4,0.643192287344,0.589517928468,0.22727383077,1,0,0.0896551724138,0.07
2026-06-05,PROMOTED,001896_2026-06-05,001896,BOARD2,4,3,0.612742396022,0.612742396022,0.198404475146,1,0,0.0850528434826,0.07
2026-06-09,DEMOTED,603500_2026-06-09,603500,BOARD3,2,6,0.611437680055,0.565408955291,0.190215645847,1,0,0.0936270653029,0.07
2026-06-09,PROMOTED,003009_2026-06-09,003009,BOARD2,4,3,0.591826599503,0.591826599503,0.163367031511,0,1,-0.0131004366812,-0.0131004366812
2026-06-11,DEMOTED,002636_2026-06-11,002636,BOARD3,1,7,0.600535612351,0.545179271352,0.226485984836,1,0,0.0890098899878,0.07
2026-06-11,PROMOTED,605006_2026-06-11,605006,BOARD2,4,3,0.580402769619,0.580402769619,0.2017227294,0,0,0.012037037037,0.012037037037
2026-06-12,DEMOTED,000048_2026-06-12,000048,BOARD3,2,8,0.570389237292,0.516910927986,0.215769881868,0,1,-0.0215053763441,-0.0215053763441
2026-06-12,PROMOTED,600378_2026-06-12,600378,BOARD2,4,3,0.548745109595,0.548745109595,0.202272439304,1,0,0.0784588441331,0.07
2026-06-16,DEMOTED,601958_2026-06-16,601958,BOARD3,1,4,0.592319763519,0.539617520716,0.214760524206,0,0,0.0439285714286,0.0439285714286
2026-06-16,DEMOTED,000510_2026-06-16,000510,BOARD3,3,6,0.572216002721,0.519002647886,0.214850938376,0,1,-0.0145310435931,-0.0145310435931
2026-06-16,PROMOTED,601696_2026-06-16,601696,BOARD2,4,2,0.547238939001,0.547238939001,0.173142471101,0,1,-0.0187265917603,-0.0187265917603
2026-06-16,PROMOTED,603738_2026-06-16,603738,BOARD2,5,3,0.543805034004,0.543805034004,0.173052056931,1,0,0.129815592478,0.07
2026-06-17,DEMOTED,605198_2026-06-17,605198,BOARD3,1,10,0.595347963081,0.541112811444,0.221295139055,0,1,-0.0212765957447,-0.0212765957447
2026-06-17,PROMOTED,002824_2026-06-17,002824,BOARD2,4,3,0.579912100891,0.579912100891,0.195618086344,1,0,0.144943820225,0.07
2026-06-18,DEMOTED,603186_2026-06-18,603186,BOARD3,1,4,0.585704012668,0.538953731324,0.190102578843,0,0,0.0454831800428,0.0454831800428
2026-06-18,DEMOTED,600110_2026-06-18,600110,BOARD3,3,6,0.580452756331,0.534274029396,0.187320819066,0,1,-0.0444572748268,-0.0444572748268
2026-06-18,PROMOTED,600186_2026-06-18,600186,BOARD2,7,1,0.551631778798,0.551631778798,0.16162684192,0,0,0.0350515463918,0.0350515463918
2026-06-18,PROMOTED,000679_2026-06-18,000679,BOARD2,8,2,0.546599234047,0.546599234047,0.155810191923,0,0,0.0197889182058,0.0197889182058
2026-06-22,DEMOTED,002989_2026-06-22,002989,BOARD3,2,4,0.515856084349,0.503522153558,0.0493567640985,0,0,0.0214190093708,0.0214190093708
2026-06-22,PROMOTED,002579_2026-06-22,002579,BOARD2,5,3,0.503604742205,0.503604742205,0.0455578449747,0,1,-0.0383309073265,-0.0383309073265
2026-06-24,DEMOTED,600851_2026-06-24,600851,BOARD3,2,11,0.586701950624,0.54481320163,0.170612832751,0,1,-0.036815920398,-0.036815920398
2026-06-24,PROMOTED,600172_2026-06-24,600172,BOARD2,4,3,0.582326078323,0.582326078323,0.158132607112,0,0,0.0564468211527,0.0564468211527
2026-06-25,DEMOTED,605069_2026-06-25,605069,BOARD3,2,7,0.585333706796,0.550777605189,0.140895008737,1,0,0.108333333333,0.07
2026-06-25,PROMOTED,002580_2026-06-25,002580,BOARD2,4,3,0.571799934422,0.571799934422,0.107915677158,0,1,-0.12269446672,-0.12269446672
