scope,record_type,name,date_count,universe_target7_rate,winner_capture,Rank1_mean,Rank1_median,Rank1_p25,Rank1_worst,Rank1_baseline,Rank1_excess,Rank1_positive_date_rate,Rank1_negative_date_rate,Rank1_beat_universe,Rank1_target7_precision,Rank1_dates,Rank2_mean,Rank2_median,Rank2_p25,Rank2_worst,Rank2_baseline,Rank2_excess,Rank2_positive_date_rate,Rank2_negative_date_rate,Rank2_beat_universe,Rank2_target7_precision,Rank2_dates,Rank3_mean,Rank3_median,Rank3_p25,Rank3_worst,Rank3_baseline,Rank3_excess,Rank3_positive_date_rate,Rank3_negative_date_rate,Rank3_beat_universe,Rank3_target7_precision,Rank3_dates,Top1_mean,Top1_median,Top1_p25,Top1_worst,Top1_baseline,Top1_excess,Top1_positive_date_rate,Top1_negative_date_rate,Top1_beat_universe,Top1_target7_precision,Top1_dates,Top2_mean,Top2_median,Top2_p25,Top2_worst,Top2_baseline,Top2_excess,Top2_positive_date_rate,Top2_negative_date_rate,Top2_beat_universe,Top2_target7_precision,Top2_dates,Top3_mean,Top3_median,Top3_p25,Top3_worst,Top3_baseline,Top3_excess,Top3_positive_date_rate,Top3_negative_date_rate,Top3_beat_universe,Top3_target7_precision,Top3_dates,Top3_days_le_minus_3,Top3_days_le_minus_5,selected_stock_raw_mean,selected_stock_raw_median,worst_selected_stock,worst_top3_raw_date,slots,target7_count,target7_rate,loss_count,loss_rate,severe_loss_count,mean_capped,median_capped,worst_capped
COMBINED,POLICY,STRICT_STAGE1,17,0.319160213105,0.477777777778,0.0298285616089,0.0439285714286,-0.00709219858156,-0.0419642857143,0.0267859247439,0.00304263686498,0.705882352941,0.294117647059,0.529411764706,0.176470588235,17,0.0368040074256,0.0540254237288,0.0160583941606,-0.036815920398,0.0267859247439,0.0100180826817,0.764705882353,0.235294117647,0.588235294118,0.411764705882,17,0.00265478297041,0.00775547445255,-0.0225029609159,-0.244557534634,0.0267859247439,-0.0241311417735,0.588235294118,0.411764705882,0.529411764706,0.352941176471,17,0.0298285616089,0.0439285714286,-0.00709219858156,-0.0419642857143,0.0267859247439,0.00304263686498,0.705882352941,0.294117647059,0.529411764706,0.176470588235,17,0.0333162845172,0.0324107142857,0.0164263183884,-0.0141124348272,0.0267859247439,0.00653035977334,0.941176470588,0.0588235294118,0.411764705882,0.294117647059,17,0.0230957840016,0.0331325092785,0.00934321233352,-0.0676878130753,0.0267859247439,-0.00369014074226,0.764705882353,0.235294117647,0.411764705882,0.313725490196,17,1,1,0.0332355358739,0.0454831800428,-0.244557534634,-0.0676878130753,,,,,,,,,
COMBINED,POLICY,BOARD3_CONFIRMED_HARMFUL_ABLATION,17,0.319160213105,0.422222222222,0.0428978311254,0.0540254237288,0.0350515463918,-0.0419642857143,0.0267859247439,0.0161119063815,0.882352941176,0.117647058824,0.705882352941,0.235294117647,17,-0.000601845648641,0.0160583941606,-0.0187265917603,-0.244557534634,0.0267859247439,-0.0273877703925,0.588235294118,0.411764705882,0.470588235294,0.352941176471,17,0.0236177647892,0.0564468211527,-0.0131004366812,-0.12269446672,0.0267859247439,-0.00316815995467,0.705882352941,0.294117647059,0.588235294118,0.352941176471,17,0.0428978311254,0.0540254237288,0.0350515463918,-0.0419642857143,0.0267859247439,0.0161119063815,0.882352941176,0.117647058824,0.705882352941,0.235294117647,17,0.0211479927384,0.0293408788283,0.0140178571429,-0.0952660554526,0.0267859247439,-0.00563793200552,0.764705882353,0.235294117647,0.411764705882,0.294117647059,17,0.0219712500886,0.0314559788232,0.00934321233352,-0.053533379372,0.0267859247439,-0.00481467465524,0.823529411765,0.176470588235,0.470588235294,0.313725490196,17,2,1,0.0332413086135,0.0456747404844,-0.244557534634,-0.053533379372,,,,,,,,,
COMBINED,POLICY,UNIVERSE,17,0.319160213105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0267859247439,,,,,,,,,,,,,,,,,,,,,,,,,
COMBINED,BOARD_TOP3_SLOTS,BOARD2_ORIGINAL_TOP3_SLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,12,0.333333333333,8,0.222222222222,2,0.0268243634381,0.0541917184249,-0.244557534634
COMBINED,BOARD_TOP3_SLOTS,BOARD2_ABLATED_TOP3_SLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,16,0.32,13,0.26,4,0.0228189375449,0.0486864009036,-0.244557534634
COMBINED,BOARD_TOP3_SLOTS,BOARD3_ORIGINAL_TOP3_SLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,0.266666666667,8,0.533333333333,0,0.0141471933541,-0.00709219858156,-0.0444572748268
COMBINED,BOARD_TOP3_SLOTS,BOARD3_ABLATED_TOP3_SLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,-0.0204131227217,-0.0204131227217,-0.0204131227217
LOW,POLICY,STRICT_STAGE1,6,0.106216931217,0.333333333333,0.00616595678081,-0.00901655880938,-0.0121337259999,-0.0419642857143,0.00619527044857,-2.93136677628e-05,0.333333333333,0.666666666667,0.333333333333,0,6,0.0370443083983,0.0599814618644,0.000543392969225,-0.0204131227217,0.00619527044857,0.0308490379497,0.666666666667,0.333333333333,0.666666666667,0.333333333333,6,-0.0482134010112,-0.0188106686634,-0.117693266075,-0.244557534634,0.00619527044857,-0.0544086714598,0.5,0.5,0.5,0,6,0.00616595678081,-0.00901655880938,-0.0121337259999,-0.0419642857143,0.00619527044857,-2.93136677628e-05,0.333333333333,0.666666666667,0.333333333333,0,6,0.0216051325896,0.0173824524234,0.0129057357811,-0.0141124348272,0.00619527044857,0.015409862141,0.833333333333,0.166666666667,0.5,0.166666666667,6,-0.00166771194404,0.00531742395122,-0.00551880194827,-0.0676878130753,0.00619527044857,-0.00786298239261,0.5,0.5,0.333333333333,0.111111111111,6,1,1,,,,,,,,,,,,,
LOW,POLICY,BOARD3_CONFIRMED_HARMFUL_ABLATION,6,0.106216931217,0.0833333333333,0.0276917596108,0.0445384850603,0.00055719732005,-0.0419642857143,0.00619527044857,0.0214964891623,0.666666666667,0.333333333333,0.666666666667,0,6,-0.0512203154506,-0.00522400655865,-0.110899935023,-0.244557534634,0.00619527044857,-0.0574155858992,0.5,0.5,0.5,0.166666666667,6,0.0110480071368,0.00841576805395,-0.0185849512116,-0.0651340996169,0.00619527044857,0.00485273668823,0.5,0.5,0.5,0,6,0.0276917596108,0.0445384850603,0.00055719732005,-0.0419642857143,0.00619527044857,0.0214964891623,0.666666666667,0.333333333333,0.666666666667,0,6,-0.0117642779199,-4.72888422e-05,-0.0328020977801,-0.0952660554526,0.00619527044857,-0.0179595483684,0.5,0.5,0.333333333333,0.0833333333333,6,-0.00416018290098,0.00701111329317,-0.0221544903956,-0.053533379372,0.00619527044857,-0.0103554533496,0.666666666667,0.333333333333,0.333333333333,0.0555555555556,6,2,1,,,,,,,,,,,,,
LOW,POLICY,UNIVERSE,6,0.106216931217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00619527044857,,,,,,,,,,,,,,,,,,,,,,,,,
LOW,BOARD_TOP3_SLOTS,BOARD2_ORIGINAL_TOP3_SLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,0.0833333333333,5,0.416666666667,2,-0.00508400588205,0.0304306806144,-0.244557534634
LOW,BOARD_TOP3_SLOTS,BOARD2_ABLATED_TOP3_SLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,0.0588235294118,7,0.411764705882,3,-0.00320412761741,0.0197889182058,-0.244557534634
LOW,BOARD_TOP3_SLOTS,BOARD3_ORIGINAL_TOP3_SLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0.166666666667,4,0.666666666667,0,0.00516487593199,-0.00981176345118,-0.0444572748268
