code,status,date_min,date_max,rows,error,section,trade_date,window_start,window_end,event_id,signal_date,d0_date,daily_path,minute_path,pool_paths,pool_member_present,pool_rows
000001,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000002,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000003,empty,,,0,,DAILY,,,,,,,,,,,
000006,reused,2025-03-17,2026-06-30,313,,DAILY,,,,,,,,,,,
000007,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000008,reused,2025-05-12,2026-07-17,285,,DAILY,,,,,,,,,,,
000009,reused,2025-05-29,2026-08-04,289,,DAILY,,,,,,,,,,,
000011,reused,2025-03-03,2026-08-03,347,,DAILY,,,,,,,,,,,
000012,reused,2025-04-28,2026-07-03,287,,DAILY,,,,,,,,,,,
000014,reused,2025-05-14,2026-07-20,289,,DAILY,,,,,,,,,,,
000015,empty,,,0,,DAILY,,,,,,,,,,,
000017,reused,2025-05-21,2026-07-27,289,,DAILY,,,,,,,,,,,
000019,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000020,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000021,reused,2025-05-19,2026-07-24,290,,DAILY,,,,,,,,,,,
000024,empty,,,0,,DAILY,,,,,,,,,,,
000025,reused,2025-05-28,2026-08-03,289,,DAILY,,,,,,,,,,,
000026,reused,2025-06-03,2026-08-11,292,,DAILY,,,,,,,,,,,
000027,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000028,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000029,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000030,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000031,reused,2025-03-31,2026-06-30,303,,DAILY,,,,,,,,,,,
000032,reused,2025-05-29,2026-08-04,289,,DAILY,,,,,,,,,,,
000034,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000035,reused,2025-05-21,2026-07-27,289,,DAILY,,,,,,,,,,,
000036,reused,2025-05-12,2026-07-17,290,,DAILY,,,,,,,,,,,
000037,reused,2025-06-03,2026-08-07,290,,DAILY,,,,,,,,,,,
000039,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000042,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000045,reused,2025-05-26,2026-07-31,290,,DAILY,,,,,,,,,,,
000048,reused,2025-06-03,2026-08-07,290,,DAILY,,,,,,,,,,,
000049,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000050,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000055,reused,2025-03-03,2026-08-03,347,,DAILY,,,,,,,,,,,
000058,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000059,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000060,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000061,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000062,reused,2025-03-31,2026-06-30,303,,DAILY,,,,,,,,,,,
000063,reused,2025-03-26,2026-06-30,306,,DAILY,,,,,,,,,,,
000065,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000066,reused,2025-05-06,2026-07-10,289,,DAILY,,,,,,,,,,,
000068,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000069,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000070,reused,2025-03-03,2026-08-03,346,,DAILY,,,,,,,,,,,
000088,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000089,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000090,reused,2025-03-03,2026-08-03,347,,DAILY,,,,,,,,,,,
000096,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000099,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000100,reused,2025-04-28,2026-07-03,287,,DAILY,,,,,,,,,,,
000151,reused,2025-04-23,2026-06-30,279,,DAILY,,,,,,,,,,,
000153,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000155,reused,2025-05-21,2026-07-27,289,,DAILY,,,,,,,,,,,
000156,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000157,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000158,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000159,reused,2025-03-12,2026-06-30,316,,DAILY,,,,,,,,,,,
000166,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000301,reused,2025-05-06,2026-07-10,289,,DAILY,,,,,,,,,,,
000333,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000338,reused,2025-03-03,2026-06-30,323,,DAILY,,,,,,,,,,,
000400,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000401,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000402,reused,2025-03-03,2026-06-30,323,,DAILY,,,,,,,,,,,
000403,reused,2025-03-19,2026-06-30,309,,DAILY,,,,,,,,,,,
000404,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000406,empty,,,0,,DAILY,,,,,,,,,,,
000407,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000408,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000409,reused,2025-03-24,2026-06-30,308,,DAILY,,,,,,,,,,,
000410,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000411,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000415,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000417,reused,2025-05-22,2026-07-28,289,,DAILY,,,,,,,,,,,
000418,empty,,,0,,DAILY,,,,,,,,,,,
000419,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000420,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000421,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000422,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000423,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000425,reused,2025-03-10,2026-06-30,318,,DAILY,,,,,,,,,,,
000426,reused,2025-05-19,2026-07-24,290,,DAILY,,,,,,,,,,,
000428,reused,2025-06-03,2026-08-11,292,,DAILY,,,,,,,,,,,
000429,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000430,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000498,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000501,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000503,reused,2025-05-26,2026-07-31,290,,DAILY,,,,,,,,,,,
000504,reused,2025-03-03,2026-08-03,345,,DAILY,,,,,,,,,,,
000505,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000506,reused,2025-05-29,2026-08-11,293,,DAILY,,,,,,,,,,,
000507,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000508,empty,,,0,,DAILY,,,,,,,,,,,
000509,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000510,reused,2025-06-03,2026-08-07,290,,DAILY,,,,,,,,,,,
000513,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000514,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000515,empty,,,0,,DAILY,,,,,,,,,,,
000516,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000517,reused,2025-05-26,2026-07-31,290,,DAILY,,,,,,,,,,,
000518,reused,2025-03-31,2026-06-30,301,,DAILY,,,,,,,,,,,
000519,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000520,reused,2025-03-03,2026-08-03,347,,DAILY,,,,,,,,,,,
000521,reused,2025-04-28,2026-07-03,287,,DAILY,,,,,,,,,,,
000522,empty,,,0,,DAILY,,,,,,,,,,,
000523,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000524,reused,2025-05-06,2026-07-10,279,,DAILY,,,,,,,,,,,
000525,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000526,reused,2025-05-28,2026-08-03,289,,DAILY,,,,,,,,,,,
000527,empty,,,0,,DAILY,,,,,,,,,,,
000528,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000529,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000530,reused,2025-03-26,2026-06-30,306,,DAILY,,,,,,,,,,,
000531,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000532,reused,2025-03-20,2026-06-30,310,,DAILY,,,,,,,,,,,
000533,reused,2025-06-03,2026-08-07,290,,DAILY,,,,,,,,,,,
000534,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000536,reused,2025-03-03,2026-08-03,347,,DAILY,,,,,,,,,,,
000537,reused,2025-06-03,2026-08-11,292,,DAILY,,,,,,,,,,,
000538,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000539,reused,2025-05-19,2026-07-24,290,,DAILY,,,,,,,,,,,
000541,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000542,empty,,,0,,DAILY,,,,,,,,,,,
000543,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000544,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000545,reused,2025-05-06,2026-07-10,279,,DAILY,,,,,,,,,,,
000546,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000547,reused,2025-05-08,2026-07-14,289,,DAILY,,,,,,,,,,,
000548,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000549,empty,,,0,,DAILY,,,,,,,,,,,
000550,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000551,reused,2025-04-28,2026-07-03,287,,DAILY,,,,,,,,,,,
000552,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000553,reused,2025-03-03,2026-06-30,323,,DAILY,,,,,,,,,,,
000554,reused,2025-05-12,2026-07-17,290,,DAILY,,,,,,,,,,,
000555,reused,2025-05-19,2026-07-24,290,,DAILY,,,,,,,,,,,
000556,empty,,,0,,DAILY,,,,,,,,,,,
000557,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000558,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000559,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000560,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000561,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000562,empty,,,0,,DAILY,,,,,,,,,,,
000563,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000564,reused,2025-04-23,2026-06-30,287,,DAILY,,,,,,,,,,,
000565,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000566,reused,2025-05-28,2026-08-03,289,,DAILY,,,,,,,,,,,
000567,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000568,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000569,empty,,,0,,DAILY,,,,,,,,,,,
000570,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000571,reused,2025-06-03,2026-08-07,290,,DAILY,,,,,,,,,,,
000572,reused,2025-04-30,2026-07-06,286,,DAILY,,,,,,,,,,,
000573,reused,2025-05-08,2026-07-14,289,,DAILY,,,,,,,,,,,
000576,reused,2025-03-03,2026-08-03,347,,DAILY,,,,,,,,,,,
000578,empty,,,0,,DAILY,,,,,,,,,,,
000581,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000582,reused,2025-03-06,2026-06-30,320,,DAILY,,,,,,,,,,,
000586,reused,2025-03-31,2026-06-30,298,,DAILY,,,,,,,,,,,
000588,empty,,,0,,DAILY,,,,,,,,,,,
000589,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000590,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000591,reused,2025-03-10,2026-06-30,318,,DAILY,,,,,,,,,,,
000592,reused,2025-04-30,2026-07-06,283,,DAILY,,,,,,,,,,,
000593,reused,2025-06-03,2026-08-07,290,,DAILY,,,,,,,,,,,
000596,reused,2025-05-19,2026-07-24,290,,DAILY,,,,,,,,,,,
000597,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000598,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000599,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000600,reused,2025-05-19,2026-07-24,290,,DAILY,,,,,,,,,,,
000601,reused,2025-03-03,2026-08-03,347,,DAILY,,,,,,,,,,,
000602,empty,,,0,,DAILY,,,,,,,,,,,
000603,reused,2025-06-03,2026-08-11,292,,DAILY,,,,,,,,,,,
000605,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
000607,reused,2025-06-03,2026-06-30,262,,DAILY,,,,,,,,,,,
