section,metric,estimate,valid_resamples,min,p2.5,p50,p97.5,max,direction_probability
COMPAT_BOOTSTRAP,NONLOSS_AUC_DELTA,0.179487179487,19989,-0.138888888889,0.0155352011494,0.166666666667,0.444444444444,0.875,0.977187453099
COMPAT_BOOTSTRAP,PAIR_CONCORDANCE_DELTA,0,19517,0,0,0,0,0,0
COMPAT_BOOTSTRAP,LOSS_CAPTURE_DELTA,0,19989,0,0,0,0,0,0
COMPAT_BOOTSTRAP,WINNER_REMOVAL_DELTA,0.25,19925,0,0,0.2,0.75,1,0.341631116688
COMPAT_BOOTSTRAP,SELECTIVITY_GAP_DELTA,-0.25,19914,-1,-0.75,-0.2,0,0,0
COMPAT_BOOTSTRAP,RANK1_CAPPED_DELTA,-0.00186715417967,20000,-0.011202925078,-0.00560146253902,-0.00186715417967,0,0,0
COMPAT_BOOTSTRAP,TOP2_CAPPED_DELTA,-0.000933577089837,20000,-0.00560146253902,-0.00280073126951,-0.000933577089837,0,0,0
COMPAT_LODO,NONLOSS_AUC_DELTA,0.179487179487,8,0.121212121212,0.12625,0.169230769231,0.270183982684,0.285714285714,1
COMPAT_LODO,PAIR_CONCORDANCE_DELTA,0,8,0,0,0,0,0,0
COMPAT_LODO,LOSS_CAPTURE_DELTA,0,8,0,0,0,0,0,0
COMPAT_LODO,WINNER_REMOVAL_DELTA,0.25,8,0,0.04375,0.25,0.470833333333,0.5,0.125
COMPAT_LODO,SELECTIVITY_GAP_DELTA,-0.25,8,-0.5,-0.470833333333,-0.25,-0.04375,0,0
COMPAT_LODO,RANK1_CAPPED_DELTA,-0.00186715417967,8,-0.00213389049106,-0.00213389049106,-0.00213389049106,-0.000373430835935,0,0
COMPAT_LODO,TOP2_CAPPED_DELTA,-0.000933577089837,8,-0.00106694524553,-0.00106694524553,-0.00106694524553,-0.000186715417967,0,0
BOOTSTRAP,NONLOSS_AUC,0.613777777778,20000,0.325292397661,0.47962586138,0.61485540162,0.735294117647,0.848765432099,0.9522
BOOTSTRAP,PAIR_CONCORDANCE,0.766666666667,20000,0,0.375,0.757575757576,0.933333333333,1,0.902
BOOTSTRAP,BOTTOM_HALF_LOSS_CAPTURE,0.666666666667,20000,0,0.210526315789,0.394736842105,0.576923076923,0.772727272727,0.01575
BOOTSTRAP,BOTTOM_HALF_WINNER_REMOVAL,0.5,20000,0.0689655172414,0.218735795455,0.340425531915,0.459027470093,0.595238095238,0.84715
BOOTSTRAP,BOTTOM_HALF_SELECTIVITY_GAP,0.166666666667,20000,-0.383076923077,-0.16179337232,0.0579209435917,0.271214763918,0.492727272727,0.6929
BOOTSTRAP,WORST_ONE_SELECTIVITY_GAP,0.111111111111,20000,-0.322916666667,-0.154283236141,0.0384615384615,0.228781228433,0.454166666667,0.64535
LODO,NONLOSS_AUC,0.613777777778,60,0.590062111801,0.597439592846,0.61269900037,0.630296803653,0.634482758621,1
LODO,PAIR_CONCORDANCE,0.766666666667,60,0.611111111111,0.739903846154,0.766666666667,0.793103448276,0.821428571429,1
LODO,BOTTOM_HALF_LOSS_CAPTURE,0.666666666667,60,0.625,0.635477941176,0.666666666667,0.705882352941,0.705882352941,1
LODO,BOTTOM_HALF_WINNER_REMOVAL,0.5,60,0.464285714286,0.48275862069,0.5,0.51724137931,0.518518518519,0
LODO,BOTTOM_HALF_SELECTIVITY_GAP,0.166666666667,60,0.10775862069,0.135718813387,0.166666666667,0.205882352941,0.223123732252,1
LODO,WORST_ONE_SELECTIVITY_GAP,0.111111111111,60,0.0546218487395,0.0703271730148,0.111111111111,0.143504901961,0.160243407708,1
