event_id,signal_date,code,board3_candidate_count,recent_score,recent_rank,target7,loss,nonloss,positive_non_target,raw_repair_return,capped_return_7,extended_score,extended_internal_rank,rank_delta,outcome
000048_2026-06-12,2026-06-12,000048,1,0.625908399023,1,0,1,0,0,-0.0215053763441,-0.0215053763441,0.624193966479,1,0,LOSS
000510_2026-06-16,2026-06-16,000510,2,0.708021206119,1,0,1,0,0,-0.0145310435931,-0.0145310435931,0.663286809607,1,0,LOSS
601958_2026-06-16,2026-06-16,601958,2,0.662461999603,2,0,0,1,1,0.0439285714286,0.0439285714286,0.64312247264,2,0,PNT
605198_2026-06-17,2026-06-17,605198,1,0.627523053586,1,0,1,0,0,-0.0212765957447,-0.0212765957447,0.62238260749,1,0,LOSS
000777_2026-06-18,2026-06-18,000777,8,0.696060980993,2,0,0,1,1,0.0143464399575,0.0143464399575,0.67897950633,2,0,PNT
002080_2026-06-18,2026-06-18,002080,8,0.696579950556,1,0,0,1,1,0.0197681513118,0.0197681513118,0.662913277208,4,3,PNT
002741_2026-06-18,2026-06-18,002741,8,0.635608546127,7,0,1,0,0,-0.0204131227217,-0.0204131227217,0.63936073171,7,0,LOSS
600110_2026-06-18,2026-06-18,600110,8,0.616917162065,8,0,1,0,0,-0.0444572748268,-0.0444572748268,0.628207161904,8,0,LOSS
601636_2026-06-18,2026-06-18,601636,8,0.652255562198,6,0,0,1,1,0.0048309178744,0.0048309178744,0.68160782691,1,-5,PNT
603002_2026-06-18,2026-06-18,603002,8,0.676928366153,3,1,0,1,0,0.117920540997,0.07,0.6476024682,5,2,TARGET7
603115_2026-06-18,2026-06-18,603115,8,0.673991039026,4,0,0,1,1,0.0322945682451,0.0322945682451,0.666389294222,3,-1,PNT
603186_2026-06-18,2026-06-18,603186,8,0.660820013296,5,0,0,1,1,0.0454831800428,0.0454831800428,0.646152970909,6,1,PNT
002141_2026-06-22,2026-06-22,002141,2,0.618535207735,2,1,0,1,0,0.0746268656716,0.07,0.671476209155,2,0,TARGET7
002989_2026-06-22,2026-06-22,002989,2,0.629698394563,1,0,0,1,1,0.0214190093708,0.0214190093708,0.684320209678,1,0,PNT
000811_2026-06-23,2026-06-23,000811,1,0.647266670361,1,1,0,1,0,0.219968087531,0.07,0.659454451088,1,0,TARGET7
002068_2026-06-24,2026-06-24,002068,2,0.605911006935,1,0,0,1,1,0.0647138964578,0.0647138964578,0.650657546852,1,0,PNT
600851_2026-06-24,2026-06-24,600851,2,0.545331821963,2,0,1,0,0,-0.036815920398,-0.036815920398,0.601933990146,2,0,LOSS
603938_2026-06-25,2026-06-25,603938,2,0.657385015002,1,1,0,1,0,0.174225028703,0.07,0.658621052236,1,0,TARGET7
605069_2026-06-25,2026-06-25,605069,2,0.618524681011,2,1,0,1,0,0.108333333333,0.07,0.625902915751,2,0,TARGET7
