section,metric,valid,p2.5,p50,p97.5,direction_probability,min,median,max
BOOTSTRAP,TARGET7_AUC_DELTA,19917,-0.229166666667,0.0288461538462,0.444444444444,0.542200130542,-0.384615384615,0.0288461538462,0.857142857143
BOOTSTRAP,NONLOSS_AUC_DELTA,19992,-0.166666666667,0.47619047619,0.796551724138,0.931172468988,-0.8,0.47619047619,1
BOOTSTRAP,RANK1_CAPPED_DELTA,20000,-0.0238460322816,0.00216939663788,0.0348593027295,0.5071,-0.0429660165713,0.00216939663788,0.0761473626418
BOOTSTRAP,RANK1_TARGET7_DELTA,20000,0,0,0,0,0,0,0
BOOTSTRAP,RANK1_LOSS_DELTA,20000,-0.375,0,0.375,0.36025,-0.75,0,0.625
BOOTSTRAP,TOP2_CAPPED_DELTA,20000,0,0.000565283371761,0.00169585011528,0.6515,0,0.000565283371761,0.00339170023057
LODO,TARGET7_AUC_DELTA,8,-0.107019230769,0.000641025641026,0.134523809524,0.5,-0.116666666667,0.000641025641026,0.142857142857
LODO,NONLOSS_AUC_DELTA,8,0.305714285714,0.463383838384,0.6375,1,0.285714285714,0.463383838384,0.666666666667
LODO,RANK1_CAPPED_DELTA,8,-0.00948670368614,0.00247931044329,0.0100120693606,0.875,-0.0120249491075,0.00247931044329,0.0108306840178
LODO,RANK1_TARGET7_DELTA,8,0,0,0,0,0,0,0
LODO,RANK1_LOSS_DELTA,8,-0.117857142857,0,0.117857142857,0.125,-0.142857142857,0,0.142857142857
LODO,TOP2_CAPPED_DELTA,8,0.000113056674352,0.000646038139156,0.000646038139156,0.875,0,0.000646038139156,0.000646038139156
