step,removed_rows,removed_fraction,loss_removed,pnt_removed,target7_removed,loss_capture_rate,pnt_removal_rate,winner_removal_rate,selectivity_gap
1,1,0.0625,0,1,0,0,0.125,0,0
2,2,0.125,1,1,0,0.25,0.125,0,0.25
3,3,0.1875,1,1,1,0.25,0.125,0.25,0
4,4,0.25,2,1,1,0.5,0.125,0.25,0.25
5,5,0.3125,2,1,2,0.5,0.125,0.5,0
6,6,0.375,3,1,2,0.75,0.125,0.5,0.25
7,7,0.4375,3,2,2,0.75,0.25,0.5,0.25
8,8,0.5,3,3,2,0.75,0.375,0.5,0.25
9,9,0.5625,3,4,2,0.75,0.5,0.5,0.25
10,10,0.625,3,4,3,0.75,0.5,0.75,0
11,11,0.6875,3,5,3,0.75,0.625,0.75,0
12,12,0.75,4,5,3,1,0.625,0.75,0.25
13,13,0.8125,4,6,3,1,0.75,0.75,0.25
14,14,0.875,4,7,3,1,0.875,0.75,0.25
15,15,0.9375,4,8,3,1,1,0.75,0.25
16,16,1,4,8,4,1,1,1,0
