event_id,signal_date,code,board3_only_score,board3_only_internal_rank,risk_rank_percentile,target7,loss,positive_non_target,raw_repair_return
000048_2026-06-12,2026-06-12,000048,0.625908399023,1,,0,1,0,-0.0215053763441
601958_2026-06-16,2026-06-16,601958,0.662461999603,2,1,0,0,1,0.0439285714286
000510_2026-06-16,2026-06-16,000510,0.708021206119,1,0,0,1,0,-0.0145310435931
605198_2026-06-17,2026-06-17,605198,0.627523053586,1,,0,1,0,-0.0212765957447
603186_2026-06-18,2026-06-18,603186,0.660820013296,5,0.571428571429,0,0,1,0.0454831800428
002741_2026-06-18,2026-06-18,002741,0.635608546127,7,0.857142857143,0,1,0,-0.0204131227217
600110_2026-06-18,2026-06-18,600110,0.616917162065,8,1,0,1,0,-0.0444572748268
002989_2026-06-22,2026-06-22,002989,0.629698394563,1,0,0,0,1,0.0214190093708
600851_2026-06-24,2026-06-24,600851,0.545331821963,2,1,0,1,0,-0.036815920398
605069_2026-06-25,2026-06-25,605069,0.618524681011,2,1,1,0,0,0.108333333333
