event_id,signal_date,code,board3_candidate_count,board3_only_score,board3_only_internal_rank,risk_rank_percentile,unified_stage1_score,unified_stage1_rank,unified_stage1_top3,target7,loss,positive_non_target,nonloss,raw_repair_return,capped_return_7,relative_rank_eligible,bottom_half_flag,worst_one_flag
000048_2026-06-12,2026-06-12,000048,1,0.625908399023,1,,0.570389237292,2,True,0,1,0,0,-0.0215053763441,-0.0215053763441,False,False,False
000510_2026-06-16,2026-06-16,000510,2,0.708021206119,1,0,0.572216002721,3,True,0,1,0,0,-0.0145310435931,-0.0145310435931,True,False,False
601958_2026-06-16,2026-06-16,601958,2,0.662461999603,2,1,0.592319763519,1,True,0,0,1,1,0.0439285714286,0.0439285714286,True,True,True
605198_2026-06-17,2026-06-17,605198,1,0.627523053586,1,,0.595347963081,1,True,0,1,0,0,-0.0212765957447,-0.0212765957447,False,False,False
002080_2026-06-18,2026-06-18,002080,8,0.696579950556,1,0,0.560803777126,5,False,0,0,1,1,0.0197681513118,0.0197681513118,True,False,False
000777_2026-06-18,2026-06-18,000777,8,0.696060980993,2,0.142857142857,0.535094883741,10,False,0,0,1,1,0.0143464399575,0.0143464399575,True,False,False
603002_2026-06-18,2026-06-18,603002,8,0.676928366153,3,0.285714285714,0.573955645041,4,False,1,0,0,1,0.117920540997,0.07,True,False,False
603115_2026-06-18,2026-06-18,603115,8,0.673991039026,4,0.428571428571,0.552043813694,6,False,0,0,1,1,0.0322945682451,0.0322945682451,True,False,False
603186_2026-06-18,2026-06-18,603186,8,0.660820013296,5,0.571428571429,0.585704012668,1,True,0,0,1,1,0.0454831800428,0.0454831800428,True,True,False
601636_2026-06-18,2026-06-18,601636,8,0.652255562198,6,0.714285714286,0.53503798609,11,False,0,0,1,1,0.0048309178744,0.0048309178744,True,True,False
002741_2026-06-18,2026-06-18,002741,8,0.635608546127,7,0.857142857143,0.585158419493,2,True,0,1,0,0,-0.0204131227217,-0.0204131227217,True,True,False
600110_2026-06-18,2026-06-18,600110,8,0.616917162065,8,1,0.580452756331,3,True,0,1,0,0,-0.0444572748268,-0.0444572748268,True,True,True
002989_2026-06-22,2026-06-22,002989,2,0.629698394563,1,0,0.515856084349,2,True,0,0,1,1,0.0214190093708,0.0214190093708,True,False,False
002141_2026-06-22,2026-06-22,002141,2,0.618535207735,2,1,0.504174372027,4,False,1,0,0,1,0.0746268656716,0.07,True,True,True
000811_2026-06-23,2026-06-23,000811,1,0.647266670361,1,,0.584407024115,5,False,1,0,0,1,0.219968087531,0.07,False,False,False
002068_2026-06-24,2026-06-24,002068,2,0.605911006935,1,0,0.559325472293,6,False,0,0,1,1,0.0647138964578,0.0647138964578,True,False,False
600851_2026-06-24,2026-06-24,600851,2,0.545331821963,2,1,0.586701950624,2,True,0,1,0,0,-0.036815920398,-0.036815920398,True,True,True
603938_2026-06-25,2026-06-25,603938,2,0.657385015002,1,0,0.569380151262,6,False,1,0,0,1,0.174225028703,0.07,True,False,False
605069_2026-06-25,2026-06-25,605069,2,0.618524681011,2,1,0.585333706796,2,True,1,0,0,1,0.108333333333,0.07,True,True,True
