feature,family,feature_group,coverage,non_null_rows,unique_values,std,iqr,variation_status,source,D1_safe
board_streak_is_3,LOW_LEVEL_53,BOARD_HISTORY,1,55,1,0,0,LOW_VARIATION,v002_derived,True
max_board_streak_20d,LOW_LEVEL_53,BOARD_HISTORY,1,55,2,0.188918595406,0,LOW_VARIATION,daily_cache_rebuild,True
recent_limit_up_count_10d,LOW_LEVEL_53,BOARD_HISTORY,1,55,3,0.683130051064,1,OK,daily_cache_rebuild,True
recent_limit_up_count_20d,LOW_LEVEL_53,BOARD_HISTORY,1,55,7,1.65287220679,2,OK,daily_cache_rebuild,True
recent_pool_appearance_count_10d,LOW_LEVEL_53,BOARD_HISTORY,1,55,3,0.683130051064,1,OK,pool_cache_rebuild,True
recent_pool_appearance_count_20d,LOW_LEVEL_53,BOARD_HISTORY,1,55,7,1.65287220679,2,OK,pool_cache_rebuild,True
board_day_volume_rank,LOW_LEVEL_53,D0_CROSS_SECTION,1,55,38,22.2738995088,30.5,OK,pool_cache_rebuild,True
break_open_return,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,54,0.0441747171056,0.0637577917006,OK,v002,True
break_high_return,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,55,0.0383991706291,0.0549874317698,OK,daily_cache_rebuild,True
break_close_return,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,55,0.0489648065072,0.0703041828766,OK,daily_cache_rebuild,True
break_touched_limit_up,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,2,0.439620283047,0.5,LOW_VARIATION,daily_cache_rebuild,True
break_opened_from_limit_up,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,2,0.290129426593,0,LOW_VARIATION,daily_cache_rebuild,True
break_upper_shadow_ratio,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,47,0.231372781424,0.351187992558,OK,daily_cache_rebuild,True
break_lower_shadow_ratio,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,52,0.19072289584,0.25650213018,OK,daily_cache_rebuild,True
d1_high_to_close_drawdown_raw,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,55,0.032898403795,0.0347366816441,OK,v002,True
d1_low_to_close_recovery,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,53,0.0416924412442,0.0607174003565,OK,v002,True
d1_open_to_close_return_raw,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,55,0.0572027221942,0.0879079908252,OK,v002,True
d1_close_location,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,53,0.303025869206,0.499489447136,OK,v002,True
d1_intraday_range,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,55,0.0331560034931,0.0487334748492,OK,v002,True
d1_afternoon_return,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,55,0.0386446640375,0.0429487518276,OK,v002,True
d1_last_hour_return,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,55,0.024923915898,0.0184569663971,OK,v002,True
