feature,family,feature_group,coverage,unique_values,winner_sign,orientation_source,LOSS_n,LOSS_mean,LOSS_median,LOSS_p25,LOSS_p75,PNT_n,PNT_mean,PNT_median,PNT_p25,PNT_p75,T7_n,T7_mean,T7_median,T7_p25,T7_p75,oriented_LOSS_median,oriented_PNT_median,oriented_T7_median,AUC_raw_T7_vs_PNT,AUC_oriented_T7_vs_PNT,Cliff_T7_vs_PNT,AUC_oriented_PNT_vs_LOSS,AUC_oriented_T7_vs_LOSS,ordinal_median_monotonic,NONLOSS_raw_spearman,NONLOSS_raw_pair_concordance,T7_PNT_pair_dates,T7_PNT_pairs,T7_PNT_pair_concordance,PNT_LOSS_pair_dates,PNT_LOSS_pairs,PNT_LOSS_concordance,T7_LOSS_pair_dates,T7_LOSS_pairs,T7_LOSS_concordance,date_mixed_count,date_positive,date_negative,date_ties,date_direction_consistency,date_mean_gap,date_median_gap,bootstrap_auc_p2_5,bootstrap_auc_p50,bootstrap_auc_p97_5,bootstrap_P_auc_gt_half,bootstrap_auc_valid,bootstrap_cliff_p2_5,bootstrap_cliff_p50,bootstrap_cliff_p97_5,bootstrap_P_cliff_gt0,bootstrap_P_pnt_loss_auc_gt_half,bootstrap_P_t7_loss_auc_gt_half,bootstrap_pnt_loss_p2_5,bootstrap_pnt_loss_p50,bootstrap_pnt_loss_p97_5,bootstrap_t7_loss_p2_5,bootstrap_t7_loss_p50,bootstrap_t7_loss_p97_5,bootstrap_P_nonloss_spearman_gt0,bootstrap_spearman_p2_5,bootstrap_spearman_p50,bootstrap_spearman_p97_5,permutation_p,pair_support_weak,LODO_auc_positive_pct,LODO_cliff_positive_pct,LODO_pnt_loss_safe_pct,LODO_spearman_positive_pct,LODO_auc_min,LODO_auc_median,LODO_auc_max,BH_q,failed_gates,winner_pass,winner_exceptional,ordinal_winner_pass,geometry_class
recent_limit_up_count_20d,LOW_LEVEL_53,BOARD_HISTORY,1,7,1,FULL_DEVELOPMENT_T7_VS_PNT,13,4.61538461538,4,3,6,19,3.89473684211,3,3,5,23,4.78260869565,4,3,5.5,4,3,4,0.635011441648,0.635011441648,0.270022883295,0.364372469636,0.510033444816,False,0.2325345688,0.785714285714,8,17,0.794117647059,6,15,0.166666666667,3,5,0,8,5,0,3,1,1.75,1.25,0.48125,0.641082451499,0.807407628921,0.95615,20000,-0.0375,0.282164902998,0.614815257842,0.95615,0.0771,0.52025,0.186360157699,0.357142857143,0.564107142857,0.297552765116,0.50700280112,0.736266233766,0.8991,-0.132545245588,0.241887587585,0.570664431216,0.0240987950602,False,1,1,0,1,0.590277777778,0.635011441648,0.668831168831,0.632435044914,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|FDR,False,False,False,NONE
recent_pool_appearance_count_20d,LOW_LEVEL_53,BOARD_HISTORY,1,7,1,FULL_DEVELOPMENT_T7_VS_PNT,13,4.61538461538,4,3,6,19,3.89473684211,3,3,5,23,4.78260869565,4,3,5.5,4,3,4,0.635011441648,0.635011441648,0.270022883295,0.364372469636,0.510033444816,False,0.2325345688,0.785714285714,8,17,0.794117647059,6,15,0.166666666667,3,5,0,8,5,0,3,1,1.75,1.25,0.48125,0.641082451499,0.807407628921,0.95615,20000,-0.0375,0.282164902998,0.614815257842,0.95615,0.0771,0.52025,0.186360157699,0.357142857143,0.564107142857,0.297552765116,0.50700280112,0.736266233766,0.8991,-0.132545245588,0.241887587585,0.570664431216,0.0240987950602,False,1,1,0,1,0.590277777778,0.635011441648,0.668831168831,0.632435044914,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|FDR,False,False,False,NONE
recent_7d_limit_up_count,LOW_LEVEL_53,RECENT_7D_PATH,1,3,1,FULL_DEVELOPMENT_T7_VS_PNT,13,3.07692307692,3,3,3,19,3.05263157895,3,3,3,23,3.30434782609,3,3,3.5,3,3,3,0.605263157895,0.605263157895,0.210526315789,0.487854251012,0.59364548495,True,0.277785239216,0.657142857143,8,17,0.794117647059,6,15,0.5,3,5,0.5,8,4,0,4,1,0.5625,0.25,0.516203703704,0.605263157895,0.705028998779,0.98775,20000,0.0324074074074,0.210526315789,0.410057997558,0.98775,0.3357,0.9165,0.392857142857,0.493697478992,0.568181818182,0.459255050505,0.596618357488,0.722222222222,0.945220569826,-0.0745920871488,0.301687237915,0.556228291784,0.0357982100895,False,1,1,0.0357142857143,1,0.579545454545,0.605263157895,0.617794486216,0.632435044914,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|FDR,False,False,False,NONE
d1_intraday_range,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.102876783421,0.0998597117715,0.0833333333333,0.119086460033,19,0.100393803754,0.0929818311364,0.0767594863818,0.11228078583,23,0.112824333364,0.109843357184,0.0891430126596,0.132352220095,0.0998597117715,0.0929818311364,0.109843357184,0.62471395881,0.62471395881,0.24942791762,0.429149797571,0.598662207358,False,0.219350133701,0.6,8,17,0.588235294118,6,15,0.6,3,5,0.6,8,5,3,0,0.625,0.0245167237916,0.0318542246253,0.413577984143,0.622857142857,0.786379724587,0.8867,20000,-0.172844031715,0.245714285714,0.572759449174,0.8867,0.23715,0.84665,0.238095238095,0.436363636364,0.627450980392,0.401910671565,0.603550295858,0.775735851159,0.8894,-0.134739338176,0.216770023465,0.524537163618,0.091595420229,False,1,1,0,1,0.577922077922,0.622598987588,0.659420289855,0.750442477876,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|DATE_CONSISTENCY|BOOTSTRAP|FDR|PAIR_CONCORDANCE,False,False,False,NONE
d1_ma20_slope,LOW_LEVEL_53,D1_MA_POSITION,1,55,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.0226162822133,0.023862674159,0.0142602495544,0.0309715141158,19,0.0179797183189,0.015932688865,0.0109585923807,0.0230332481733,23,0.0225181228034,0.0202621324832,0.0141522929652,0.0283722993314,0.023862674159,0.015932688865,0.0202621324832,0.620137299771,0.620137299771,0.240274599542,0.352226720648,0.47491638796,False,0.263106717446,0.742857142857,8,17,0.705882352941,6,15,0.266666666667,3,5,0.2,8,6,2,0,0.75,0.00822044455963,0.00894186165759,0.423913043478,0.620938146998,0.770588235294,0.8875,20000,-0.152173913043,0.241876293996,0.541176470588,0.8875,0.1599,0.41095,0.177505494505,0.352272727273,0.67879349046,0.278587793255,0.476312232198,0.698412698413,0.8872,-0.172145046459,0.266470591112,0.567139735764,0.067596620169,False,1,1,0,1,0.558441558442,0.620137299771,0.660427807487,0.750442477876,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|BOOTSTRAP|FDR,False,False,False,NONE
d1_high_to_ma5_raw,LOW_LEVEL_53,D1_MA_POSITION,1,55,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.196504868451,0.198181818182,0.187058183796,0.213058419244,19,0.167405260261,0.173871883875,0.13474893136,0.193879748724,23,0.183522674024,0.180607887465,0.158225709335,0.215405858623,0.198181818182,0.173871883875,0.180607887465,0.615560640732,0.615560640732,0.231121281465,0.259109311741,0.411371237458,False,0.178348594117,0.714285714286,8,17,0.647058823529,6,15,0.266666666667,3,5,0.6,8,5,3,0,0.625,0.0329848548575,0.0497990902179,0.394463187236,0.613756613757,0.776861093452,0.85715,20000,-0.211073625529,0.227513227513,0.553722186904,0.85715,0.00245,0.1621,0.0955833978328,0.253086419753,0.41145895634,0.234847718071,0.410052910053,0.590062111801,0.8247,-0.202883585871,0.178759486722,0.499487942006,0.109544522774,False,1,1,0,1,0.558441558442,0.615560640732,0.652406417112,0.750442477876,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|DATE_CONSISTENCY|BOOTSTRAP|FDR,False,False,False,NONE
d1_close_to_ma20,LOW_LEVEL_53,D1_MA_POSITION,1,55,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.322958655487,0.291357940383,0.273946360153,0.385753424658,19,0.262691295431,0.232870864461,0.182803432585,0.318574732029,23,0.316115829832,0.281777712373,0.244250115538,0.353304336897,0.291357940383,0.232870864461,0.281777712373,0.610983981693,0.610983981693,0.221967963387,0.307692307692,0.411371237458,False,0.318855846366,0.714285714286,8,17,0.705882352941,6,15,0.2,3,5,0.2,8,5,3,0,0.625,0.0924870397313,0.0824584248467,0.410256410256,0.611801242236,0.759804682743,0.87165,20000,-0.179487179487,0.223602484472,0.519609365485,0.87165,0.0663,0.17365,0.156855317885,0.304977974096,0.575004084967,0.226086956522,0.408935234013,0.608695652174,0.94155,-0.0870822263041,0.325502590535,0.594366396127,0.0948452577371,False,1,1,0,1,0.545454545455,0.610983981693,0.644385026738,0.750442477876,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|DATE_CONSISTENCY|BOOTSTRAP|FDR,False,False,False,NONE
recent_limit_up_count_10d,LOW_LEVEL_53,BOARD_HISTORY,1,3,1,FULL_DEVELOPMENT_T7_VS_PNT,13,3.30769230769,3,3,4,19,3.26315789474,3,3,3,23,3.5652173913,3,3,4,3,3,3,0.609839816934,0.609839816934,0.219679633867,0.441295546559,0.56856187291,True,0.238870520175,0.728571428571,8,17,0.794117647059,6,15,0.366666666667,3,5,0.5,8,5,0,3,1,0.8125,0.75,0.518938598167,0.617647058824,0.724137931034,0.9906,20000,0.0378771963331,0.235294117647,0.448275862069,0.9906,0.11255,0.83165,0.321635211767,0.44,0.542859933036,0.428383051121,0.574285714286,0.722222222222,0.962044306646,-0.0294894404233,0.264902721598,0.531649161924,0.141592920354,False,1,1,0,1,0.588235294118,0.609839816934,0.637987012987,0.750442477876,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|FDR,False,False,False,NONE
recent_pool_appearance_count_10d,LOW_LEVEL_53,BOARD_HISTORY,1,3,1,FULL_DEVELOPMENT_T7_VS_PNT,13,3.30769230769,3,3,4,19,3.26315789474,3,3,3,23,3.5652173913,3,3,4,3,3,3,0.609839816934,0.609839816934,0.219679633867,0.441295546559,0.56856187291,True,0.238870520175,0.728571428571,8,17,0.794117647059,6,15,0.366666666667,3,5,0.5,8,5,0,3,1,0.8125,0.75,0.518938598167,0.617647058824,0.724137931034,0.9906,20000,0.0378771963331,0.235294117647,0.448275862069,0.9906,0.11255,0.83165,0.321635211767,0.44,0.542859933036,0.428383051121,0.574285714286,0.722222222222,0.962044306646,-0.0294894404233,0.264902721598,0.531649161924,0.141592920354,False,1,1,0,1,0.588235294118,0.609839816934,0.637987012987,0.750442477876,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|FDR,False,False,False,NONE
d1_last_hour_return,LOW_LEVEL_53,D1_PRICE_ACTION,1,55,1,FULL_DEVELOPMENT_T7_VS_PNT,13,-0.00923810116629,-0.00296442687747,-0.0330720703498,0.0115321252059,19,-0.00946464446787,-0.00567831131959,-0.0145752674109,0.00501095292703,23,0.000199790144347,-0.00211595429539,-0.00727305096194,0.0094912390533,-0.00296442687747,-0.00567831131959,-0.00211595429539,0.597254004577,0.597254004577,0.194508009153,0.518218623482,0.561872909699,False,0.186451665181,0.542857142857,8,17,0.647058823529,6,15,0.2,3,5,0.4,8,6,2,0,0.75,0.0103220363053,0.00621742837818,0.39102443609,0.599644015405,0.775256238859,0.8368,20000,-0.21795112782,0.19928803081,0.550512477718,0.8368,0.5541,0.73575,0.288230223124,0.51871657754,0.779767857143,0.361532258065,0.565656565657,0.781640424987,0.8727,-0.157661273136,0.190673814344,0.467555771051,0.130293485326,False,1,1,0.821428571429,1,0.550264550265,0.597254004577,0.646616541353,0.750442477876,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|CONTINUOUS_INFO|BOOTSTRAP|FDR,False,False,False,NONE
