family,feature,section,metric,estimate,p2.5,p50,p97.5,direction_probability,p_value,q_value,valid_resamples
FROZEN_STAGE1_18,days_since_d0_eq2,BOOTSTRAP,NONLOSS_SPEARMAN,,,,,,,,0
FROZEN_STAGE1_18,days_since_d0_eq2,BOOTSTRAP,PNT_LOSS_AUC,0.5,0.5,0.5,0.5,0,,,20000
FROZEN_STAGE1_18,days_since_d0_eq2,BOOTSTRAP,T7_LOSS_AUC,0.5,0.5,0.5,0.5,0,,,20000
FROZEN_STAGE1_18,days_since_d0_eq2,BOOTSTRAP,T7_PNT_AUC,0.5,0.5,0.5,0.5,0,,,20000
FROZEN_STAGE1_18,days_since_d0_eq2,BOOTSTRAP,T7_PNT_CLIFF,0,0,0,0,0,,,20000
FROZEN_STAGE1_18,days_since_d0_eq2,LODO,NONLOSS_SPEARMAN,,,,,,,,28
FROZEN_STAGE1_18,days_since_d0_eq2,LODO,PNT_LOSS_AUC,0.5,,,,1,,,28
FROZEN_STAGE1_18,days_since_d0_eq2,LODO,T7_PNT_AUC,0.5,0.5,0.5,0.5,0,,,28
FROZEN_STAGE1_18,days_since_d0_eq2,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0,,,,,1,1,20000
FROZEN_STAGE1_18,days_since_d0_ge3,BOOTSTRAP,NONLOSS_SPEARMAN,0.140338748717,-0.121035386007,0.165917413105,0.45686118416,0.855502791838,,,19163
FROZEN_STAGE1_18,days_since_d0_ge3,BOOTSTRAP,PNT_LOSS_AUC,0.45951417004,0.35,0.461538461538,0.524475524476,0.11625,,,20000
FROZEN_STAGE1_18,days_since_d0_ge3,BOOTSTRAP,T7_LOSS_AUC,0.473244147157,0.357142857143,0.475925925926,0.590476190476,0.3034,,,20000
FROZEN_STAGE1_18,days_since_d0_ge3,BOOTSTRAP,T7_PNT_AUC,0.513729977117,0.449300324675,0.515238095238,0.613101190476,0.63995,,,20000
FROZEN_STAGE1_18,days_since_d0_ge3,BOOTSTRAP,T7_PNT_CLIFF,0.0274599542334,-0.101399350649,0.0304761904762,0.226202380952,0.63995,,,20000
FROZEN_STAGE1_18,days_since_d0_ge3,LODO,NONLOSS_SPEARMAN,0.140338748717,,,,1,,,28
FROZEN_STAGE1_18,days_since_d0_ge3,LODO,PNT_LOSS_AUC,0.45951417004,,,,0,,,28
FROZEN_STAGE1_18,days_since_d0_ge3,LODO,T7_PNT_AUC,0.513729977117,0.490338164251,0.513729977117,0.538961038961,0.964285714286,,,28
FROZEN_STAGE1_18,days_since_d0_ge3,PERMUTATION,ABS_RAW_T7_PNT_AUC_DISTANCE,0.0137299771167,,,,,1,1,20000
FROZEN_STAGE1_18,days_since_d0_le1,BOOTSTRAP,NONLOSS_SPEARMAN,0.140338748717,-0.121035386007,0.165917413105,0.45686118416,0.855502791838,,,19163
FROZEN_STAGE1_18,days_since_d0_le1,BOOTSTRAP,PNT_LOSS_AUC,0.45951417004,0.35,0.461538461538,0.524475524476,0.11625,,,20000
FROZEN_STAGE1_18,days_since_d0_le1,BOOTSTRAP,T7_LOSS_AUC,0.473244147157,0.357142857143,0.475925925926,0.590476190476,0.3034,,,20000
FROZEN_STAGE1_18,days_since_d0_le1,BOOTSTRAP,T7_PNT_AUC,0.513729977117,0.449300324675,0.515238095238,0.613101190476,0.63995,,,20000
FROZEN_STAGE1_18,days_since_d0_le1,BOOTSTRAP,T7_PNT_CLIFF,0.0274599542334,-0.101399350649,0.0304761904762,0.226202380952,0.63995,,,20000
FROZEN_STAGE1_18,days_since_d0_le1,LODO,NONLOSS_SPEARMAN,0.140338748717,,,,1,,,28
