feature,family,feature_group,coverage,unique_values,winner_sign,orientation_source,LOSS_n,LOSS_mean,LOSS_median,LOSS_p25,LOSS_p75,PNT_n,PNT_mean,PNT_median,PNT_p25,PNT_p75,T7_n,T7_mean,T7_median,T7_p25,T7_p75,oriented_LOSS_median,oriented_PNT_median,oriented_T7_median,AUC_raw_T7_vs_PNT,AUC_oriented_T7_vs_PNT,Cliff_T7_vs_PNT,AUC_oriented_PNT_vs_LOSS,AUC_oriented_T7_vs_LOSS,ordinal_median_monotonic,NONLOSS_raw_spearman,NONLOSS_raw_pair_concordance,T7_PNT_pair_dates,T7_PNT_pairs,T7_PNT_pair_concordance,PNT_LOSS_pair_dates,PNT_LOSS_pairs,PNT_LOSS_concordance,T7_LOSS_pair_dates,T7_LOSS_pairs,T7_LOSS_concordance,date_mixed_count,date_positive,date_negative,date_ties,date_direction_consistency,date_mean_gap,date_median_gap,bootstrap_auc_p2_5,bootstrap_auc_p50,bootstrap_auc_p97_5,bootstrap_P_auc_gt_half,bootstrap_auc_valid,bootstrap_cliff_p2_5,bootstrap_cliff_p50,bootstrap_cliff_p97_5,bootstrap_P_cliff_gt0,bootstrap_P_pnt_loss_auc_gt_half,bootstrap_P_t7_loss_auc_gt_half,bootstrap_pnt_loss_p2_5,bootstrap_pnt_loss_p50,bootstrap_pnt_loss_p97_5,bootstrap_t7_loss_p2_5,bootstrap_t7_loss_p50,bootstrap_t7_loss_p97_5,bootstrap_P_nonloss_spearman_gt0,bootstrap_spearman_p2_5,bootstrap_spearman_p50,bootstrap_spearman_p97_5,permutation_p,pair_support_weak,LODO_auc_positive_pct,LODO_cliff_positive_pct,LODO_pnt_loss_safe_pct,LODO_spearman_positive_pct,LODO_auc_min,LODO_auc_median,LODO_auc_max,BH_q,failed_gates,winner_pass,winner_exceptional,ordinal_winner_pass,geometry_class
inter_close_trend,FROZEN_STAGE1_18,INTERACTION_OR_SPREAD,1,49,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.565674889867,0.555555555556,0.435555555556,0.642857142857,19,0.407330465606,0.466666666667,0.266666666667,0.527083333333,23,0.508405765754,0.5625,0.376049382716,0.677311665407,0.555555555556,0.466666666667,0.5625,0.675057208238,0.675057208238,0.350114416476,0.279352226721,0.47491638796,False,0.262004135004,0.714285714286,8,17,0.764705882353,6,15,0.266666666667,3,5,0.8,8,5,3,0,0.625,0.0827450877045,0.186014979339,0.501536764706,0.677380952381,0.839015963203,0.97525,20000,0.00307352941176,0.354761904762,0.678031926407,0.97525,0.00565,0.40205,0.125924630925,0.272727272727,0.434343434343,0.276561316288,0.474391763394,0.689105902778,0.95415,-0.0444884907065,0.259621264596,0.536065672668,0.0652967351632,False,1,1,0,1,0.631493506494,0.675057208238,0.712121212121,0.882855857207,T7_LOSS_SAFETY|PNT_LOSS_SAFETY|DATE_CONSISTENCY|FDR,False,False,False,NONE
rank_trend_hold_score,FROZEN_STAGE1_18,RANK,1,26,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.634739933269,0.642857142857,0.555555555556,0.727272727273,19,0.608165883824,0.625,0.527777777778,0.775,23,0.707250298011,0.75,0.633928571429,0.8,0.642857142857,0.625,0.75,0.672768878719,0.672768878719,0.345537757437,0.485829959514,0.66889632107,False,0.187463443244,0.585714285714,8,17,0.647058823529,6,15,0.6,3,5,0.6,8,2,0,6,1,0.0823863636364,0,0.557776785714,0.677777777778,0.803409333722,0.9969,20000,0.115553571429,0.355555555556,0.606818667444,0.9969,0.40975,0.9184,0.254627525253,0.477272727273,0.653509367849,0.431248102227,0.668135351967,0.868882737633,0.95505,-0.0328653267151,0.195676935008,0.439009570741,0.150292485376,False,1,1,0.142857142857,1,0.657004830918,0.672768878719,0.706766917293,0.882855857207,PNT_LOSS_SAFETY|FDR,False,False,False,NONE
inter_total_trend,FROZEN_STAGE1_18,INTERACTION_OR_SPREAD,1,51,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.305311609151,0.333333333333,0.172839506173,0.4375,19,0.397362921345,0.390625,0.216836734694,0.574325068871,23,0.498464954904,0.537190082645,0.339011637713,0.648333333333,0.333333333333,0.390625,0.537190082645,0.62356979405,0.62356979405,0.247139588101,0.62955465587,0.755852842809,True,0.0720421396207,0.514285714286,8,17,0.558823529412,6,15,0.7,3,5,0.6,8,4,3,1,0.571428571429,0.0760047629589,0.0703125,0.461737541657,0.626086956522,0.813581283807,0.9321,20000,-0.076524916686,0.252173913043,0.627162567613,0.9321,0.859,0.99505,0.378203125,0.627083333333,0.786713286713,0.565754317367,0.757853618421,0.911569627851,0.6994,-0.200528428898,0.0711932633573,0.371249937445,0.178041097945,False,1,1,1,0.964285714286,0.597744360902,0.62356979405,0.664438502674,0.882855857207,PRIMARY_AUC|EFFECT_SIZE|CONTINUOUS_INFO|DATE_CONSISTENCY|FDR|PAIR_CONCORDANCE,False,False,False,EXTREME_ONLY
rank_total_score,FROZEN_STAGE1_18,RANK,1,36,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.458621770386,0.5,0.294117647059,0.5,19,0.598944184471,0.625,0.321428571429,0.877777777778,23,0.706288035636,0.733333333333,0.560606060606,0.912878787879,0.5,0.625,0.733333333333,0.609839816934,0.609839816934,0.219679633867,0.663967611336,0.757525083612,True,0.0428973344123,0.542857142857,8,17,0.558823529412,6,15,0.7,3,5,0.8,8,4,3,1,0.571428571429,0.0950622294372,0.125,0.411428571429,0.612307692308,0.815221571906,0.86415,20000,-0.177142857143,0.224615384615,0.630443143813,0.86415,0.8961,0.99435,0.386666666667,0.6625,0.829832662232,0.561224489796,0.761259442145,0.925288289297,0.61415,-0.250405335008,0.0402907049338,0.322660218971,0.19619019049,False,1,1,1,0.928571428571,0.57702020202,0.609839816934,0.672459893048,0.882855857207,PRIMARY_AUC|EFFECT_SIZE|CONTINUOUS_INFO|DATE_CONSISTENCY|BOOTSTRAP|FDR|PAIR_CONCORDANCE,False,False,False,EXTREME_ONLY
rank_days_since_d0,FROZEN_STAGE1_18,RANK,1,16,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.543633327457,0.555555555556,0.527777777778,0.571428571429,19,0.537387320282,0.545454545455,0.516666666667,0.552777777778,23,0.564038678713,0.555555555556,0.545454545455,0.577380952381,0.555555555556,0.545454545455,0.555555555556,0.741418764302,0.741418764302,0.482837528604,0.404858299595,0.603678929766,False,0.257441702198,0.5,8,17,0.5,6,15,0.5,3,5,0.5,8,0,0,8,,0,0,0.559090909091,0.734178194993,0.849206349206,0.99415,20000,0.118181818182,0.468356389987,0.698412698413,0.99415,0.15755,0.8414,0.227272727273,0.407723002994,0.605555555556,0.384255050505,0.605769230769,0.782608695652,0.89795,-0.153663572173,0.241837808921,0.493140724321,1,False,1,1,0,1,0.686688311688,0.741418764302,0.765700483092,1,PNT_LOSS_SAFETY|DATE_CONSISTENCY|FDR|PAIR_CONCORDANCE,False,False,False,NONE
rank_theme_score,FROZEN_STAGE1_18,RANK,1,24,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.50800718889,0.6,0.277777777778,0.714285714286,19,0.53270691297,0.6,0.373376623377,0.6375,23,0.588749294184,0.625,0.555555555556,0.704545454545,0.6,0.6,0.625,0.602974828375,0.602974828375,0.205949656751,0.483805668016,0.576923076923,True,0.116389050465,0.542857142857,8,17,0.529411764706,6,15,0.433333333333,3,5,0.4,8,2,0,6,1,0.0848214285714,0,0.45265058675,0.602174861173,0.74867906746,0.9102,20000,-0.0946988265003,0.204349722345,0.497358134921,0.9102,0.42965,0.78145,0.277210436806,0.481481481481,0.69668087777,0.376734375,0.579831932773,0.7733359375,0.81255,-0.139102677382,0.114306355826,0.368750163574,0.334733263337,False,1,1,0.178571428571,1,0.573232323232,0.602974828375,0.630325814536,1,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|CONTINUOUS_INFO|FDR|PAIR_CONCORDANCE,False,False,False,NONE
rank_d1_close_vwap_pct,FROZEN_STAGE1_18,RANK,1,36,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.545946863594,0.5,0.222222222222,0.857142857143,19,0.564379042011,0.538461538462,0.30303030303,0.804166666667,23,0.650170964301,0.777777777778,0.40404040404,0.883333333333,0.5,0.538461538462,0.777777777778,0.575514874142,0.575514874142,0.151029748284,0.542510121457,0.590301003344,True,0.221229689887,0.542857142857,8,17,0.647058823529,6,15,0.4,3,5,0.4,8,4,3,1,0.571428571429,0.00441017316017,0.136363636364,0.394117647059,0.58014354067,0.737686498856,0.8127,20000,-0.211764705882,0.16028708134,0.475372997712,0.8127,0.65345,0.81645,0.336896074718,0.547202797203,0.791666666667,0.392857142857,0.592736882529,0.797619047619,0.9478,-0.0489517778747,0.22453546178,0.459064317715,0.466126693665,False,1,1,0.964285714286,1,0.55614973262,0.575358851675,0.625,1,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|DATE_CONSISTENCY|BOOTSTRAP|FDR,False,False,False,NONE
rank_active_money_score,FROZEN_STAGE1_18,RANK,1,37,-1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.734735281059,0.75,0.625,0.916666666667,19,0.680182901893,0.7,0.585227272727,0.848290598291,23,0.601301838258,0.65,0.395833333333,0.856818181818,-0.75,-0.7,-0.65,0.433638443936,0.566361556064,0.132723112128,0.550607287449,0.637123745819,True,-0.0268130182787,0.514285714286,8,17,0.529411764706,6,15,0.833333333333,3,5,0.8,8,4,3,1,0.571428571429,0.0648200757576,0.0729166666667,0.386362440191,0.570397836796,0.766071428571,0.76555,20000,-0.227275119617,0.140795673592,0.532142857143,0.76555,0.6215,0.89285,0.259090909091,0.548076923077,0.787595255029,0.416666666667,0.638888888889,0.821976010101,0.44045,-0.350364897459,-0.0251828453102,0.320696981181,0.339733013349,False,1,1,0.964285714286,0.178571428571,0.532085561497,0.566361556064,0.621753246753,1,PRIMARY_AUC|EFFECT_SIZE|CONTINUOUS_INFO|DATE_CONSISTENCY|BOOTSTRAP|FDR|PAIR_CONCORDANCE,False,False,False,NONE
rank_log_candidate_base_price,FROZEN_STAGE1_18,RANK,1,35,1,FULL_DEVELOPMENT_T7_VS_PNT,13,0.547834518423,0.533333333333,0.466666666667,0.666666666667,19,0.534196797355,0.6,0.336363636364,0.703296703297,23,0.572957839262,0.571428571429,0.333333333333,0.763636363636,0.533333333333,0.6,0.571428571429,0.537757437071,0.537757437071,0.0755148741419,0.524291497976,0.540133779264,False,0.0947825204638,0.742857142857,8,17,0.529411764706,6,15,0.666666666667,3,5,0.2,8,5,3,0,0.625,0.0664096320346,0.107954545455,0.379406470588,0.543960780599,0.716965525794,0.69075,20000,-0.241187058824,0.0879215611974,0.433931051587,0.69075,0.60795,0.6401,0.309375,0.530037593985,0.718181818182,0.33,0.540732361321,0.766666666667,0.83665,-0.128389997231,0.115193444322,0.356525659764,0.557772111394,False,1,1,0.928571428571,1,0.505291005291,0.537757437071,0.590909090909,1,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|DATE_CONSISTENCY|BOOTSTRAP|FDR|PAIR_CONCORDANCE,False,False,False,NONE
spread_close_low,FROZEN_STAGE1_18,INTERACTION_OR_SPREAD,1,33,1,FULL_DEVELOPMENT_T7_VS_PNT,13,-0.0013764013764,0,-0.0909090909091,0.0666666666667,19,0.0332524200945,0,-0.118055555556,0.0958333333333,23,0.0315797728841,0,0,0.05,0,0,0,0.535469107551,0.535469107551,0.070938215103,0.5,0.55016722408,True,0.11943034056,0.5,8,17,0.529411764706,6,15,0.466666666667,3,5,0.8,8,4,3,1,0.571428571429,-0.0916666666667,0.05,0.335978574566,0.535540935673,0.730773809524,0.63745,20000,-0.328042850869,0.071081871345,0.461547619048,0.63745,0.4862,0.7445,0.285714285714,0.49781655225,0.701393849206,0.385185185185,0.556154576455,0.714876033058,0.7621,-0.200780849095,0.113121698307,0.42806626055,0.656817159142,False,0.964285714286,0.964285714286,0.714285714286,1,0.483957219251,0.535469107551,0.588383838384,1,PRIMARY_AUC|EFFECT_SIZE|T7_LOSS_SAFETY|PNT_LOSS_SAFETY|CONTINUOUS_INFO|DATE_CONSISTENCY|BOOTSTRAP|FDR|PAIR_CONCORDANCE,False,False,False,NONE
