column_name,column_role,available_as_of,source_or_formula,allowed_for_future_feature_analysis,reason
event_id,identifier,D1_CLOSE,"code + '_' + break_date (v0.2.2 来源, 未改变)",False,"身份或绝对日期字段, 不作为特征"
code,identifier,D1_CLOSE,copied unchanged from source v0.2.2 column code,False,"身份或绝对日期字段, 不作为特征"
name,identifier,D1_CLOSE,copied unchanged from source v0.2.2 column name,False,"身份或绝对日期字段, 不作为特征"
signal_date,identifier,D1_CLOSE,D1 信号日 = 断板日 (v0.2.2 来源),False,"身份或绝对日期字段, 不作为特征"
break_date,identifier,D1_CLOSE,D1 断板日 = 连续 2/3 板后第一个非涨停交易日 (v0.2.2 来源),False,"身份或绝对日期字段, 不作为特征"
board_streak_before_break,d1_feature,D1_CLOSE,"断板前连续涨停天数 ∈ {2,3} (日线相邻交易日判定, v0.2.2 来源)",True,"D1 时点已知, 允许进入未来因子分析候选"
days_since_break,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column days_since_break,False,"溯源/质量元数据, 不作为特征"
days_since_last_limit_up,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column days_since_last_limit_up,False,"溯源/质量元数据, 不作为特征"
repair_attempt_count,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column repair_attempt_count,False,"溯源/质量元数据, 不作为特征"
recent_limit_up_count_10d,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column recent_limit_up_count_10d,True,"D1 时点已知, 允许进入未来因子分析候选"
recent_limit_up_count_20d,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column recent_limit_up_count_20d,True,"D1 时点已知, 允许进入未来因子分析候选"
recent_pool_appearance_count_10d,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column recent_pool_appearance_count_10d,True,"D1 时点已知, 允许进入未来因子分析候选"
recent_pool_appearance_count_20d,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column recent_pool_appearance_count_20d,True,"D1 时点已知, 允许进入未来因子分析候选"
max_board_streak_20d,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column max_board_streak_20d,True,"D1 时点已知, 允许进入未来因子分析候选"
board_day_amount_rank,d0_feature,D0_CLOSE,copied unchanged from source v0.2.2 column board_day_amount_rank,True,"D1 时点已知, 允许进入未来因子分析候选"
board_day_turnover_rank,d0_feature,D0_CLOSE,copied unchanged from source v0.2.2 column board_day_turnover_rank,True,"D1 时点已知, 允许进入未来因子分析候选"
board_day_volume_rank,d0_feature,D0_CLOSE,copied unchanged from source v0.2.2 column board_day_volume_rank,True,"D1 时点已知, 允许进入未来因子分析候选"
