metric,value
input_rows,879
selected_d1_rows,333
unique_event_id,333
unique_signal_dates,42
duplicate_event_id_rows,0
duplicate_code_break_date_rows,0
duplicate_code_signal_date_rows,0
target7_positive_count,100
target7_rate,0.3003003003003003
daily_label_quality_false_count,0
2026-06_rows,173
2026-06_positives,59
2026-06_rate,0.34104046242774566
2026-07_rows,160
2026-07_positives,41
2026-07_rate,0.25625
board_streak_2_rows,284
board_streak_2_positives,81
board_streak_2_rate,0.2852112676056338
board_streak_3_rows,49
board_streak_3_positives,19
board_streak_3_rate,0.3877551020408163
board_streak_other_count,0
time_relation_fail_rows,0
signal_equals_break_fail_rows,0
d2_d3_adjacency,"{""verified_rows"": 333, ""mismatch_rows"": 0, ""not_verified_rows"": 0, ""cache_stock_count"": 296, ""cache_file_count"": 296}"
d2_open_invalid_count,0
d3_high_invalid_count,0
d3_close_invalid_count,0
max_return_diff,0.0
target7_recompute_mismatch_count,0
leakage_violation_columns,[]
forbidden_unknown_columns,[]
frozen,True
hard_failures,[]
