event_id,code,signal_date,break_date,stage_group,days_since_break,exclusion_reason
000759_2026-05-28,000759,2026-06-01,2026-05-28,post,2,not_d1_first_break_observation
001257_2026-05-28,001257,2026-06-01,2026-05-28,post,2,not_d1_first_break_observation
002251_2026-05-28,002251,2026-06-01,2026-05-28,post,2,not_d1_first_break_observation
002771_2026-05-28,002771,2026-06-01,2026-05-28,post,2,not_d1_first_break_observation
603032_2026-05-29,603032,2026-06-01,2026-05-29,post,1,not_d1_first_break_observation
000090_2026-06-01,000090,2026-06-02,2026-06-01,post,1,not_d1_first_break_observation
600110_2026-06-01,600110,2026-06-02,2026-06-01,post,1,not_d1_first_break_observation
603032_2026-05-29,603032,2026-06-02,2026-05-29,post,2,not_d1_first_break_observation
603324_2026-06-01,603324,2026-06-02,2026-06-01,post,1,not_d1_first_break_observation
002608_2026-06-02,002608,2026-06-03,2026-06-02,post,1,not_d1_first_break_observation
002806_2026-06-01,002806,2026-06-03,2026-06-01,post,2,not_d1_first_break_observation
600011_2026-06-02,600011,2026-06-03,2026-06-02,post,1,not_d1_first_break_observation
600110_2026-06-01,600110,2026-06-03,2026-06-01,post,2,not_d1_first_break_observation
603324_2026-06-01,603324,2026-06-03,2026-06-01,post,2,not_d1_first_break_observation
000037_2026-06-02,000037,2026-06-04,2026-06-02,post,2,not_d1_first_break_observation
000055_2026-06-03,000055,2026-06-04,2026-06-03,post,1,not_d1_first_break_observation
000767_2026-06-02,000767,2026-06-04,2026-06-02,post,2,not_d1_first_break_observation
001210_2026-06-03,001210,2026-06-04,2026-06-03,post,1,not_d1_first_break_observation
002404_2026-06-03,002404,2026-06-04,2026-06-03,post,1,not_d1_first_break_observation
002421_2026-06-03,002421,2026-06-04,2026-06-03,post,1,not_d1_first_break_observation
002579_2026-06-03,002579,2026-06-04,2026-06-03,post,1,not_d1_first_break_observation
002608_2026-06-02,002608,2026-06-04,2026-06-02,post,2,not_d1_first_break_observation
002995_2026-06-02,002995,2026-06-04,2026-06-02,post,2,not_d1_first_break_observation
600011_2026-06-02,600011,2026-06-04,2026-06-02,post,2,not_d1_first_break_observation
600280_2026-06-03,600280,2026-06-04,2026-06-03,post,1,not_d1_first_break_observation
603045_2026-06-03,603045,2026-06-04,2026-06-03,post,1,not_d1_first_break_observation
603678_2026-06-03,603678,2026-06-04,2026-06-03,post,1,not_d1_first_break_observation
603890_2026-06-03,603890,2026-06-04,2026-06-03,post,1,not_d1_first_break_observation
000055_2026-06-03,000055,2026-06-05,2026-06-03,post,2,not_d1_first_break_observation
000700_2026-06-04,000700,2026-06-05,2026-06-04,post,1,not_d1_first_break_observation
001210_2026-06-03,001210,2026-06-05,2026-06-03,post,2,not_d1_first_break_observation
002137_2026-06-04,002137,2026-06-05,2026-06-04,post,1,not_d1_first_break_observation
002404_2026-06-03,002404,2026-06-05,2026-06-03,post,2,not_d1_first_break_observation
002579_2026-06-03,002579,2026-06-05,2026-06-03,post,2,not_d1_first_break_observation
002951_2026-06-03,002951,2026-06-05,2026-06-03,post,2,not_d1_first_break_observation
600121_2026-06-04,600121,2026-06-05,2026-06-04,post,1,not_d1_first_break_observation
600280_2026-06-03,600280,2026-06-05,2026-06-03,post,2,not_d1_first_break_observation
600487_2026-06-04,600487,2026-06-05,2026-06-04,post,1,not_d1_first_break_observation
600936_2026-06-04,600936,2026-06-05,2026-06-04,post,1,not_d1_first_break_observation
603045_2026-06-03,603045,2026-06-05,2026-06-03,post,2,not_d1_first_break_observation
603311_2026-06-04,603311,2026-06-05,2026-06-04,post,1,not_d1_first_break_observation
603678_2026-06-03,603678,2026-06-05,2026-06-03,post,2,not_d1_first_break_observation
603890_2026-06-03,603890,2026-06-05,2026-06-03,post,2,not_d1_first_break_observation
000700_2026-06-04,000700,2026-06-08,2026-06-04,post,2,not_d1_first_break_observation
001896_2026-06-05,001896,2026-06-08,2026-06-05,post,1,not_d1_first_break_observation
002137_2026-06-04,002137,2026-06-08,2026-06-04,post,2,not_d1_first_break_observation
002787_2026-06-05,002787,2026-06-08,2026-06-05,post,1,not_d1_first_break_observation
600121_2026-06-04,600121,2026-06-08,2026-06-04,post,2,not_d1_first_break_observation
600255_2026-06-05,600255,2026-06-08,2026-06-05,post,1,not_d1_first_break_observation
600439_2026-06-05,600439,2026-06-08,2026-06-05,post,1,not_d1_first_break_observation
600487_2026-06-04,600487,2026-06-08,2026-06-04,post,2,not_d1_first_break_observation
600688_2026-06-05,600688,2026-06-08,2026-06-05,post,1,not_d1_first_break_observation
603311_2026-06-04,603311,2026-06-08,2026-06-04,post,2,not_d1_first_break_observation
605162_2026-06-05,605162,2026-06-08,2026-06-05,post,1,not_d1_first_break_observation
000520_2026-06-08,000520,2026-06-09,2026-06-08,post,1,not_d1_first_break_observation
002787_2026-06-05,002787,2026-06-09,2026-06-05,post,2,not_d1_first_break_observation
600255_2026-06-05,600255,2026-06-09,2026-06-05,post,2,not_d1_first_break_observation
