event_id,code,name,signal_date,break_date,recognition_score,is_v004a_scorable,v004a_probability,v004a_rank,is_v004a_top3,is_v004a_top10,is_v004a_top15,is_v002_scorable,v002_rank,is_v002_top3,is_v002_top10,is_v002_top15,v004a_score_source
000090_2026-06-01,000090,天健集团,2026-06-01,2026-06-01,,True,0.4342952591433318,9.0,False,True,True,False,,False,False,False,frozen_reconstruction
002806_2026-06-01,002806,华锋股份,2026-06-01,2026-06-01,,False,,,False,False,False,False,,False,False,False,
600110_2026-06-01,600110,诺德股份,2026-06-01,2026-06-01,,True,0.4605023599243783,5.0,False,True,True,False,,False,False,False,frozen_reconstruction
603324_2026-06-01,603324,盛剑科技,2026-06-01,2026-06-01,,True,0.4314127977176776,11.0,False,False,True,False,,False,False,False,frozen_reconstruction
002608_2026-06-02,002608,江苏国信,2026-06-02,2026-06-02,,True,0.4706664312282943,5.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
600011_2026-06-02,600011,华能国际,2026-06-02,2026-06-02,,True,0.4544694479386173,17.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
000055_2026-06-03,000055,方大集团,2026-06-03,2026-06-03,,False,,,False,False,False,False,,False,False,False,
001210_2026-06-03,001210,金房能源,2026-06-03,2026-06-03,,True,0.4595703125647029,12.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
002404_2026-06-03,002404,嘉欣丝绸,2026-06-03,2026-06-03,,True,0.4381463457535323,25.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002421_2026-06-03,002421,达实智能,2026-06-03,2026-06-03,,True,0.4090042189805385,52.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002579_2026-06-03,002579,中京电子,2026-06-03,2026-06-03,,True,0.4610138071285129,10.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
600280_2026-06-03,600280,中央商场,2026-06-03,2026-06-03,,True,0.4575137282035212,14.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
603045_2026-06-03,603045,福达合金,2026-06-03,2026-06-03,,True,0.4162165019452706,47.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
000700_2026-06-04,000700,模塑科技,2026-06-04,2026-06-04,,True,0.4621726021962941,6.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
002137_2026-06-04,002137,实益达,2026-06-04,2026-06-04,,True,0.4605548001497063,8.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
600121_2026-06-04,600121,郑州煤电,2026-06-04,2026-06-04,,True,0.4648100808764563,5.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
600487_2026-06-04,600487,亨通光电,2026-06-04,2026-06-04,,True,0.4815750743093681,1.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
600936_2026-06-04,600936,北投科技,2026-06-04,2026-06-04,,True,0.4266553018136297,46.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
603311_2026-06-04,603311,金海高科,2026-06-04,2026-06-04,,True,0.4721921347515785,3.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
001896_2026-06-05,001896,豫能控股,2026-06-05,2026-06-05,,True,0.4495491165568179,9.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
002787_2026-06-05,002787,华源控股,2026-06-05,2026-06-05,,True,0.4131009875587532,40.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
600255_2026-06-05,600255,鑫科材料,2026-06-05,2026-06-05,,True,0.4496106009466016,8.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
600439_2026-06-05,600439,瑞贝卡,2026-06-05,2026-06-05,,False,,,False,False,False,False,,False,False,False,
600688_2026-06-05,600688,上海石化,2026-06-05,2026-06-05,,True,0.4524118082850157,5.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
605162_2026-06-05,605162,新中港,2026-06-05,2026-06-05,,True,0.4324276114272992,21.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
000520_2026-06-08,000520,凤凰航运,2026-06-08,2026-06-08,0.3387096774193548,True,0.4498821338845374,2.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
003036_2026-06-08,003036,泰坦股份,2026-06-08,2026-06-08,0.5752688172043011,True,0.4148783446557238,13.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
600293_2026-06-08,600293,三峡新材,2026-06-08,2026-06-08,0.8763440860215054,True,0.4385041355840388,4.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
000068_2026-06-09,000068,华控赛格,2026-06-09,2026-06-09,0.4347826086956521,True,0.4269763528959237,12.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
000517_2026-06-09,000517,荣安地产,2026-06-09,2026-06-09,0.3188405797101449,False,,,False,False,False,False,,False,False,False,
000759_2026-06-09,000759,中百集团,2026-06-09,2026-06-09,0.7463768115942028,True,0.3823039719250912,23.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002361_2026-06-09,002361,神剑股份,2026-06-09,2026-06-09,0.9782608695652174,True,0.425211110454656,13.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
002421_2026-06-09,002421,达实智能,2026-06-09,2026-06-09,0.9637681159420288,True,0.4492541663181975,5.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
002613_2026-06-09,002613,北玻股份,2026-06-09,2026-06-09,0.5434782608695652,True,0.4131416651516708,15.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
003009_2026-06-09,003009,中天火箭,2026-06-09,2026-06-09,0.5217391304347826,True,0.4388628274584257,8.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
