event_id,code,d0_last_board_date,d1_break_date,d2_entry_date,d3_outcome_date,daily_cache_relative_path,daily_cache_sha256,date_sequence_through_d3_sha256,adjacency_verified,adjacency_status,adjacency_reason
000090_2026-06-01,000090,2026-05-29,2026-06-01,2026-06-02,2026-06-03,data/cache/daily/000090_daily.pkl,da26317adb930094661589a2a67c5239b859c05bf33c5ad67a8dc1c20465b53f,01fe18bdd0367da273cf49e542390f5d0fe9ae8c87c3db30915a70a7a118e30e,True,verified,
002806_2026-06-01,002806,2026-05-29,2026-06-01,2026-06-02,2026-06-03,data/cache/daily/002806_daily.pkl,6b2d0e4fe2f5276238c91558456eafddeb745e13b8ed154b7b419375a1c6b52c,8b0fc85544f2295fdea4c94dcc8a153c7160d09fef994292ffd47749f11661e0,True,verified,
600110_2026-06-01,600110,2026-05-29,2026-06-01,2026-06-02,2026-06-03,data/cache/daily/600110_daily.pkl,ea8bc1046225438142f352aadc344dfe39ba1ddc5c2f5e77d39cf3f3685b455d,def16073c221d056ec54a53a5473064bf073efcc769791d2500d3ed22f9c6414,True,verified,
603324_2026-06-01,603324,2026-05-29,2026-06-01,2026-06-02,2026-06-03,data/cache/daily/603324_daily.pkl,ac7cbb423091cc86c6bf60f163bf7a7b84cfcd855b26142b69f815c77d044000,def16073c221d056ec54a53a5473064bf073efcc769791d2500d3ed22f9c6414,True,verified,
002608_2026-06-02,002608,2026-06-01,2026-06-02,2026-06-03,2026-06-04,data/cache/daily/002608_daily.pkl,b67bca04aefd0978ead34eaf0ee2c9e2327edc14e22effce3f399e70330fb54d,fcefce2641e0d4a5134845a55f1f516c3acbf5f6931b77e0a2f350ee57200560,True,verified,
600011_2026-06-02,600011,2026-06-01,2026-06-02,2026-06-03,2026-06-04,data/cache/daily/600011_daily.pkl,918054a27a38e44e781984522247d3713a9a09f65986787b27e759e12e593d0b,fcefce2641e0d4a5134845a55f1f516c3acbf5f6931b77e0a2f350ee57200560,True,verified,
000055_2026-06-03,000055,2026-06-02,2026-06-03,2026-06-04,2026-06-05,data/cache/daily/000055_daily.pkl,f5da75263d4dc8ae2e404010297bd95fa456c8a462f9b77fdb43c76600479979,7e572615ac8569f8641d136bed42f46d4483e5822c0d4fb48bbf1ec2c3eb6d27,True,verified,
001210_2026-06-03,001210,2026-06-02,2026-06-03,2026-06-04,2026-06-05,data/cache/daily/001210_daily.pkl,28468a6a1e0d1bf204a4ddbe08ba68de7558bec39f5c3d41c08b9e58d079661c,7920e5889ef388666ec29f3726962ef6e476d27055ad41d7a21b8436cb027042,True,verified,
002404_2026-06-03,002404,2026-06-02,2026-06-03,2026-06-04,2026-06-05,data/cache/daily/002404_daily.pkl,c5c7db0fb1978ad1907bff5bc354d372167c140967ed621c9f7115eaabe79fc6,626da09901cc828a6529ec0946b014fb62af26899701251d36a1613e5f98c084,True,verified,
002421_2026-06-03,002421,2026-06-02,2026-06-03,2026-06-04,2026-06-05,data/cache/daily/002421_daily.pkl,9f72fb310af31f137e06a7a06f89d54f33d27e2bbf42a7347f2a7fdc3379706f,ec33499ff9ae691dd17e622f57a4841ec8e132db9f6130c032ce897d6d070c5b,True,verified,
002579_2026-06-03,002579,2026-06-02,2026-06-03,2026-06-04,2026-06-05,data/cache/daily/002579_daily.pkl,2da563f2bb08cb5dd741d2af4bb7b13a094f112ff2d3e0c6aa4c67a97b82fa9b,ec33499ff9ae691dd17e622f57a4841ec8e132db9f6130c032ce897d6d070c5b,True,verified,
600280_2026-06-03,600280,2026-06-02,2026-06-03,2026-06-04,2026-06-05,data/cache/daily/600280_daily.pkl,beb8455707b4a8c2e704d562df396fd5c4118b7486daaa841442f0cff78dd622,626da09901cc828a6529ec0946b014fb62af26899701251d36a1613e5f98c084,True,verified,
603045_2026-06-03,603045,2026-06-02,2026-06-03,2026-06-04,2026-06-05,data/cache/daily/603045_daily.pkl,c59abe8a6edb6627fcc99a5c1b4519ea357746657d267ea144527fd8770f9c31,626da09901cc828a6529ec0946b014fb62af26899701251d36a1613e5f98c084,True,verified,
000700_2026-06-04,000700,2026-06-03,2026-06-04,2026-06-05,2026-06-08,data/cache/daily/000700_daily.pkl,c689f017fff8097eec871d3b39da941695af6f774f6a828686757a41cd421bc2,59a4c8e9d760e31c494f691ebc9fd6385a6c2427ea704064f27ee3a4f45656e3,True,verified,
002137_2026-06-04,002137,2026-06-03,2026-06-04,2026-06-05,2026-06-08,data/cache/daily/002137_daily.pkl,f27b7df1cdb5819572ef9fde2c9cef3f21f9b532cea6b307dcce00d97560548b,b1951b0575bddf581039932231ff25878b5250147a87232472e1aee35f927a46,True,verified,
600121_2026-06-04,600121,2026-06-03,2026-06-04,2026-06-05,2026-06-08,data/cache/daily/600121_daily.pkl,0dc28b7893b7efe7a387e4aeea22f8a93dd4edac0e80a28a4eaba767c491cc77,71ca38fdf0a2bb4cde5413a2badbe1b08b957a4e81f5f7e2e86e008a8c4871f6,True,verified,
600487_2026-06-04,600487,2026-06-03,2026-06-04,2026-06-05,2026-06-08,data/cache/daily/600487_daily.pkl,de61e5497e164884999d368c6ff52aabce3b40fecc57728248899379bec4b57a,08cc6fbb41885ea086860524c01ead11eaa9ff5de1c045ec038eeede2c641b77,True,verified,
