code,status,source,fetch_start_date,fetch_end_date,required_date_count,fetched_row_count,fetched_first_date,fetched_last_date,missing_required_dates,cache_path,raw_path,error
000011,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\000011_daily.pkl,data\raw\daily\000011_daily.csv,
000037,ok,tencent_daily,2025-03-01,2026-08-03,2,347,2025-03-03,2026-08-03,,data\cache\daily\000037_daily.pkl,data\raw\daily\000037_daily.csv,
000055,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\000055_daily.pkl,data\raw\daily\000055_daily.csv,
000070,ok,tencent_daily,2025-03-01,2026-08-03,2,346,2025-03-03,2026-08-03,,data\cache\daily\000070_daily.pkl,data\raw\daily\000070_daily.csv,
000090,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\000090_daily.pkl,data\raw\daily\000090_daily.csv,
000504,ok,tencent_daily,2025-03-01,2026-08-03,3,345,2025-03-03,2026-08-03,,data\cache\daily\000504_daily.pkl,data\raw\daily\000504_daily.csv,
000520,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\000520_daily.pkl,data\raw\daily\000520_daily.csv,
000536,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\000536_daily.pkl,data\raw\daily\000536_daily.csv,
000576,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\000576_daily.pkl,data\raw\daily\000576_daily.csv,
000601,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\000601_daily.pkl,data\raw\daily\000601_daily.csv,
000603,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\000603_daily.pkl,data\raw\daily\000603_daily.csv,
000656,ok,tencent_daily,2025-03-01,2026-08-03,2,345,2025-03-03,2026-08-03,,data\cache\daily\000656_daily.pkl,data\raw\daily\000656_daily.csv,
000722,ok,tencent_daily,2025-03-01,2026-08-03,2,337,2025-03-03,2026-08-03,,data\cache\daily\000722_daily.pkl,data\raw\daily\000722_daily.csv,
000783,ok,tencent_daily,2025-03-01,2026-08-03,2,347,2025-03-03,2026-08-03,,data\cache\daily\000783_daily.pkl,data\raw\daily\000783_daily.csv,
000823,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\000823_daily.pkl,data\raw\daily\000823_daily.csv,
000887,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\000887_daily.pkl,data\raw\daily\000887_daily.csv,
000889,ok,tencent_daily,2025-03-01,2026-08-03,3,346,2025-03-03,2026-08-03,,data\cache\daily\000889_daily.pkl,data\raw\daily\000889_daily.csv,
000899,ok,tencent_daily,2025-03-01,2026-08-03,2,347,2025-03-03,2026-08-03,,data\cache\daily\000899_daily.pkl,data\raw\daily\000899_daily.csv,
000977,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\000977_daily.pkl,data\raw\daily\000977_daily.csv,
001296,ok,tencent_daily,2025-03-01,2026-08-03,2,347,2025-03-03,2026-08-03,,data\cache\daily\001296_daily.pkl,data\raw\daily\001296_daily.csv,
001313,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\001313_daily.pkl,data\raw\daily\001313_daily.csv,
001331,ok,tencent_daily,2025-03-01,2026-08-03,3,318,2025-03-03,2026-08-03,,data\cache\daily\001331_daily.pkl,data\raw\daily\001331_daily.csv,
001395,ok,tencent_daily,2025-03-01,2026-08-03,2,347,2025-03-03,2026-08-03,,data\cache\daily\001395_daily.pkl,data\raw\daily\001395_daily.csv,
002053,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\002053_daily.pkl,data\raw\daily\002053_daily.csv,
002180,ok,tencent_daily,2025-03-01,2026-08-03,2,347,2025-03-03,2026-08-03,,data\cache\daily\002180_daily.pkl,data\raw\daily\002180_daily.csv,
002213,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\002213_daily.pkl,data\raw\daily\002213_daily.csv,
002218,ok,tencent_daily,2025-03-01,2026-08-03,2,347,2025-03-03,2026-08-03,,data\cache\daily\002218_daily.pkl,data\raw\daily\002218_daily.csv,
002254,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\002254_daily.pkl,data\raw\daily\002254_daily.csv,
002300,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\002300_daily.pkl,data\raw\daily\002300_daily.csv,
002412,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\002412_daily.pkl,data\raw\daily\002412_daily.csv,
002414,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\002414_daily.pkl,data\raw\daily\002414_daily.csv,
002458,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\002458_daily.pkl,data\raw\daily\002458_daily.csv,
002559,ok,tencent_daily,2025-03-01,2026-08-03,3,347,2025-03-03,2026-08-03,,data\cache\daily\002559_daily.pkl,data\raw\daily\002559_daily.csv,
002608,ok,tencent_daily,2025-03-01,2026-08-03,2,347,2025-03-03,2026-08-03,,data\cache\daily\002608_daily.pkl,data\raw\daily\002608_daily.csv,
