event_id,code,signal_date,expected_d2_date,expected_d3_date,primary_daily_file_path,primary_daily_file_exists,primary_daily_first_date,primary_daily_last_date,primary_daily_row_count,expected_d2_in_primary_daily,expected_d3_in_primary_daily,file_modified_time,file_size,file_sha256,cache_modified_after_v021_build,v021_build_reference_time,loader_function_path,loader_applied_override,override_file_path,override_contains_d2,override_contains_d3,audit_result
000090_2026-06-01,000090,2026-06-01,2026-06-02,2026-06-03,F:\fenqixuangu\data\cache\daily\000090_daily.pkl,True,2025-03-27,2026-06-02,286,True,False,2026-06-30 17:09:05,36187,dcea422be5f8c556dd48f1e59b0577496082d2893fd70e11a0f27c3e8752d05c,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
000090_2026-06-01,000090,2026-06-02,2026-06-03,2026-06-04,F:\fenqixuangu\data\cache\daily\000090_daily.pkl,True,2025-03-27,2026-06-02,286,False,False,2026-06-30 17:09:05,36187,dcea422be5f8c556dd48f1e59b0577496082d2893fd70e11a0f27c3e8752d05c,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_BEFORE_D2
000055_2026-06-03,000055,2026-06-04,2026-06-05,2026-06-08,F:\fenqixuangu\data\cache\daily\000055_daily.pkl,True,2025-03-31,2026-06-05,287,True,False,2026-06-30 17:27:57,36310,6872106685db941c6affb5c5da38db3e728f815563183807594885d5a3d91da4,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
002608_2026-06-02,002608,2026-06-04,2026-06-05,2026-06-08,F:\fenqixuangu\data\cache\daily\002608_daily.pkl,True,2025-03-31,2026-06-05,287,True,False,2026-06-30 17:28:28,36310,532618ab8957ade474dcf8bf227d65590cd71f32a0940dc561410d219bc2f789,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
600011_2026-06-02,600011,2026-06-04,2026-06-05,2026-06-08,F:\fenqixuangu\data\cache\daily\600011_daily.pkl,True,2025-03-31,2026-06-05,287,True,False,2026-06-30 17:28:49,36310,befc2fe96f0013df049bdc4e77ceb318ba7dbb42e858e6b0b314d554469aac38,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
600936_2026-06-04,600936,2026-06-04,2026-06-05,2026-06-08,F:\fenqixuangu\data\cache\daily\600936_daily.pkl,True,2025-05-28,2026-08-03,289,True,True,2026-08-03 22:02:41,36556,e0c7ae5db36c977f4e062a62644c0d6d206bc97e29df7911e688492ee38ce18a,True,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,CACHE_REFRESHED_EXTERNALLY_AFTER_V021_BUILD
000055_2026-06-03,000055,2026-06-05,2026-06-08,2026-06-09,F:\fenqixuangu\data\cache\daily\000055_daily.pkl,True,2025-03-31,2026-06-05,287,False,False,2026-06-30 17:27:57,36310,6872106685db941c6affb5c5da38db3e728f815563183807594885d5a3d91da4,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_BEFORE_D2
600439_2026-06-05,600439,2026-06-05,2026-06-08,2026-06-09,F:\fenqixuangu\data\cache\daily\600439_daily.pkl,True,2025-04-02,2026-06-08,286,True,False,2026-06-30 17:37:14,36187,aa4b030f41c65898de307a05734946ea2f2f59d3d2c523279ef04c774891fc80,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
600688_2026-06-05,600688,2026-06-05,2026-06-08,2026-06-09,F:\fenqixuangu\data\cache\daily\600688_daily.pkl,True,2025-04-02,2026-06-08,286,True,False,2026-06-30 17:37:17,36187,a295d1c8f151791ebda3358fcaf0b8e961e1f1e3480cc0ed022c059efa352588,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
600936_2026-06-04,600936,2026-06-05,2026-06-08,2026-06-09,F:\fenqixuangu\data\cache\daily\600936_daily.pkl,True,2025-05-28,2026-08-03,289,True,True,2026-08-03 22:02:41,36556,e0c7ae5db36c977f4e062a62644c0d6d206bc97e29df7911e688492ee38ce18a,True,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,CACHE_REFRESHED_EXTERNALLY_AFTER_V021_BUILD
