code,trade_date,source_a,source_b,open_a,open_b,high_a,high_b,low_a,low_b,close_a,close_b,volume_a,volume_b,amount_a,amount_b,price_fields_equal,target7_would_differ,tail_loss_would_differ,recommended_authoritative_source,recommendation_reason
000090,2026-06-02,PRIMARY_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,3.79,3.79,3.83,3.83,3.66,3.66,3.7,3.7,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000090,2026-06-02,PRIMARY_DAILY_CACHE,OFFICIAL_DAILY_REPORT,3.79,3.79,3.83,3.83,3.66,3.66,3.7,3.7,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000090,2026-06-02,ALTERNATIVE_DAILY_CACHE,OFFICIAL_DAILY_REPORT,3.79,3.79,3.83,3.83,3.66,3.66,3.7,3.7,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000090,2026-06-03,ALTERNATIVE_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,3.68,3.68,3.69,3.69,3.53,3.53,3.59,3.59,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000090,2026-06-03,ALTERNATIVE_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,3.68,3.68,3.69,3.69,3.53,3.53,3.59,3.59,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000090,2026-06-03,ALTERNATIVE_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,3.68,3.68,3.69,3.69,3.53,3.53,3.59,3.59,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000090,2026-06-04,ALTERNATIVE_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,3.57,3.57,3.68,3.68,3.5,3.5,3.52,3.52,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000055,2026-06-05,PRIMARY_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,3.71,3.71,3.89,3.89,3.6,3.6,3.67,3.67,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000055,2026-06-05,PRIMARY_DAILY_CACHE,OFFICIAL_DAILY_REPORT,3.71,3.71,3.89,3.89,3.6,3.6,3.67,3.67,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000055,2026-06-05,ALTERNATIVE_DAILY_CACHE,OFFICIAL_DAILY_REPORT,3.71,3.71,3.89,3.89,3.6,3.6,3.67,3.67,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000055,2026-06-08,ALTERNATIVE_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,3.62,3.62,3.81,3.81,3.51,3.51,3.57,3.57,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000055,2026-06-08,ALTERNATIVE_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,3.62,3.62,3.81,3.81,3.51,3.51,3.57,3.57,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
000055,2026-06-08,ALTERNATIVE_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,3.62,3.62,3.81,3.81,3.51,3.51,3.57,3.57,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
002608,2026-06-05,PRIMARY_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,10.46,10.46,11.13,11.13,9.63,9.63,9.83,9.83,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
002608,2026-06-05,PRIMARY_DAILY_CACHE,OFFICIAL_DAILY_REPORT,10.46,10.46,11.13,11.13,9.63,9.63,9.83,9.83,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
002608,2026-06-05,ALTERNATIVE_DAILY_CACHE,OFFICIAL_DAILY_REPORT,10.46,10.46,11.13,11.13,9.63,9.63,9.83,9.83,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
002608,2026-06-08,ALTERNATIVE_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,9.41,9.41,10.15,10.15,9.35,9.35,9.56,9.56,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600011,2026-06-05,PRIMARY_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,8.61,8.61,8.9,8.9,8.28,8.28,8.39,8.39,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600011,2026-06-05,PRIMARY_DAILY_CACHE,OFFICIAL_DAILY_REPORT,8.61,8.61,8.9,8.9,8.28,8.28,8.39,8.39,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600011,2026-06-05,ALTERNATIVE_DAILY_CACHE,OFFICIAL_DAILY_REPORT,8.61,8.61,8.9,8.9,8.28,8.28,8.39,8.39,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600011,2026-06-08,ALTERNATIVE_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,8.15,8.15,8.72,8.72,8.14,8.14,8.41,8.41,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600936,2026-06-05,PRIMARY_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,6.15,6.15,6.23,6.23,5.7,5.7,5.98,5.98,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600936,2026-06-08,PRIMARY_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,5.7,5.7,5.87,5.87,5.5,5.5,5.58,5.58,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600936,2026-06-08,PRIMARY_DAILY_CACHE,PRIMARY_DAILY_CACHE,5.7,5.7,5.87,5.87,5.5,5.5,5.58,5.58,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600936,2026-06-08,PRIMARY_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,5.7,5.7,5.87,5.87,5.5,5.5,5.58,5.58,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600936,2026-06-08,PRIMARY_DAILY_CACHE,PRIMARY_DAILY_CACHE,5.7,5.7,5.87,5.87,5.5,5.5,5.58,5.58,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600936,2026-06-08,PRIMARY_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,5.7,5.7,5.87,5.87,5.5,5.5,5.58,5.58,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600936,2026-06-08,ALTERNATIVE_DAILY_CACHE,PRIMARY_DAILY_CACHE,5.7,5.7,5.87,5.87,5.5,5.5,5.58,5.58,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600936,2026-06-08,ALTERNATIVE_DAILY_CACHE,ALTERNATIVE_DAILY_CACHE,5.7,5.7,5.87,5.87,5.5,5.5,5.58,5.58,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
600936,2026-06-08,ALTERNATIVE_DAILY_CACHE,PRIMARY_DAILY_CACHE,5.7,5.7,5.87,5.87,5.5,5.5,5.58,5.58,,,,,True,False,,PRIMARY_DAILY_CACHE,主日线缓存为 loader 实际读取路径 (data/cache/daily); 冲突仅记录不合并
