event_id,code,name,signal_date,break_date,stage_group,post_day,expected_d2_date,expected_d3_date,actual_daily_d2_date,actual_daily_d3_date,daily_label_quality_reason,d2_daily_date_shift_reason,d3_daily_date_shift_reason,suspension_proof_status_daily,audit_minute_d2_open,audit_minute_d3_high,audit_minute_d3_close,audit_minute_target7,audit_minute_tail_loss,v004a_probability,v004a_rank,is_v004a_top15,v004a_score_source,sample_role,sample_role_v021,missing_type,month
000090_2026-06-01,000090,天健集团,2026-06-01,2026-06-01,d0,,2026-06-02,2026-06-03,2026-06-02,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,3.79,3.69,3.59,False,True,0.4342952591433318,9.0,True,frozen_reconstruction,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
000090_2026-06-01,000090,天健集团,2026-06-02,2026-06-01,post,1.0,2026-06-03,2026-06-04,,,d2_no_bar_without_proof(exp=2026-06-03)|d3_no_bar_without_proof(exp=2026-06-04)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,3.68,3.68,3.52,False,False,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-06
000055_2026-06-03,000055,方大集团,2026-06-04,2026-06-03,post,1.0,2026-06-05,2026-06-08,2026-06-05,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,3.71,3.81,3.57,False,False,0.3823903105315961,97.0,False,grid_v2_walk_forward,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
002608_2026-06-02,002608,江苏国信,2026-06-04,2026-06-02,post,2.0,2026-06-05,2026-06-08,2026-06-05,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,10.46,10.15,9.56,False,True,0.4254652358083101,48.0,False,grid_v2_walk_forward,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
600011_2026-06-02,600011,华能国际,2026-06-04,2026-06-02,post,2.0,2026-06-05,2026-06-08,2026-06-05,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,8.61,8.72,8.41,False,False,0.3881496530992827,91.0,False,grid_v2_walk_forward,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
600936_2026-06-04,600936,北投科技,2026-06-04,2026-06-04,d0,,2026-06-05,2026-06-08,2026-06-05,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,6.15,5.87,5.58,False,True,0.4266553018136297,46.0,False,grid_v2_walk_forward,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
000055_2026-06-03,000055,方大集团,2026-06-05,2026-06-03,post,2.0,2026-06-08,2026-06-09,,,d2_no_bar_without_proof(exp=2026-06-08)|d3_no_bar_without_proof(exp=2026-06-09)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,3.62,3.75,3.7,False,False,0.3473938974182932,139.0,False,grid_v2_walk_forward,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-06
600439_2026-06-05,600439,瑞贝卡,2026-06-05,2026-06-05,d0,,2026-06-08,2026-06-09,2026-06-08,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,2.64,2.61,2.48,False,True,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
600688_2026-06-05,600688,上海石化,2026-06-05,2026-06-05,d0,,2026-06-08,2026-06-09,2026-06-08,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,3.31,3.32,3.15,False,False,0.4524118082850157,5.0,True,grid_v2_walk_forward,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
600936_2026-06-04,600936,北投科技,2026-06-05,2026-06-04,post,1.0,2026-06-08,2026-06-09,,,d2_no_bar_without_proof(exp=2026-06-08)|d3_no_bar_without_proof(exp=2026-06-09)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,5.7,5.81,5.51,False,False,0.3619652979754756,112.0,False,grid_v2_walk_forward,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-06
