event_id,code,signal_date,expected_d2_date,expected_d3_date,root_cause,evidence_paths,evidence_summary,recoverable_from_existing_local_data,recommended_recovery_source,confidence,manual_review_required,audit_result
000090_2026-06-01,000090,2026-06-01,2026-06-02,2026-06-03,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-02 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\000090_daily.pkl; D2_OPEN@2026-06-02 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl; D2_OPEN@2026-06-02 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\000090_daily.csv; D3_HIGH@2026-06-03 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl; D3_CLOSE@2026-06-03 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl; D2_OPEN@2026-06-03 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl,D2_OPEN@2026-06-02 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\000090_daily.pkl; D2_OPEN@2026-06-02 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl; D2_OPEN@2026-06-02 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\000090_daily.csv; D3_HIGH@2026-06-03 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl,True,ALTERNATIVE_DAILY_CACHE; OFFICIAL_DAILY_REPORT; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
000090_2026-06-01,000090,2026-06-02,2026-06-03,2026-06-04,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D3_HIGH@2026-06-03 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl; D3_CLOSE@2026-06-03 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl; D2_OPEN@2026-06-03 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl; D3_HIGH@2026-06-04 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl; D3_CLOSE@2026-06-04 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl,D3_HIGH@2026-06-03 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl; D3_CLOSE@2026-06-03 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl; D2_OPEN@2026-06-03 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl; D3_HIGH@2026-06-04 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000090_daily.pkl,True,ALTERNATIVE_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
000055_2026-06-03,000055,2026-06-04,2026-06-05,2026-06-08,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-05 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\000055_daily.pkl; D2_OPEN@2026-06-05 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl; D2_OPEN@2026-06-05 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\000055_daily.csv; D3_HIGH@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl; D3_CLOSE@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl; D2_OPEN@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl,D2_OPEN@2026-06-05 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\000055_daily.pkl; D2_OPEN@2026-06-05 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl; D2_OPEN@2026-06-05 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\000055_daily.csv; D3_HIGH@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl,True,ALTERNATIVE_DAILY_CACHE; OFFICIAL_DAILY_REPORT; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
002608_2026-06-02,002608,2026-06-04,2026-06-05,2026-06-08,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-05 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\002608_daily.pkl; D2_OPEN@2026-06-05 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\002608_daily.pkl; D2_OPEN@2026-06-05 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\002608_daily.csv; D3_HIGH@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\002608_daily.pkl; D3_CLOSE@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\002608_daily.pkl,D2_OPEN@2026-06-05 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\002608_daily.pkl; D2_OPEN@2026-06-05 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\002608_daily.pkl; D2_OPEN@2026-06-05 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\002608_daily.csv; D3_HIGH@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\002608_daily.pkl,True,ALTERNATIVE_DAILY_CACHE; OFFICIAL_DAILY_REPORT; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
600011_2026-06-02,600011,2026-06-04,2026-06-05,2026-06-08,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-05 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600011_daily.pkl; D2_OPEN@2026-06-05 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600011_daily.pkl; D2_OPEN@2026-06-05 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\600011_daily.csv; D3_HIGH@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600011_daily.pkl; D3_CLOSE@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600011_daily.pkl,D2_OPEN@2026-06-05 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600011_daily.pkl; D2_OPEN@2026-06-05 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600011_daily.pkl; D2_OPEN@2026-06-05 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\600011_daily.csv; D3_HIGH@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600011_daily.pkl,True,ALTERNATIVE_DAILY_CACHE; OFFICIAL_DAILY_REPORT; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
600936_2026-06-04,600936,2026-06-04,2026-06-05,2026-06-08,PRIMARY_CACHE_NOT_UPDATED_AFTER_FORWARD,primary daily cache refreshed externally after v0.2.1 build (mtime > build); dates now present,primary daily cache refreshed externally after v0.2.1 build (mtime > build); dates now present,True,PRIMARY_DAILY_CACHE,HIGH,False,CACHE_REFRESHED_EXTERNALLY_AFTER_V021_BUILD
000055_2026-06-03,000055,2026-06-05,2026-06-08,2026-06-09,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D3_HIGH@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl; D3_CLOSE@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl; D2_OPEN@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl; D3_HIGH@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl; D3_CLOSE@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl,D3_HIGH@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl; D3_CLOSE@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl; D2_OPEN@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl; D3_HIGH@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\000055_daily.pkl,True,ALTERNATIVE_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
600439_2026-06-05,600439,2026-06-05,2026-06-08,2026-06-09,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-08 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600439_daily.pkl; D2_OPEN@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl; D2_OPEN@2026-06-08 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\600439_daily.csv; D3_HIGH@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl; D3_CLOSE@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl; D2_OPEN@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl,D2_OPEN@2026-06-08 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600439_daily.pkl; D2_OPEN@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl; D2_OPEN@2026-06-08 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\600439_daily.csv; D3_HIGH@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600439_daily.pkl,True,ALTERNATIVE_DAILY_CACHE; OFFICIAL_DAILY_REPORT; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
600688_2026-06-05,600688,2026-06-05,2026-06-08,2026-06-09,DATA_EXISTS_IN_OTHER_LOCAL_DAILY_SOURCE,D2_OPEN@2026-06-08 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600688_daily.pkl; D2_OPEN@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl; D2_OPEN@2026-06-08 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\600688_daily.csv; D3_HIGH@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl; D3_CLOSE@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl; D2_OPEN@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl,D2_OPEN@2026-06-08 in PRIMARY_DAILY_CACHE: F:\fenqixuangu\data\cache\daily\600688_daily.pkl; D2_OPEN@2026-06-08 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl; D2_OPEN@2026-06-08 in OFFICIAL_DAILY_REPORT: F:\fenqixuangu\data\raw\daily\600688_daily.csv; D3_HIGH@2026-06-09 in ALTERNATIVE_DAILY_CACHE: F:\fenqixuangu\data\cache\daily_unadjusted\600688_daily.pkl,True,ALTERNATIVE_DAILY_CACHE; OFFICIAL_DAILY_REPORT; PRIMARY_DAILY_CACHE,HIGH,False,DAILY_FILE_ENDS_AT_D2
600936_2026-06-04,600936,2026-06-05,2026-06-08,2026-06-09,PRIMARY_CACHE_NOT_UPDATED_AFTER_FORWARD,primary daily cache refreshed externally after v0.2.1 build (mtime > build); dates now present,primary daily cache refreshed externally after v0.2.1 build (mtime > build); dates now present,True,PRIMARY_DAILY_CACHE,HIGH,False,CACHE_REFRESHED_EXTERNALLY_AFTER_V021_BUILD
