section,column,dtype,row_count,missing_count,missing_rate,non_finite_count,min,max,p01,p50,p99,source,available_at_d1_close
column_stats,event_id,str,1020.0,1020.0,1.0,1020.0,,,,,,derived: code+break_date,True
column_stats,code,str,1020.0,0.0,0.0,0.0,11.0,605589.0,29.0,3043.0,605377.0,identity,True
column_stats,name,str,1020.0,1020.0,1.0,1020.0,,,,,,limit-up pool/universe,True
column_stats,signal_date,str,1020.0,1020.0,1.0,1020.0,,,,,,identity,True
column_stats,break_date,str,1020.0,1020.0,1.0,1020.0,,,,,,derived: daily flags,True
column_stats,board_streak_before_break,int64,1020.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,3.0,derived: daily flags,True
column_stats,days_since_break,int64,1020.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,derived: observation slot,True
column_stats,days_since_last_limit_up,int64,1020.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,derived: daily flags,True
column_stats,repair_attempt_count,int64,1020.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,derived: observation slots,True
column_stats,recent_limit_up_count_10d,int64,1020.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,6.0,derived: daily flags,True
column_stats,recent_limit_up_count_20d,int64,1020.0,0.0,0.0,0.0,2.0,11.0,2.0,3.0,8.0,derived: daily flags,True
column_stats,recent_pool_appearance_count_10d,int64,1020.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,6.0,derived: limit-up pool,True
column_stats,recent_pool_appearance_count_20d,int64,1020.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,8.0,derived: limit-up pool,True
column_stats,max_board_streak_20d,int64,1020.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,4.0,derived: daily flags,True
column_stats,board_day_amount_rank,float64,1020.0,245.0,0.24019607843137256,245.0,1.0,127.0,1.0,26.0,110.0,derived: limit-up pool amount,True
column_stats,board_day_turnover_rank,float64,1020.0,245.0,0.24019607843137256,245.0,1.0,126.0,1.0,26.0,111.0,derived: limit-up pool turnover,True
column_stats,board_day_volume_rank,float64,1020.0,39.0,0.03823529411764706,39.0,1.0,126.0,1.0,29.0,110.0,derived: daily volume,True
column_stats,recognition_score,float64,1020.0,245.0,0.24019607843137256,245.0,0.0131233595800524,0.9935897435897436,0.0282485875706214,0.6274509803921569,0.9750769927536231,derived: 3 rank percentiles mean,True
column_stats,break_open,float64,1020.0,0.0,0.0,0.0,1.49,558.2,2.76,19.39,256.0,daily cache,True
column_stats,break_high,float64,1020.0,0.0,0.0,0.0,1.53,594.0,2.84,20.365000000000002,270.36,daily cache,True
column_stats,break_low,float64,1020.0,0.0,0.0,0.0,1.34,553.18,2.63,18.35,247.0,daily cache,True
column_stats,break_close,float64,1020.0,0.0,0.0,0.0,1.35,580.0,2.64,19.02,258.9,daily cache,True
column_stats,break_prev_close,float64,1020.0,0.0,0.0,0.0,1.43,570.58,2.86,18.79,251.55,daily cache,True
column_stats,break_open_return,float64,1020.0,0.0,0.0,0.0,-0.100494233937397,0.1004514672686232,-0.09737196371085756,0.0015814443858725,0.10009251670806987,derived,True
column_stats,break_high_return,float64,1020.0,0.0,0.0,0.0,-0.0999719180005617,0.101010101010101,-0.04905645821984593,0.0570066334991707,0.10056202902758976,derived,True
column_stats,break_close_return,float64,1020.0,0.0,0.0,0.0,-0.1054938174988261,0.0980742252263742,-0.1006944444444444,-0.010032528267114399,0.09215277684956213,derived,True
column_stats,break_intraday_range,float64,1020.0,0.0,0.0,0.0,0.0,0.2001853568118627,0.0358814352574103,0.0941324827535049,0.186040195545899,derived,True
column_stats,break_high_to_close_drawdown,float64,1020.0,0.0,0.0,0.0,0.0,0.173044925124792,0.002208134642356239,0.0531829170024174,0.15408139534883694,derived,True
column_stats,break_upper_shadow_ratio,float64,1020.0,5.0,0.004901960784313725,5.0,0.0,1.0,0.0,0.3235294117647043,0.8408663130413162,derived,True
column_stats,break_lower_shadow_ratio,float64,1020.0,5.0,0.004901960784313725,5.0,0.0,0.8333333333333338,0.0,0.1969696969696981,0.7508854781582055,derived,True
column_stats,break_close_location,float64,1020.0,5.0,0.004901960784313725,5.0,0.0,1.0,0.0,0.3305785123966943,0.9550264102680309,derived,True
