dimension,dimension_value,candidate_count,independent_event_count,target7_count,target7_rate,tail_loss_count,tail_loss_rate,avg_d3_close_return,median_d3_close_return,v004a_top15_overlap_count,v004a_top15_overlap_rate,v004a_missed_target7_count
board_streak_before_break,2,868,337,253,0.29147465437788017,267,0.3076036866359447,-0.005050517341603861,-0.01490290346907995,162,0.18663594470046083,204
board_streak_before_break,3,152,58,51,0.3355263157894737,58,0.3815789473684211,-0.009457392895359783,-0.01502870651806815,37,0.24342105263157895,35
days_since_break,0,382,382,119,0.31151832460732987,104,0.27225130890052357,-0.0011945612463471272,-0.009884550018557849,154,0.4031413612565445,69
days_since_break,1,348,348,105,0.3017241379310345,119,0.34195402298850575,-0.00773450252712534,-0.02065410593672235,32,0.09195402298850575,94
days_since_break,2,290,290,80,0.27586206896551724,102,0.35172413793103446,-0.009218770679526263,-0.01872353297035685,13,0.04482758620689655,76
month,2026-05,141,56,42,0.2978723404255319,37,0.2624113475177305,-0.003224560639811154,-0.0126256435400833,20,0.14184397163120568,34
month,2026-06,478,184,158,0.3305439330543933,148,0.30962343096234307,0.0007328645679521028,-0.0093261743945726,101,0.2112970711297071,123
month,2026-07,401,170,104,0.2593516209476309,140,0.3491271820448878,-0.01425690520168222,-0.0247678018575852,78,0.19451371571072318,82
overall,ALL,1020,395,304,0.2980392156862745,325,0.31862745098039214,-0.005707228208438076,-0.01490290346907995,199,0.19509803921568628,239
signal_date,2026-05-06,5,5,1,0.2,0,0.0,0.036427771376038705,0.0352941176470589,0,0.0,1
signal_date,2026-05-07,5,5,3,0.6,0,0.0,0.07135408978841058,0.0694980694980695,0,0.0,3
signal_date,2026-05-08,5,5,2,0.4,0,0.0,0.029439499279297537,0.027519656897784,0,0.0,2
signal_date,2026-05-11,4,4,3,0.75,0,0.0,0.05577176629920628,0.0591978609625668,1,0.25,2
signal_date,2026-05-12,6,6,2,0.3333333333333333,1,0.16666666666666666,-0.013952977858356119,-0.0321407274895646,0,0.0,2
signal_date,2026-05-13,5,5,1,0.2,2,0.4,-0.02546973947576186,-0.0347826086956521,0,0.0,1
signal_date,2026-05-14,4,4,1,0.25,1,0.25,0.020883470875507425,0.04094619920912915,0,0.0,1
signal_date,2026-05-15,5,5,3,0.6,1,0.2,0.02178504706739798,0.0192546583850929,2,0.4,2
signal_date,2026-05-18,11,11,3,0.2727272727272727,3,0.2727272727272727,0.004979028676832492,-0.0335731414868104,1,0.09090909090909091,3
signal_date,2026-05-19,7,7,1,0.14285714285714285,4,0.5714285714285714,-0.04278087531706589,-0.0540772532188842,1,0.14285714285714285,0
signal_date,2026-05-20,5,5,1,0.2,1,0.2,-0.01422388350287554,-0.022085259373395,1,0.2,1
signal_date,2026-05-21,8,8,2,0.25,1,0.125,0.002358759655771963,0.0052473763118441,1,0.125,2
signal_date,2026-05-22,7,7,2,0.2857142857142857,3,0.42857142857142855,-0.02563612279756347,-0.0269348789635185,2,0.2857142857142857,1
signal_date,2026-05-25,7,7,3,0.42857142857142855,2,0.2857142857142857,0.02150618978899213,0.0183066361556063,2,0.2857142857142857,3
signal_date,2026-05-26,15,15,2,0.13333333333333333,4,0.26666666666666666,-0.01696185688114328,-0.027659574468085,3,0.2,1
signal_date,2026-05-27,18,18,7,0.3888888888888889,5,0.2777777777777778,-0.01581839607307401,-0.03249690689761825,2,0.1111111111111111,6
signal_date,2026-05-28,16,16,4,0.25,7,0.4375,-0.03423388211075533,-0.03900549943045785,3,0.1875,3
signal_date,2026-05-29,8,8,1,0.125,2,0.25,0.008438413433508297,-0.0035648617208901504,1,0.125,0
signal_date,2026-06-01,9,9,2,0.2222222222222222,1,0.1111111111111111,-0.005049294884975055,-0.0114942528735633,4,0.4444444444444444,2
signal_date,2026-06-02,6,6,1,0.16666666666666666,0,0.0,-0.0059437038831826996,-0.00366195576947275,1,0.16666666666666666,0
signal_date,2026-06-03,12,12,3,0.25,6,0.5,-0.037247038696133196,-0.0352013765264341,3,0.25,3
signal_date,2026-06-04,20,20,3,0.15,11,0.55,-0.04062168071768708,-0.07437446808510625,6,0.3,3
signal_date,2026-06-05,21,21,6,0.2857142857142857,6,0.2857142857142857,-0.00183614827350744,-0.0047562425683711,6,0.2857142857142857,3
signal_date,2026-06-08,14,14,4,0.2857142857142857,8,0.5714285714285714,-0.03139596573645694,-0.0568414512251128,3,0.21428571428571427,4
signal_date,2026-06-09,14,14,1,0.07142857142857142,8,0.5714285714285714,-0.05564555828104594,-0.05750736058955235,7,0.5,0
signal_date,2026-06-10,19,19,6,0.3157894736842105,7,0.3684210526315789,-0.014016153098314055,-0.0262773722627737,6,0.3157894736842105,2
signal_date,2026-06-11,24,24,5,0.20833333333333334,4,0.16666666666666666,0.015123753577471581,0.0109721243442173,6,0.25,3
signal_date,2026-06-12,24,24,15,0.625,1,0.041666666666666664,0.05704900542385272,0.036835401387132996,7,0.2916666666666667,10
signal_date,2026-06-15,18,18,10,0.5555555555555556,1,0.05555555555555555,0.052043834474757744,0.060964940982476803,4,0.2222222222222222,8
signal_date,2026-06-16,17,17,7,0.4117647058823529,4,0.23529411764705882,0.01395393031363477,0.0,6,0.35294117647058826,4
signal_date,2026-06-17,27,27,16,0.5925925925925926,2,0.07407407407407407,0.05684403541327619,0.0681188118811881,8,0.2962962962962963,10
signal_date,2026-06-18,38,38,11,0.2894736842105263,13,0.34210526315789475,-0.022441691080968,-0.030639004147433202,8,0.21052631578947367,9
signal_date,2026-06-22,35,35,7,0.2,14,0.4,-0.01142033705355332,-0.0213043478260869,0,0.0,7
signal_date,2026-06-23,34,34,20,0.5882352941176471,5,0.14705882352941177,0.05389121182506321,0.05230482902949225,5,0.14705882352941177,18
signal_date,2026-06-24,32,32,11,0.34375,14,0.4375,-0.012342594330142932,-0.032459640432948,8,0.25,9
signal_date,2026-06-25,35,35,5,0.14285714285714285,21,0.6,-0.04433645598124155,-0.0574596774193548,0,0.0,5
signal_date,2026-06-26,36,36,10,0.2777777777777778,10,0.2777777777777778,0.014665400850002203,0.0053402528205402505,6,0.16666666666666666,9
signal_date,2026-06-29,23,23,12,0.5217391304347826,2,0.08695652173913043,0.028137240529049378,0.0282714054927302,1,0.043478260869565216,12
signal_date,2026-06-30,20,20,3,0.15,10,0.5,-0.05174287793599382,-0.0469742990654205,6,0.3,2
signal_date,2026-07-01,25,25,6,0.24,5,0.2,-0.00838338143300708,-0.0104153105064443,4,0.16,5
signal_date,2026-07-02,39,39,6,0.15384615384615385,19,0.48717948717948717,-0.03416217537356133,-0.042458100558659,11,0.28205128205128205,4
signal_date,2026-07-03,43,43,6,0.13953488372093023,23,0.5348837209302325,-0.0471911672361385,-0.0524126455906822,7,0.16279069767441862,5
signal_date,2026-07-06,37,37,3,0.08108108108108109,27,0.7297297297297297,-0.05936919188442349,-0.0790629575402636,6,0.16216216216216217,2
signal_date,2026-07-07,20,20,2,0.1,8,0.4,-0.04250497403426721,-0.04296177624108895,1,0.05,2
signal_date,2026-07-08,16,16,6,0.375,2,0.125,0.01925051041647633,0.021590079022511498,0,0.0,6
