code,refresh_status,refresh_source,fetched_first_date,fetched_last_date,required_date_count,log_missing_required_dates,current_cache_first_date,current_cache_last_date,current_cache_row_count,all_required_dates_present,verification_status,verification_reason,required_dates
000011,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-28,2026-07-29,2026-07-30"
000037,ok,tencent_daily,2025-03-03,2026-08-03,2,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-24,2026-07-27"
000055,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-06-05,2026-06-08,2026-06-09"
000070,ok,tencent_daily,2025-03-03,2026-08-03,2,,2025-03-03,2026-08-03,346,True,VERIFIED,ok,"2026-06-29,2026-06-30"
000090,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-06-02,2026-06-03,2026-06-04"
000504,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,345,True,VERIFIED,ok,"2026-07-20,2026-07-21,2026-07-22"
000520,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-06,2026-07-07,2026-07-08"
000536,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-06,2026-07-07,2026-07-08"
000576,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-07,2026-07-08,2026-07-09"
000601,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-06,2026-07-07,2026-07-08"
000603,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-27,2026-07-28,2026-07-29"
000656,ok,tencent_daily,2025-03-03,2026-08-03,2,,2025-03-03,2026-08-03,345,True,VERIFIED,ok,"2026-07-10,2026-07-13"
000722,ok,tencent_daily,2025-03-03,2026-08-03,2,,2025-03-03,2026-08-03,337,True,VERIFIED,ok,"2026-07-24,2026-07-27"
000783,ok,tencent_daily,2025-03-03,2026-08-03,2,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-06-29,2026-06-30"
000823,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-06-30,2026-07-01,2026-07-02"
000887,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-14,2026-07-15,2026-07-16"
000889,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,346,True,VERIFIED,ok,"2026-07-24,2026-07-27,2026-07-28"
000899,ok,tencent_daily,2025-03-03,2026-08-03,2,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-22,2026-07-23"
000977,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-13,2026-07-14,2026-07-15"
001296,ok,tencent_daily,2025-03-03,2026-08-03,2,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-06-26,2026-06-29"
001313,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-06,2026-07-07,2026-07-08"
001331,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,318,True,VERIFIED,ok,"2026-07-03,2026-07-06,2026-07-07"
001395,ok,tencent_daily,2025-03-03,2026-08-03,2,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-17,2026-07-20"
002053,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-03,2026-07-06,2026-07-07"
002180,ok,tencent_daily,2025-03-03,2026-08-03,2,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-03,2026-07-06"
002213,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-24,2026-07-27,2026-07-28"
002218,ok,tencent_daily,2025-03-03,2026-08-03,2,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-28,2026-07-29"
002254,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-06-29,2026-06-30,2026-07-01"
002300,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-28,2026-07-29,2026-07-30"
002412,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-27,2026-07-28,2026-07-29"
002414,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-14,2026-07-15,2026-07-16"
002458,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-06,2026-07-07,2026-07-08"
002559,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-06,2026-07-07,2026-07-08"
002608,ok,tencent_daily,2025-03-03,2026-08-03,2,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-06-05,2026-06-08"
002632,ok,tencent_daily,2025-03-03,2026-08-03,3,,2025-03-03,2026-08-03,347,True,VERIFIED,ok,"2026-07-21,2026-07-22,2026-07-23"
