metric,value
v02_all_rows,1020.0
v021_all_rows,1020.0
v022_all_rows,1020.0
v02_train_primary_count,877.0
v021_train_row_count,728.0
v022_train_row_count,879.0
recovered_from_151_missing,151.0
still_missing_after_refresh,3.0
june_train_rows,478.0
july_train_rows,401.0
june_coverage_rate,1.0
july_coverage_rate,1.005012531328321
d0_rows,333.0
post_rows,546.0
d0_target7,100.0
post_target7,162.0
d0_tail,96.0
post_tail,192.0
all_target7_count,304.0
all_target7_rate,0.2980392156862745
all_tail_count,323.0
all_tail_rate,0.31666666666666665
avg_d3_close_return,-0.0061029009561239436
median_d3_close_return,-0.0150214592274678
v021_kept.row_count,866.0
v021_kept.target7_count,284.0
v021_kept.target7_rate,0.3279445727482679
v021_kept.tail_count,264.0
v021_kept.tail_rate,0.30484988452655887
v021_kept.avg_d3_close_return,-0.0008194774923932713
v021_kept.median_d3_close_return,-0.00845666381930495
v021_kept.board_streak_3_rate,0.15935334872979215
v021_kept.d0_rate,0.37990762124711314
v022_recovered.row_count,151.0
v022_recovered.target7_count,20.0
v022_recovered.target7_rate,0.13245033112582782
v022_recovered.tail_count,59.0
v022_recovered.tail_rate,0.39072847682119205
v022_recovered.avg_d3_close_return,-0.03284433081476607
v022_recovered.median_d3_close_return,-0.0377358490566037
v022_recovered.board_streak_3_rate,0.09271523178807947
v022_recovered.d0_rate,0.3509933774834437
v022_still_missing.row_count,3.0
v022_still_missing.target7_count,0.0
v022_still_missing.target7_rate,0.0
v022_still_missing.tail_count,0.0
v022_still_missing.tail_rate,0.0
v022_still_missing.avg_d3_close_return,
v022_still_missing.median_d3_close_return,
v022_still_missing.board_streak_3_rate,0.0
v022_still_missing.d0_rate,0.0
