event_id,code,name,signal_date,break_date,board_streak_before_break,days_since_break,candidate_status,exclusion_reason,data_quality_reason,v01_candidate_status,sample_role_v02
000551_2026-04-30,000551,创元科技,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000593_2026-04-29,000593,德龙汇能,2026-05-06,2026-04-29,2,2,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
000628_2026-05-06,000628,高新发展,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000657_2026-04-30,000657,中钨高新,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000692_2026-04-30,000692,惠天热电,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000716_2026-04-30,000716,黑芝麻,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000818_2026-04-30,000818,航锦科技,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000833_2026-05-06,000833,粤桂股份,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000889_2026-04-29,000889,中嘉博创,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000901_2026-04-30,000901,航天科技,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000967_2026-04-29,000967,盈峰环境,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000973_2026-04-30,000973,佛塑科技,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
000980_2026-05-06,000980,众泰汽车,2026-05-06,2026-05-06,2,0,CANDIDATE,,,CANDIDATE,SENSITIVITY_MAY_COMPLETE
001215_2026-05-06,001215,千味央厨,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
001266_2026-04-30,001266,宏英智能,2026-05-06,2026-04-30,2,1,CANDIDATE,,,CANDIDATE,SENSITIVITY_MAY_COMPLETE
001268_2026-05-06,001268,联合精密,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
001358_2026-04-29,001358,兴欣新材,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002136_2026-04-30,002136,安 纳 达,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002174_2026-04-30,002174,游族网络,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002192_2026-05-06,002192,融捷股份,2026-05-06,2026-05-06,2,0,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
002210_2026-04-30,002210,飞马国际,2026-05-06,2026-04-30,3,1,EXCLUDED,still_limit_up,signal_date 本身为涨停日,EXCLUDED,EXCLUDED_QUALITY
002218_2026-04-29,002218,拓日新能,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002235_2026-05-06,002235,安妮股份,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002240_2026-05-06,002240,盛新锂能,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002297_2026-04-29,002297,博云新材,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002348_2026-04-30,002348,高乐股份,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002354_2026-04-30,002354,天娱数科,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002378_2026-04-30,002378,章源钨业,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002412_2026-04-29,002412,汉森制药,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002497_2026-04-30,002497,雅化集团,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002498_2026-04-30,002498,汉缆股份,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002520_2026-04-30,002520,日发精机,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002522_2026-04-30,002522,浙江众成,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002548_2026-04-30,002548,金新农,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002568_2026-04-30,002568,百润股份,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002575_2026-04-29,002575,群兴玩具,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002591_2026-05-06,002591,恒大高新,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002627_2026-04-30,002627,三峡旅游,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002645_2026-05-06,002645,华宏科技,2026-05-06,2026-05-06,2,0,CANDIDATE,,,CANDIDATE,SENSITIVITY_MAY_COMPLETE
002647_2026-04-29,002647,仁东控股,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002652_2026-04-30,002652,扬子新材,2026-05-06,2026-04-30,2,1,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
002655_2026-04-30,002655,共达电声,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002715_2026-04-29,002715,登云股份,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002733_2026-04-29,002733,雄韬股份,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002786_2026-04-30,002786,银宝山新,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002821_2026-04-29,002821,凯莱英,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
002842_2026-05-06,002842,翔鹭钨业,2026-05-06,2026-05-06,2,0,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,QUALITY_FAILED,AUDIT_ONLY_MAY_INCOMPLETE
