event_id,signal_date,code,change_type,field,old_value,new_value,reason
000980_2026-05-06,2026-05-06,000980,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000980_2026-05-06,2026-05-06,000980,unchanged,,,,
001266_2026-04-30,2026-05-06,001266,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
001266_2026-04-30,2026-05-06,001266,unchanged,,,,
002645_2026-05-06,2026-05-06,002645,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002645_2026-05-06,2026-05-06,002645,unchanged,,,,
600714_2026-05-06,2026-05-06,600714,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600714_2026-05-06,2026-05-06,600714,unchanged,,,,
605099_2026-05-06,2026-05-06,605099,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
605099_2026-05-06,2026-05-06,605099,unchanged,,,,
000980_2026-05-06,2026-05-07,000980,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000980_2026-05-06,2026-05-07,000980,unchanged,,,,
001266_2026-04-30,2026-05-07,001266,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
001266_2026-04-30,2026-05-07,001266,unchanged,,,,
002645_2026-05-06,2026-05-07,002645,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002645_2026-05-06,2026-05-07,002645,unchanged,,,,
600714_2026-05-06,2026-05-07,600714,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600714_2026-05-06,2026-05-07,600714,unchanged,,,,
605099_2026-05-06,2026-05-07,605099,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
605099_2026-05-06,2026-05-07,605099,unchanged,,,,
000980_2026-05-06,2026-05-08,000980,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000980_2026-05-06,2026-05-08,000980,unchanged,,,,
002217_2026-05-08,2026-05-08,002217,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002217_2026-05-08,2026-05-08,002217,unchanged,,,,
002645_2026-05-06,2026-05-08,002645,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002645_2026-05-06,2026-05-08,002645,unchanged,,,,
600714_2026-05-06,2026-05-08,600714,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600714_2026-05-06,2026-05-08,600714,unchanged,,,,
605099_2026-05-06,2026-05-08,605099,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
605099_2026-05-06,2026-05-08,605099,unchanged,,,,
000720_2026-05-11,2026-05-11,000720,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000720_2026-05-11,2026-05-11,000720,unchanged,,,,
002217_2026-05-08,2026-05-11,002217,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002217_2026-05-08,2026-05-11,002217,unchanged,,,,
600936_2026-05-11,2026-05-11,600936,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600936_2026-05-11,2026-05-11,600936,unchanged,,,,
603636_2026-05-11,2026-05-11,603636,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603636_2026-05-11,2026-05-11,603636,unchanged,,,,
000720_2026-05-11,2026-05-12,000720,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000720_2026-05-11,2026-05-12,000720,unchanged,,,,
002030_2026-05-12,2026-05-12,002030,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002030_2026-05-12,2026-05-12,002030,unchanged,,,,
