column,feature_role,dtype,available_at_d1_close,missing_count,missing_rate,non_finite_count,min,p01,p10,p50,p90,p99,max,unique_count,train_primary_available_count,may_sensitivity_available_count,formula,source,notes
event_id,identity,str,yes,0,0.0,1020,,,,,,,,395,877,141,,,
code,identity,str,yes,0,0.0,0,11.0,29.0,725.0,3043.0,603773.0,605377.0,605589.0,340,877,141,,,
name,identity,str,yes,0,0.0,1020,,,,,,,,341,877,141,,,
signal_date,identity,str,yes,0,0.0,1020,,,,,,,,60,877,141,,,
break_date,identity,str,yes,0,0.0,1020,,,,,,,,60,877,141,,,
board_streak_before_break,identity,int64,yes,0,0.0,0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2,877,141,,,
days_since_break,deprecated_redundant,int64,yes,0,0.0,0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3,0,141,"冗余阶段表达(训练视图已移除), 审计保留",,
days_since_last_limit_up,deprecated_redundant,int64,yes,0,0.0,0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3,0,141,"冗余阶段表达(训练视图已移除), 审计保留",,
repair_attempt_count,deprecated_redundant,int64,yes,0,0.0,0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3,0,141,"冗余阶段表达(训练视图已移除), 审计保留",,
recent_limit_up_count_10d,audit_only,int64,yes,0,0.0,0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,7,0,141,近10个交易日涨停天数(含信号日),,
recent_limit_up_count_20d,audit_only,int64,yes,0,0.0,0,2.0,2.0,2.0,3.0,5.0,8.0,11.0,10,0,141,近20个交易日涨停天数(含信号日),,
recent_pool_appearance_count_10d,audit_only,int64,yes,0,0.0,0,0.0,0.0,2.0,2.0,4.0,6.0,8.0,9,0,141,近10日涨停池出现天数,,
recent_pool_appearance_count_20d,audit_only,int64,yes,0,0.0,0,0.0,0.0,2.0,3.0,5.0,8.0,10.0,11,0,141,近20日涨停池出现天数,,
max_board_streak_20d,audit_only,int64,yes,0,0.0,0,2.0,2.0,2.0,2.0,3.0,4.0,8.0,4,0,141,近20日最大连续涨停天数,,
board_day_amount_rank,audit_only,float64,yes,245,0.24019607843137256,245,1.0,1.0,5.0,26.0,71.0,110.0,127.0,89,0,0,"末板日 amount 在当日涨停池降序名次, audit_only",,
board_day_turnover_rank,audit_only,float64,yes,245,0.24019607843137256,245,1.0,1.0,3.0,26.0,73.0,111.0,126.0,89,0,0,"末板日 turnover 在当日涨停池降序名次, audit_only",,
board_day_volume_rank,audit_only,float64,yes,39,0.03823529411764706,39,1.0,1.0,4.0,29.0,77.0,110.0,126.0,104,0,124,"末板日 volume 在当日涨停池降序名次, audit_only",,
recognition_score,audit_only,float64,yes,245,0.24019607843137256,245,0.0131233595800524,0.0282485875706214,0.20360537528679118,0.6274509803921569,0.8763440860215054,0.9750769927536231,0.9935897435897436,283,0,0,"mean(3个板日排名百分位), 初步代理, audit_only",,
break_open,research_hold,float64,yes,0,0.0,0,1.49,2.76,4.872000000000001,19.39,84.08,256.0,558.2,374,0,141,,,
break_high,research_hold,float64,yes,0,0.0,0,1.53,2.84,5.09,20.365000000000002,87.26,270.36,594.0,374,0,141,,,
break_low,research_hold,float64,yes,0,0.0,0,1.34,2.63,4.488,18.35,82.1,247.0,553.18,379,0,141,,,
break_close,research_hold,float64,yes,0,0.0,0,1.35,2.64,4.6,19.02,86.1,258.9,580.0,386,0,141,,,
break_prev_close,research_hold,float64,yes,0,0.0,0,1.43,2.86,4.8,18.79,85.99,251.55,570.58,370,0,141,,,
break_open_return,research_hold,float64,yes,0,0.0,0,-0.100494233937397,-0.09737196371085756,-0.033841127589291906,0.0015814443858725,0.062215477996965,0.10009251670806987,0.1004514672686232,375,0,141,break_open / break_prev_close - 1,,
break_high_return,research_hold,float64,yes,0,0.0,0,-0.0999719180005617,-0.04905645821984593,-0.0049751243781095,0.0570066334991707,0.0999757340451346,0.10056202902758976,0.101010101010101,383,0,141,break_high / break_prev_close - 1,,
break_close_return,research_hold,float64,yes,0,0.0,0,-0.1054938174988261,-0.1006944444444444,-0.07685851427741823,-0.010032528267114399,0.0507692307692306,0.09215277684956213,0.0980742252263742,392,0,141,break_close / break_prev_close - 1,,
break_intraday_range,research_hold,float64,yes,0,0.0,0,0.0,0.0358814352574103,0.05942279181425113,0.0941324827535049,0.1431807530073426,0.186040195545899,0.2001853568118627,393,0,141,(break_high - break_low) / break_prev_close,,
break_high_to_close_drawdown,training,float64,yes,0,0.0,0,0.0,0.002208134642356239,0.0176991150442478,0.0531829170024174,0.1091933779499824,0.15408139534883694,0.173044925124792,390,877,141,(break_high - break_close) / break_high,,
break_upper_shadow_ratio,research_hold,float64,yes,5,0.004901960784313725,5,0.0,0.0,0.0,0.3235294117647043,0.598591549295775,0.8408663130413162,1.0,347,0,141,"(break_high - max(open,close)) / (break_high - break_low)",,
break_lower_shadow_ratio,research_hold,float64,yes,5,0.004901960784313725,5,0.0,0.0,0.0,0.1969696969696981,0.5217391304347828,0.7508854781582055,0.8333333333333338,350,0,141,"(min(open,close) - break_low) / (break_high - break_low)",,
break_close_location,training,float64,yes,5,0.004901960784313725,5,0.0,0.0,0.03231330267956347,0.3305785123966943,0.7885151763740774,0.9550264102680309,1.0,365,872,141,(break_close - break_low) / (break_high - break_low),,
break_volume,research_hold,float64,yes,0,0.0,0,27094.0,47190.04,160932.0,734534.5,3137535.0,26376314.46999924,352760547.0,395,0,141,,,
break_amount,research_hold,float64,yes,17,0.016666666666666666,17,86836270.0,174419001.9691,359673418.3167,1287099612.5911,5606851539.538401,24312010717.68011,35140741684.3214,383,0,132,,,
break_volume_ratio_vs_board_days,training,float64,yes,0,0.0,0,0.0851824177252201,0.6845556257820525,1.1056159569948616,1.8891576223069757,4.038377208426647,13.246358476559106,32.94142699037559,395,877,141,break_volume / mean(板日volume),,
break_amount_ratio_vs_board_days,deprecated_redundant,float64,yes,28,0.027450980392156862,28,0.0881861955582029,0.6573521951716098,1.1670364355207639,2.004672921364542,4.4149448069604,14.568800545339563,36.04867930179479,379,0,127,"break_amount / mean(板日amount) (体积额双版本, 冗余)",,
break_turnover_ratio,research_hold,float64,yes,1020,1.0,1020,,,,,,,,0,0,0,"break_turnover_rate / mean(板日turnover_rate) (日线无数据, 全空)",,
break_touched_limit_up,training,bool,yes,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,877,141,break_high >= 涨停价 - 0.011,,
break_opened_from_limit_up,training,bool,yes,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,877,141,break_open >= 涨停价 - 0.011,,
d1_open,research_hold,float64,yes,0,0.0,0,1.31,2.5995,4.655,18.88,85.93200000000003,254.6585999999996,598.0,892,0,141,,,
d1_high,research_hold,float64,yes,0,0.0,0,1.36,2.76,4.885,19.485,88.95400000000002,269.2085999999997,600.0,917,0,141,,,
d1_low,research_hold,float64,yes,0,0.0,0,1.26,2.5238,4.458,17.935,82.21000000000002,246.56299999999987,565.0,898,0,141,,,
d1_close,research_hold,float64,yes,0,0.0,0,1.28,2.6219,4.598999999999999,18.6,85.919,258.6909999999999,580.0,936,0,141,,,
d1_volume,research_hold,float64,yes,0,0.0,0,15784.0,46276.27,114173.2,570697.0,2740829.7,17135815.83999986,352760547.0,1020,0,141,,,
d1_amount,research_hold,float64,yes,0,0.0,0,51979355.8921,96077184.847769,249307602.55076,1010820544.21275,5070148494.150141,22126425829.474056,35140741684.3214,1020,0,141,,,
d1_ma5,research_hold,float64,yes,0,0.0,0,1.266,2.59856,4.469200000000001,17.957,79.92740000000002,233.92059999999987,557.458,1002,0,141,,,
d1_ma10,research_hold,float64,yes,0,0.0,0,1.226,2.4915200000000004,4.0954999999999995,17.161500000000004,75.27250000000001,219.36998999999966,507.024,1007,0,141,,,
d1_ma20,research_hold,float64,yes,0,0.0,0,1.2815,2.52333,4.05135,16.8345,69.6033,201.0601699999998,470.7875,1013,0,141,,,
d1_close_to_ma5_raw,training,float64,yes,0,0.0,0,-0.2502706604114038,-0.10534743237120857,-0.03878224651400164,0.04348901612672635,0.12464360337365614,0.17002956756101403,0.1974965229485394,1020,877,141,d1_close / d1_ma5 - 1,,
d1_low_to_ma5_raw,research_hold,float64,yes,0,0.0,0,-0.3306859668225197,-0.12128326990932596,-0.06713673462946755,0.009198536877457,0.06958073825896367,0.11467314167319881,0.161654135338346,1019,0,141,d1_low / d1_ma5 - 1,,
d1_high_to_ma5_raw,research_hold,float64,yes,0,0.0,0,-0.207711522449241,-0.06761735465695298,0.013925675955040604,0.10034406479380781,0.1852804597869172,0.21697345739701848,0.2411125052279379,1018,0,141,d1_high / d1_ma5 - 1,,
d1_close_to_ma10_raw,training,float64,yes,0,0.0,0,-0.2001668324296577,-0.07201714487798964,0.012178642564716681,0.10623792881770175,0.21626739596046005,0.3132676253247705,0.3939168289609349,1020,877,141,d1_close / d1_ma10 - 1,,
d1_low_to_ma10_raw,research_hold,float64,yes,0,0.0,0,-0.2735235844137788,-0.09585897768407395,-0.008259767366983377,0.06815336711772245,0.15338071092446268,0.25309303722267923,0.3354843665975264,1020,0,141,d1_low / d1_ma10 - 1,,
d1_close_to_ma20,research_hold,float64,yes,0,0.0,0,-0.2119758772971177,-0.1273899876643256,0.0053665910042243106,0.14559679336840453,0.3109059116618562,0.4800655297409656,0.6589885604844972,1019,0,141,d1_close / d1_ma20 - 1,,
d1_ma5_slope,research_hold,float64,yes,0,0.0,0,-0.0623162180502149,-0.01306814631706608,0.01071585345249508,0.033086735832112454,0.058234818144181306,0.07785224412300576,0.095079335679447,1019,0,141,ma5_today / ma5_prev - 1,,
d1_ma10_slope,research_hold,float64,yes,0,0.0,0,-0.0314345589636121,-0.01930832133315141,0.0012419188920363403,0.0176170098815535,0.03686547403771643,0.05704649116594092,0.0729353921794575,1020,0,141,ma10_today / ma10_prev - 1,,
deprecated_d1_reclaimed_ma5_v01,deprecated_redundant,bool,yes,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,0,141,"v0.1 的 d1_reclaimed_ma5 (d1_close >= d1_ma5), 已废弃",,
deprecated_d1_reclaimed_ma10_v01,deprecated_redundant,bool,yes,0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,0,141,"v0.1 的 d1_reclaimed_ma10 (d1_close >= d1_ma10), 已废弃",,
consecutive_days_below_ma5,research_hold,int64,yes,0,0.0,0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4,0,141,自信号日(含)向前连续 close<ma5 天数,,
consecutive_days_below_ma10,research_hold,int64,yes,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,9,0,141,自信号日(含)向前连续 close<ma10 天数,,
d1_open_to_close_return_raw,training,float64,yes,0,0.0,0,-0.1678145087235997,-0.12666362221069008,-0.07034699789222466,-0.011228918538196249,0.05726572954672836,0.10797848350562451,0.1837320574162679,990,877,141,d1_close / d1_open - 1 (5min 首/末bar),,
d1_low_to_close_recovery,research_hold,float64,yes,0,0.0,0,0.0,0.0,0.0013550240175285006,0.0294321952176257,0.0831309724988577,0.13748899350649338,0.1837320574162679,921,0,141,(d1_close - d1_low) / d1_low,,
d1_high_to_close_drawdown_raw,training,float64,yes,0,0.0,0,0.0,0.0,0.01326524464674367,0.046936464803312594,0.0984750252780586,0.14449626334519555,0.1817895400126024,998,877,141,(d1_high - d1_close) / d1_high,,
d1_close_location,training,float64,yes,10,0.00980392156862745,10,0.0,0.0,0.02412243825538572,0.3549901878329132,0.8105547652916076,0.9742342342342346,1.0,904,867,141,(d1_close - d1_low) / (d1_high - d1_low),,
d1_vwap,research_hold,float64,yes,0,0.0,0,1.3019819935219552,2.6306697755190425,4.636095073277118,18.698733687899903,84.23982622391544,259.98256703807914,579.7675016286461,1020,0,141,,,
d1_close_to_vwap_raw,training,float64,yes,0,0.0,0,-0.1213678233199349,-0.0662708888318139,-0.03601064433170625,-0.005376844173895549,0.02339750922967831,0.048822457312053945,0.0881891757134776,1018,877,141,d1_close / d1_vwap - 1,,
d1_intraday_range,research_hold,float64,yes,0,0.0,0,0.0,0.01304924020250172,0.05173504582960151,0.08483690357003004,0.1318964793873402,0.17913852285930318,0.2001853568118627,1007,0,141,(d1_high - d1_low) / 前收,,
d1_afternoon_return,research_hold,float64,yes,0,0.0,0,-0.164951768488746,-0.06620965085639006,-0.02902766639935835,-0.0020133796810207997,0.027775454407004747,0.07162681912681917,0.1197822141560798,959,0,141,d1_close / 13:00 前末根bar close - 1,,
d1_last_hour_return,research_hold,float64,yes,0,0.0,0,-0.1337558372248165,-0.051795378482714496,-0.0189962193398403,0.0,0.017166755667485593,0.04469026504645453,0.1187165775401071,920,0,141,d1_close / 14:00 bar close - 1,,
d1_up_bar_volume_ratio,research_hold,float64,yes,0,0.0,0,0.0,0.0,0.25487282815178597,0.45664301427977433,0.6190325662546313,0.7020160201088174,0.8384429824368163,999,0,141,Σvol(close>open) / Σvol,,
d1_down_bar_volume_ratio,deprecated_redundant,float64,yes,0,0.0,0,0.0,0.0,0.3241871364212574,0.4945613990105374,0.6646552869918269,0.7717169283796839,0.9255450696359372,1009,0,141,"Σvol(close<open) / Σvol (与 down_bar_volume_ratio 相同, 冗余)",,
volume_above_d1_close_ratio,training,float64,yes,0,0.0,0,0.0178623783419175,0.02667080629195757,0.13331607992030176,0.6548391013688926,1.0,1.0,1.0,877,877,141,Σvol(bar close>=d1_close) / Σvol,,
amount_above_d1_close_ratio,deprecated_redundant,float64,yes,0,0.0,0,0.018227312301159,0.028136691066202174,0.13640412963058843,0.6620182208494068,1.0,1.0,1.0,877,0,141,"Σamt(bar close>=d1_close) / Σamt (体积额双版本, 冗余)",,
volume_above_break_close_ratio,research_hold,float64,yes,0,0.0,0,0.0,0.0,0.0,0.46593762873354855,1.0,1.0,1.0,603,0,141,Σvol(bar close>=break_close) / Σvol,,
high_zone_volume_ratio,training,float64,yes,0,0.0,0,0.0,0.0,0.0,0.16165601631431953,0.4274379061024886,0.8791584914342246,1.0,773,877,141,Σvol(typical>=d1_low+0.7*(d1_high-d1_low)) / Σvol,,
high_zone_amount_ratio,deprecated_redundant,float64,yes,0,0.0,0,0.0,0.0,0.0,0.16568986513700829,0.4356685472027662,0.8857619920773072,1.0,773,0,141,Σamt(typical>=高位阈值) / Σamt (冗余),,
late_day_sell_volume_ratio,training,float64,yes,0,0.0,0,0.0,0.0,0.029362351869276743,0.07479659196434604,0.13213382935551848,0.19397165007131512,0.4139691649844499,968,877,141,Σvol(time>=14:00 & close<open) / Σvol,,
late_day_sell_amount_ratio,deprecated_redundant,float64,yes,0,0.0,0,0.0,0.0,0.02944783846060826,0.07404554895400015,0.13153276614081033,0.1890004716088413,0.409234818076627,968,0,141,Σamt(time>=14:00 & close<open) / Σamt (冗余),,
down_bar_volume_ratio,training,float64,yes,0,0.0,0,0.0,0.0,0.3241871364212574,0.4945613990105374,0.6646552869918269,0.7717169283796839,0.9255450696359372,1009,877,141,Σvol(close<open) / Σvol,,
d1_vwap_to_close_gap,deprecated_redundant,float64,yes,0,0.0,0,-0.0810421364976873,-0.04654976340531049,-0.02286257939922758,0.00540591114443245,0.03735586050656779,0.07097444442240386,0.1381326868525649,1018,0,141,"(d1_vwap - d1_close) / d1_close (冗余反向, 已从训练视图移除)",,
is_v004a_scorable,audit_only,bool,yes,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,0,141,,,
