event_id,code,signal_date,sample_role,d1_bar_count,d2_bar_count,d3_bar_count,d1_first_bar_time,d2_first_bar_time,d3_first_bar_time,d1_last_bar_time,d2_last_bar_time,d3_last_bar_time,d1_expected_bar_count,d2_expected_bar_count,d3_expected_bar_count,d1_minute_complete,d2_minute_complete,d3_minute_complete,d2_daily_minute_open_diff,d3_daily_minute_high_diff,d3_daily_minute_close_diff,expected_d2_date,actual_d2_date,expected_d3_date,actual_d3_date,d2_date_shift_reason,d3_date_shift_reason,suspension_proof_status,label_quality_ok,label_quality_reason,target_quality_ok,tail_label_quality_ok,section,value
000980_2026-05-06,000980,2026-05-06,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-07,2026-05-07,2026-05-08,2026-05-08,none,none,not_applicable,True,ok,True,True,per_row,
001266_2026-04-30,001266,2026-05-06,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-07,2026-05-07,2026-05-08,2026-05-08,none,none,not_applicable,True,ok,True,True,per_row,
002645_2026-05-06,002645,2026-05-06,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-07,2026-05-07,2026-05-08,2026-05-08,none,none,not_applicable,True,ok,True,True,per_row,
600714_2026-05-06,600714,2026-05-06,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-07,2026-05-07,2026-05-08,2026-05-08,none,none,not_applicable,True,ok,True,True,per_row,
605099_2026-05-06,605099,2026-05-06,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-07,2026-05-07,2026-05-08,2026-05-08,none,none,not_applicable,True,ok,True,True,per_row,
000980_2026-05-06,000980,2026-05-07,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-08,2026-05-08,2026-05-11,2026-05-11,none,none,not_applicable,True,ok,True,True,per_row,
001266_2026-04-30,001266,2026-05-07,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-08,2026-05-08,2026-05-11,2026-05-11,none,none,not_applicable,True,ok,True,True,per_row,
002645_2026-05-06,002645,2026-05-07,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-08,2026-05-08,2026-05-11,2026-05-11,none,none,not_applicable,True,ok,True,True,per_row,
600714_2026-05-06,600714,2026-05-07,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-08,2026-05-08,2026-05-11,2026-05-11,none,none,not_applicable,True,ok,True,True,per_row,
605099_2026-05-06,605099,2026-05-07,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-08,2026-05-08,2026-05-11,2026-05-11,none,none,not_applicable,True,ok,True,True,per_row,
000980_2026-05-06,000980,2026-05-08,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-11,2026-05-11,2026-05-12,2026-05-12,none,none,not_applicable,True,ok,True,True,per_row,
002217_2026-05-08,002217,2026-05-08,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-11,2026-05-11,2026-05-12,2026-05-12,none,none,not_applicable,True,ok,True,True,per_row,
002645_2026-05-06,002645,2026-05-08,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-11,2026-05-11,2026-05-12,2026-05-12,none,none,not_applicable,True,ok,True,True,per_row,
600714_2026-05-06,600714,2026-05-08,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-11,2026-05-11,2026-05-12,2026-05-12,none,none,not_applicable,True,ok,True,True,per_row,
605099_2026-05-06,605099,2026-05-08,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-11,2026-05-11,2026-05-12,2026-05-12,none,none,not_applicable,True,ok,True,True,per_row,
000720_2026-05-11,000720,2026-05-11,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-12,2026-05-12,2026-05-13,2026-05-13,none,none,not_applicable,True,ok,True,True,per_row,
002217_2026-05-08,002217,2026-05-11,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-12,2026-05-12,2026-05-13,2026-05-13,none,none,not_applicable,True,ok,True,True,per_row,
600936_2026-05-11,600936,2026-05-11,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-12,2026-05-12,2026-05-13,2026-05-13,none,none,not_applicable,True,ok,True,True,per_row,
603636_2026-05-11,603636,2026-05-11,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-12,2026-05-12,2026-05-13,2026-05-13,none,none,not_applicable,True,ok,True,True,per_row,
000720_2026-05-11,000720,2026-05-12,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-13,2026-05-13,2026-05-14,2026-05-14,none,none,not_applicable,True,ok,True,True,per_row,
002030_2026-05-12,002030,2026-05-12,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-13,2026-05-13,2026-05-14,2026-05-14,none,none,not_applicable,True,ok,True,True,per_row,
002217_2026-05-08,002217,2026-05-12,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-13,2026-05-13,2026-05-14,2026-05-14,none,none,not_applicable,True,ok,True,True,per_row,
600748_2026-05-12,600748,2026-05-12,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-13,2026-05-13,2026-05-14,2026-05-14,none,none,not_applicable,True,ok,True,True,per_row,
600936_2026-05-11,600936,2026-05-12,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-13,2026-05-13,2026-05-14,2026-05-14,none,none,not_applicable,True,ok,True,True,per_row,
603636_2026-05-11,603636,2026-05-12,SENSITIVITY_MAY_COMPLETE,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-05-13,2026-05-13,2026-05-14,2026-05-14,none,none,not_applicable,True,ok,True,True,per_row,
