signal_date,feature,semantic_group,FP_count,MW_count,FP_mean,MW_mean,MW_minus_FP
2026-06-03,d1_close_location,REPAIR_COMPLETION,3,1,0.407840014375,0.0702151755379,-0.337624838837
2026-06-05,d1_close_location,REPAIR_COMPLETION,2,1,0.231771984092,0,-0.231771984092
2026-06-10,d1_close_location,REPAIR_COMPLETION,1,2,0.0135135135135,0.485294117647,0.471780604134
2026-06-11,d1_close_location,REPAIR_COMPLETION,2,1,0.866053382952,0.489974937343,-0.376078445609
2026-06-12,d1_close_location,REPAIR_COMPLETION,2,3,0.113114754098,0.119341563786,0.00622680968765
2026-06-16,d1_close_location,REPAIR_COMPLETION,2,2,0.747277110508,0.355187969925,-0.392089140584
2026-06-17,d1_close_location,REPAIR_COMPLETION,1,5,0.974457215837,0.583019497458,-0.391437718378
2026-06-18,d1_close_location,REPAIR_COMPLETION,3,1,0.766666666667,0.494505494505,-0.272161172161
2026-06-22,d1_close_location,REPAIR_COMPLETION,2,3,0.961055276382,0.416152109454,-0.544903166928
2026-06-23,d1_close_location,REPAIR_COMPLETION,2,4,0.281634247376,0.229210335774,-0.0524239116013
2026-06-24,d1_close_location,REPAIR_COMPLETION,3,2,0.58231993134,0.273913043478,-0.308406887861
2026-06-25,d1_close_location,REPAIR_COMPLETION,1,2,0.549180327869,0.0930047694754,-0.456175558393
2026-06-26,d1_close_location,REPAIR_COMPLETION,2,1,0.438522835559,0.670984455959,0.232461620399
2026-06-29,d1_close_location,REPAIR_COMPLETION,2,2,0.111111111111,0.156504524887,0.0453934137758
2026-06-30,d1_close_location,REPAIR_COMPLETION,3,1,0.574145582583,0.522673031026,-0.0514725515567
2026-06-03,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,3,1,0.0709224934927,0.101861042184,0.0309385486909
2026-06-05,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,2,1,0.0740046174248,0.172011661808,0.0980070443828
2026-06-10,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,1,2,0.0910224438903,0.0446151217543,-0.046407322136
2026-06-11,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,2,1,0.010788454265,0.0625480252036,0.0517595709386
2026-06-12,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,2,3,0.0879705752227,0.0831148118884,-0.00485576333427
2026-06-16,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,2,2,0.0211711303464,0.0743277165609,0.0531565862145
2026-06-17,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,1,5,0.00231884057971,0.03405550068,0.0317366601003
2026-06-18,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,3,1,0.0178065641507,0.0375510204082,0.0197444562574
2026-06-22,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,2,3,0.0039763981529,0.081598844567,0.0776224464141
2026-06-23,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,2,4,0.0667654726752,0.0705978683891,0.00383239571387
2026-06-24,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,3,2,0.0311278465882,0.040301080889,0.00917323430082
2026-06-25,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,1,2,0.0349872773537,0.0862874672998,0.0513001899461
2026-06-26,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,2,1,0.0391641311673,0.0172250101723,-0.0219391209951
2026-06-29,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,2,2,0.134004412615,0.0813905974905,-0.0526138151245
2026-06-30,d1_high_to_close_drawdown_raw,DAMAGE_DISAGREEMENT,3,1,0.0341184829334,0.0654022236756,0.0312837407422
2026-06-03,d1_intraday_range,DAMAGE_DISAGREEMENT,3,1,0.126370111102,0.117326601116,-0.00904350998563
2026-06-05,d1_intraday_range,DAMAGE_DISAGREEMENT,2,1,0.103293078646,0.186962426437,0.0836693477917
2026-06-10,d1_intraday_range,DAMAGE_DISAGREEMENT,1,2,0.101508916324,0.0822738651371,-0.0192350511866
2026-06-11,d1_intraday_range,DAMAGE_DISAGREEMENT,2,1,0.0872667553558,0.132778702163,0.0455119468073
