signal_date,candidate_count,target7_count,fp_top3_count,mw_rank4_10_count,possible_replacements,actual_top3_capped,top10_oracle_top3_capped,full_oracle_top3_capped,top10_oracle_rank1_capped,top10_oracle_top1_target7,top10_oracle_top3_target7_precision,purpose,top3_target7,top5_target7,top7_target7,top10_target7
2026-06-01,4,1,2,0,0,0.0295902563858,0.0458532895656,0.0458532895656,0.07,1,0.333333333333,HINDSIGHT_DIAGNOSTIC_ONLY,1,1,1,1
2026-06-02,2,1,1,0,0,,,,0.07,1,,HINDSIGHT_DIAGNOSTIC_ONLY,1,1,1,1
2026-06-03,7,1,3,1,1,-0.0676878130753,0.0646135396002,0.0646135396002,0.07,1,0.333333333333,HINDSIGHT_DIAGNOSTIC_ONLY,0,0,1,1
2026-06-04,6,0,3,0,0,0.0218937463061,0.0335219271653,0.0335219271653,0.0659375,0,0,HINDSIGHT_DIAGNOSTIC_ONLY,0,0,0,0
2026-06-05,6,2,2,1,1,0.00934321233352,0.0690166028097,0.0690166028097,0.07,1,0.666666666667,HINDSIGHT_DIAGNOSTIC_ONLY,1,2,2,2
2026-06-08,3,0,3,0,0,0.0133228381898,0.0133228381898,0.0133228381898,0.0681933842239,0,0,HINDSIGHT_DIAGNOSTIC_ONLY,0,0,0,0
2026-06-09,9,1,2,0,0,-0.00268799028737,0.0604550786526,0.0604550786526,0.07,1,0.333333333333,HINDSIGHT_DIAGNOSTIC_ONLY,1,1,1,1
2026-06-10,7,4,1,2,1,0.0520194647202,0.07,0.07,0.07,1,1,HINDSIGHT_DIAGNOSTIC_ONLY,2,3,4,4
2026-06-11,10,2,2,1,1,0.0425705925071,0.0691239792131,0.0691239792131,0.07,1,0.666666666667,HINDSIGHT_DIAGNOSTIC_ONLY,1,2,2,2
2026-06-12,8,4,2,3,2,0.0342842122589,0.07,0.07,0.07,1,1,HINDSIGHT_DIAGNOSTIC_ONLY,1,3,4,4
2026-06-15,3,1,2,0,0,0.0449404761905,0.0449404761905,0.0449404761905,0.07,1,0.333333333333,HINDSIGHT_DIAGNOSTIC_ONLY,1,1,1,1
2026-06-16,7,3,2,2,2,0.0331325092785,0.07,0.07,0.07,1,1,HINDSIGHT_DIAGNOSTIC_ONLY,1,2,3,3
2026-06-17,17,12,1,5,1,0.0395744680851,0.07,0.07,0.07,1,1,HINDSIGHT_DIAGNOSTIC_ONLY,2,4,5,7
2026-06-18,15,2,3,1,1,-0.00646240583523,0.0610190024964,0.0691912758155,0.07,1,0.333333333333,HINDSIGHT_DIAGNOSTIC_ONLY,0,1,1,1
2026-06-22,7,4,2,3,2,0.0513726177223,0.07,0.07,0.07,1,1,HINDSIGHT_DIAGNOSTIC_ONLY,1,2,4,4
2026-06-23,14,7,2,4,2,0.0546426312461,0.07,0.07,0.07,1,1,HINDSIGHT_DIAGNOSTIC_ONLY,1,2,3,5
2026-06-24,15,3,3,2,2,-0.0025402733304,0.0682379654859,0.07,0.07,1,0.666666666667,HINDSIGHT_DIAGNOSTIC_ONLY,0,0,1,2
2026-06-25,9,4,1,2,1,0.0428939192188,0.07,0.07,0.07,1,1,HINDSIGHT_DIAGNOSTIC_ONLY,2,2,3,4
2026-06-26,12,3,2,1,1,-0.0081631794132,0.0689367816092,0.07,0.07,1,0.666666666667,HINDSIGHT_DIAGNOSTIC_ONLY,1,1,1,2
2026-06-29,5,3,2,2,2,0.00343019135367,0.07,0.07,0.07,1,1,HINDSIGHT_DIAGNOSTIC_ONLY,1,3,3,3
2026-06-30,7,1,3,1,1,-0.0146887382548,0.0535028485779,0.0535028485779,0.07,1,0.333333333333,HINDSIGHT_DIAGNOSTIC_ONLY,0,1,1,1
