left_factor,right_factor,june_pearson,june_spearman,abs_june_pearson,abs_june_spearman,severity,july_pearson,july_spearman
OPEN,RESET,0.33214983413426086,0.2576933462059028,0.33214983413426086,0.2576933462059028,LOW,0.4110492121344922,0.4019121059062699
OPEN,SUPPLY,0.07435629954396195,0.028012158844649478,0.07435629954396195,0.028012158844649478,LOW,0.0724782143595182,0.05398248573978435
OPEN,MOM7,0.24011165726711875,0.19729766218083752,0.24011165726711875,0.19729766218083752,LOW,0.03986059938991674,-0.00743413842424896
OPEN,DAMAGE7,-0.10977793814930267,-0.0640569230057809,0.10977793814930267,0.0640569230057809,LOW,0.04229957006421,0.0511849968089135
OPEN,POS7,0.0018240670720102608,0.023293005145383103,0.0018240670720102608,0.023293005145383103,LOW,-0.08172475459111918,-0.0804762736130982
OPEN,TREND,0.21642557627583445,0.18007115375749472,0.21642557627583445,0.18007115375749472,LOW,-0.02460394353859238,-0.035827340933628535
OPEN,REGIME,-0.03075736383219379,-0.04053964849807463,0.03075736383219379,0.04053964849807463,LOW,-0.10679063971825836,-0.10803758296055704
RESET,SUPPLY,-0.10459003610621187,-0.07951197918287012,0.10459003610621187,0.07951197918287012,LOW,-0.08379719902223691,-0.04980431772630766
RESET,MOM7,-0.37435738163225396,-0.3863603046629376,0.37435738163225396,0.3863603046629376,LOW,-0.2989397025236065,-0.32295320556924034
RESET,DAMAGE7,0.08968378401341036,0.14192923354700504,0.08968378401341036,0.14192923354700504,LOW,-0.0008382767740673531,0.04180598700081962
RESET,POS7,-0.8680654367327416,-0.8980337758994954,0.8680654367327416,0.8980337758994954,SEVERE,-0.8475420730072605,-0.8355279109201582
RESET,TREND,-0.2046095718755093,-0.22137432888001396,0.2046095718755093,0.22137432888001396,LOW,-0.3448389103816013,-0.3362271797374833
RESET,REGIME,-0.06304215476419357,-0.06033787171667498,0.06304215476419357,0.06033787171667498,LOW,0.12357969760923049,0.12282663507795301
SUPPLY,MOM7,0.14406663248326146,0.1314339518844638,0.14406663248326146,0.1314339518844638,LOW,0.05781315708119726,0.02365566667911831
SUPPLY,DAMAGE7,-0.03965119583435446,-0.03790069219235175,0.03965119583435446,0.03790069219235175,LOW,0.15454109597862384,0.09570012353148073
SUPPLY,POS7,0.16984100737498994,0.10384129107438837,0.16984100737498994,0.10384129107438837,LOW,0.2065276460621381,0.16030301748465695
SUPPLY,TREND,0.15005036298669405,0.12831768672626612,0.15005036298669405,0.12831768672626612,LOW,0.09913176658706839,0.045757977767991134
SUPPLY,REGIME,-0.08063625334316481,-0.08925080287037762,0.08063625334316481,0.08925080287037762,LOW,-0.01831587680323489,0.019035917651380945
MOM7,DAMAGE7,-0.58381576385942,-0.5436966166680037,0.58381576385942,0.5436966166680037,MODERATE,-0.5687839515649935,-0.5674456216165721
MOM7,POS7,0.5876822067162704,0.5706735780717976,0.5876822067162704,0.5706735780717976,MODERATE,0.5033021571696115,0.5149569895131577
MOM7,TREND,0.7769898627293541,0.7763765301943601,0.7769898627293541,0.7763765301943601,HIGH,0.6999473037299043,0.6935030793288417
MOM7,REGIME,0.3363214695135536,0.3394011183795968,0.3363214695135536,0.3394011183795968,LOW,0.26327572457640147,0.2939447396947581
DAMAGE7,POS7,-0.20413155795136015,-0.2276584673933449,0.20413155795136015,0.2276584673933449,LOW,-0.046187210603714654,-0.060651695894781706
DAMAGE7,TREND,-0.3128108542235294,-0.28756075288380645,0.3128108542235294,0.28756075288380645,LOW,-0.3302942407527119,-0.38202574802156164
DAMAGE7,REGIME,-0.1522682646105441,-0.12130440350416155,0.1522682646105441,0.12130440350416155,LOW,-0.14789723266563268,-0.1360531289564687
POS7,TREND,0.41903412885142466,0.4026951451000206,0.41903412885142466,0.4026951451000206,LOW,0.44415939982434377,0.4363777542324939
POS7,REGIME,0.1107549721614353,0.1007203661219787,0.1107549721614353,0.1007203661219787,LOW,-0.004826328203636675,-0.025046599586978777
TREND,REGIME,0.2948000213058152,0.28927643374502776,0.2948000213058152,0.28927643374502776,LOW,0.2292883016272036,0.21581146106376534
