left,right,left_factor,right_factor,same_factor,june_pearson,june_spearman,abs_june_pearson,abs_june_spearman,severity,july_pearson,july_spearman
break_open_return,d1_open_to_close_return_raw,OPEN,RESET,False,-0.42809231719538177,-0.35058229514556893,0.42809231719538177,0.35058229514556893,LOW,-0.48636106910881555,-0.44851292692199646
break_open_return,d1_high_to_close_drawdown_raw,OPEN,RESET,False,0.24596747652927223,0.15068925736604832,0.24596747652927223,0.15068925736604832,LOW,0.31724162925503124,0.31268468372997743
break_open_return,d1_close_to_vwap_raw,OPEN,RESET,False,-0.25254175670254647,-0.18888613339379198,0.25254175670254647,0.18888613339379198,LOW,-0.3316740134590516,-0.36247799688284726
break_open_return,high_zone_volume_ratio,OPEN,SUPPLY,False,0.13931103511144452,0.13056078886697917,0.13931103511144452,0.13056078886697917,LOW,0.0883387568187675,0.14120981425582446
break_open_return,late_day_sell_volume_ratio,OPEN,SUPPLY,False,-0.01590106508209339,-0.08671053458937594,0.01590106508209339,0.08671053458937594,LOW,0.011379779637267624,-0.012791318174973653
break_open_return,recent_7d_cumulative_return,OPEN,MOM7,False,0.22829268218905657,0.1971129471223709,0.22829268218905657,0.1971129471223709,LOW,0.028753576441305554,-0.00761072503318636
break_open_return,recent_7d_max_drawdown,OPEN,DAMAGE7,False,-0.09869070965245755,-0.06413789427103336,0.09869070965245755,0.06413789427103336,LOW,0.04724157343471129,0.05091306232078594
break_open_return,recent_7d_close_position,OPEN,POS7,False,-0.003275125564532978,0.02339029483551724,0.003275125564532978,0.02339029483551724,LOW,-0.07344523984605406,-0.08126806718573158
break_open_return,d1_ma10_slope,OPEN,TREND,False,0.20338404710726016,0.17987720790571676,0.20338404710726016,0.17987720790571676,LOW,-0.04648290153695942,-0.034994096119090615
break_open_return,board_streak_is_3,OPEN,REGIME,False,-0.030347662714924117,-0.04053960151843342,0.030347662714924117,0.04053960151843342,LOW,-0.13129306147192413,-0.11083400581280836
d1_open_to_close_return_raw,d1_high_to_close_drawdown_raw,RESET,RESET,True,-0.8017559921400366,-0.7839981087536201,0.8017559921400366,0.7839981087536201,HIGH,-0.763212691964607,-0.7749227629830703
d1_open_to_close_return_raw,d1_close_to_vwap_raw,RESET,RESET,True,0.744836952225615,0.7619783213692877,0.744836952225615,0.7619783213692877,HIGH,0.701920827179995,0.6889214585445557
d1_open_to_close_return_raw,high_zone_volume_ratio,RESET,SUPPLY,False,0.43787814364223254,0.42119186926900914,0.43787814364223254,0.42119186926900914,LOW,0.3133019357361052,0.3297579982164747
d1_open_to_close_return_raw,late_day_sell_volume_ratio,RESET,SUPPLY,False,-0.0869674745817971,-0.10370664819256184,0.0869674745817971,0.10370664819256184,LOW,0.0577487725356185,0.048669970313983256
d1_open_to_close_return_raw,recent_7d_cumulative_return,RESET,MOM7,False,0.36715348937880893,0.38217314870504093,0.36715348937880893,0.38217314870504093,LOW,0.31867076744276523,0.3486481517698051
d1_open_to_close_return_raw,recent_7d_max_drawdown,RESET,DAMAGE7,False,-0.08585542574228201,-0.14307757292508633,0.08585542574228201,0.14307757292508633,LOW,0.03462828766084547,-0.0178425199849408
d1_open_to_close_return_raw,recent_7d_close_position,RESET,POS7,False,0.759010713599,0.79499399425339,0.759010713599,0.79499399425339,HIGH,0.7644710570854735,0.78815010569276
d1_open_to_close_return_raw,d1_ma10_slope,RESET,TREND,False,0.24157489427151804,0.26691357924548204,0.24157489427151804,0.26691357924548204,LOW,0.3330001326529311,0.3535013722470861
d1_open_to_close_return_raw,board_streak_is_3,RESET,REGIME,False,0.04493069003593713,0.053109928273860144,0.04493069003593713,0.053109928273860144,LOW,-0.0929804291935342,-0.06692353370993226
