left_factor,right_factor,core_pair,june_pearson,june_spearman,abs_june_pearson,abs_june_spearman,severity,july_pearson,july_spearman
OPEN,RESET,True,0.33133104990633017,0.25602691324157734,0.33133104990633017,0.25602691324157734,LOW,0.41025789492009607,0.40024152646189093
OPEN,HIGHZONE,True,0.1263885008170995,0.130512259045613,0.1263885008170995,0.130512259045613,LOW,0.11920109052317196,0.14162137258550728
OPEN,LATESELL,True,-0.022353191701566154,-0.0864673178090893,0.022353191701566154,0.0864673178090893,LOW,-0.0018694846593049375,-0.013721778046592515
OPEN,MOM7,True,0.24011165726711883,0.19729766218083752,0.24011165726711883,0.19729766218083752,LOW,0.039860599389916734,-0.00743413842424896
OPEN,DAMAGE7,True,-0.10977793814930273,-0.0640569230057809,0.10977793814930273,0.0640569230057809,LOW,0.04229957006420996,0.0511849968089135
OPEN,REGIME,True,-0.030757363832193838,-0.04053964849807463,0.030757363832193838,0.04053964849807463,LOW,-0.10679063971825821,-0.10803758296055704
OPEN,POS7,False,0.001824067072010275,0.023293005145383103,0.001824067072010275,0.023293005145383103,LOW,-0.08172475459111919,-0.0804762736130982
OPEN,TREND,False,0.21642557627583456,0.18007115375749472,0.21642557627583456,0.18007115375749472,LOW,-0.024603943538592393,-0.035827340933628535
RESET,HIGHZONE,True,-0.3029705160364794,-0.33328637555789425,0.3029705160364794,0.33328637555789425,LOW,-0.1443555739828557,-0.16931630392272892
RESET,LATESELL,True,0.1557392910905899,0.19256213538097036,0.1557392910905899,0.19256213538097036,LOW,0.009257271239227052,0.06611162242955794
RESET,MOM7,True,-0.37427201147154526,-0.387302451843016,0.37427201147154526,0.387302451843016,LOW,-0.29857152691255295,-0.3223115737735808
RESET,DAMAGE7,True,0.08969545453978364,0.14314023383324231,0.08969545453978364,0.14314023383324231,LOW,-0.0005873552069849371,0.04218247234174086
RESET,REGIME,True,-0.06327459267672034,-0.06065213146519932,0.06327459267672034,0.06065213146519932,LOW,0.12370677509268166,0.12402885336582858
RESET,POS7,False,-0.8681920212622309,-0.8988217952245112,0.8681920212622309,0.8988217952245112,SEVERE,-0.8473512708570834,-0.8352085575959527
RESET,TREND,False,-0.20433425617489692,-0.2226606545429071,0.20433425617489692,0.2226606545429071,LOW,-0.34460691601993626,-0.3357583825821946
HIGHZONE,LATESELL,True,-0.051325596632011666,-0.026338800186496713,0.051325596632011666,0.026338800186496713,LOW,0.040045884001999606,0.03824851878364354
HIGHZONE,MOM7,True,0.30231990407063375,0.2952010454655726,0.30231990407063375,0.2952010454655726,LOW,0.13969450379399098,0.13950099902197888
HIGHZONE,DAMAGE7,True,-0.07431229349571672,-0.07289612524537331,0.07431229349571672,0.07289612524537331,LOW,0.09229656123331997,0.0663145779332546
HIGHZONE,REGIME,True,-0.05583079654154283,-0.06898002684551263,0.05583079654154283,0.06898002684551263,LOW,-0.045061300340584316,-0.054560582842100996
HIGHZONE,POS7,False,0.3482219204495888,0.3601358084982,0.3482219204495888,0.3601358084982,LOW,0.25224209838200423,0.27016327984642585
HIGHZONE,TREND,False,0.2155728993388241,0.21119303644460333,0.2155728993388241,0.21119303644460333,LOW,0.21520035928671735,0.16009993321149046
LATESELL,MOM7,True,-0.09952167934255406,-0.10201252997829593,0.09952167934255406,0.10201252997829593,LOW,-0.037873124558621345,-0.06246424439380665
LATESELL,DAMAGE7,True,0.01868666513837079,0.01740769005669655,0.01868666513837079,0.01740769005669655,LOW,0.12802020191598013,0.09111053340454832
LATESELL,REGIME,True,-0.05525444633661773,-0.08501006967036787,0.05525444633661773,0.08501006967036787,LOW,0.012654696822449345,0.036870836232272906
LATESELL,POS7,False,-0.10931687116630923,-0.18895705104482877,0.10931687116630923,0.18895705104482877,LOW,0.06596753949717843,0.02624317390055755
LATESELL,TREND,False,-0.006474542116216409,-0.013773410313816558,0.006474542116216409,0.013773410313816558,LOW,-0.0450970918761405,-0.08719265808661587
MOM7,DAMAGE7,True,-0.5838157638594199,-0.5436966166680037,0.5838157638594199,0.5436966166680037,MODERATE,-0.5687839515649933,-0.5674456216165721
MOM7,REGIME,True,0.3363214695135538,0.3394011183795968,0.3363214695135538,0.3394011183795968,LOW,0.26327572457640147,0.2939447396947581
MOM7,POS7,False,0.5876822067162707,0.5706735780717976,0.5876822067162707,0.5706735780717976,MODERATE,0.5033021571696115,0.5149569895131577
MOM7,TREND,False,0.7769898627293539,0.7763765301943601,0.7769898627293539,0.7763765301943601,HIGH,0.6999473037299047,0.6935030793288417
DAMAGE7,REGIME,True,-0.15226826461054405,-0.12130440350416155,0.15226826461054405,0.12130440350416155,LOW,-0.14789723266563265,-0.1360531289564687
DAMAGE7,POS7,False,-0.20413155795136018,-0.2276584673933449,0.20413155795136018,0.2276584673933449,LOW,-0.0461872106037146,-0.060651695894781706
DAMAGE7,TREND,False,-0.3128108542235294,-0.28756075288380645,0.3128108542235294,0.28756075288380645,LOW,-0.33029424075271185,-0.38202574802156164
REGIME,POS7,False,0.11075497216143534,0.10072036612197868,0.11075497216143534,0.10072036612197868,LOW,-0.004826328203636656,-0.025046599586978777
REGIME,TREND,False,0.2948000213058151,0.2892764337450277,0.2948000213058151,0.2892764337450277,LOW,0.22928830162720365,0.2158114610637653
POS7,TREND,False,0.41903412885142466,0.4026951451000206,0.41903412885142466,0.4026951451000206,LOW,0.4441593998243437,0.4363777542324939
