source_column,canonical_source_column,mapping_role,is_canonical,is_alias,exact_duplicate_group_id,admission_status,stage1_allowed_for_feature_analysis,notes
event_id,event_id,NONE,False,False,,AUDIT_ONLY,False,
code,code,NONE,False,False,,AUDIT_ONLY,False,
name,name,NONE,False,False,,AUDIT_ONLY,False,
signal_date,signal_date,NONE,False,False,,AUDIT_ONLY,False,
break_date,break_date,NONE,False,False,,AUDIT_ONLY,False,
board_streak_before_break,board_streak_before_break,NONE,False,False,,DERIVE_ONLY,True,
days_since_break,days_since_break,NONE,False,False,,AUDIT_ONLY,False,
days_since_last_limit_up,days_since_last_limit_up,NONE,False,False,,AUDIT_ONLY,False,
repair_attempt_count,repair_attempt_count,NONE,False,False,,AUDIT_ONLY,False,
recent_limit_up_count_10d,recent_limit_up_count_10d,NONE,False,False,,PRIMARY_RAW,True,
recent_limit_up_count_20d,recent_limit_up_count_20d,NONE,False,False,,PRIMARY_RAW,True,
recent_pool_appearance_count_10d,recent_pool_appearance_count_10d,NONE,False,False,,PRIMARY_RAW,True,
recent_pool_appearance_count_20d,recent_pool_appearance_count_20d,NONE,False,False,,PRIMARY_RAW,True,
max_board_streak_20d,max_board_streak_20d,NONE,False,False,,PRIMARY_RAW,True,
board_day_amount_rank,board_day_amount_rank,NONE,False,False,,SENSITIVITY_RAW,True,
board_day_turnover_rank,board_day_turnover_rank,NONE,False,False,,SENSITIVITY_RAW,True,
board_day_volume_rank,board_day_volume_rank,NONE,False,False,,SENSITIVITY_RAW,True,
recognition_score,recognition_score,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
break_open,d1_open,ALIAS,False,True,ED01,EXCLUDE_EXACT_DUPLICATE_ALIAS,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型"
break_high,d1_high,ALIAS,False,True,ED02,EXCLUDE_EXACT_DUPLICATE_ALIAS,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型"
break_low,d1_low,ALIAS,False,True,ED03,EXCLUDE_EXACT_DUPLICATE_ALIAS,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型"
break_close,d1_close,ALIAS,False,True,ED04,EXCLUDE_EXACT_DUPLICATE_ALIAS,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型"
break_prev_close,break_prev_close,NONE,False,False,,DERIVE_ONLY,True,
break_open_return,break_open_return,NONE,False,False,,PRIMARY_RAW,True,
break_high_return,break_high_return,NONE,False,False,,PRIMARY_RAW,True,
break_close_return,break_close_return,NONE,False,False,,PRIMARY_RAW,True,
break_intraday_range,d1_intraday_range,ALIAS,False,True,ED05,EXCLUDE_EXACT_DUPLICATE_ALIAS,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型"
break_high_to_close_drawdown,d1_high_to_close_drawdown_raw,ALIAS,False,True,ED06,EXCLUDE_EXACT_DUPLICATE_ALIAS,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型"
break_upper_shadow_ratio,break_upper_shadow_ratio,NONE,False,False,,SENSITIVITY_RAW,True,
break_lower_shadow_ratio,break_lower_shadow_ratio,NONE,False,False,,SENSITIVITY_RAW,True,
break_close_location,d1_close_location,ALIAS,False,True,ED07,EXCLUDE_EXACT_DUPLICATE_ALIAS,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型"
break_volume,d1_volume,ALIAS,False,True,ED08,EXCLUDE_EXACT_DUPLICATE_ALIAS,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型"
break_amount,d1_amount,ALIAS,False,True,ED09,EXCLUDE_EXACT_DUPLICATE_ALIAS,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型"
break_volume_ratio_vs_board_days,break_volume_ratio_vs_board_days,NONE,False,False,,PRIMARY_RAW,True,
break_amount_ratio_vs_board_days,break_amount_ratio_vs_board_days,NONE,False,False,,SENSITIVITY_RAW,True,
break_turnover_ratio,break_turnover_ratio,NONE,False,False,,EXCLUDE_ALL_MISSING,True,
break_touched_limit_up,break_touched_limit_up,NONE,False,False,,PRIMARY_RAW,True,
break_opened_from_limit_up,break_opened_from_limit_up,NONE,False,False,,SENSITIVITY_RAW,True,
d1_open,d1_open,CANONICAL,True,False,ED01,DERIVE_ONLY,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_high,d1_high,CANONICAL,True,False,ED02,DERIVE_ONLY,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_low,d1_low,CANONICAL,True,False,ED03,DERIVE_ONLY,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_close,d1_close,CANONICAL,True,False,ED04,DERIVE_ONLY,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_volume,d1_volume,CANONICAL,True,False,ED08,DERIVE_ONLY,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_amount,d1_amount,CANONICAL,True,False,ED09,DERIVE_ONLY,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_ma5,d1_ma5,NONE,False,False,,DERIVE_ONLY,True,
d1_ma10,d1_ma10,NONE,False,False,,DERIVE_ONLY,True,
d1_ma20,d1_ma20,NONE,False,False,,DERIVE_ONLY,True,
d1_close_to_ma5_raw,d1_close_to_ma5_raw,NONE,False,False,,PRIMARY_RAW,True,
d1_low_to_ma5_raw,d1_low_to_ma5_raw,NONE,False,False,,PRIMARY_RAW,True,
d1_high_to_ma5_raw,d1_high_to_ma5_raw,NONE,False,False,,PRIMARY_RAW,True,
d1_close_to_ma10_raw,d1_close_to_ma10_raw,NONE,False,False,,PRIMARY_RAW,True,
d1_low_to_ma10_raw,d1_low_to_ma10_raw,NONE,False,False,,PRIMARY_RAW,True,
d1_close_to_ma20,d1_close_to_ma20,NONE,False,False,,PRIMARY_RAW,True,
d1_ma5_slope,d1_ma5_slope,NONE,False,False,,PRIMARY_RAW,True,
d1_ma10_slope,d1_ma10_slope,NONE,False,False,,PRIMARY_RAW,True,
deprecated_d1_reclaimed_ma5_v01,d1_close_above_ma5,ALIAS,False,True,ED10,EXCLUDE_DEPRECATED,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型 (deprecated 字段即使精确重复也使用 EXCLUDE_DEPRECATED)"
deprecated_d1_reclaimed_ma10_v01,d1_close_above_ma10,ALIAS,False,True,ED11,EXCLUDE_DEPRECATED,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型 (deprecated 字段即使精确重复也使用 EXCLUDE_DEPRECATED)"
consecutive_days_below_ma5,consecutive_days_below_ma5,NONE,False,False,,SENSITIVITY_RAW,True,
consecutive_days_below_ma10,consecutive_days_below_ma10,NONE,False,False,,SENSITIVITY_RAW,True,
d1_open_to_close_return_raw,d1_open_to_close_return_raw,NONE,False,False,,PRIMARY_RAW,True,
d1_low_to_close_recovery,d1_low_to_close_recovery,NONE,False,False,,PRIMARY_RAW,True,
d1_high_to_close_drawdown_raw,d1_high_to_close_drawdown_raw,CANONICAL,True,False,ED06,PRIMARY_RAW,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_close_location,d1_close_location,CANONICAL,True,False,ED07,SENSITIVITY_RAW,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_vwap,d1_vwap,NONE,False,False,,DERIVE_ONLY,True,
d1_close_to_vwap_raw,d1_close_to_vwap_raw,NONE,False,False,,PRIMARY_RAW,True,
d1_intraday_range,d1_intraday_range,CANONICAL,True,False,ED05,PRIMARY_RAW,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_afternoon_return,d1_afternoon_return,NONE,False,False,,PRIMARY_RAW,True,
d1_last_hour_return,d1_last_hour_return,NONE,False,False,,PRIMARY_RAW,True,
d1_up_bar_volume_ratio,d1_up_bar_volume_ratio,NONE,False,False,,PRIMARY_RAW,True,
d1_down_bar_volume_ratio,down_bar_volume_ratio,ALIAS,False,True,ED12,EXCLUDE_EXACT_DUPLICATE_ALIAS,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型"
volume_above_d1_close_ratio,volume_above_d1_close_ratio,CANONICAL,True,False,ED13,PRIMARY_RAW,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
amount_above_d1_close_ratio,amount_above_d1_close_ratio,NONE,False,False,,SENSITIVITY_RAW,True,
volume_above_break_close_ratio,volume_above_d1_close_ratio,ALIAS,False,True,ED13,EXCLUDE_EXACT_DUPLICATE_ALIAS,True,"精确重复别名, 映射至 canonical, 不允许直接进入模型"
high_zone_volume_ratio,high_zone_volume_ratio,NONE,False,False,,PRIMARY_RAW,True,
high_zone_amount_ratio,high_zone_amount_ratio,NONE,False,False,,SENSITIVITY_RAW,True,
late_day_sell_volume_ratio,late_day_sell_volume_ratio,NONE,False,False,,PRIMARY_RAW,True,
late_day_sell_amount_ratio,late_day_sell_amount_ratio,NONE,False,False,,SENSITIVITY_RAW,True,
down_bar_volume_ratio,down_bar_volume_ratio,CANONICAL,True,False,ED12,PRIMARY_RAW,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_vwap_to_close_gap,d1_vwap_to_close_gap,NONE,False,False,,SENSITIVITY_RAW,True,
is_v004a_scorable,is_v004a_scorable,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
v004a_probability,v004a_probability,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
v004a_rank,v004a_rank,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
is_v004a_top3,is_v004a_top3,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
is_v004a_top10,is_v004a_top10,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
is_v004a_top15,is_v004a_top15,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
is_v002_scorable,is_v002_scorable,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
v002_rank,v002_rank,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
is_v002_top3,is_v002_top3,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
is_v002_top10,is_v002_top10,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
is_v002_top15,is_v002_top15,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
d2_trade_date,d2_trade_date,NONE,False,False,,AUDIT_ONLY,False,
d3_trade_date,d3_trade_date,NONE,False,False,,AUDIT_ONLY,False,
d2_open,d2_open,NONE,False,False,,AUDIT_ONLY,False,
d2_high,d2_high,NONE,False,False,,AUDIT_ONLY,False,
d2_low,d2_low,NONE,False,False,,AUDIT_ONLY,False,
d2_close,d2_close,NONE,False,False,,AUDIT_ONLY,False,
d3_high,d3_high,NONE,False,False,,AUDIT_ONLY,False,
d3_low,d3_low,NONE,False,False,,AUDIT_ONLY,False,
d3_close,d3_close,NONE,False,False,,AUDIT_ONLY,False,
d2open_to_d3high_return,d2open_to_d3high_return,NONE,False,False,,AUDIT_ONLY,False,
d2open_to_d3close_return,d2open_to_d3close_return,NONE,False,False,,AUDIT_ONLY,False,
target7_d2open_d3high,target7_d2open_d3high,NONE,False,False,,AUDIT_ONLY,False,
tail_loss_5pct,tail_loss_5pct,NONE,False,False,,AUDIT_ONLY,False,
future_data_status,future_data_status,NONE,False,False,,AUDIT_ONLY,False,
last_board_date,last_board_date,NONE,False,False,,AUDIT_ONLY,False,
break_day_in_pool,break_day_in_pool,NONE,False,False,,PRIMARY_RAW,True,
last_board_day_in_pool,last_board_day_in_pool,NONE,False,False,,SENSITIVITY_RAW,True,
pool_consecutive_count_last_board,pool_consecutive_count_last_board,NONE,False,False,,SENSITIVITY_RAW,True,
v004a_score_source,v004a_score_source,NONE,False,False,,EXCLUDE_FORBIDDEN,False,
stage_group,stage_group,NONE,False,False,,AUDIT_ONLY,False,
post_day,post_day,NONE,False,False,,AUDIT_ONLY,False,
training_stage_feature,training_stage_feature,NONE,False,False,,AUDIT_ONLY,False,
d1_bar_count,d1_bar_count,NONE,False,False,,AUDIT_ONLY,False,
d2_bar_count,d2_bar_count,NONE,False,False,,AUDIT_ONLY,False,
d3_bar_count,d3_bar_count,NONE,False,False,,AUDIT_ONLY,False,
d1_first_bar_time,d1_first_bar_time,NONE,False,False,,AUDIT_ONLY,False,
d2_first_bar_time,d2_first_bar_time,NONE,False,False,,AUDIT_ONLY,False,
d3_first_bar_time,d3_first_bar_time,NONE,False,False,,AUDIT_ONLY,False,
d1_last_bar_time,d1_last_bar_time,NONE,False,False,,AUDIT_ONLY,False,
d2_last_bar_time,d2_last_bar_time,NONE,False,False,,AUDIT_ONLY,False,
d3_last_bar_time,d3_last_bar_time,NONE,False,False,,AUDIT_ONLY,False,
d1_expected_bar_count,d1_expected_bar_count,NONE,False,False,,AUDIT_ONLY,False,
d2_expected_bar_count,d2_expected_bar_count,NONE,False,False,,AUDIT_ONLY,False,
d3_expected_bar_count,d3_expected_bar_count,NONE,False,False,,AUDIT_ONLY,False,
d1_minute_complete,d1_minute_complete,NONE,False,False,,AUDIT_ONLY,False,
d2_minute_complete,d2_minute_complete,NONE,False,False,,AUDIT_ONLY,False,
d3_minute_complete,d3_minute_complete,NONE,False,False,,AUDIT_ONLY,False,
d2_daily_minute_open_diff,d2_daily_minute_open_diff,NONE,False,False,,AUDIT_ONLY,False,
d3_daily_minute_high_diff,d3_daily_minute_high_diff,NONE,False,False,,AUDIT_ONLY,False,
d3_daily_minute_close_diff,d3_daily_minute_close_diff,NONE,False,False,,AUDIT_ONLY,False,
expected_d2_date,expected_d2_date,NONE,False,False,,AUDIT_ONLY,False,
actual_d2_date,actual_d2_date,NONE,False,False,,AUDIT_ONLY,False,
expected_d3_date,expected_d3_date,NONE,False,False,,AUDIT_ONLY,False,
actual_d3_date,actual_d3_date,NONE,False,False,,AUDIT_ONLY,False,
d2_date_shift_reason,d2_date_shift_reason,NONE,False,False,,AUDIT_ONLY,False,
d3_date_shift_reason,d3_date_shift_reason,NONE,False,False,,AUDIT_ONLY,False,
suspension_proof_status,suspension_proof_status,NONE,False,False,,AUDIT_ONLY,False,
