source_column,source_column_role,available_as_of,stage1_allowed_for_feature_analysis,source_or_formula,dtype,semantic_type,mechanism_group,unit_family,non_null_count,missing_count,missing_rate,unique_count,dominant_value,dominant_count,dominant_rate,min_value,max_value,exact_duplicate_group_id,canonical_source_column,mutual_exclusion_group_id,admission_status,primary_allowed,sensitivity_allowed,derive_only,reason_codes,preprocess_policy,target_blind,notes
event_id,identifier,D1_CLOSE,False,"code + '_' + break_date (v0.2.2 来源, 未改变)",str,identifier,FORBIDDEN_AUDIT,identifier,333,0,0.0,333,000090_2026-06-01,1,0.003003,,,,event_id,,AUDIT_ONLY,False,False,False,NOT_STAGE1_ALLOWED|IDENTIFIER,NO_DIRECT_MODEL_INPUT,True,
code,identifier,D1_CLOSE,False,copied unchanged from source v0.2.2 column code,str,identifier,FORBIDDEN_AUDIT,identifier,333,0,0.0,296,002141,4,0.012012,,,,code,,AUDIT_ONLY,False,False,False,NOT_STAGE1_ALLOWED|IDENTIFIER,NO_DIRECT_MODEL_INPUT,True,
name,identifier,D1_CLOSE,False,copied unchanged from source v0.2.2 column name,str,identifier,FORBIDDEN_AUDIT,identifier,333,0,0.0,297,贤丰控股,4,0.012012,,,,name,,AUDIT_ONLY,False,False,False,NOT_STAGE1_ALLOWED|IDENTIFIER,NO_DIRECT_MODEL_INPUT,True,
signal_date,identifier,D1_CLOSE,False,D1 信号日 = 断板日 (v0.2.2 来源),str,identifier,FORBIDDEN_AUDIT,identifier,333,0,0.0,42,2026-07-02,18,0.054054,,,,signal_date,,AUDIT_ONLY,False,False,False,NOT_STAGE1_ALLOWED|IDENTIFIER,NO_DIRECT_MODEL_INPUT,True,
break_date,identifier,D1_CLOSE,False,D1 断板日 = 连续 2/3 板后第一个非涨停交易日 (v0.2.2 来源),str,identifier,FORBIDDEN_AUDIT,identifier,333,0,0.0,42,2026-07-02,18,0.054054,,,,break_date,,AUDIT_ONLY,False,False,False,NOT_STAGE1_ALLOWED|IDENTIFIER,NO_DIRECT_MODEL_INPUT,True,
board_streak_before_break,d1_feature,D1_CLOSE,True,"断板前连续涨停天数 ∈ {2,3} (日线相邻交易日判定, v0.2.2 来源)",int64,ordinal_count,BOARD_HISTORY,count,333,0,0.0,2,2,284,0.852853,2,3,,board_streak_before_break,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
days_since_break,provenance,D1_CLOSE,False,copied unchanged from source v0.2.2 column days_since_break,int64,provenance,FORBIDDEN_AUDIT,provenance,333,0,0.0,1,0,333,1.0,0,0,,days_since_break,,AUDIT_ONLY,False,False,False,NOT_STAGE1_ALLOWED|PROVENANCE,NO_DIRECT_MODEL_INPUT,True,
days_since_last_limit_up,provenance,D1_CLOSE,False,copied unchanged from source v0.2.2 column days_since_last_limit_up,int64,provenance,FORBIDDEN_AUDIT,provenance,333,0,0.0,1,1,333,1.0,1,1,,days_since_last_limit_up,,AUDIT_ONLY,False,False,False,NOT_STAGE1_ALLOWED|PROVENANCE,NO_DIRECT_MODEL_INPUT,True,
repair_attempt_count,provenance,D1_CLOSE,False,copied unchanged from source v0.2.2 column repair_attempt_count,int64,provenance,FORBIDDEN_AUDIT,provenance,333,0,0.0,1,1,333,1.0,1,1,,repair_attempt_count,,AUDIT_ONLY,False,False,False,NOT_STAGE1_ALLOWED|PROVENANCE,NO_DIRECT_MODEL_INPUT,True,
recent_limit_up_count_10d,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column recent_limit_up_count_10d,int64,ordinal_count,BOARD_HISTORY,count,333,0,0.0,6,2,195,0.585586,2,8,,recent_limit_up_count_10d,,PRIMARY_RAW,True,False,False,DEFAULT_PRIMARY,RAW_ORDINAL,True,
