feature_name,source_or_derived,source_column,mechanism_group,preprocess_policy,mutual_exclusion_group_id,target_blind,derived_not_yet_model_frozen
recent_limit_up_count_10d,source,recent_limit_up_count_10d,BOARD_HISTORY,RAW_ORDINAL,,True,False
recent_limit_up_count_20d,source,recent_limit_up_count_20d,BOARD_HISTORY,RAW_ORDINAL,,True,False
recent_pool_appearance_count_10d,source,recent_pool_appearance_count_10d,BOARD_HISTORY,RAW_ORDINAL,,True,False
recent_pool_appearance_count_20d,source,recent_pool_appearance_count_20d,BOARD_HISTORY,RAW_ORDINAL,,True,False
max_board_streak_20d,source,max_board_streak_20d,BOARD_HISTORY,RAW_ORDINAL,,True,False
break_open_return,source,break_open_return,D1_PRICE_ACTION,FOLD_CLIP_Z,,True,False
break_high_return,source,break_high_return,D1_PRICE_ACTION,FOLD_CLIP_Z,,True,False
break_close_return,source,break_close_return,D1_PRICE_ACTION,FOLD_CLIP_Z,,True,False
break_volume_ratio_vs_board_days,source,break_volume_ratio_vs_board_days,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,ME01_BREAK_ACTIVITY_RATIO,True,False
break_touched_limit_up,source,break_touched_limit_up,D1_PRICE_ACTION,RAW_BINARY,,True,False
d1_close_to_ma5_raw,source,d1_close_to_ma5_raw,D1_MA_POSITION,FOLD_CLIP_Z,,True,False
d1_low_to_ma5_raw,source,d1_low_to_ma5_raw,D1_MA_POSITION,FOLD_CLIP_Z,,True,False
d1_high_to_ma5_raw,source,d1_high_to_ma5_raw,D1_MA_POSITION,FOLD_CLIP_Z,,True,False
d1_close_to_ma10_raw,source,d1_close_to_ma10_raw,D1_MA_POSITION,FOLD_CLIP_Z,,True,False
d1_low_to_ma10_raw,source,d1_low_to_ma10_raw,D1_MA_POSITION,FOLD_CLIP_Z,,True,False
d1_close_to_ma20,source,d1_close_to_ma20,D1_MA_POSITION,FOLD_CLIP_Z,,True,False
d1_ma5_slope,source,d1_ma5_slope,D1_MA_POSITION,FOLD_CLIP_Z,,True,False
d1_ma10_slope,source,d1_ma10_slope,D1_MA_POSITION,FOLD_CLIP_Z,,True,False
d1_open_to_close_return_raw,source,d1_open_to_close_return_raw,D1_PRICE_ACTION,FOLD_CLIP_Z,,True,False
d1_low_to_close_recovery,source,d1_low_to_close_recovery,D1_PRICE_ACTION,FOLD_CLIP_Z,,True,False
d1_high_to_close_drawdown_raw,source,d1_high_to_close_drawdown_raw,D1_PRICE_ACTION,FOLD_CLIP_Z,,True,False
d1_close_to_vwap_raw,source,d1_close_to_vwap_raw,D1_VWAP_POSITION,FOLD_CLIP_Z,ME05_VWAP_GAP,True,False
d1_intraday_range,source,d1_intraday_range,D1_PRICE_ACTION,FOLD_CLIP_Z,,True,False
d1_afternoon_return,source,d1_afternoon_return,D1_PRICE_ACTION,FOLD_CLIP_Z,,True,False
d1_last_hour_return,source,d1_last_hour_return,D1_PRICE_ACTION,FOLD_CLIP_Z,,True,False
d1_up_bar_volume_ratio,source,d1_up_bar_volume_ratio,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,,True,False
volume_above_d1_close_ratio,source,volume_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,ME02_ABOVE_CLOSE_CHIP,True,False
high_zone_volume_ratio,source,high_zone_volume_ratio,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,ME03_HIGH_ZONE,True,False
late_day_sell_volume_ratio,source,late_day_sell_volume_ratio,D1_LATE_DAY_PRESSURE,FOLD_CLIP_Z,ME04_LATE_SELL,True,False
down_bar_volume_ratio,source,down_bar_volume_ratio,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,,True,False
break_day_in_pool,source,break_day_in_pool,POOL_MEMBERSHIP,RAW_BINARY,,True,False
d1_true_reclaim_ma5,source,d1_true_reclaim_ma5,D1_MA_POSITION,RAW_BINARY,,True,False
board_streak_is_3,derived,board_streak_before_break,PREDECLARED_DERIVED,RAW_BINARY,,True,True
ma5_overheat_10,derived,d1_close_to_ma5_raw,PREDECLARED_DERIVED,RAW_BINARY,,True,True
overrepair,derived,d1_open_to_close_return_raw,PREDECLARED_DERIVED,FOLD_CLIP_Z,,True,True
break_volume_abnormality,derived,break_volume_ratio_vs_board_days,PREDECLARED_DERIVED,FOLD_CLIP_Z,,True,True
profit_chip_ratio,derived,volume_above_d1_close_ratio,PREDECLARED_DERIVED,FOLD_CLIP_Z,,True,True
profit_pressure,derived,profit_chip_ratio|d1_low_to_close_recovery|break_volume_ratio_vs_board_days,PREDECLARED_DERIVED,FOLD_CLIP_Z,,True,True
